1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,31763,1462,0,0,18275,0,5336,609,10289,2041,128,8,9417,203,0,0,2270,0,0,0,0,25634,18467,0,0,120,0,63,18284,0,17820,464,7167,6703,464,0,0,ND,ND,17820,0,0,0
1963:Q3,32193,1446,0,0,18442,0,5457,512,10465,2008,126,8,9665,207,0,0,2299,0,0,0,0,26105,18797,0,0,121,0,93,18583,0,18120,463,7308,6845,463,0,0,ND,ND,18120,0,0,0
1963:Q4,32688,1432,0,0,18625,0,5597,397,10612,2019,121,9,9959,210,0,0,2332,0,0,0,0,26136,19029,0,0,127,0,92,18810,0,18323,487,7107,6620,487,0,0,ND,ND,18323,0,0,0
1964:Q1,33451,1424,0,0,18817,0,5472,548,10728,2069,120,9,10499,214,0,0,2368,0,0,0,0,26712,19309,0,0,127,0,77,19105,0,18618,487,7403,6916,487,0,0,ND,ND,18618,0,0,0
1964:Q2,34041,1418,0,0,19004,0,5328,719,10811,2146,120,9,10866,218,0,0,2406,0,0,0,0,27419,19593,0,0,127,0,61,19405,0,18917,488,7826,7338,488,0,0,ND,ND,18917,0,0,0
1964:Q3,34631,1411,0,0,19197,0,5498,571,10884,2244,120,9,11227,222,0,0,2445,0,0,0,0,28065,19903,0,0,127,0,49,19727,0,19238,489,8162,7673,489,0,0,ND,ND,19238,0,0,0
1964:Q4,34998,1396,0,0,19412,0,5629,454,10970,2359,120,9,11351,226,0,0,2484,0,0,0,0,28383,20290,0,0,135,0,37,20118,0,19599,519,8093,7574,519,0,0,ND,ND,19599,0,0,0
1965:Q1,35331,1380,0,0,19630,0,5572,512,11049,2497,124,9,11435,230,0,0,2523,0,0,0,0,28343,20683,0,0,135,0,67,20481,0,19961,520,7660,7140,520,0,0,ND,ND,19961,0,0,0
1965:Q2,35015,1358,0,0,19836,0,5377,692,11101,2666,130,9,10887,234,0,0,2561,0,0,0,0,29608,21059,0,0,135,0,64,20860,0,20341,519,8549,8030,519,0,0,ND,ND,20341,0,0,0
1965:Q3,36107,1337,0,0,20082,0,5420,637,11182,2843,137,10,11702,237,0,0,2602,0,0,0,0,30644,21471,0,0,135,0,82,21254,0,20736,518,9173,8655,518,0,0,ND,ND,20736,0,0,0
1965:Q4,36783,1321,0,0,20419,0,5464,602,11349,3004,142,10,12000,242,0,0,2649,0,0,0,0,32356,21889,0,0,134,0,93,21662,0,21145,517,10467,9950,517,0,0,ND,ND,21145,0,0,0
1966:Q1,36879,1318,0,0,20691,0,5252,863,11426,3150,140,10,11770,246,0,0,2704,0,0,0,0,32208,22320,0,0,134,0,101,22085,0,21569,516,9888,9372,516,0,0,ND,ND,21569,0,0,0
1966:Q2,36964,1324,0,0,21087,0,5093,1123,11588,3283,140,10,11386,251,0,0,2766,0,0,0,0,32747,22745,0,0,135,0,84,22526,0,22009,517,10002,9485,517,0,0,ND,ND,22009,0,0,0
1966:Q3,36450,1331,0,0,21496,0,5080,1212,11785,3419,140,10,10386,255,0,0,2832,0,0,0,0,32950,23209,0,0,135,0,92,22982,0,22463,519,9741,9222,519,0,0,ND,ND,22463,0,0,0
1966:Q4,37522,1329,0,0,21882,0,4991,1276,12040,3575,143,10,11000,260,0,0,2898,0,0,0,0,35788,23647,0,0,128,0,95,23424,0,22930,494,12141,11647,494,0,0,ND,ND,22930,0,0,0
