1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q4,103367,-130,19309,1098,19305,19545,-337,2846,778,-235,-273,7185,5832,-1409,7122,161,5353,-574,17520,272,43525,3925,-32077,2203,272,3981,2739,2882,-818,-93,-2724,-2108,-1759,17538,-3074,19134,-1186,1670,0,7034,0,4423,655,19761,1698,0,-551,59842
1992:Q1,355940,-57,266166,3459,24596,17556,-410,3343,-1006,489,-477,5116,8138,12031,-89,-567,9235,-575,8923,68,228580,3992,130500,1246,68,-3789,-2543,2863,576,-20,4193,0,-1654,31565,23819,17673,-461,36837,0,-8134,0,-2500,-512,15372,-20276,0,-235,127360
1992:Q2,26887,-15,-14562,3459,5251,16503,-844,2845,903,189,482,6220,4111,-4066,-7901,-202,12992,-2,1385,139,-34140,4554,-69136,734,139,1547,-697,2967,386,-283,-138,0,521,5939,8108,16506,733,375,0,1283,0,-5284,-93,-2326,-436,0,460,61027
1992:Q3,93750,33,35499,2209,3286,11395,96,816,4861,111,607,6298,-3807,4488,3004,-441,17737,3287,4500,-229,105789,4771,-11061,1587,-229,-2990,2960,-3107,5812,-239,900,0,1242,20171,2316,10691,-410,9561,0,713,0,1477,468,58754,2102,0,302,-12040
1992:Q4,1225,87,12910,4710,-2293,17762,425,-3005,-3854,289,-380,5676,-16362,177,9166,-407,-25288,853,671,89,-2210,4145,19173,1523,89,1951,-1915,-6448,-3580,-135,-940,1848,-3021,-6915,-3280,18269,2697,-1956,0,-6168,0,-689,-817,-18909,2358,0,510,3435
1993:Q1,85051,118,45171,1264,28310,16234,469,3215,915,285,296,4364,1597,-12815,-413,-462,22755,36,-26619,331,89939,3314,29943,3196,331,-7367,846,-6719,1680,-143,2358,0,1117,-16952,25220,16327,4002,-10459,0,2576,0,3779,161,37891,-1099,0,-62,-4887
1993:Q2,91506,120,24712,1264,3145,18193,-262,16392,336,342,269,3220,4951,5820,18631,-158,-858,-1065,-3967,422,43865,2737,10204,3616,422,-3004,1858,3280,1693,-45,81,0,4090,13817,7491,18281,1602,-20055,0,-715,0,1748,-27,-5665,3850,0,-1392,47640
1993:Q3,62846,120,14977,1265,782,14482,1299,2217,948,368,268,3308,-2205,-3240,240,-295,17509,-233,10474,562,79953,3933,4078,4374,562,1733,-107,-2215,893,-102,1218,0,-6117,680,1957,14059,2657,18515,0,5104,0,2366,1056,26296,-720,0,-266,-17107
1993:Q4,48043,123,9005,1264,-1126,18862,-852,4627,-3399,393,-38,4299,3985,3672,1634,-181,2899,-1835,5715,-1005,116780,1898,80445,4642,-1005,2005,44,4922,-5021,-150,-1364,-8660,-2590,3356,-4249,18669,4300,-5782,0,-1328,0,1009,-1009,21483,5754,0,-589,-68737
1994:Q1,165501,138,11339,1200,25623,21911,151,81766,4724,-30,-12,4066,17165,-12689,-2043,-742,22761,1115,-10905,-36,222310,3274,-1883,5524,-36,2009,-13,61168,5777,241,1557,0,11292,41137,24862,21624,6391,13716,0,-1786,0,-4200,243,30973,-397,0,836,-56808
1994:Q2,46904,148,-24634,4951,4888,21444,1272,42822,6068,199,428,3791,9603,-7915,1250,-616,1715,-778,-17898,165,74422,2406,2594,4346,165,2016,1101,21153,7462,126,-209,0,-9662,1027,7356,21696,-2431,7955,0,-2389,0,-3745,132,17249,-3441,0,-484,-27518
1994:Q3,35,141,-22603,4951,1665,27912,-176,-21378,2444,307,614,3901,-6849,-2734,6527,-788,4172,-965,2561,334,32933,4429,14392,4942,334,3692,497,-15160,1051,-6,-4866,0,7571,-18300,2771,28469,-1933,-7200,0,-1983,0,-3840,797,14518,3791,0,-1032,-32898
1994:Q4,27393,144,-13492,4951,1862,4469,-545,-8649,1381,1359,762,4428,19770,-3413,10319,83,1272,-269,3330,-368,138102,3296,102390,4211,-368,13379,1022,4767,-1137,-481,484,29,-1846,-122,-4816,4425,1033,16907,0,913,-30,-4436,1204,-7048,6152,0,-1825,-110709
1995:Q1,107331,181,12244,3401,19878,15272,1437,25829,1280,-146,-1425,9340,-8611,-4183,8505,-87,22785,-400,2029,3,90947,6626,30963,9243,3,-2956,84,-22893,-2263,-406,608,0,6321,-2596,25883,14912,-4259,-11378,0,-238,0,2784,190,38662,1841,0,-183,16383
1995:Q2,24930,190,22859,3401,9055,22581,382,-51891,9843,1040,-122,10023,8627,5327,12865,-147,-23717,-1476,-3921,12,59755,6638,-752,9337,12,41510,-1412,-8736,-3433,364,-346,0,-6172,17079,7709,22935,7603,3121,0,1522,0,-155,525,-41746,5394,0,-1241,-34825
1995:Q3,157943,194,74100,3401,8645,22530,-461,14989,-3793,-27,32,-1969,4051,1789,3460,-88,19595,2984,8270,242,148703,-737,46398,8901,242,14333,-3068,-4155,1991,132,-538,0,3773,35066,3060,22783,3316,-14367,0,10084,0,-34,-163,17918,2525,0,1243,9241
1995:Q4,162112,195,83671,3401,15908,18313,-210,15383,-1654,2053,34,11065,5207,1090,4521,-45,7454,-321,-3946,-7,176843,3435,77346,9944,-7,2427,1200,-5278,-5575,1502,205,-6967,8388,29534,12332,18280,4140,20164,0,-12226,0,2736,-483,10788,5901,0,-942,-14731
1996:Q1,175579,182,69130,7358,9283,27246,-123,-8224,-7335,-137,183,3339,738,778,3659,-46,40674,-543,29270,147,195887,833,83009,8542,147,-24863,-1507,2214,-5168,-193,2803,0,-5917,27456,12916,27601,6315,-13204,0,3291,0,-513,-1278,72886,993,0,-477,-20308
1996:Q2,58645,198,20004,7358,8920,23127,90,18492,-3035,-286,343,2063,2476,-5900,-2767,-63,-10435,291,-1970,-261,54890,1131,4327,8507,-261,-22199,-125,29383,-3502,116,-1048,0,1335,26387,5971,23409,1024,-18564,0,-3807,0,3182,-666,-3674,3468,0,497,3755
1996:Q3,214358,194,92514,7358,-3200,26815,279,23952,-452,832,176,5688,7102,-425,2654,-77,35864,1690,13477,-83,165098,3345,19960,9508,-83,24928,3294,13743,-283,427,-1388,0,-1106,34574,4209,26645,-1469,-8861,0,19,0,6312,-876,36034,-3387,0,-447,49260
1996:Q4,75265,189,40763,7358,-3734,25105,-800,-7348,8740,152,-123,-3262,5360,4665,8170,-1185,-6430,13790,-16236,91,146449,2588,32949,9659,91,23791,756,-11431,-257,424,325,-630,11419,24566,-8549,25356,1059,17057,0,7420,0,9844,-622,-3607,4040,0,202,-71184
1997:Q1,208555,67,26420,15249,22881,18633,31,11957,10179,2208,-6143,2344,-15883,6247,10586,-715,76097,7111,21260,25,171321,3260,-40679,12538,25,26055,-281,10348,1561,147,-6825,57,6220,16860,27393,20749,5507,-3093,0,-7350,0,1606,-879,94118,4318,0,-334,37233
1997:Q2,38375,73,-10997,13999,13542,16644,1137,13539,-1703,1082,251,2013,8613,-6533,-21872,-1561,3184,5245,1708,11,67050,3433,-115942,13741,11,13187,2167,4953,-1927,366,3197,66,-2097,32686,7932,22651,2367,8943,0,3972,59,9853,-2339,55675,4168,0,-72,-28674
1997:Q3,146751,78,7379,13999,-8412,17224,-951,13751,-1645,1016,-142,8380,-1339,4906,34599,-2593,40469,2902,17101,29,149734,5528,-2294,14762,29,27533,-909,8471,-1366,-13,-375,72,9946,26795,1779,21746,7389,-2165,0,980,33,-6848,-2098,34109,5787,0,843,-2983
1997:Q4,55957,85,-35607,12750,1132,27296,1059,35420,5723,385,-184,-1981,22229,2529,-16125,-3583,-27305,4707,27539,-112,148501,32,10715,15579,-112,6670,279,20349,2911,1341,1835,-11376,5692,36156,-8220,30455,1900,32813,0,9991,0,14178,-5837,-28405,11682,0,-126,-92544
1998:Q1,274855,-39,54078,25530,22835,23948,-334,-67747,-1995,741,378,3802,21868,13717,-30012,-4416,192541,5497,14442,22,187681,2294,-96105,28848,22,37761,-215,-57268,-1985,59,4163,-47,13660,33364,28764,30163,17259,-13821,0,-2061,7,-19671,-2941,172719,12202,0,510,87174
1998:Q2,138796,301,78583,21780,11567,29647,-147,10689,5498,806,539,711,-3551,-2943,-11349,2022,-19718,1081,13256,26,175268,276,43254,33006,26,-9818,1365,-2140,4457,332,-3516,-37,1092,27854,7948,33071,-15583,2818,0,2305,482,4560,1045,28783,13955,0,-265,-36472
1998:Q3,104629,-500,33422,20530,-1764,29190,-861,33706,-4377,460,-162,2910,4974,1558,3626,4194,-20955,1668,-2852,-138,263179,3236,67759,33914,-138,11136,1773,7045,4455,566,1491,-33,11625,23904,3202,28611,4285,39739,0,-2145,277,-8476,6120,13415,11049,0,371,-158550
1998:Q4,311905,-1134,285050,24280,-8511,23277,1415,10305,-2164,4276,-208,-4961,5719,4604,33522,9431,-61656,3551,-14836,-55,311346,514,320530,29135,-55,-35435,1961,16211,-688,2134,4905,-10085,-9193,14379,-8684,31254,-1176,-4241,0,1804,59,5789,9875,-54890,-1998,0,-759,559
1999:Q1,306770,1205,126642,15917,26308,30701,-1613,-4957,-6772,694,-182,371,31977,-7976,16221,-970,77320,1191,572,122,189428,-199,-16641,25611,122,1750,-3348,26395,-1929,-7,2180,87,11503,41161,28608,33152,-5227,-9910,0,2817,1174,12332,430,33569,5902,0,-104,117342
1999:Q2,240419,83,115109,20917,9661,32709,1047,-7588,-1095,1279,-39,6396,7698,-3967,6561,-502,15674,5234,31130,112,110198,994,-34960,17274,112,-7432,366,24896,-2513,411,-3327,98,-1495,27253,8327,36417,9905,-18981,0,-816,1608,5194,-715,29381,13585,0,4616,130221
1999:Q3,177156,44,84425,18416,185,32685,645,26584,14538,1737,106,8841,29799,-5111,9080,1005,-32752,1934,-15121,117,100398,6361,46927,20938,117,-2482,1204,-15047,1644,181,-3358,106,6369,28907,3815,32875,-4861,-2386,0,3870,531,21,750,-18757,-7778,0,452,76758
1999:Q4,255591,781,138058,18417,-6594,33870,-1411,14301,455,-1516,976,-11447,-32488,5526,49162,-1579,-39718,11853,76663,283,40513,-30,-20069,18664,283,-5188,437,1247,5148,-1607,-9943,-4765,-18483,7400,-8255,40170,22644,6479,0,-920,0,15435,968,-1217,-8372,0,488,215078
2000:Q1,464228,-743,77535,22310,26783,29117,1326,13605,2996,694,-666,6231,8147,3481,80408,-313,184314,-13211,19099,3115,474954,5222,163540,22041,-294,-1891,-710,7610,-4136,-338,9035,4243,2773,-6402,28693,29656,-15028,-14774,0,3209,721,33322,-682,205639,6749,35,-3280,-10726
2000:Q2,290586,193,174984,18810,9302,22056,-472,5044,-2796,564,773,9361,6591,-3725,8212,36,-30121,2800,65507,3467,389901,7428,238178,25355,59,-5947,-247,28432,-2483,407,-3567,4256,13573,30457,7955,20661,7997,30453,0,3429,3074,2623,-134,-24756,2137,0,561,-99315
