1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,156504,58953,160638,41040,28824,86654,4120,0,-101685,47497,-944,-52,-6736,9432,0,-1688,19456,2328,13184,392,3280,272,-1017,-8016,2828,4171,-88,-4592,-2084,-581,1244,3848,25300,601,-224,5622,149182,148171,0,0,52,12624,-476,5012,-1212,5072,4228,32935,3228,1360,18932,9415,-136,92,2804,-1620,101420,1011,2276,-636,-629,97551
1960:Q1,170557,270621,172022,42424,29751,88647,11200,0,98599,65423,-468,-44,4904,8920,0,-1688,14044,-520,7692,-2776,4360,5288,-704,-1024,3304,-2984,88,-2908,2092,-208,1272,3756,23972,14664,-752,-1517,-33176,-34624,0,0,52,2236,164,-5116,-252,5752,1688,28376,3828,3888,17232,3428,76,84,13856,-468,-78836,1448,1404,300,-256,-100064
1960:Q2,164869,123555,163623,43338,27442,89619,3224,0,-40068,50300,-260,76,2896,13476,0,-616,7804,-144,-1060,3008,4116,1884,2852,-640,2820,672,52,-4276,952,-1510,1412,3508,23780,764,-1724,1114,90368,90578,0,0,36,7864,768,-2740,1000,5272,3564,33076,6396,4228,16336,6116,40,72,3772,-380,46098,-210,1476,176,-1862,41314
1960:Q3,165241,272223,164115,42860,26666,90269,4320,0,108108,50490,-308,204,6180,16356,0,620,-14192,-96,-14708,-1920,2224,308,3496,1816,2632,-952,48,-4040,1516,-880,1072,3068,23436,7692,-1552,7774,-57618,-58466,0,0,48,8084,492,940,-1728,5252,3128,25212,192,3016,18072,3932,76,68,5104,-4128,-92930,848,1600,212,-964,-106982
1960:Q4,158313,-28858,152616,41710,26713,90005,-5812,0,-181474,37901,-632,-224,-8484,20412,0,-1324,-3872,944,-7852,-1428,2364,2100,7448,3156,3900,392,248,-4672,6284,-492,440,2580,23500,-512,-1860,-939,219374,219139,0,0,52,10324,392,-276,-64,4964,5308,27528,3284,4096,17484,2664,8,80,-3120,-1384,185651,236,980,92,-836,187171
1961:Q1,158946,-33111,155476,39355,26883,91785,-2548,1,-188587,38365,-186,164,398,24444,0,1020,-12948,-1424,-9204,-2888,460,108,3601,1044,5268,-2711,116,-1812,2740,-5228,1716,2752,23556,6659,-2756,-5871,226952,229284,0,0,20,4260,-884,-2248,568,5380,1444,26101,2804,4180,17432,1685,60,84,8116,-2264,192907,-2332,2680,248,-5260,192057
1961:Q2,162462,174912,161056,40361,27057,91845,1792,1,13856,82138,514,96,-446,23116,0,-316,9552,-8,1200,916,4076,3368,5473,1880,3276,317,104,-3480,2324,886,1320,3172,23860,10883,228,4852,68282,62424,0,0,64,19276,768,6812,-68,3952,7812,24221,2172,4176,18392,-519,92,88,5280,1108,12295,5858,4672,324,862,-12450
1961:Q3,171154,122399,170344,41535,28528,93624,6656,1,-47945,75189,1632,100,13940,15792,0,2224,-7768,-952,-6344,2380,-1032,-1820,4741,816,3160,765,120,-4964,3128,546,1548,3692,23812,10303,1764,4579,123134,120932,0,0,64,24040,608,14580,-168,6192,2828,29105,1248,4268,21432,2157,44,96,7676,1124,58783,2202,1532,144,526,48755
1961:Q4,178716,113560,175972,43494,29552,96929,5996,1,-62412,66357,-1320,-8,-2508,18304,0,-2444,10244,3588,4564,228,2608,-744,6721,1172,4232,1317,56,-8816,1488,5125,2100,4172,23736,6295,2896,316,128768,124480,0,0,68,17468,808,4280,896,5988,5496,38873,3396,5068,24984,5425,-100,104,3756,2516,61795,4289,-400,280,4409,65156
1962:Q1,180821,175515,182365,44501,30075,98382,9408,-1,-6850,68274,-804,-8,5444,32968,0,384,-4860,-2476,-1844,-536,-536,532,6387,2076,4052,259,68,-6336,1812,1485,1512,4128,24164,6809,216,-5095,75124,73287,0,0,32,17776,-156,7252,732,6644,3304,28699,3532,2056,19560,3551,32,116,8780,2452,15400,1837,244,144,1449,5306
