date,FL893150005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL263150005.Q,FL893150005.Q,FL153050005.Q,FL543050005.Q,FL543151905.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1982:Q1,2139050,209369,649169,707641,572871,0,2139050,2139050,0,0,45500,29175,2825,3946,1918,1373,6263
1982:Q2,2198463,220367,668001,720639,589456,0,2198463,2198463,0,0,53000,33650,3150,4571,2242,1811,7576
1982:Q3,2271057,233354,698996,732139,606568,0,2271057,2271057,0,0,60500,38125,3475,5194,2566,2392,8748
1982:Q4,2330979,242900,720439,743506,624134,0,2330979,2330979,0,0,68000,42600,3800,5800,2890,3084,9826
1983:Q1,2407819,252335,762542,755768,637174,0,2407819,2407819,0,0,77750,48550,4200,6619,3064,4254,11063
1983:Q2,2494173,265284,809620,768968,650301,0,2494173,2494173,0,0,87500,54500,4600,7475,3237,5614,12074
1983:Q3,2551765,272354,835953,780748,662710,0,2551765,2551765,0,0,97250,60450,5000,8250,3411,6479,13660
1983:Q4,2614218,281650,863919,793505,675144,0,2614218,2614218,0,0,107000,66400,5400,8995,3585,7359,15261
1984:Q1,2676446,287889,891383,807741,689433,0,2676446,2676446,0,0,120000,70440,6025,9827,4082,8263,21363
1984:Q2,2728281,295754,906436,822701,703390,0,2728281,2728281,0,0,133000,74480,6650,10679,4580,9269,27342
1984:Q3,2814025,310503,948954,836207,718361,0,2814025,2814025,0,0,146000,78520,7275,11673,5077,10891,32564
1984:Q4,2895856,328343,985046,849607,732860,0,2895856,2895856,0,0,159000,95644,7929,12550,5575,12329,24973
1985:Q1,2996873,340677,1041578,865155,749463,0,2996873,2996873,0,0,179500,109161,7425,14579,5923,15417,26995
1985:Q2,3067036,356665,1064606,879865,765900,0,3067036,3067036,0,0,200000,119732,8994,16569,6271,18962,29472
1985:Q3,3118280,363585,1078634,894564,781497,0,3118280,3118280,0,0,220500,124039,10088,18371,6620,21808,39574
1985:Q4,3184150,260441,1215573,909165,798971,0,3184150,3184150,0,0,241000,127887,12147,16955,6968,25857,51186
1986:Q1,3276772,273503,1256069,927364,819836,0,3276772,3276772,0,0,263000,139840,13413,18575,7466,32809,50897
1986:Q2,3352779,295200,1273595,944944,839040,0,3352779,3352779,0,0,285000,149469,16567,20208,7964,38040,52752
1986:Q3,3401998,305164,1277411,962461,856962,0,3401998,3401998,0,0,307000,150246,17309,21244,8461,41975,67765
1986:Q4,3496174,327834,1312363,979843,876134,0,3496174,3496174,0,0,329000,153813,18051,22650,8959,47724,77803
1987:Q1,3605600,341745,1371873,995221,896761,0,3605600,3605600,0,0,347750,159209,19024,24921,10198,54292,80106
1987:Q2,3687124,349746,1411706,1010879,914793,0,3687124,3687124,0,0,366500,166378,19996,26934,11438,59796,81958
1987:Q3,3793631,363030,1471196,1026378,933027,0,3793631,3793631,0,0,385250,169011,20481,29063,12677,64324,89694
1987:Q4,3800959,358506,1454221,1041977,946255,0,3800959,3800959,0,0,404000,173862,20965,30085,13917,62538,102633
1988:Q1,3899209,385668,1489603,1058140,965798,0,3899209,3899209,0,0,420000,181334,21502,32511,15154,66909,102590
1988:Q2,3985537,404933,1521015,1074424,985165,0,3985537,3985537,0,0,436000,188460,22038,34695,16392,69741,104674
1988:Q3,4050991,424337,1532322,1090533,1003799,0,4050991,4050991,0,0,452000,192808,22243,36735,17629,70944,111641
1988:Q4,4131095,444335,1557429,1106477,1022854,0,4131095,4131095,0,0,468000,196965,22448,38850,18867,73441,117429
1989:Q1,4246627,454433,1598546,1123133,1070515,0,4246627,4246627,0,0,487500,203060,22831,38493,21104,77236,124776
1989:Q2,4373749,474478,1640682,1140226,1118363,0,4373749,4373749,0,0,507000,211544,23213,38300,23342,82945,127656
1989:Q3,4495950,485966,1686248,1156878,1166858,0,4495950,4495950,0,0,526500,215790,23768,38091,25580,88797,134474
1989:Q4,4622900,504646,1730726,1173634,1213894,0,4622900,4622900,0,0,546000,219866,24322,37855,27817,93065,143075
1990:Q1,4704882,522691,1745195,1190541,1246455,0,4704882,4704882,0,0,568750,224728,25345,38792,31250,92887,155748
1990:Q2,4812871,558437,1765978,1207561,1280895,0,4812871,4812871,0,0,591500,231257,26367,40210,34500,98214,160952
1990:Q3,4863907,563283,1764916,1224552,1311156,0,4863907,4863907,0,0,614250,235501,26949,40680,37750,91843,181527
1990:Q4,4981134,581222,1812270,1241718,1345924,0,4981134,4981134,0,0,637000,238905,27531,41975,41000,98011,189578
1991:Q1,5109390,588942,1877176,1259441,1383831,0,5109390,5109390,0,0,671750,243458,28824,44341,41000,111930,202197
1991:Q2,5208343,604850,1906415,1277466,1419612,0,5208343,5208343,0,0,706500,248098,30116,46014,41000,118885,222387
1991:Q3,5328403,618029,1958077,1295468,1456829,0,5328403,5328403,0,0,741250,249032,30629,47991,41000,130834,241764
1991:Q4,5460091,633813,2018204,1313576,1494498,0,5460091,5460091,0,0,776000,251719,31141,49690,41000,143518,258932
1992:Q1,5568800,642602,2032702,1332329,1561167,0,5568800,5568800,0,0,800250,249159,31445,50850,41750,151054,275992
1992:Q2,5703697,660349,2063077,1351503,1628768,0,5703697,5703697,0,0,824500,247443,31749,52307,42500,162459,288042
1992:Q3,5855219,675657,2112318,1370531,1696713,0,5855219,5855219,0,0,848750,244374,31914,53883,43250,174882,300447
1992:Q4,6020364,707860,2157409,1389433,1765662,0,6020364,6020364,0,0,873000,242891,32079,55600,44000,188636,309794
1993:Q1,6160335,727500,2227183,1407591,1798061,0,6160335,6160335,0,0,903000,240065,32031,59512,45500,208554,317338
1993:Q2,6270438,748204,2266845,1425744,1829645,0,6270438,6270438,0,0,933000,236896,31982,63280,47000,227634,326208
1993:Q3,6392528,775379,2312609,1443916,1860624,0,6392528,6392528,0,0,963000,234968,31894,66697,48500,248985,331956
1993:Q4,6489549,788898,2345799,1461911,1892941,0,6489549,6489549,0,0,993000,230922,31806,69465,50000,264670,346137
1994:Q1,6574365,799357,2368271,1479788,1926949,0,6574365,6574365,0,0,1008750,228886,31583,72043,53250,260470,362518
1994:Q2,6675615,802034,2413995,1497673,1961913,0,6675615,6675615,0,0,1024500,226308,31360,74636,56500,263313,372383
1994:Q3,6802846,815527,2472460,1516688,1998171,0,6802846,6802846,0,0,1040250,224650,31561,77326,59750,278069,368894
1994:Q4,6856293,812443,2476578,1534676,2032596,0,6856293,6856293,0,0,1056000,223526,31761,78735,63000,277576,381402
1995:Q1,7015411,831245,2553480,1554337,2076349,0,7015411,7015411,0,0,1114000,225677,32035,82613,66750,302996,403929
1995:Q2,7191347,869377,2626884,1574392,2120694,0,7191347,7191347,0,0,1172000,228655,32308,87028,70500,335528,417981
1995:Q3,7374720,894566,2720663,1594303,2165188,0,7374720,7374720,0,0,1230000,229907,32639,91105,74250,365766,436333
1995:Q4,7532527,909250,2800965,1613592,2208720,0,7532527,7532527,0,0,1288000,228067,32969,94295,78000,384417,470252
1996:Q1,7682652,924965,2877917,1633161,2246609,0,7682652,7682652,0,0,1332750,228101,33231,98438,81250,410545,481185
1996:Q2,7805837,937865,2930589,1653380,2284003,0,7805837,7805837,0,0,1377500,227578,33492,101894,84500,440293,489743
1996:Q3,7938662,947587,2997517,1672554,2321004,0,7938662,7938662,0,0,1422250,226876,33659,104979,87750,467105,501881
1996:Q4,8158315,900571,3106789,1692867,2458088,0,8158315,8158315,0,0,1467000,224912,33825,110326,91000,501000,505937
1997:Q1,8254724,917282,3123748,1712043,2501651,0,8254724,8254724,0,0,1532250,223158,34169,122903,90500,520397,541123
1997:Q2,8582369,978227,3313649,1735017,2555476,0,8582369,8582369,0,0,1597500,222680,34513,135493,90000,598498,516316
1997:Q3,8857793,1022643,3475345,1755424,2604381,0,8857793,8857793,0,0,1662750,224645,34857,149219,89500,663672,500857
1997:Q4,8924653,1017743,3484239,1775128,2647543,0,8924653,8924653,0,0,1728000,218980,35000,161000,89000,674000,550020
1998:Q1,9294771,1076311,3706012,1798444,2714004,0,9294771,9294771,0,0,1833500,217417,35300,171194,95000,760683,553906
1998:Q2,9443963,1114270,3738611,1820740,2770342,0,9443963,9443963,0,0,1939000,213552,34612,177951,101000,790001,621884
1998:Q3,9323858,1089994,3585707,1835568,2812589,0,9323858,9323858,0,0,2044500,215269,34660,175960,107000,732339,779272
1998:Q4,9811788,1159871,3902202,1863462,2886253,0,9811788,9811788,0,0,2150000,213244,35335,190113,113000,853000,745308
1999:Q1,9994091,1176636,3982995,1885013,2949447,0,9994091,9994091,0,0,2275250,212460,35705,202042,117500,891960,815583
1999:Q2,10257751,1218602,4112012,1909048,3018089,0,10257751,10257751,0,0,2400500,212374,36076,215948,122000,963195,850907
1999:Q3,10236562,1189656,4047347,1925671,3073888,0,10236562,10236562,0,0,2525750,210106,36450,219544,126500,943342,989808
1999:Q4,10728760,1333930,4283402,1953221,3152713,5494,10728760,10703989,24714,57,2651000,206797,36242,245463,131000,1104000,927498
2000:Q1,10977162,1383569,4403546,1974180,3210288,5579,10977162,10952022,25081,59,2645500,204430,36160,253851,132000,1175771,843288
2000:Q2,11019142,1380015,4382812,1992826,3257825,5664,11019142,10993645,25438,59,2640000,208865,35976,251299,133000,1148749,862111
2000:Q3,11165145,1410487,4428403,2012610,3307896,5749,11165145,11139283,25801,61,2634500,212896,36100,254269,134000,1169260,827975
2000:Q4,11081199,1376141,4323330,2027826,3348068,5834,11081199,11054995,26143,61,2629000,213429,36686,245529,135000,1086000,912356
2001:Q1,10915563,1349972,4127271,2041974,3390255,6091,10915563,10888374,27125,64,2626500,219630,37000,237494,139000,978387,1014989
2001:Q2,11177607,1383539,4266267,2067286,3454167,6348,11177607,11149385,28155,67,2624000,217754,38749,249237,143000,1040116,935144
2001:Q3,11001626,1363547,4055370,2080026,3496078,6605,11001626,10972434,29122,70,2621500,216806,40288,239160,147000,917133,1061113
2001:Q4,11294837,1397180,4218172,2108273,3564351,6861,11294837,11264595,30170,72,2619000,214693,39930,250950,151000,1012000,950427
2002:Q1,11499751,1396115,4352092,2129809,3614611,7124,11499751,11468480,31197,74,2597250,216503,40824,271578,153750,1024556,890039
2002:Q2,11353116,1380139,4169318,2143555,3652717,7387,11353116,11320869,32169,78,2575500,219107,41523,280147,156500,941600,936623
2002:Q3,11183483,1367684,3962354,2158167,3687630,7648,11183483,11150278,33125,80,2553750,222669,42231,282535,159250,836870,1010195
2002:Q4,11443330,1439877,4072474,2179855,3743213,7911,11443330,11409075,34173,82,2532000,219401,43319,308277,162000,885000,914003
2003:Q1,11535225,1447337,4080782,2199804,3799024,8278,11535225,11499847,35292,86,2647250,222538,44552,306349,159000,882887,1031924
2003:Q2,11940566,1501137,4329753,2231186,3869846,8644,11940566,11903987,36489,90,2762500,223786,46226,321503,156000,1011896,1003089
2003:Q3,12107431,1525803,4384619,2256019,3931979,9011,12107431,12069697,37641,93,2877750,223152,46302,325871,153000,1063579,1065846
