1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,723075,455669,406132,49537,67161,20021,94828,86941,90553,75155,10850,4548,32156,29404,2752,58397,22248,16572,2880,2796,36149,29179,5218,1752,-3612,7887,8101,-214,22141,63748,4064,3366,2088,1278,0,205,723075,67904,28385,5241,4967,819639
1966:Q4,735469,463804,413485,50319,68144,20029,95912,87997,88953,73489,10736,4728,31436,28756,2680,57517,21844,15920,2980,2944,35673,28813,5076,1784,-956,7915,8122,-207,23201,64904,4240,3402,2104,1298,0,313,735469,69396,28904,4797,5263,833302
1967:Q1,741749,470007,418841,51166,68901,20255,93326,85412,85784,70198,10898,4688,30632,27536,3096,55152,22932,17104,3008,2820,32220,25558,4794,1868,-372,7914,8104,-190,23957,65564,3992,3468,2156,1312,0,263,741749,70900,29368,7375,5221,844170
1967:Q2,748411,475649,423604,52045,68497,20373,92153,84278,85602,70065,11085,4452,30344,27196,3148,55258,23540,17896,2972,2672,31718,24973,4965,1780,-1324,7875,8051,-176,24843,66832,3872,3567,2216,1351,0,369,748411,72472,29878,3303,5080,848982
1967:Q3,763832,485272,432009,53263,70525,20430,93216,85420,87148,70939,11189,5020,30608,27440,3168,56540,23948,17560,2904,3484,32592,25939,5117,1536,-1728,7796,7961,-165,25244,68746,3684,3688,2296,1392,0,395,763832,74112,30507,2468,5689,865232
1967:Q4,779744,496236,441583,54653,69973,20327,96768,89089,91881,75332,11609,4940,32384,29140,3244,59497,23248,16532,2972,3744,36249,29660,5393,1196,-2792,7679,7836,-157,25657,70606,3696,3789,2380,1409,0,84,779744,75820,31164,297,5584,881441
1968:Q1,800451,510872,454210,56662,71681,20076,98122,90600,95276,77502,12555,5219,36456,32860,3596,58820,24876,18648,3332,2896,33944,25994,5627,2323,-4676,7522,7675,-153,25997,73367,4036,3913,2504,1409,0,459,800451,77596,31900,5262,5817,909388
1968:Q2,821518,523992,465923,58069,73177,20072,102114,94666,97590,79093,13005,5492,37064,33380,3684,60526,25804,18604,3496,3704,34722,27109,5825,1788,-2924,7448,7593,-145,26327,75424,4204,4128,2720,1408,0,488,821518,79509,32437,6879,6000,934344
1968:Q3,840998,537821,478330,59491,74951,20212,102643,95188,98140,79282,13130,5728,37116,33436,3680,61024,26516,19376,3708,3432,34508,26470,5742,2296,-2952,7455,7591,-136,27129,77693,4220,4272,2888,1384,0,497,840998,81559,32975,1547,6252,950826
1968:Q4,858005,550317,489423,60894,75506,20025,104110,96567,100619,81652,12863,6104,38020,34460,3560,62599,26800,19524,3836,3440,35799,27668,5467,2664,-4052,7543,7669,-126,28353,79144,4236,4419,3040,1379,0,367,858005,83744,33707,-1155,6271,968032
1969:Q1,874604,562766,499068,63698,75630,20219,103475,95762,100694,80729,13705,6260,38700,34980,3720,61994,26724,19028,3976,3720,35270,26721,6009,2540,-4932,7713,7826,-113,31377,80589,4340,4716,3260,1456,0,172,874604,86067,34399,4598,6334,993336
1969:Q2,890054,576719,511382,65337,77111,20286,100333,92583,97803,77968,13398,6437,37468,33920,3548,60335,27084,19160,4228,3696,33251,24888,5622,2741,-5220,7750,7860,-110,32183,82901,4464,4827,3356,1471,0,158,890054,88343,35163,1622,6161,1009020
1969:Q3,908081,593435,526431,67004,77967,20446,97418,89766,94702,74557,13397,6748,36068,32556,3512,58634,27340,18812,4464,4064,31294,23189,5421,2684,-4936,7652,7772,-120,33305,85217,4668,4837,3368,1469,0,124,908081,90571,35755,1499,5948,1029956
1969:Q4,916268,604917,536451,68466,77313,20437,92440,85019,93411,72431,14044,6936,35596,31920,3676,57815,27884,19104,4916,3864,29931,21407,5452,3072,-8392,7421,7562,-141,34099,86717,4664,4812,3340,1472,0,197,916268,92752,36537,-1390,6017,1038148
