1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,165104,33381,1175,0,0,219,31987,129557,11060,12396,2804,103297,1127,227,900,1023,16,165104,77211,47273,29185,18088,12595,8576,6046,1462,1246,735,0,313,193,1442,0,655,0,3250,3250,0,10153
1963:Q3,163696,32798,1328,0,0,180,31290,128758,8850,11765,2786,105357,1055,203,852,1069,16,163696,79930,47860,29821,18039,10100,7950,6085,1446,1350,752,0,314,147,1405,0,671,0,3169,3169,0,8602
1963:Q4,172925,34890,1241,0,0,216,33433,135811,6548,13195,3064,113004,1097,219,878,1110,17,172925,81977,51445,33427,18018,7671,9466,6222,1432,1466,773,0,313,201,1365,0,672,0,3499,3499,0,12645
1964:Q1,165628,33905,1516,0,0,174,32215,129423,7870,13951,3159,104443,1133,240,893,1150,17,165628,79273,46864,28846,18018,9058,9816,6014,1424,1294,802,0,313,126,1361,0,694,0,3573,3573,0,11030
1964:Q2,170747,34721,1330,0,0,196,33195,133485,10257,12582,3484,107162,1334,244,1090,1189,18,170747,79831,48853,30806,18047,11686,8979,6090,1418,1279,850,0,313,188,1353,0,689,0,3924,3924,0,11384
1964:Q3,172879,34920,1367,0,0,175,33378,135111,9200,12590,3680,109641,1604,297,1307,1226,18,172879,84639,49083,30996,18087,10996,8962,6079,1411,1314,857,0,313,151,1349,0,684,0,4152,4152,0,8968
1964:Q4,181840,36942,1586,0,0,269,35087,141790,6510,13519,3897,117864,1832,292,1540,1257,19,181840,84785,50857,32738,18119,8165,10728,6300,1396,1488,892,0,311,187,1345,0,681,0,8253,4458,3795,12752
1965:Q1,173982,35746,1569,0,0,201,33976,134950,8350,13591,3825,109184,1987,303,1684,1280,19,173982,82442,47544,29399,18145,10202,9817,5918,1380,1286,752,0,311,123,1379,0,687,0,8010,4329,3681,10049
1965:Q2,179426,36375,1419,0,0,214,34742,139887,11796,13385,3740,110966,1852,294,1558,1292,20,179426,82729,48384,30209,18175,13387,9525,5935,1358,1279,728,0,311,150,1411,0,698,0,7984,4248,3736,11482
1965:Q3,177326,36936,1656,0,0,233,35047,137430,7370,13205,3940,112915,1632,287,1345,1308,20,177326,88745,47468,29266,18202,9080,9243,6002,1337,1296,760,0,312,140,1448,0,709,0,8254,4460,3794,8534
1965:Q4,189131,38834,1428,0,0,201,37205,147271,5525,14244,4065,123437,1661,317,1344,1344,21,189131,91520,51276,33053,18223,6750,10151,6454,1321,1503,941,0,317,172,1489,0,711,0,8509,4583,3926,14471
1966:Q1,180270,37786,1486,0,0,341,35959,139414,5120,14692,3950,115652,1649,316,1333,1399,22,180270,89949,46170,27944,18226,6716,10473,6074,1318,1073,957,0,325,143,1528,0,730,0,8594,4607,3987,12294
1966:Q2,188986,39651,1815,0,0,516,37320,145885,10997,14931,3797,116160,1956,337,1619,1472,22,188986,88870,46966,28747,18219,13162,10625,6053,1324,1097,791,0,335,201,1559,0,746,0,8713,4650,4063,14597
1966:Q3,182594,39805,2404,0,0,393,37008,139268,6000,13966,4025,115277,1948,333,1615,1550,23,182594,91803,45828,27617,18211,8758,9614,6050,1331,1159,719,0,349,143,1585,0,764,0,8868,4751,4117,11673
1966:Q4,193589,41210,1592,0,0,405,39213,148892,4992,15047,4251,124602,1844,307,1537,1620,23,193589,93353,50584,32371,18213,6370,10691,6564,1329,1547,758,0,368,175,1603,0,784,0,9225,4963,4262,16802
1967:Q1,185764,40151,2012,0,0,384,37755,142116,5520,14627,4150,117819,1780,299,1481,1693,24,185764,92714,47501,29265,18236,7334,10771,6465,1321,1308,824,0,407,140,1619,0,846,0,9130,4833,4297,11849
1967:Q2,191704,43032,2783,0,0,402,39847,144689,5152,15207,4066,120264,2188,315,1873,1771,24,191704,93542,49438,31172,18266,8451,10821,6619,1305,1384,839,0,415,130,1634,0,912,0,9121,4783,4338,13712
