1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q2,9408696,1020795,8387901,7957726,430175,-1350,3875,236176,992483,12353,1641256,2337985,1562239,945754,519770,105157,-8442,775746,2204970,9948,55817,316170,-13666,-282159,-8792,-126291,81529,-228605,418098,411614,6484,0,690471,39022,354736,78960,470898,4340,62336,1429224,11446,1409870,915640,128920,11932,347466,5912,6544,1364,-696729
2003:Q3,9537651,950666,8586985,8117071,469914,-2855,3949,259343,1006906,12072,1717287,1854852,1630707,977620,554187,107371,-8471,224145,1186400,-11876,-26807,228587,-186287,116428,12180,418117,462,-314332,-12814,-13586,772,0,234137,36440,173516,86528,452417,4340,91790,962255,18612,937027,959173,95964,-27596,-96426,5912,6544,72,-137565
2003:Q4,9673955,1021344,8652611,8218791,433820,2349,4054,254020,1024901,14831,1696205,1917607,1665893,982592,582640,109175,-8514,251714,1236681,6780,-41378,137739,-294694,168661,55211,247030,38848,-172428,-23974,-27974,4000,0,441488,31460,210555,46796,524117,4340,24790,984967,7467,971339,907279,81756,135908,-159516,5912,6544,-384,-221402
2004:Q1,9771023,1012258,8758765,8356631,402134,-4926,4234,258155,1043184,13707,1680606,2017531,1700341,996601,604164,108510,-8934,317190,1249607,9452,-74445,468412,-94513,1195,-108781,-73011,150024,32963,96786,88330,8456,0,-19410,6447,190857,6752,595222,9632,53220,932417,8552,907781,736518,131741,-5968,40734,4756,16380,-296,-336925
2004:Q2,9934737,1026759,8907978,8460541,447437,-647,4352,246799,1064845,13861,1740221,1332785,1737488,998234,637733,110410,-8889,-404703,783766,10740,-62574,529661,-94095,-198884,-93308,-209125,122020,-18471,154662,145786,8876,0,-193519,66964,-145565,55016,602149,9632,49578,1188469,22160,1146833,1001294,75377,-336,65742,4756,16380,3096,407436
2004:Q3,10073884,1064383,9009501,8603841,405660,414,4458,252220,1086797,-35063,1775696,2172405,1775351,1016096,656576,111382,-8703,397054,1393803,3900,94186,180161,-161421,333819,-153147,261167,182755,43044,-43599,-51559,7960,0,-210113,37074,275382,48304,739774,9632,86704,996749,5140,973889,925676,130933,-83724,-3752,4756,16380,1340,-396709
2004:Q4,10283853,1091579,9192274,8779305,412969,1275,4528,265169,1103603,13339,1765149,1634928,1817299,1036701,676634,112346,-8382,-182371,1192948,11600,38638,316873,-146055,477644,294759,550997,144371,-512484,252374,241666,10708,0,-754723,48832,230750,52884,625143,9632,29354,1375319,16892,1340167,1054208,130693,-5360,155870,4756,16380,1880,130222
2005:Q1,10292562,1172277,9120285,8891009,229276,-956,4652,254428,1122411,14607,1585900,1343746,1841128,1036216,702197,112076,-9361,-497382,481372,22552,-57354,431446,-85374,-387307,-440929,-147869,112078,89412,-36234,-47442,11208,0,-155056,-54933,81528,17840,616920,9872,77471,978754,12476,949518,884784,113566,-48828,-7944,7940,15704,1056,242154
2005:Q2,10458092,1196293,9261799,9054838,206961,2491,4681,268116,1143749,13964,1602672,2405667,1893457,1062312,727686,112500,-9041,512210,1838651,-11412,-75054,600955,-30991,488919,-59270,321465,84911,141812,43332,34308,9024,0,12660,-72955,176145,9012,633031,9872,55137,1326440,9064,1298832,1143846,112290,30900,3856,7940,15704,2840,-802995
2005:Q3,10621855,1225480,9396375,9229144,167231,-1569,4689,267456,1169902,-116417,1714748,1639985,1937331,1075285,756057,114916,-8927,-297346,1019862,8140,-47686,616324,66488,-590970,-217969,-228177,147459,-292282,-37038,-41886,4848,0,98468,-119857,318290,41336,530147,9872,126348,1317208,23896,1280564,1150246,96954,3340,22084,7940,15704,-2956,74763
