date,FU907005005.Q,FU903012005.Q,FU903091005.Q,FU904010005.Q,FU902050005.Q,FU903020005.Q,FU903023005.Q,FU903028003.Q,FU903029200.Q,FU903070005.Q,FU903078005.Q,FU903090005.Q,FU906000105.Q,FU087005005.Q,FU156600075.Q
1957:Q4,4497,-10,0,-741,-53,3100,247,337,2516,4818,-1214,-1045,-358,1156,-798
1958:Q1,4374,-20,0,-1003,118,-1691,61,310,-2062,-4806,-3174,14790,160,-477,317
1958:Q2,16623,-9,0,-427,1890,922,-50,161,811,1713,-3690,16443,-219,-539,758
1958:Q3,26669,-13,0,934,-1716,-2160,-126,36,-2070,-1342,-1738,33109,-405,635,-230
1958:Q4,17515,-8,0,-110,602,3172,-42,-62,3276,3571,-1918,12429,-223,1031,-808
1959:Q1,4374,-6,0,90,1460,-2867,-3,-139,-2725,-1521,-69,6860,427,-138,-289
1959:Q2,14707,-18,0,335,530,287,-400,-196,883,269,-154,13137,321,-475,154
1959:Q3,-11078,-25,0,658,-1253,-1384,407,-312,-1479,-1205,-49,-6426,-1394,1368,26
1959:Q4,29623,11,0,-644,236,3413,-8,-494,3915,3694,-12,22519,407,-556,149
1960:Q1,-28598,-16,0,-148,1083,-2682,-239,-443,-2000,-3026,28,-23682,-155,344,-189
1960:Q2,10580,-5,0,-6,-384,500,-293,-160,953,1123,442,8555,355,-649,294
1960:Q3,-30971,-9,0,478,-413,-1622,178,229,-2029,-1650,-201,-27345,-209,230,-21
1960:Q4,51468,-10,0,-489,-107,4220,173,603,3444,3295,590,42691,1278,-1228,-50
1961:Q1,43760,-6,0,-504,18,-1519,39,622,-2179,-2757,232,47737,559,-500,-59
1961:Q2,-3167,-12,0,-247,137,1191,-93,287,996,-986,-38,-2912,-300,-42,343
1961:Q3,9875,-109,0,505,-381,-1774,-407,-18,-1349,-1802,-587,14170,-148,232,-84
1961:Q4,19640,-6,0,63,540,3795,528,-295,3562,2988,-491,12001,750,-603,-147
1962:Q1,-2874,5,0,-1189,-189,-2925,-27,-334,-2564,-2254,1172,2668,-162,401,-240
1962:Q2,524,-1,0,9,-52,1360,104,-139,1395,188,762,-1892,150,-431,281
1962:Q3,-3004,40,0,869,-836,-2454,-530,35,-1959,-1016,151,1410,-1168,1204,-37
1962:Q4,6512,-6,0,-1146,184,4774,802,175,3797,3165,-974,-635,1150,-1202,52
1963:Q1,1293,-2,0,-648,783,-2533,-66,194,-2661,-2797,862,4760,868,-654,-214
1963:Q2,441,1,0,271,8,1031,-313,85,1259,-727,-34,-967,858,-1256,397
1963:Q3,-1823,8,0,666,-857,-1612,377,-5,-1984,-834,-749,2973,-1418,1430,-13
1963:Q4,8200,28,0,-587,1481,4101,98,-86,4089,4494,-890,-1514,1087,-983,-104
1964:Q1,-4479,18,0,-472,175,-1574,251,406,-2231,-4095,1124,599,-253,294,-41
1964:Q2,923,17,0,-73,-1142,299,-482,-532,1313,-117,321,1252,366,-865,498
1964:Q3,-6788,39,0,1000,-654,-2399,-313,25,-2111,-2210,-651,-215,-1698,1777,-81
1964:Q4,11506,123,0,-1398,2201,3813,389,-837,4261,5202,-373,388,1551,-1253,-300
1965:Q1,-1299,49,0,354,-883,-2652,-163,983,-3472,-2842,759,2641,1276,-966,-312
1965:Q2,850,15,0,466,-603,1487,165,86,1236,-512,540,-1362,820,-1096,275
1965:Q3,-5153,-12,0,72,-393,-2746,321,102,-3168,-2190,-396,2916,-2405,2467,-63
1965:Q4,3399,12,0,-756,277,5789,109,131,5549,4608,-101,-5913,-518,334,184
1966:Q1,-6877,17,0,-37,-424,-2477,-613,126,-1990,-4766,933,952,-1075,1739,-666
1966:Q2,-269,59,0,1058,-490,2486,-58,87,2456,-2130,576,-1564,-264,-142,405
1966:Q3,-7367,89,0,1252,-1968,-3019,-99,46,-2966,-2797,-434,2890,-3379,3182,196
1966:Q4,10479,-8,0,-744,268,5318,757,4,4557,4979,-574,1715,-475,304,170
1967:Q1,-6372,26,0,-1481,1379,-5137,-200,-500,-4437,-5355,793,4424,-1021,1002,17
1967:Q2,1825,110,0,900,52,2041,-536,530,2047,-349,1302,-1268,-964,241,722
1967:Q3,-5936,18,0,1049,-553,-2517,1310,-762,-3065,-1711,-720,678,-2180,2387,-209
1967:Q4,8642,62,0,-492,944,5860,62,513,5285,4953,-745,-2624,684,-268,-418
1968:Q1,-7752,53,0,-1527,-1031,-4420,122,841,-5382,-5016,2133,3064,-1008,1428,-420
1968:Q2,3648,151,0,1876,1396,2408,-584,-281,3272,-766,-984,1442,-1874,1289,586
1968:Q3,-1060,13,0,425,-1688,-3016,822,60,-3898,-806,-406,6344,-1927,1927,-0
1968:Q4,13316,32,0,393,2142,9505,615,1353,7537,3282,-497,-3073,1532,-1511,-21
1969:Q1,-6969,15,0,-892,-1155,-5915,-420,44,-5539,-5628,13,7446,-852,1190,-338
1969:Q2,5573,148,0,3048,150,2722,-554,29,3247,-1071,2770,-1661,-533,-280,813
1969:Q3,725,7,0,-1044,-4242,-2809,1558,22,-4389,-2253,-240,13293,-1987,1992,-5
1969:Q4,5948,49,0,-540,2092,5962,-1522,-1292,8776,5687,-867,-8013,1577,-1320,-257
1970:Q1,-9464,11,0,-643,-405,-7626,-764,3,-6865,-5512,-87,5227,-429,700,-271
1970:Q2,-1223,-62,0,1031,4973,805,-431,5,1230,757,2700,-9651,-1775,1048,727
1970:Q3,-5924,-17,0,495,-3414,-2750,182,1236,-4168,-326,-859,4300,-3352,3428,-76
1970:Q4,9980,-11,0,-1049,800,9933,-16,-72,10020,6308,-1190,-4790,-21,167,-146
1971:Q1,-13222,-23,0,815,1017,-7169,-537,-1261,-5371,-2614,-1091,-958,-3199,3767,-568
1971:Q2,-2389,-7,0,-85,1500,3452,140,159,3153,-194,2429,-6001,-3483,2696,787
1971:Q3,-9356,-13,0,-1421,-3613,-4772,132,-608,-4296,-1392,297,5462,-3904,3815,89
1971:Q4,6759,55,0,-1387,2292,9031,-108,628,8511,7550,-225,-11296,739,-759,20
1972:Q1,-19432,-95,0,-2414,253,-5312,812,24,-6147,-7473,-1852,-1562,-977,1890,-913
1972:Q2,-2212,-18,0,1593,1986,3995,-650,74,4571,-2669,3622,-5940,-4781,4175,606
1972:Q3,-13853,-23,0,-2588,-2269,-4983,476,32,-5491,1405,637,-2735,-3298,3200,98
1972:Q4,-3691,-17,0,-2538,2160,11561,-60,25,11596,7315,61,-23754,1521,-2104,583
1973:Q1,-43442,-19,0,1195,-1783,-8702,444,33,-9179,-10815,-1279,-19975,-2064,3404,-1340
1973:Q2,2358,82,0,-1581,1963,4365,-490,48,4807,-56,3856,-1644,-4626,3613,1013
1973:Q3,-2912,-19,-1500,3952,-3333,-5683,69,83,-5835,-3511,437,7153,-408,-12,420
1973:Q4,6322,-25,0,-2941,-188,9910,227,124,9559,12953,-704,-13094,411,-860,449
1974:Q1,-12992,3,-500,-365,-4018,-9591,183,109,-9882,-10650,1059,12176,-1106,1631,-525
1974:Q2,19232,-14,0,4086,8077,5260,-753,34,5978,-3583,4747,4755,-4095,2746,1349
1974:Q3,940,-42,-500,939,-3428,-6943,664,-31,-7576,2144,1814,5573,1383,-1401,18
1974:Q4,15269,-38,0,-2821,6892,11649,-159,-97,11904,11568,-281,-7487,-4212,4485,-273
1975:Q1,-10978,-34,-443,20,-3464,-10092,-983,-116,-8993,-27885,-1359,36539,-4259,5007,-748
1975:Q2,3935,-23,231,-4002,564,3358,-898,-91,4347,-5527,2824,11364,-4854,3543,1311
1975:Q3,4628,-48,429,3489,926,-6402,-112,-75,-6215,-4390,-436,11589,-530,482,48
1975:Q4,4101,-24,-562,-4221,-1456,14817,2033,-79,12863,26177,-2112,-24222,-4296,4320,-24
1976:Q1,-1492,-37,96,2099,2034,-8402,334,-65,-8670,-25311,-2416,35947,-5502,6280,-778
1976:Q2,-811,184,297,-374,2660,1428,-473,-35,1936,-5113,3078,3792,-6763,5229,1534
1976:Q3,3377,-228,411,1076,5175,-7391,-994,6,-6403,-6031,141,12254,-2030,1955,74
1976:Q4,378,-32,-152,-3590,-2181,14092,275,43,13774,28207,-1330,-27638,-6997,7189,-192
1977:Q1,-6680,-130,388,-1348,6226,-6942,817,55,-7813,-18519,-1682,22989,-7663,8391,-728
1977:Q2,8340,-25,497,1319,-1539,2171,-375,37,2508,-3796,5482,9826,-5595,3912,1683
1977:Q3,-9783,-26,-911,-2947,2338,-5620,218,33,-5871,-12691,244,13822,-3992,4037,-45
1977:Q4,2384,-80,-1106,-3828,-3039,13558,719,34,12805,24507,-1344,-23328,-2956,3107,-151
1978:Q1,-5462,26,-226,4851,12937,-9823,-588,29,-9264,-22727,-1184,11879,-1195,2650,-1455
1978:Q2,20508,-27,1760,-1473,-1835,3548,310,15,3223,-11966,5312,32864,-7674,5956,1718
1978:Q3,-12614,11,376,-795,3254,-6836,-19,-31,-6786,-19967,746,15712,-5115,4966,150
1978:Q4,6198,-36,-437,-2824,-14488,-278,-12621,-55,12398,30260,-2019,6226,-10206,9754,451
1979:Q1,10530,-51,-814,-1296,14097,-7971,1289,-52,-9207,-25826,-1242,40923,-7290,8408,-1118
1979:Q2,5575,-44,-1051,-513,84,1242,-1416,-29,2687,-6913,7903,17567,-12700,10579,2121
1979:Q3,-2762,-20,5598,-2769,-5060,-6084,422,-11,-6494,-12522,2094,27789,-11789,11633,156
1979:Q4,6542,-35,-823,814,-20487,14078,1024,12,13042,33025,-1312,-4569,-14148,14379,-230
1980:Q1,18216,-45,1779,-293,12646,-9813,-1182,16,-8647,-28881,-1716,62141,-17601,18737,-1136
1980:Q2,9539,-31,1821,-3669,-2485,2855,-498,5,3347,-10050,11099,25431,-15432,13378,2054
1980:Q3,-24187,-54,-4801,-2383,-1437,-8287,-1150,7,-7144,-9821,1962,4910,-4276,4517,-241
1980:Q4,-96,-47,1493,-1651,-10695,16451,1738,11,14702,25740,-3944,-19465,-7979,7640,338
1981:Q1,5646,-62,2517,-683,28052,-9282,-3923,11,-5370,-20052,-3045,23199,-14999,17098,-2098
1981:Q2,-17220,-55,-4740,1178,-2150,9528,9320,6,202,-9471,11723,-11949,-11284,8798,2486
1981:Q3,-23460,-47,-6919,-1509,-6502,-10845,-3724,3,-7124,-17381,2733,21079,-4069,3590,479
1981:Q4,-22102,-41,-2384,-1415,211,14451,-1917,2,16366,33660,-3842,-54219,-8523,8222,301
1982:Q1,23886,-51,1635,187,15761,-5852,-324,3,-5531,-19380,339,31929,-683,1761,-1079
1982:Q2,8767,-53,-4794,3330,-10713,923,1462,6,-545,-2440,7500,18768,-3753,641,3113
1982:Q3,-16679,-64,123,1267,-2514,-5445,-773,-11,-4661,-6618,519,-5801,1854,-1749,-105
1982:Q4,-789,-36,-9,-1554,7580,8895,-16,29,8882,40538,-741,-48203,-7259,7996,-737
1983:Q1,-14847,-58,3256,-9142,-11749,-4470,235,27,-4732,-29032,52,43917,-7622,9475,-1852
1983:Q2,-25061,-46,-1723,4767,-7373,53,157,16,-120,-16733,400,11119,-15524,12577,2947
1983:Q3,-21373,-39,-264,5423,2052,-3094,-250,16,-2860,-32041,1408,20589,-15407,15377,30
1983:Q4,10851,-78,-1447,-16823,5866,11719,1441,3,10275,31047,-5308,5427,-19553,19423,130
1984:Q1,21833,17,-538,9428,762,-6105,-445,9,-5669,-28245,-5892,67069,-14664,16363,-1699
1984:Q2,-23704,-69,-1097,1869,-8706,2701,-334,14,3021,-11946,6420,-150,-12726,9023,3703
1984:Q3,-24911,-41,1783,4505,10110,-5567,1033,8,-6607,-23458,4077,-10978,-5342,5453,-112
1984:Q4,-51532,-40,-636,3370,-14939,7581,212,7,7362,34044,436,-71324,-10024,10579,-556
1985:Q1,-3875,107,1104,-864,-17629,-2828,444,7,-3279,-33468,-3299,64143,-11142,12811,-1670
1985:Q2,4512,-177,-1137,-816,-12256,883,246,8,629,-2316,7696,28136,-15501,10635,4866
1985:Q3,48803,-61,7238,-1292,-3460,-2791,-172,8,-2627,-10361,1593,67114,-9178,9762,-584
1985:Q4,-28507,-116,-852,-5061,2422,6837,813,8,6016,51753,-2637,-61174,-19679,20867,-1188
1986:Q1,-26398,56,7248,-10389,16228,-8002,-1191,8,-6819,-19060,-5095,6857,-14242,15180,-938
1986:Q2,-41389,-30,964,-4002,-2438,1494,743,7,744,-20772,9483,-835,-25253,19437,5816
1986:Q3,-33080,-32,7876,3259,-8520,-8797,-55,7,-8749,-9277,2073,-1590,-18073,19041,-968
1986:Q4,-92564,-20,4501,-4064,298,5778,-110,6,5882,55395,-601,-130121,-23730,26188,-2458
1987:Q1,-41066,-40,-4456,6999,-1483,-9064,-545,6,-8525,-24570,-1543,9188,-16097,17732,-1635
1987:Q2,-56784,-47,8211,-3492,-14685,4085,1456,5,2624,-19426,7507,-23400,-15536,9577,5959
1987:Q3,-52014,-3,-599,9191,2870,-6013,337,5,-6354,-8974,4172,-54086,1428,-144,-1284
1987:Q4,-4875,-51,11616,-9520,-7872,11409,-1265,4,12669,41941,-713,-36759,-14926,16441,-1515
1988:Q1,-17055,-33,-5851,-1184,7269,-3537,1450,0,-4986,-27373,-6409,18398,1665,558,-2222
1988:Q2,-26728,-62,-1093,2851,-1784,445,-1702,0,2147,-30319,11316,-2197,-5884,-1246,7130
1988:Q3,-32736,-16,616,1241,-5129,-4852,-626,0,-4226,-16546,35,-15013,6928,-5918,-1011
1988:Q4,-71405,0,3728,-3401,-6840,10412,2510,0,7902,38735,-997,-105836,-7206,9429,-2223
1989:Q1,16862,-97,12306,6045,8650,-7579,-567,0,-7012,-24993,-8384,36554,-5639,7194,-1555
1989:Q2,5351,-37,14908,-7934,2237,7017,2731,0,4286,-19990,15077,16077,-22005,14247,7758
1989:Q3,30524,-62,4067,510,-2538,-1403,6039,0,-7442,-6866,-165,49228,-12247,13835,-1588
1989:Q4,9690,-65,11232,-5947,-7526,8183,200,0,7983,45157,-6026,-5674,-29644,32552,-2908
1990:Q1,-91222,-64,-7373,4052,-13245,-935,2106,0,-3041,-23972,-3504,-18678,-27504,29961,-2458
1990:Q2,13402,-64,12466,356,1425,4766,-97,0,4863,-30077,12023,41686,-29179,21060,8119
1990:Q3,-62286,-56,11951,-1922,-22304,-2394,1787,0,-4181,-16069,4170,-18719,-16943,18178,-1235
1990:Q4,-32470,362,8664,-6219,-3772,10367,-451,0,10817,61108,-2827,-76456,-23697,26156,-2460
1991:Q1,-17251,-470,-7942,6563,-27187,-10071,-7814,0,-2257,-16328,-12132,62971,-12655,15171,-2516
1991:Q2,-42575,-63,-5230,4080,6005,7067,3798,0,3269,-14100,5312,-16381,-29265,19968,9298
1991:Q3,47496,-37,25,5364,882,4097,7938,0,-3841,2178,7664,43077,-15755,17374,-1620
1991:Q4,58478,-2,-14348,-3821,-3214,-9660,-17016,0,7356,70947,-4180,59842,-37086,40198,-3112
1992:Q1,47838,-103,-10174,-316,-6016,-3244,-1765,0,-1479,-35282,-7895,127360,-16491,18624,-2133
1992:Q2,40864,-46,9200,-1952,4907,-88,-3269,0,3181,-19440,14776,61027,-27521,17698,9824
1992:Q3,-15563,-38,839,4356,21018,-8424,932,0,-9355,601,5957,-12040,-27833,29952,-2120
1992:Q4,17292,-26,2208,-9930,-15745,13990,4761,0,9229,72385,-3220,3435,-45805,49239,-3434
1993:Q1,-56230,-54,-4345,6773,50128,-9969,-4682,0,-5287,-48568,-6765,-4887,-38544,40042,-1498
1993:Q2,-4770,-42,3835,459,-12907,5023,168,0,4855,-23697,17669,47640,-42751,32283,10468
1993:Q3,-51147,-55,-8609,-6385,27426,-9517,-1642,0,-7875,-12928,10313,-17107,-34285,36550,-2265
1993:Q4,-39169,-51,3499,3713,-30169,11711,4674,0,7037,88002,-5072,-68737,-42066,46550,-4485
1994:Q1,-157623,-59,-4021,-4073,8494,-11540,-7055,0,-4485,-41772,-7527,-56808,-40317,42540,-2223
1994:Q2,-22511,-51,14551,10828,20804,1945,-547,0,2492,-21157,18845,-27518,-40758,29860,10898
1994:Q3,-43178,-59,15236,368,7760,-7587,564,0,-8150,-3244,3534,-32898,-26288,28542,-2254
1994:Q4,-71540,-44,11589,336,-7537,9586,2197,0,7389,67871,-8256,-110709,-34375,38308,-3933
1995:Q1,-28468,-48,8080,2313,29116,-8139,-3425,0,-4714,-33500,-9600,16383,-33074,34558,-1484
1995:Q2,-56405,-94,25296,-1623,-23312,-2469,-4870,0,2401,-10040,21805,-34825,-31143,19517,11627
1995:Q3,-11181,-73,-16660,3263,19626,-8978,-637,0,-8341,-16326,7713,9241,-8987,11566,-2578
1995:Q4,-1497,-116,5522,-11463,-26988,9760,2938,0,6822,56967,1213,-14731,-21661,26523,-4863
1996:Q1,-88245,-267,17377,8567,-15317,-7100,-2503,0,-4597,-48095,-12757,-20308,-10345,12816,-2471
1996:Q2,-2247,-296,9306,-4201,3032,-702,-2972,0,2270,-19565,27071,3755,-20646,8198,12448
1996:Q3,22916,362,20314,-2992,1444,-3232,5457,0,-8689,-38883,4956,49260,-8313,10817,-2504
1996:Q4,-15888,-223,8337,1859,-17987,7467,478,0,6989,78134,-1780,-71184,-20511,25196,-4685
1997:Q1,10159,-82,50650,9176,-15505,-9755,-5182,0,-4573,-55803,-6144,37233,388,1470,-1858
1997:Q2,-31826,-78,-1942,-2973,27139,4815,2484,0,2331,-39473,27455,-28674,-18094,5132,12962
1997:Q3,14225,185,19441,-14243,5742,-8821,-483,0,-8338,-880,9621,-2983,6164,-3113,-3051
1997:Q4,40239,-142,38502,-13009,38556,7182,496,0,6686,64037,-620,-92544,-1723,6763,-5039
1998:Q1,56969,-41,-14267,6417,7075,-6722,-1935,0,-4787,-27661,-8142,87174,13135,-11511,-1624
1998:Q2,-27238,-66,29245,4457,-23119,-2750,-5463,0,2713,-37145,24652,-36472,13960,-27453,13494
1998:Q3,-69729,220,26258,-556,51799,-4915,3537,0,-8452,-24662,7989,-158550,32686,-29342,-3344
1998:Q4,-27767,-280,-46442,-19040,-37015,13856,6424,0,7432,64161,2926,559,-6492,11915,-5423
1999:Q1,148981,-368,13844,14868,45689,-8376,-4104,0,-4273,-41681,-20207,117342,27870,-24171,-3699
1999:Q2,154356,151,18281,-20,-1912,-1347,-4540,0,3193,-16013,23560,130221,1435,-16142,14707
1999:Q3,87007,47,-1170,-3708,585,-6692,917,0,-7608,-321,10846,76758,10662,-8159,-2503
1999:Q4,146409,-557,-6916,-21281,-108765,8189,302,0,7888,72225,2380,215078,-13944,19156,-5212
2000:Q1,191250,-450,54790,11232,141687,-326,3775,0,-4101,-36180,-10684,-10726,41908,-38325,-3583
2000:Q2,-57845,-178,11773,4062,19178,4835,1577,0,3258,-27741,27777,-99315,1764,-18062,16298
2000:Q3,-34141,225,-9271,-5915,42770,-9443,-1922,0,-7521,-7773,20027,-108502,43740,-40230,-3511
2000:Q4,-362065,-833,26880,8916,-49178,13589,5544,0,8045,69070,10772,-446077,4797,854,-5651
2001:Q1,-68346,-230,18693,-5524,-17677,-32836,-28663,0,-4174,-53395,-7748,-21984,52356,-47935,-4421
2001:Q2,-105863,-73,-39630,-3590,29686,361,-2762,0,3123,-31577,17668,-101623,22915,-38449,15533
2001:Q3,-191860,271,5626,8089,14339,-8662,-1167,0,-7495,5223,29102,-289332,43483,-41681,-1802
2001:Q4,-6742,-60,-10190,-1937,-47362,641,-7454,0,8095,80536,-17579,-5005,-5784,11338,-5553
2002:Q1,152859,-379,-8613,12198,34850,-1346,2960,0,-4305,-34685,6945,72550,71340,-74428,3088
2002:Q2,116963,-215,8947,-9672,95859,3224,53,0,3171,-21601,29598,-11017,21841,-34608,12767
2002:Q3,-54311,284,24589,-6993,-54527,-14597,-6983,0,-7614,57147,6731,-82660,15715,-4278,-11437
2002:Q4,70743,-282,-4867,1395,24827,10450,2414,0,8036,148806,-19391,-59216,-30979,31642,-663
2003:Q1,169885,-60,42718,-15761,38346,-510,3602,0,-4112,-113506,-25635,181685,62607,-65751,3144
2003:Q2,337720,134,37131,-10118,76092,2782,-556,0,3338,10024,23318,189091,9266,-23068,13803
2003:Q3,85121,-185,-39872,19421,3816,-16159,-8741,0,-7418,34665,-10929,89719,4645,7135,-11780
2003:Q4,-97852,-196,25915,-450,-16195,4932,-3211,0,8142,97945,-33663,-119891,-56250,57491,-1241
2004:Q1,26910,-97,21399,-514,-33693,9275,19058,0,-9783,-57778,-10568,50623,48263,-51160,2897
2004:Q2,39182,11,53949,19252,-54994,-257,-527,0,270,-53634,3611,64742,6502,-19405,12903
2004:Q3,69487,-66,14717,-1099,104029,2734,2949,0,-215,9238,19315,-98302,18922,-4991,-13931
2004:Q4,-11524,-125,39806,3575,13166,6276,6433,0,-157,94995,-14629,-104610,-49977,47454,2524
2005:Q1,146203,88,68907,2702,61432,-5188,-5339,0,151,-63527,-38712,50792,69708,-69667,-42
2005:Q2,-68441,200,-59249,-10594,127943,-1649,-2111,0,462,-38140,24859,-120914,9103,-24193,15089
2005:Q3,-139918,415,17793,3616,-27330,1421,1297,0,124,1241,1141,-128001,-10214,19146,-8932
2005:Q4,-428163,-30,-43086,5162,-51519,242,-442,0,684,47291,-30447,-339513,-16263,17713,-1450
2006:Q1,109944,-1195,75362,-5044,73334,-1532,-617,0,-915,-63451,-20018,-52709,105197,-111797,6601
2006:Q2,-83304,78,96316,9801,95193,-328,-804,0,476,5086,38148,-353489,25891,-41189,15298
2006:Q3,84038,156,31152,18350,120342,1033,1516,0,-483,37687,25540,-217093,66872,-51773,-15099
2006:Q4,-172794,-123,-16155,-23755,13667,-2211,-3050,0,839,160409,-15666,-296195,7235,-5032,-2202
2007:Q1,-33057,-63,43282,-1449,50774,-353,985,0,-1337,-58628,-53822,-108285,95486,-102597,7112
2007:Q2,209695,-481,118271,-3875,6969,-1521,-1922,0,401,-30885,25105,81794,14318,-29672,15355
2007:Q3,-237221,-469,45592,9831,-46903,144,339,0,-195,-28173,4964,-207484,-14723,30793,-16069
2007:Q4,-593002,-143,-6989,1089,-229119,2754,1763,0,991,61720,-4372,-305851,-112091,113773,-1681
2008:Q1,34266,-225,-61079,-36218,139900,726,932,0,-206,-53250,-18393,85917,-23111,15706,7405
2008:Q2,-81006,-115,-117745,8393,-176707,-3339,-3006,0,-333,-16658,20124,265385,-60344,44705,15640
2008:Q3,9523,-295,-76962,-14181,30307,87,1062,0,-975,20032,12132,54172,-15769,32021,-16253
2008:Q4,-213163,-190,-82045,17670,-242458,-3010,-2240,0,-770,66697,-47483,174460,-96805,98768,-1963
2009:Q1,91900,-3588,-3897,25506,-23141,-82,477,0,-558,-34645,-25598,144528,12816,-17380,4564
2009:Q2,324168,-167,18121,29558,249777,-159,202,0,-360,-15445,8680,83810,-50007,35258,14749
