1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q1,2758,2736,7466,-526,338,0,6500,485,-4059,761,4992,4321,-27,167,-1182,-545,0,83,2705,-47,0,0,-47,6411,4282,0,0,181,0,299,3802,0,3978,-176,2129,1735,394,0,-1033,0,3978,0,0,0
1998:Q2,2599,2819,553,-115,323,0,277,462,-5160,-94,2676,2393,-43,596,-2878,1543,0,83,804,-37,0,0,-37,-267,1255,0,0,245,0,299,711,0,1143,-432,-1522,-1660,138,0,-1040,0,1143,0,0,0
1998:Q3,2303,2869,6989,207,1763,0,1595,2516,-4736,-281,2145,1951,-257,-95,1729,1320,0,82,678,-33,0,0,-33,1307,3444,0,0,235,0,299,2910,0,3376,-466,-2137,-2242,105,0,-6248,0,3376,0,0,0
1998:Q4,2175,2966,-8546,213,184,0,2586,266,-5693,-1538,6651,2900,51,296,-3022,3611,0,82,-2462,-10085,0,0,-10085,-7202,-4648,0,0,14,0,299,-4961,0,-4236,-725,-2554,-2556,2,0,553,0,-4236,0,0,0
1999:Q1,4053,3105,582,-795,97,0,-4384,136,-3086,1009,-3875,1432,-48,1112,802,1457,0,15,2239,87,0,0,87,-142,1458,0,0,888,0,199,371,0,468,-97,-1600,-1689,89,0,225,0,468,0,0,0
1999:Q2,3911,3225,-1128,442,-3593,0,287,-5132,-3151,2636,625,5309,27,564,-1278,450,0,15,1860,98,0,0,98,8200,6819,0,0,224,0,199,6396,0,2947,3449,1381,-2254,3635,0,10015,0,2947,0,0,0
1999:Q3,1394,3331,384,-516,664,0,-2128,948,-2656,1161,-3385,1804,52,530,-1340,2235,0,15,766,106,0,0,106,13542,10300,0,0,1260,0,199,8841,0,4021,4820,3242,-1764,5006,0,11221,0,4021,0,0,0
1999:Q4,2781,3363,-13640,1109,-2214,1,-6087,-3162,-3013,1058,-2466,1496,-70,-705,97,1448,0,15,-2469,-4765,0,0,-4765,-13116,-11845,0,0,-597,0,199,-11447,0,-4917,-6530,-1271,-2072,801,0,-58,0,-4917,0,0,0
2000:Q1,1528,3437,11314,-1099,2297,4,1527,3275,-1233,2081,-3996,1400,632,-352,-2189,1082,0,116,5053,4243,6542,0,-2299,7434,9735,0,0,191,3299,14,6231,0,8471,-2240,-2301,-3286,985,0,-5788,0,4447,3549,2993,475
2000:Q2,1053,3552,3987,-399,180,3,-2805,253,-2160,1985,-4107,1224,-696,-1,-2805,2432,0,116,3706,4256,6544,0,-2288,14032,12917,0,0,238,3304,14,9361,0,11099,-1738,1115,-378,1493,0,7546,0,7072,3551,2993,476
