1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,18261,1480,2692,12784,10108,560,1832,284,1305,18261,17517,13213,-737,4085,1052,-96,772,56,0,0,0,0,-184,0,900,0,-28,18261,2557,1608,805,-200,252,92,15704,0,9348,444,0,220,0,2812,44,420,64,0,308,32,0,1032,0,980,0,0,0
1954:Q4,26321,1420,5940,15380,12168,852,2124,236,3581,26321,22493,17913,1864,1220,1552,-56,2780,712,0,0,0,0,304,0,1764,0,1048,26321,4457,2764,-223,1148,684,84,21864,0,13332,-56,8,220,-8,3744,56,500,64,0,1084,32,0,1360,0,1528,0,0,0
1955:Q1,26141,3132,904,15952,12772,468,1808,904,6153,26141,27285,21137,2380,2688,1048,32,-1080,-660,0,0,0,0,800,0,-1220,0,-64,26141,4969,3084,2053,-1192,956,68,21172,0,14600,8,28,352,4,3412,68,252,68,0,-468,32,0,1620,0,1196,0,0,0
1955:Q2,38885,10568,3032,17116,13356,828,1992,940,8169,38885,35173,23709,5439,5505,556,-36,3224,1260,0,0,0,0,1076,0,888,0,488,38885,1749,548,-295,472,968,56,37136,0,25736,40,44,368,8,3148,76,480,68,0,1472,36,0,5412,0,248,0,0,0
1955:Q3,34389,6464,4244,16104,12484,760,2224,636,7577,34389,32369,20785,5197,4843,1532,12,1892,1032,0,0,0,64,1380,0,-584,0,128,34389,2489,596,1517,-24,348,52,31900,0,19880,204,44,388,12,3204,88,1556,72,0,1468,40,0,4544,0,400,0,0,0
1955:Q4,35137,10448,2844,15800,11708,1244,2224,624,6045,35137,31661,18809,9495,2645,672,40,3320,568,0,0,0,200,452,0,2100,0,156,35137,2673,1548,-483,1168,380,60,32464,0,22520,-520,36,340,12,4764,100,468,68,0,1084,44,0,3648,0,-100,0,0,0
1956:Q1,25573,4188,892,15096,11036,668,2316,1076,5397,25573,28353,16277,8654,2378,1016,28,-3076,-1116,0,0,0,-160,60,0,-1860,0,296,25573,5341,3704,2845,-1096,-176,64,20232,0,13556,284,24,372,16,4028,112,344,72,0,-628,44,0,2044,0,-36,0,0,0
1956:Q2,28093,8236,640,15772,11388,680,2512,1192,3445,28093,26873,15525,6994,4394,-48,8,520,140,0,0,0,272,372,0,-264,0,700,28093,729,796,-1503,404,976,56,27364,0,21176,232,16,372,12,3856,128,260,64,0,824,44,0,368,0,12,0,0,0
1956:Q3,22309,2128,3096,14132,10404,580,2468,680,2953,22309,22865,12369,3906,4110,2340,140,-564,-124,0,0,0,16,704,0,-1160,0,8,22309,1785,332,1101,160,116,76,20524,0,11536,672,12,388,8,3424,136,2668,76,0,796,20,0,808,0,-20,0,0,0
1956:Q4,25021,5404,3392,13496,10408,368,2416,304,2729,25021,21985,15177,5461,1483,-232,96,2376,344,0,0,0,1052,48,0,932,0,660,25021,3397,1132,-707,1156,1692,124,21624,0,14852,-376,20,436,0,3784,136,180,96,0,2040,24,0,252,0,180,0,0,0
1957:Q1,14683,164,-1560,12884,9936,84,2072,792,3195,14683,19451,14391,5431,1169,-1768,228,-5192,-1068,0,0,0,-600,-844,0,-2680,0,424,14683,1995,732,2271,-1252,80,164,12688,0,6452,172,20,432,0,3064,132,364,120,0,716,32,0,1692,0,-508,0,0,0
1957:Q2,22451,8956,-784,11252,8180,388,1892,792,3027,22451,21715,14491,6221,2795,-1800,8,520,472,0,0,0,-832,-352,0,1232,0,216,22451,-1557,-300,-1129,484,-820,208,24008,0,17424,156,20,476,0,2340,128,48,140,0,1576,36,0,884,0,780,0,0,0
1957:Q3,16775,-572,2040,12336,8344,788,2736,468,2971,16775,15467,11163,1851,3177,-988,264,916,160,0,0,0,460,8,0,288,0,392,16775,967,-584,523,-104,904,228,15808,0,8160,476,20,508,0,2408,132,772,156,0,1328,16,0,2248,0,-416,0,0,0
1957:Q4,15887,184,2044,12304,8056,928,3124,196,1355,15887,11531,8651,865,2667,-756,104,2000,584,0,0,0,-148,-112,0,1676,0,2356,15887,2535,588,-1501,1036,2204,208,13352,0,8924,-564,20,384,0,2576,144,556,164,0,1908,12,0,432,0,-1204,0,0,0
1958:Q1,7997,-5748,2540,12468,8092,1656,2212,508,-1263,7997,9589,6453,-571,1683,1820,204,-2268,-2276,0,0,0,-296,456,0,-152,0,676,7997,4589,3464,1417,-1600,1100,208,3408,0,-480,600,40,164,0,2232,144,1036,176,0,-1740,8,0,232,0,996,0,0,0
1958:Q2,19097,4860,1776,13568,7944,1968,2736,920,-1107,19097,12109,8481,-399,3935,-56,148,6496,932,0,0,0,-28,456,0,5136,0,492,19097,2349,2492,-1211,288,576,204,16748,0,14380,104,52,256,0,1696,144,68,188,0,-76,8,0,-1800,0,1728,0,0,0
1958:Q3,14793,-5568,3520,16060,10404,2012,2832,812,781,14793,19953,12709,843,4593,1572,236,-6508,324,0,0,0,76,-1144,0,-5764,0,1348,14793,4329,1324,1049,136,1608,212,10464,0,5768,432,52,264,0,1904,160,1860,200,0,672,24,0,-1144,0,272,0,0,0
1958:Q4,38817,10920,5584,19632,12772,2180,4072,608,2681,38817,31125,19533,5961,4987,512,132,6400,1152,0,0,0,164,2060,0,3024,0,1292,38817,5853,2552,-595,1180,2492,224,32964,0,25012,-856,28,384,-4,2748,188,772,220,0,2056,28,0,1524,0,864,0,0,0
1959:Q1,26455,-1312,2764,18444,12972,2268,2212,992,6559,26455,27983,19279,2710,5654,240,100,-1324,-844,0,0,0,100,2056,0,-2636,0,-204,26455,7607,2624,2955,-1068,2852,244,18848,0,10868,404,8,536,0,1936,216,988,224,0,228,20,0,3284,0,136,0,0,0
1959:Q2,43663,13292,3756,19836,12884,2188,3216,1548,6779,43663,38463,22223,9680,7812,-1504,252,3992,1800,0,0,0,-172,2172,0,192,0,1208,43663,3263,-236,-477,532,3176,268,40400,0,30656,-20,-8,624,-8,1928,240,20,220,0,2988,24,0,3348,0,388,0,0,0
1959:Q3,38971,9008,2096,19728,13696,2132,3084,816,8139,38971,34855,23455,4379,6709,140,172,3408,1032,0,0,0,-28,2024,0,380,0,708,38971,743,-1468,203,-100,1844,264,38228,0,25932,500,-12,824,-12,2684,260,1908,256,0,2408,4,0,4092,0,-616,0,0,0
1959:Q4,37803,12656,-3200,18932,12588,1952,3780,612,9415,37803,32935,23271,6614,4098,-1264,216,5128,1356,0,0,0,416,1136,0,2220,0,-260,37803,-1017,-5784,2247,1924,352,244,38820,0,27776,-524,-12,672,-36,3712,272,620,324,0,2832,4,0,3076,0,104,0,0,0
1960:Q1,21628,-160,1128,17232,11872,1996,2684,680,3428,21628,28376,14528,8643,4413,640,152,-7168,-2456,0,0,0,372,-268,0,-4816,0,420,21628,-704,1260,-736,-2244,808,208,22332,0,11992,592,4,808,-4,3504,296,924,396,0,-780,4,0,5848,0,-1252,0,0,0
1960:Q2,35944,8556,4936,16336,10096,2012,3076,1152,6116,35944,33076,20644,6221,5363,456,392,1644,1000,0,0,0,-928,232,0,1340,0,1224,35944,2852,840,32,644,1164,172,33092,0,20980,144,8,764,0,3172,328,972,472,0,2132,8,0,3924,0,188,0,0,0
1960:Q3,26912,-632,5540,18072,11704,2364,3452,552,3932,26912,25212,17116,1393,5091,1296,316,656,-136,0,0,0,224,-2320,0,2888,0,1044,26912,3496,3324,-556,-392,944,176,23416,0,13060,832,12,640,8,2816,328,1056,496,0,1080,-8,0,2784,0,312,0,0,0
1960:Q4,33088,4500,8440,17484,11444,1972,3504,564,2664,33088,27528,17892,4028,4236,1412,-40,3612,980,0,0,0,-76,140,0,2568,0,1948,33088,7448,5776,-708,1100,1068,212,25640,0,17112,-172,8,488,8,3256,296,752,468,0,1776,-12,0,1404,0,256,0,0,0
1961:Q1,16877,-3900,1660,17432,11124,2552,2856,900,1685,16877,26101,14269,1836,7160,2636,200,-11296,-2016,0,0,0,-96,-5784,0,-3400,0,2072,16877,3601,3576,-271,-2432,2484,244,13276,0,8248,2168,20,388,16,2768,272,900,456,0,-1936,0,0,-1516,0,1492,0,0,0
1961:Q2,27617,2712,7032,18392,10612,2076,4208,1496,-519,27617,24221,17509,-584,5408,1436,452,4272,1568,0,0,0,-52,-392,0,3148,0,-876,27617,5473,5476,-351,676,-604,276,22144,0,13880,536,20,384,12,3080,244,1128,464,0,788,-4,0,-228,0,1840,0,0,0
1961:Q3,33825,5360,4876,21432,13196,3388,3648,1200,2157,33825,29105,15969,2512,8116,2356,152,2312,1020,0,0,0,36,1200,0,56,0,2408,33825,4741,740,633,140,2944,284,29084,0,21220,-288,28,408,4,2204,244,992,452,0,1928,176,0,1880,0,-164,0,0,0
1961:Q4,51321,12652,8260,24984,15664,3328,5272,720,5425,51321,38873,24413,6932,6092,1336,100,9828,2152,0,0,0,380,3604,0,3692,0,2620,51321,6721,3304,1,1328,1824,264,44600,0,30616,-592,40,460,-8,3684,276,644,412,0,3664,184,0,4092,0,1128,0,0,0
1962:Q1,21315,-1408,-388,19560,12072,2384,3884,1220,3551,21315,28699,16327,3027,6749,2256,340,-9620,-2044,0,0,0,-240,-4472,0,-2864,0,2236,21315,6387,3060,1691,-1412,2788,260,14928,0,11968,-204,60,468,-4,2072,296,1004,376,0,-864,88,0,1044,0,-1376,0,0,0
