1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,428,0,0,0,0,0,0,142,142,142,0,0,0,0,0,0,0,286,221,65,0,0,0,428,0,0,0,0,0,0,0,0,0,0,428,221,221,0,207,0,65,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-286,-79,-207,286,0
1954:Q3,434,0,0,0,0,0,0,148,148,148,0,0,0,0,0,0,0,286,223,63,0,0,0,434,0,0,0,0,0,0,0,0,0,0,434,223,223,0,211,0,63,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-286,-75,-211,286,0
1954:Q4,440,0,0,0,0,0,0,147,147,147,0,0,0,0,0,0,0,293,230,63,0,0,0,440,0,0,0,0,0,0,0,0,0,0,440,230,230,0,210,0,63,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-293,-83,-210,293,0
1955:Q1,481,0,0,0,0,0,0,170,170,168,0,0,2,0,0,0,0,311,246,65,0,0,0,481,2,0,0,0,2,0,2,0,0,0,479,246,246,0,233,0,65,168,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,-309,-76,-233,311,0
1955:Q2,458,0,0,0,0,0,0,179,179,177,0,0,2,0,0,0,0,279,212,67,0,0,0,458,2,0,0,0,2,0,2,0,0,0,456,212,212,0,244,0,67,177,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,-277,-33,-244,279,0
1955:Q3,500,0,0,0,0,0,0,189,189,187,0,0,2,0,0,0,0,311,235,76,0,0,0,500,2,0,0,0,2,0,2,0,0,0,498,235,235,0,263,0,76,187,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,-309,-46,-263,311,0
1955:Q4,535,0,0,0,0,0,0,183,183,181,0,0,2,0,0,0,0,352,275,77,0,0,0,535,2,0,0,0,2,0,2,0,0,0,533,275,275,0,258,0,77,181,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,-350,-92,-258,352,0
1956:Q1,557,0,0,0,0,0,0,189,189,185,0,0,5,0,0,0,0,368,286,82,0,0,0,557,5,0,0,0,5,0,5,0,0,0,552,286,286,0,266,0,82,185,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,-5,0,-363,-97,-266,368,0
1956:Q2,628,0,0,0,0,0,0,197,197,193,0,0,5,0,0,0,0,431,347,84,0,0,0,628,5,0,0,0,5,0,5,0,0,0,623,347,347,0,276,0,84,193,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,-5,0,-426,-150,-276,431,0
1956:Q3,616,0,0,0,0,0,0,211,211,207,0,0,5,0,0,0,0,405,320,85,0,0,0,616,5,0,0,0,5,0,5,0,0,0,611,320,320,0,291,0,85,207,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,-5,0,-400,-109,-291,405,0
1956:Q4,613,0,0,0,0,0,0,212,212,208,0,0,5,0,0,0,0,401,315,86,0,0,0,613,5,0,0,0,5,0,5,0,0,0,608,315,315,0,293,0,86,208,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,-5,0,-396,-103,-293,401,0
1957:Q1,739,0,0,0,0,0,0,326,326,320,0,0,6,0,0,0,0,413,325,88,0,0,0,739,6,0,0,0,6,0,6,0,0,0,733,325,325,0,408,0,88,320,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,-6,0,-407,1,-408,413,0
1957:Q2,787,0,0,0,0,0,0,309,309,303,0,0,6,0,0,0,0,478,389,89,0,0,0,787,6,0,0,0,6,0,6,0,0,0,781,389,389,0,392,0,89,303,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,-6,0,-472,-80,-392,478,0
1957:Q3,800,0,0,0,0,0,0,330,330,324,0,0,6,0,0,0,0,470,380,90,0,0,0,800,6,0,0,0,6,0,6,0,0,0,794,380,380,0,414,0,90,324,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,-6,0,-464,-50,-414,470,0
1957:Q4,774,0,0,0,0,0,0,347,347,341,0,0,6,0,0,0,0,427,336,91,0,0,0,774,6,0,0,0,6,0,6,0,0,0,768,336,336,0,432,0,91,341,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,-6,0,-421,11,-432,427,0
1958:Q1,939,0,0,0,0,0,0,501,501,494,0,0,7,0,0,0,0,438,346,92,0,0,0,939,7,0,0,0,7,0,7,0,0,0,932,346,346,0,586,0,92,494,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,-7,0,-431,155,-586,438,0
1958:Q2,998,0,0,0,0,0,0,575,575,568,0,0,7,0,0,0,0,423,331,92,0,0,0,998,7,0,0,0,7,0,7,0,0,0,991,331,331,0,660,0,92,568,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,-7,0,-416,244,-660,423,0
1958:Q3,968,0,0,0,0,0,0,555,555,548,0,0,7,0,0,0,0,413,321,92,0,0,0,968,7,0,0,0,7,0,7,0,0,0,961,321,321,0,640,0,92,548,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,-7,0,-406,234,-640,413,0
1958:Q4,1122,0,0,0,0,0,0,701,701,694,0,0,7,0,0,0,0,421,331,90,0,0,0,1122,7,0,0,0,7,0,7,0,0,0,1115,331,331,0,784,0,90,694,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,-7,0,-414,370,-784,421,0
1959:Q1,1224,0,0,0,0,0,0,801,801,790,0,0,11,0,0,0,0,423,327,96,0,0,0,1224,11,0,0,0,11,0,11,0,0,0,1213,327,327,0,886,0,96,790,0,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0,-11,0,-412,474,-886,423,0
1959:Q2,1069,0,0,0,0,0,0,636,636,626,0,0,10,0,0,0,0,433,335,98,0,0,0,1069,10,0,0,0,10,0,10,0,0,0,1059,335,335,0,724,0,98,626,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,-10,0,-423,301,-724,433,0
1959:Q3,1405,0,0,0,0,0,0,934,934,919,0,0,15,0,0,0,0,471,369,102,0,0,0,1405,15,0,0,0,15,0,15,0,0,0,1390,369,369,0,1021,0,102,919,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,-15,0,-456,565,-1021,471,0
1959:Q4,1230,0,0,0,0,0,0,751,751,738,0,0,13,0,0,0,0,479,373,106,0,0,0,1230,13,0,0,0,13,0,13,0,0,0,1217,373,373,0,844,0,106,738,0,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,0,-13,0,-466,378,-844,479,0
1960:Q1,1104,0,0,0,0,0,0,601,601,580,0,0,21,0,0,0,0,503,391,112,0,0,0,1104,21,0,0,0,21,0,21,0,0,0,1083,391,391,0,692,0,112,580,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,-21,0,-482,210,-692,503,0
1960:Q2,1241,0,0,0,0,0,0,679,679,654,0,0,25,0,0,0,0,562,444,118,0,0,0,1241,25,0,0,0,25,0,25,0,0,0,1216,444,444,0,772,0,118,654,0,0,0,0,0,0,0,0,-25,0,0,0,0,0,0,0,0,0,-25,0,-537,235,-772,562,0
1960:Q3,1244,0,0,0,0,0,0,708,708,684,0,0,24,0,0,0,0,536,412,124,0,0,0,1244,24,0,0,0,24,0,24,0,0,0,1220,412,412,0,808,0,124,684,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0,0,0,0,-24,0,-512,296,-808,536,0
1960:Q4,1270,0,0,0,0,0,0,628,628,605,0,0,23,0,0,0,0,642,512,130,0,0,0,1270,23,0,0,0,23,0,23,0,0,0,1247,512,512,0,735,0,130,605,0,0,0,0,0,0,0,0,-23,0,0,0,0,0,0,0,0,0,-23,0,-619,116,-735,642,0
1961:Q1,1403,0,0,0,0,0,0,765,765,738,0,0,27,0,0,0,0,638,499,139,0,0,0,1403,27,0,0,0,27,0,27,0,0,0,1376,499,499,0,877,0,139,738,0,0,0,0,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,-27,0,-611,266,-877,638,0
1961:Q2,1280,0,0,0,0,0,0,682,682,653,0,0,29,0,0,0,0,598,458,140,0,0,0,1280,29,0,0,0,29,0,29,0,0,0,1251,458,458,0,793,0,140,653,0,0,0,0,0,0,0,0,-29,0,0,0,0,0,0,0,0,0,-29,0,-569,224,-793,598,0
1961:Q3,1335,0,0,0,0,0,0,692,692,660,0,0,32,0,0,0,0,643,503,140,0,0,0,1335,32,0,0,0,32,0,32,0,0,0,1303,503,503,0,800,0,140,660,0,0,0,0,0,0,0,0,-32,0,0,0,0,0,0,0,0,0,-32,0,-611,189,-800,643,0
1961:Q4,1346,0,0,0,0,0,0,715,715,680,0,0,35,0,0,0,0,631,490,141,0,0,0,1346,35,0,0,0,35,0,35,0,0,0,1311,490,490,0,821,0,141,680,0,0,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,0,0,-35,0,-596,225,-821,631,0
1962:Q1,1359,0,0,0,0,0,0,754,754,724,0,0,30,0,0,0,0,605,467,138,0,0,0,1359,30,0,0,0,30,0,30,0,0,0,1329,467,467,0,862,0,138,724,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,-30,0,-575,287,-862,605,0
1962:Q2,1472,0,0,0,0,0,0,790,790,760,0,0,30,0,0,0,0,682,539,143,0,0,0,1472,30,0,0,0,30,0,30,0,0,0,1442,539,539,0,903,0,143,760,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,-30,0,-652,251,-903,682,0
