1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019:Q1,11314826,8407668,1785495,-187,7511,475508,110424,21658,19574,239290,346784,54186,152243,34189,-262323,-17995,-59199,13609307,6604490,3305342,88965,22116,463207,93249,43389,89906,152186,521926,792855,548731,-22927,352412,65083,102940,185478,64250,67339,67573,797,-2294481
2019:Q2,11635230,8706733,1811491,-193,8495,486395,117330,25804,20694,251204,372507,53653,161754,18498,-276950,-13697,-108488,14127780,6890908,3342731,77458,22830,480546,94928,42524,88589,147017,533432,822173,785071,9923,242518,68495,115500,186729,49992,58344,67279,793,-2492551
2019:Q3,11902483,8996232,1837488,-196,7827,428870,111534,27728,19515,263569,410809,57593,152419,20466,-266616,-2832,-161923,14460982,7282206,3380612,59759,20579,479237,85883,46169,90244,146173,558498,851519,668039,-26345,279602,80745,135347,186395,46030,34692,54828,770,-2558499
2019:Q4,12375612,9441928,1863484,-199,8716,389359,78901,29114,19442,262024,393982,55312,157044,21388,-245123,10495,-110255,15252533,7842892,3418109,43815,21674,468987,83722,43103,88221,156018,556215,880892,826718,15752,274085,81534,127333,190764,50357,37152,44303,887,-2876921
2020:Q1,12298014,9031764,1987644,-200,18840,430986,116676,35228,19940,254168,489211,58618,167780,18072,-387579,-3401,60267,15889890,7999913,3524203,29756,24685,681963,105931,45226,101719,141092,663568,895452,738675,-3989,318595,90258,150169,199701,48271,93209,40549,944,-3591876
2020:Q2,12145354,8764669,2075374,0,10000,353561,109339,37238,24051,275747,493498,56660,176215,19494,-312222,7390,54340,15322040,7393730,3628465,45831,30606,614159,86978,44260,118907,126969,633118,909975,841368,-35458,252321,122726,170034,201311,40068,52041,43719,912,-3176686
2020:Q3,12129225,8687908,2169454,0,10300,283366,102315,30279,23349,292739,470938,57466,180169,24141,-294050,742,90109,15345151,7311730,3731962,58546,30056,661436,81816,37919,116167,140763,617475,924460,753842,-66123,278924,145815,186473,193337,40016,60533,39103,901,-3215926
2020:Q4,12174144,8698773,2277724,0,11502,249148,95297,27950,23251,285728,498467,63094,179743,26380,-289594,1522,25159,15733692,7361901,3838664,61926,31058,652329,77596,36609,120892,168303,656052,938908,805841,7129,286108,144286,189682,201931,45060,67547,40952,917,-3559548
2021:Q1,12541806,8673072,2365024,0,10702,296358,99020,24473,22587,302853,490578,55226,186575,32078,-244129,-1664,229053,15931709,7413056,3971444,85940,30063,633613,83171,42485,112382,129283,671402,949358,854422,-37533,299537,127511,199262,181929,58685,82069,42682,948,-3389903
2021:Q2,12731188,8599792,2502324,0,11226,314990,99663,24661,25175,316977,492758,50649,352102,24269,-269110,-3671,189383,16171862,7276619,4103764,105940,30644,633878,93127,43402,126534,126515,702233,959870,873782,-60928,347302,139206,174628,317697,49771,82302,44646,930,-3440674
2021:Q3,12595646,8461338,2629624,0,9604,335313,98663,23815,27367,331337,486539,54808,325632,19538,-306651,6946,91773,16681201,7599167,4234127,115229,31203,678134,86009,31669,131876,96504,715132,970447,873036,41325,349838,132020,173533,299126,46707,32523,42711,885,-4085555
2021:Q4,12852999,8498394,2729424,0,11781,299981,102196,22785,28251,318962,509055,58645,326941,17106,-300368,2749,227097,17008842,7739822,4369077,127022,32016,653491,76937,27543,126481,76935,744288,981088,953272,-2913,347224,133231,159182,294823,48229,80578,39524,993,-4155843
2022:Q1,13075967,8708719,2748402,0,9426,356479,112892,24094,29549,351846,497438,60756,333838,22851,-330791,2225,148243,17823336,8296119,4410605,126651,31356,778592,84805,29749,128565,120184,773611,988168,956343,22760,333592,165545,145456,281980,55275,49382,43578,1020,-4747370
2022:Q2,13354879,8945670,2761036,0,7702,323429,140267,24061,33069,341392,484771,62426,367942,20752,-302544,13305,131601,18597493,8861911,4462123,128912,32899,907652,98988,27685,117653,165779,805445,993055,992725,23367,337898,151848,120881,285488,54959,-14411,41650,986,-5242614
2022:Q3,14223694,9599909,2765816,0,6651,410524,168363,25471,30632,346474,496386,71338,363828,33092,-264957,26108,144059,19434520,9531098,4518639,134411,32826,974812,114525,36295,106306,210985,857236,994119,999224,16063,299685,129994,113580,289481,59455,-30706,45504,989,-5210826
2022:Q4,14693121,10233566,2779363,0,-11398,327545,189348,25756,32724,322630,457379,76558,381696,19766,-384991,46592,196587,19640778,9824957,4563994,127917,35653,881353,138063,32838,103132,174680,862346,997105,994026,33008,295271,131918,121732,304002,52497,-73789,39013,1062,-4947657
2023:Q1,14764178,10351266,2801092,0,-34911,321330,140650,25692,42406,348602,458673,70740,376220,21503,-377071,41378,176607,19590235,9729972,4586908,123338,33471,804741,103980,35572,98301,197537,888522,989548,1061160,21480,318354,137281,118553,304812,54473,-55932,37130,1034,-4826057
2023:Q2,15112296,10612289,2828190,0,-68715,341332,156148,26216,62964,353187,475453,77956,396950,23632,-375830,43882,158642,19653100,9756150,4606447,113989,37010,788910,105577,33741,97007,179953,936347,991539,1117476,22067,266193,130971,118264,314806,54987,-54511,35164,1013,-4540805
2023:Q3,15440860,10692170,2841553,0,-95131,465331,168129,48649,72477,358657,487125,89811,411812,21416,-396347,49411,225797,19708371,9654218,4615764,110050,39770,846223,118945,38497,96225,173052,981648,1002171,1085965,9306,287364,123953,124972,331448,58436,-30214,39467,1111,-4267511
2023:Q4,15769864,10861830,2846841,0,-125966,505288,156917,56471,85628,371742,524261,84568,452454,26478,-393623,56260,260715,19652785,9659752,4618836,110451,37444,738257,109444,39965,97436,135901,1000574,1007132,1138496,-17645,296575,129623,126174,350447,63461,-21872,31322,1013,-3882922
2024:Q1,16066090,11127909,2870653,0,-148584,530208,162590,58805,81359,366383,550398,84990,449546,27608,-386888,54529,236584,19518582,9586605,4635493,115203,35375,686788,110375,30927,104692,115764,1009616,1021961,1188143,-26129,269267,133706,113008,371131,61559,-81383,35452,1028,-3452491
