1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,103723,904,28772,0,38927,18866,249,1816,0,-1,28,6769,4153,517,1035,0,934,0,345,409,92737,8357,2612,2188,409,0,135,2114,0,171,0,0,1224,21009,35354,18866,0,0,0,106,0,249,0,-57,0,0,0,10986
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,114830,1007,31927,0,42425,21026,666,2284,0,-12,53,7290,4428,585,1295,0,921,0,491,444,101042,8692,3171,2308,444,0,160,2357,0,215,0,0,1467,21647,39109,21026,0,0,0,107,0,407,0,-67,0,0,0,13788
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,624463,2941,336738,0,163437,57574,137,11209,-959,-45,1063,19405,13469,1883,7482,0,640,0,5737,3752,301402,16611,4903,5452,3752,279,349,7084,434,553,0,0,4781,33397,162844,57574,0,0,0,359,0,3549,0,-519,0,0,0,323061
1964:Q3,629105,2986,336035,0,166515,58865,180,12209,-1118,-46,1054,19727,13624,1627,7782,0,631,0,5304,3730,306261,16863,4813,5556,3730,293,458,7540,441,578,0,0,4858,32766,165940,58865,0,0,0,394,0,3703,0,-537,0,0,0,322844
1964:Q4,633865,3039,335318,0,169671,60289,875,11269,-1348,-49,1047,20118,13875,1894,7876,0,625,0,5454,3912,310655,17163,4496,5658,3912,309,359,7554,581,601,0,0,4948,32114,169115,60289,0,0,0,387,0,3725,0,-556,0,0,0,323210
1965:Q1,641707,3097,335447,0,173009,61624,608,12973,-1468,-52,1039,20481,14142,1807,7998,0,614,0,6617,3771,316070,17481,5265,5756,3771,270,464,6694,884,605,0,0,5048,32146,172477,61624,0,0,0,381,0,3779,0,-575,0,0,0,325638
1965:Q2,649219,3160,336793,0,176048,63220,492,13009,-1334,-55,1032,20860,14547,1894,7959,0,615,0,7114,3865,325017,17824,6058,5852,3865,282,412,7873,1192,597,0,0,5160,33485,175414,63220,0,0,0,420,0,3958,0,-595,0,0,0,324202
1965:Q3,654103,3228,334916,0,179310,64759,396,14264,-1019,-57,1023,21254,14805,1589,8189,0,608,0,6859,3979,326552,18184,4927,5951,3979,319,446,7238,644,590,0,0,5276,31416,178692,64759,0,0,0,434,0,4314,0,-616,0,0,0,327551
1965:Q4,658414,3303,334147,0,182715,66360,351,14271,-1037,-61,1018,21662,15052,1889,7668,0,608,0,6540,3928,336722,18540,9984,6060,3928,307,451,7739,614,604,0,0,5395,30576,182116,66360,0,0,0,442,0,4243,0,-637,0,0,0,321693
1966:Q1,667826,3385,335563,0,186429,68174,239,16452,-876,-62,1013,22085,14942,1796,7006,0,598,0,7245,3837,345427,18897,11698,6176,3837,309,609,7361,636,623,0,0,5348,31959,185850,68174,0,0,0,441,0,4169,0,-659,0,0,0,322398
1966:Q2,675816,3475,338386,0,189436,70254,336,16021,-847,-62,1011,22526,15520,1800,6133,0,589,0,7311,3927,354962,19161,11321,6300,3927,374,610,8227,1029,652,0,0,5328,34848,189129,70254,0,0,0,393,0,4091,0,-682,0,0,0,320854
1966:Q3,689657,3568,342659,0,193315,72181,261,18345,-863,-63,1004,22982,16128,1509,5742,0,578,0,8256,4055,366110,19495,11691,6430,4055,377,690,8239,974,684,0,0,5302,39382,192795,72181,0,0,0,486,0,4035,0,-706,0,0,0,323547
1966:Q4,691484,3659,342088,0,197346,74055,493,14083,-922,-65,1002,23424,16253,1789,4451,0,574,0,9061,4193,365604,19863,6625,6560,4193,452,650,7497,757,716,0,0,5607,38782,196555,74055,0,0,0,351,0,3671,0,-730,0,0,0,325881
1967:Q1,698286,3736,339425,0,201415,75727,288,16334,-1090,-66,1004,23922,16405,2244,4034,0,569,0,10587,3752,368320,20434,5391,6701,3752,457,733,7712,299,741,0,0,6321,36182,200684,75727,0,0,0,296,0,3628,0,-738,0,0,0,329965
1967:Q2,706045,3807,340804,0,205217,77588,398,15034,-1098,-67,1009,24441,17029,2698,4139,0,560,0,10607,3879,377386,20833,5240,6847,3879,498,663,8532,567,768,0,0,6358,37750,204295,77588,0,0,0,293,0,4022,0,-747,0,0,0,328659
1967:Q3,712320,3876,340100,0,209163,79296,411,17232,-1034,-67,1009,24979,17527,2082,3553,0,548,0,9806,3839,382877,21217,4717,7000,3839,468,848,8948,305,792,0,0,6385,36956,208296,79296,0,0,0,419,0,4146,0,-755,0,0,0,329443
1967:Q4,721774,3947,344661,0,213199,80950,556,14731,-942,-67,1013,25528,18050,2245,2429,0,534,0,10957,3983,394066,21624,7152,7152,3983,452,671,9852,187,812,0,0,6457,38924,212155,80950,0,0,0,392,0,4067,0,-764,0,0,0,327709
1968:Q1,739388,4031,347586,0,217660,85266,535,18549,-937,-66,1012,26101,18258,2141,2920,9,518,0,11952,3853,409358,22057,8715,7316,3853,471,790,9356,358,844,0,0,6571,43841,216457,85266,0,0,0,385,0,3891,-40,-773,0,0,0,330030
1968:Q2,744273,4121,344709,0,221589,88467,636,17656,-1138,-65,1012,26683,18676,2345,3188,18,499,0,11922,3955,412349,22525,5812,7487,3955,464,787,10109,652,845,0,0,6712,40649,220230,88467,0,0,0,376,0,4184,-124,-781,0,0,0,331924
1968:Q3,757645,4213,345722,0,225771,92027,594,20362,-1137,-65,1008,27305,18982,2076,3942,31,481,0,12379,3954,419851,23009,3482,7674,3954,400,818,11545,-259,872,0,0,6869,41156,224572,92027,0,0,0,339,0,4356,-173,-790,0,0,0,337794
1968:Q4,767384,4302,347006,0,230163,95377,893,19512,-1393,-66,1012,28021,19494,2164,3271,44,474,0,13190,3920,432095,23517,5928,7882,3920,367,906,10603,736,956,0,0,7035,41892,228948,95377,0,0,0,405,0,4686,-264,-799,0,0,0,335289
1969:Q1,788328,4390,352637,0,234632,99677,539,25038,-2729,-95,1012,28864,19705,2128,3644,64,468,395,14269,3690,445824,24122,5931,8114,3690,324,843,8435,984,1138,0,0,7244,46892,233460,99677,0,0,0,418,0,5201,-329,-809,490,0,0,342504
1969:Q2,803748,4478,357628,0,238562,103797,826,22403,-2840,-135,1015,29699,20237,2181,5205,67,446,580,15811,3788,462662,24664,5435,8372,3788,302,776,10821,731,1438,0,0,7457,51311,237572,103797,0,0,0,526,0,6117,-460,-818,833,0,0,341086
1969:Q3,832108,4568,363071,0,242913,107692,626,33398,-2990,-138,1015,30393,20512,1995,5405,64,427,964,18346,3847,472862,25052,4899,8639,3847,289,896,7786,679,1710,0,0,7619,56136,241990,107692,0,0,0,613,0,5714,-579,-827,707,0,0,359246
1969:Q4,839046,4688,366610,0,247499,111747,1201,24610,-1465,-141,1025,31338,20921,2319,3837,76,417,414,20119,3831,487286,25752,7035,8899,3831,257,776,8204,-41,1806,0,0,7855,58898,246582,111747,0,0,0,761,0,5455,-843,-837,1149,0,0,351760
1970:Q1,862994,4792,361719,7623,254955,115208,1026,30014,-3722,-145,1037,32187,21109,2462,5804,50,408,208,24448,3811,509514,26393,7882,9169,3811,256,930,8050,607,1919,0,0,8052,65731,254638,115208,0,0,0,833,0,6205,-1133,-846,1810,0,0,353479
1970:Q2,885299,4899,373949,7763,262025,119916,1135,24642,-3404,-149,1053,33040,21671,2891,5679,45,398,160,25738,3848,542137,27083,13637,9446,3848,258,866,9003,-21,1984,0,0,8246,78192,261708,119916,0,0,0,920,0,6341,-1324,-856,2890,0,0,343163
1970:Q3,886894,5008,369670,8105,269895,121692,1185,26211,-3845,-154,1064,33897,21957,2982,5313,53,397,216,19444,3804,539769,27782,8551,9720,3804,229,997,7243,-560,2022,0,0,8439,73839,269591,121692,0,0,0,830,0,6330,-1540,-866,1666,0,0,347125
1970:Q4,893165,5118,367534,8581,277441,124053,1672,22894,-3290,-158,1084,34772,22366,4129,3147,42,392,1573,17968,3847,551458,28452,9059,9979,3847,217,866,8821,-1407,2062,0,0,8631,71618,277137,124053,0,0,0,1528,0,6621,-1916,-875,2765,0,0,341707
1971:Q1,909418,5206,363985,9335,284123,130029,1172,27320,-4265,-167,1088,35635,22673,5124,6703,44,379,1165,16102,3767,568732,29108,11323,11273,3767,206,964,12553,-812,1886,0,0,8842,68090,283809,130029,0,0,0,1485,0,7377,-2103,-885,1821,0,0,340685
1971:Q2,921148,5282,366032,9739,289812,137308,1128,24598,-5276,-175,1089,36472,23247,3769,7607,26,366,1575,14861,3688,587618,29728,11634,12574,3688,255,990,13395,-1085,1723,0,0,9067,70654,289501,137308,0,0,0,1636,0,7825,-2418,-896,2040,0,0,333529
1971:Q3,945595,5356,366376,10424,296296,144436,933,29881,-4728,-185,1082,37354,23637,3496,9236,-233,343,3454,14755,3682,606415,30348,14006,13890,3682,325,971,12509,-821,1956,0,0,9290,71090,295985,144436,0,0,0,1861,0,7877,-2620,-906,2536,0,0,339180
1971:Q4,955417,5436,365269,11476,302608,151155,1467,25455,-4423,-196,1083,38413,24246,3486,7963,-655,321,3578,15070,3665,627920,30995,20178,15230,3665,308,1051,13632,-780,2133,0,0,9499,69734,302297,151155,0,0,0,1681,0,8359,-2910,-916,2609,0,0,327497
1972:Q1,978084,5556,362537,12396,309923,158524,1180,30942,-1980,-203,1086,39519,24740,3871,9852,-1121,730,2629,14346,3557,651839,31681,27792,16593,3557,333,880,14261,-238,1958,0,0,9732,68062,309611,158524,0,0,0,1719,0,8616,-3344,-677,2779,0,0,326245
1972:Q2,997971,5701,364072,12681,315883,166970,1469,30865,-914,-211,1088,40736,25728,3643,11091,-1639,1144,2826,13295,3543,677744,32384,30483,18185,3543,335,972,16595,-178,1815,0,0,9976,71168,315571,166970,0,0,0,1728,0,8968,-3861,-437,3527,0,0,320228
1972:Q3,1014820,5849,363474,13184,322825,175038,1383,33050,-1127,-217,1081,41998,26369,3675,11716,-2213,1571,2830,10805,3529,696862,33117,30873,19782,3529,290,961,14711,-144,1889,0,0,10220,72580,322513,175038,0,0,0,1751,0,9179,-4103,-198,4875,0,0,317957
1972:Q4,1027288,5976,359198,14160,329406,181743,1469,32517,843,-223,1084,43317,26854,3650,11411,-2743,1978,2643,10506,3499,732932,33898,50479,21361,3499,206,1068,16344,502,2143,0,0,10451,69603,329094,181743,0,0,0,1362,0,9734,-4727,41,6131,0,0,294357
1973:Q1,1051037,6087,366312,15128,337076,182459,1571,36879,759,-225,1122,44513,27549,4110,12666,-2574,2154,3212,8710,3529,775319,34647,70454,23484,3529,208,945,16659,493,2261,0,0,10673,76751,336764,182459,0,0,0,1664,0,9739,-5053,280,9362,0,0,275718
1973:Q2,1074821,6185,374423,15261,343134,183317,1530,39897,971,-228,1162,45706,28315,3910,13786,-2557,2334,3401,10720,3554,798059,35411,70589,24292,3554,215,1131,19628,523,2211,0,0,10886,85111,342822,183317,0,0,0,1711,0,10311,-5797,519,11625,0,0,276761
1973:Q3,1084328,6278,370391,15888,350834,180833,1914,43066,968,-242,1181,46902,28694,4317,14169,-3253,2531,4695,11639,3523,796127,36176,66158,25045,3523,235,991,14387,729,2247,0,0,11097,80459,350522,180833,0,0,0,2309,0,10067,-6762,758,17352,0,0,288201
1973:Q4,1114732,6376,382337,17447,358088,183071,2721,40123,1307,-255,1212,48216,29299,5258,15458,-3272,2743,4719,15782,4102,838235,36934,78893,25603,4102,178,1362,20092,592,2221,0,0,11310,92433,357776,183071,0,0,0,2349,0,11197,-7279,997,16404,0,0,276497
1974:Q1,1139639,6530,384210,18524,365857,189093,1909,44661,957,-256,1315,49374,29744,5192,17107,-2684,2962,4436,16425,4283,850389,37667,75705,25982,4283,118,1023,16525,526,2277,0,0,11601,94171,365857,189093,9,0,0,2108,0,11755,-7639,1235,18093,0,0,289250
1974:Q2,1163092,6715,393199,19382,370743,197124,1976,39757,1078,-258,1423,50553,30578,5040,16343,-866,3164,3893,19556,3692,869335,38384,71912,26195,3692,144,1174,15721,505,2230,0,0,11928,104414,370743,197124,2,0,0,1435,0,11496,-7518,1474,18281,0,0,293757
1974:Q3,1209834,6908,413563,20985,379033,208098,2164,42266,758,-257,1510,51726,31142,4877,15539,-240,3376,1123,23716,3548,911546,39103,82498,26322,3548,176,1161,10799,359,2088,0,0,12278,124057,379033,208098,2,0,0,1745,0,10463,-7190,1712,15294,0,0,298288
1974:Q4,1205978,7086,408961,23025,388302,213069,2517,27347,690,-255,1607,52849,31910,4895,11359,-82,3595,1641,23901,3561,965845,39837,125881,26440,3561,124,3193,11969,-25,2005,0,0,12637,120139,386579,213069,2,0,0,533,0,8975,-7103,1950,16079,0,0,240133
