1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,752,748,-164,0,96,0,-260,0,0,0,0,0,0,168,752,-5892,-464,0,0,0,96,4,-8,528,6912,0,280,1324,-384,0,-1192,0,-452
1964:Q4,-1672,-1844,76,0,100,0,-24,0,0,0,0,0,0,96,-1672,-13328,-464,0,0,0,120,4,-128,536,7172,0,300,1544,-92,0,3008,0,-344
1965:Q1,36,-224,-172,0,96,0,-268,0,0,0,0,0,0,432,36,-8036,44,0,0,0,156,16,108,280,8032,0,320,424,-588,0,-876,0,156
1965:Q2,1136,1320,-492,0,84,0,-576,0,0,0,0,0,0,308,1136,-10052,44,0,0,0,196,12,448,524,7940,0,332,1084,-500,0,1668,0,-560
1965:Q3,-712,52,-1032,0,80,0,-1112,0,0,0,0,0,0,268,-712,-8824,48,0,0,0,188,4,80,836,8804,0,360,1660,-1000,0,-2020,0,-848
1965:Q4,-1952,-1260,-880,0,80,0,-960,0,0,0,0,0,0,188,-1952,-15240,48,0,0,0,128,8,-288,1160,9040,0,396,1916,-868,0,2096,0,-348
1966:Q1,72,-528,288,0,80,0,208,0,0,0,0,0,0,312,72,-13244,4092,0,0,0,68,12,-328,156,8740,0,440,2356,0,0,-2088,0,-132
1966:Q2,6580,6032,628,0,76,0,552,0,0,0,0,0,0,-80,6580,-10908,3884,0,0,0,-4,12,524,176,9528,0,476,324,676,0,2136,0,-244
1966:Q3,544,1068,-556,0,80,0,-636,0,0,0,0,0,0,32,544,-10280,3512,0,0,0,4,8,640,224,8608,0,508,-452,-532,0,-1492,0,-204
1966:Q4,-672,-1536,1188,0,88,0,1100,0,0,0,0,0,0,-324,-672,-20004,3684,0,0,0,96,12,728,380,9348,0,528,1584,1148,0,2464,0,-640
1967:Q1,1004,1008,92,0,92,0,0,0,0,0,0,0,0,-96,1004,-9872,-1236,0,0,0,164,12,188,596,10728,0,580,3244,-292,0,-2988,0,-120
1967:Q2,1056,1920,-960,0,88,0,-1048,0,0,0,0,0,0,96,1056,-14468,-1240,0,0,0,232,8,472,1044,11500,0,576,1632,-1072,0,2100,0,272
1967:Q3,2112,2944,-952,0,108,0,-1060,0,0,0,0,0,0,120,2112,-14252,-1324,0,0,0,252,12,268,964,11580,0,760,3464,-1140,0,412,0,1116
