1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q1,55832,0,9376,15416,0,-424,-3932,-1268,1548,3228,1864,-2164,1304,0,2884,21956,5620,72800,21249,13107,36568,0,1876,52827,8115,9936,34744,19973,13134,3171,1824,0,1876,13476,8092,2772,-1263,2071,1804,1751,64080,1824,132,36,62160,37174,24986,333104,19.237379439718797,18.660982878884944,11.15987799606129,7.501104882823653
1958:Q2,42100,0,-5796,15464,0,5600,11848,-116,-3404,-2728,2780,-1724,1812,0,3100,21044,-180,71528,21341,13062,35863,0,1262,53791,8228,10015,35515,17737,13113,3047,348,0,1262,13176,7944,4228,-1107,2255,-144,1693,48354,348,-516,36,48558,37235,11323,336028,14.389873243679727,14.450582470291796,11.080921827942909,3.3696606423488853
1958:Q3,42968,0,15880,11208,0,-13496,-16432,232,868,1836,1460,-960,1488,0,3176,22112,2100,74738,22842,13203,36568,0,2125,53925,8333,10102,35457,20813,14509,3101,1111,0,2125,18730,10404,4184,781,1129,2232,1653,46704,1111,584,36,45045,39860,5185,343668,13.58992518628361,13.10719185062245,11.598403109978236,1.5087887406442146
1958:Q4,38604,0,-2260,14308,0,2008,-1328,-1368,4048,656,3732,-3640,1028,0,3132,21776,-1480,78778,25163,13913,37772,0,1930,54191,8429,10184,35544,24587,16734,3729,2228,0,1930,22428,12772,2592,2681,1935,2448,1684,42447,2228,-84,40,40343,41014,-671,348811,12.169179094642871,11.565987108151617,11.758230101688307,-0.1922429935366885
1959:Q1,57832,0,7360,10408,0,8236,4088,32,2744,1372,1556,-1920,1724,0,3184,23676,3608,82369,27962,13853,40618,0,-64,52789,8579,10141,34035,29580,19383,3712,6583,0,-64,28829,12972,5132,6559,1610,2556,1691,60275,6583,172,44,53564,37871,15693,353222,17.064301437149652,15.164363154709717,10.721585858185504,4.442777296524212
1959:Q2,56264,0,2052,13532,0,16052,9500,3644,3340,-432,296,-2668,1224,0,3208,23844,-1276,84340,28872,14563,42308,0,-1403,53736,8660,10219,34823,30604,20212,4344,7485,0,-1403,30459,12884,6584,6779,1560,2652,1732,58141,7485,-716,40,51412,38778,12634,360377,16.133488124700186,14.266276843181108,10.76039813861595,3.5058787045651596
1959:Q3,44416,0,5544,8068,0,4864,-448,2288,2884,140,-1568,-4772,1484,0,3444,26072,1280,84354,28293,14991,43118,0,-2048,54261,8732,10294,35201,30093,19561,4697,7917,0,-2048,31880,13696,5552,8139,345,4148,1882,44511,7917,1068,40,35566,34996,570,362062,12.293855121192108,9.823283782581594,9.665747855339694,0.15753592724190038
1959:Q4,27716,0,-11636,10104,0,12140,6076,-228,6020,272,-3860,-4592,1244,0,3848,25300,-4832,81723,27535,14587,41040,0,-1439,54657,8797,10365,35461,27066,18738,4222,5579,0,-1439,22169,12588,2704,9415,1022,-3560,1915,34528,5579,-268,36,29253,37220,-7967,366634,9.417617110651442,7.978852566173843,10.151813525204972,-2.17296095903113
1960:Q1,62156,0,3608,9620,0,17016,12800,-2916,1844,5288,-984,-2908,1272,0,3756,23972,6804,88104,28537,14630,42424,-637,3150,56147,9067,10213,36830,31957,19470,4417,5594,-637,3150,25521,11872,5108,3428,49,5064,2010,70602,5594,88,32,64952,38266,26686,371359,19.011705037820708,17.490266214471873,10.304314692790534,7.185951521681337
1960:Q2,49892,0,-496,12808,0,14004,4652,2216,5252,1884,1484,-4276,1412,0,3508,23780,-2332,84839,26270,14472,43338,-652,1411,56645,9130,10314,37164,28194,17140,4158,6174,-652,1411,24975,10096,5400,6116,1343,2020,2247,55358,6174,360,32,48856,36543,12313,375715,14.733939467346485,13.003372415192594,9.726255273278948,3.2771171419136444
1960:Q3,37424,0,5544,13228,0,-9504,-8560,-1944,692,308,2932,-4040,1072,0,3068,23436,1688,83456,25446,14071,42860,-672,1751,57161,9195,10393,37536,26295,16251,3678,5324,-672,1751,23335,11704,5064,3932,1479,1156,2145,42529,5324,84,36,37157,38569,-1412,377847,11.255704239123252,9.833964751976339,10.207570789234795,-0.3736060372584575
1960:Q4,32992,0,-3520,12088,0,-2332,-4932,-2292,2792,2100,6876,-4672,440,0,2580,23500,-1968,79032,25439,14163,41710,-695,-1585,57547,9265,10447,37798,21485,16174,3716,3912,-695,-1585,19008,11444,3548,2664,1184,168,2566,38036,3912,-316,36,34476,38023,-3547,379358,10.026348701529503,9.087921147609459,10.022986203006132,-0.9350650553966727
1961:Q1,50676,0,6352,22264,0,-10836,-6464,-3112,-1368,108,1144,-1812,1716,0,2752,23556,5540,78069,25431,14187,39355,-730,-174,57761,9429,10394,37900,20308,16002,3793,1455,-730,-174,25561,11124,6416,1685,3072,3264,2551,47974,1455,-56,48,46623,41746,4877,383653,12.504641016187087,12.152499888657783,10.881186905875882,1.2713129827818999
1961:Q2,60640,0,552,19444,0,9964,2096,504,3996,3368,6152,-3480,1320,0,3172,23860,-344,80611,25579,14566,40361,-753,858,57933,9509,10442,37944,22678,16070,4124,2417,-753,858,22009,10612,6416,-519,2324,3176,2391,63700,2417,40,52,61295,42594,18701,389432,16.357087589150403,15.739521492887123,10.937467901970049,4.802053590917076
1961:Q3,38032,0,3372,11780,0,-3956,-328,792,-2600,-1820,880,-4964,1548,0,3692,23812,1868,84681,26942,14745,41535,-773,2232,58343,9595,10506,38204,26338,17347,4239,3331,-773,2232,24177,13196,7068,2157,1320,436,2571,42764,3331,20,52,39465,46222,-6757,396030,10.79815417467878,9.965136473999538,11.671338029947226,-1.7062015559476884
1961:Q4,38536,0,-10948,20048,0,5760,484,52,5968,-744,4632,-8816,2100,0,4172,23736,-2148,88111,27796,15185,43494,-788,2424,58810,9688,10580,38504,29301,18108,4605,4990,-788,2424,26621,15664,5188,5425,1904,-1560,2523,43740,4990,-216,56,39022,46978,-7956,404186,10.821676641225892,9.65439227214829,11.62286669998466,-1.968474427836371
1962:Q1,57384,0,9336,25572,0,-6512,-2224,-564,-4256,532,1648,-6336,1388,0,4128,24164,3996,90875,28286,15641,44501,-791,3238,59087,9821,10635,38594,31788,18465,5006,5907,-791,3238,26228,12072,5832,3551,233,4540,2418,65362,5907,20,52,59487,47436,12051,409933,15.94467257121325,14.51151154245977,11.57164707403405,2.9398644684257222
1962:Q2,55236,0,-1424,25672,0,7832,7588,392,-72,-76,5136,-8940,1252,0,3952,23712,-1956,91579,29100,16148,45756,-804,1379,59585,9923,10718,38906,31994,19177,5430,6850,-804,1379,28268,13552,7536,8067,-607,-280,2727,61690,6850,144,56,54752,47463,7289,415826,14.835502227535882,13.167015889500261,11.414149187400499,1.752866702099761
1962:Q3,45116,0,-2028,23276,0,-1192,296,440,1116,-3044,2200,-5372,132,0,3648,23372,1080,92435,29010,16435,46241,-818,1567,60176,10027,10801,39310,32259,18983,5634,6931,-818,1567,32539,15376,6828,5235,2512,2588,2649,47485,6931,-60,60,40674,46688,-6014,419178,11.328092270252267,9.70324554642611,11.137989112024009,-1.4347435655978986
1962:Q4,42732,0,-7708,29412,0,-748,-660,-1696,1536,72,2044,-6376,716,0,3340,23992,-1940,93565,28890,16403,48087,-834,1019,60843,10134,10876,39794,32722,18756,5527,8293,-834,1019,31412,16120,6240,6783,2125,144,2758,46800,8293,48,60,38519,45219,-6700,424193,11.03267066596669,9.080493237296249,10.660006176433841,-1.57951293913759
1963:Q1,54852,0,20744,26972,0,-23032,-21960,-1368,-1484,1780,432,-4440,900,0,3828,25764,3684,97075,29914,16339,48758,-852,2916,61464,10192,10995,40238,35611,19722,5344,8520,-852,2916,32564,14544,6192,7859,2653,1316,2797,60696,8520,60,60,52176,46176,6000,429107,14.144680283643444,12.159161520258088,10.760952396488522,1.3982091237695662
1963:Q2,65004,0,700,26960,0,6480,6744,980,-176,-1068,7400,-7240,616,0,4092,26736,-740,99095,31930,16970,49956,-872,1111,62113,10310,11083,40680,36982,21620,5887,9276,-872,1111,38161,16148,8600,7279,3846,2288,2906,66731,9276,284,72,57243,46441,10802,433739,15.385103918191051,13.197613284422818,10.707130324918902,2.4904829595039146
1963:Q3,50384,0,3972,20968,0,-4168,-428,1012,-2704,-2048,420,-5168,1440,0,4380,27464,1076,100125,32154,17389,50716,-893,759,62927,10438,11182,41267,37198,21716,6207,9449,-893,759,36978,18504,7676,9247,3083,-1532,3038,53642,9449,52,64,44205,45933,-1728,440601,12.174790126894786,10.032942968127557,10.425078472359345,-0.3921355042317899
1963:Q4,58536,0,-7280,29532,0,10412,6520,-1564,4392,1064,3480,-9616,928,0,4648,28452,-2020,103425,33379,17734,51678,-915,1549,63768,10575,11297,41855,39657,22804,6437,9823,-915,1549,37258,18000,6668,9719,2491,380,2799,63734,9823,156,68,53823,49840,3983,449437,14.180841406696427,11.975638007777336,11.089429664224351,0.8862083435529833
1964:Q1,64428,0,3964,20880,0,-2244,-3156,-440,2080,-728,5692,-2088,124,0,4336,30072,3692,106489,35088,18021,53716,-944,608,64638,10728,11416,42451,41851,24360,6605,11265,-944,608,37340,17268,5456,10739,1501,2376,2951,71890,11265,124,68,60569,51084,9485,460392,15.614931347821944,13.155939879681751,11.095761872491268,2.060178007190484
1964:Q2,74396,0,6500,27304,0,11652,10380,1004,2076,-1808,-3508,-4928,1144,0,4348,31072,812,106390,33856,18368,55087,-960,39,65604,10888,11565,43106,40786,22968,6803,11981,-960,39,39772,16460,8880,8855,1205,4372,3349,78759,11981,100,76,66754,56253,10501,473838,16.621558889708385,14.087992565352803,11.871778962430197,2.2162136029226054
1964:Q3,75860,0,13624,24360,0,-1972,-6924,1024,3452,476,5636,-5892,1124,0,4428,32216,2336,107713,33421,18757,56849,-973,-341,66542,11062,11721,43714,41171,22359,7036,13135,-973,-341,36303,18004,8084,10079,852,-716,3427,84155,13135,216,84,70888,54746,16142,481587,17.474605468764068,14.71975535860744,11.367831772867623,3.351923585739817
1964:Q4,65168,0,1676,31876,0,5444,-28,-608,3432,2648,1100,-13328,1384,0,4552,33044,-580,106844,33573,19007,54996,-983,251,67548,11251,11893,44357,39296,22322,7114,10639,-983,251,35033,17184,6832,8255,858,1904,3493,72923,10639,68,80,62296,59044,3252,488675,14.922686125489463,12.748030168053539,12.082467897887144,0.6655622701663959
1965:Q1,66456,0,3448,27732,0,-4524,1028,-1276,-3568,-708,2548,-8036,2108,0,4392,35008,3780,115799,33722,20040,60357,-978,2658,68249,11451,12083,44665,47550,22271,7957,15692,-978,2658,37611,16988,5520,11967,1884,1252,3594,79989,15692,292,88,64093,55548,8545,496020,16.12622410178642,12.921514614265753,11.198741986210234,1.7227726280555193
1965:Q2,70640,0,3764,23408,0,11388,10464,3380,-680,-1776,928,-10052,564,0,4932,35316,392,116804,34096,20787,60267,-986,2640,69525,11673,12275,45525,47279,22423,8512,14742,-986,2640,39886,15624,9548,11799,1343,1572,3422,81455,14742,364,84,66433,56274,10159,504149,16.15697753609809,13.177302876424065,11.162176261383044,2.0151266150410216
1965:Q3,85348,0,22076,24084,0,-756,-7796,2008,3848,1184,964,-8824,3348,0,5096,36576,2784,119165,34286,21339,62016,-997,2521,70629,11913,12469,46193,48536,22373,8870,15823,-997,2521,37895,18184,8628,9327,768,988,3614,99603,15823,376,84,83488,62591,20897,519863,19.159383967930825,16.059528813784446,12.039902820550799,4.019625993233646
1965:Q4,66956,0,-1916,34668,0,144,-2544,-564,7108,-3856,4320,-15240,2272,0,4880,38168,-340,122265,34548,22128,64272,-1011,2328,71732,12173,12674,46829,50533,22375,9454,17443,-1011,2328,38305,17660,7048,7455,3926,2216,3802,82986,17443,76,80,65547,60598,4949,531956,15.600122823476593,12.321844168851023,11.391543661505839,0.930300507345184
