1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q4,126160,13295,112865,99899,12966,-64,-104,2456,12818,700,27579,30022,20186,12920,6297,1198,-229,9836,18847,0,2013,7190,0,1653,421,0,966,266,552,343,209,0,-2427,1279,255,1162,7010,0,160,9011,0,8874,4444,3508,421,341,160,90,47,-2443
1964:Q1,128537,12657,115880,102327,13553,-111,-41,2816,13003,738,28564,31742,21005,13429,6589,1223,-236,10737,14701,0,-2705,5809,0,1579,1380,0,381,-182,1312,960,352,0,-517,526,26,1084,7376,0,211,3964,0,3790,3670,171,-233,36,146,129,45,-3178
1964:Q2,130890,12875,118016,104396,13619,407,498,2995,13206,837,28892,26895,21138,13772,6349,1257,-240,5757,15354,0,539,7243,0,212,27,0,637,-452,-715,-993,278,0,-1261,-438,315,1087,8150,0,222,9597,0,9504,4592,3771,805,180,156,50,43,1997
1964:Q3,133291,13176,120115,106710,13405,-79,-81,3284,13401,857,29234,35878,21547,14212,6281,1297,-243,14331,21143,0,4600,5579,0,939,-206,0,1026,119,1452,997,455,0,-1448,485,256,1107,7921,0,252,6812,0,6717,4708,2330,-503,31,151,50,45,-6644
1964:Q4,135475,13362,122113,107408,14705,-90,-300,2660,13608,873,30309,32330,21178,13749,6347,1328,-246,11152,20143,0,3905,7474,0,490,-1133,245,716,662,-45,-530,485,0,-3333,1713,347,1138,8154,0,300,8991,0,8908,4259,3210,1271,16,152,30,53,-2020
1965:Q1,138246,13905,124341,110118,14223,-79,-312,3923,13735,899,31215,35388,22687,15089,6432,1410,-245,12701,16196,0,-2343,7750,0,1143,2627,-224,-1083,-177,501,424,77,0,-2017,611,535,1098,8600,0,318,3495,0,3367,3556,293,-825,165,178,70,58,-4173
1965:Q2,140641,14583,126058,111969,14089,498,275,3686,14001,856,31143,28286,22817,15067,6544,1452,-247,5470,15075,0,287,6267,0,-261,-435,597,21,-444,407,102,305,0,-2619,-65,247,1233,9236,0,343,9605,0,9432,4438,4598,-17,226,187,110,63,2857
1965:Q3,144217,14456,129761,114318,15443,-51,-63,3956,14220,904,32727,39961,23343,15504,6602,1486,-249,16618,23534,0,6016,5564,0,1312,-398,291,1123,296,279,368,-89,0,-2108,1099,739,1274,8999,0,360,6916,0,6738,4713,2148,-363,59,181,110,68,-7234
1965:Q4,147557,14719,132838,117840,14998,-91,184,4361,14433,951,32566,35153,23987,16068,6653,1519,-253,11166,20566,0,2779,7892,0,-631,-1506,223,1616,-964,742,522,220,0,-3794,2018,552,1220,9432,0,356,9400,0,9196,4407,3098,778,741,172,129,75,-2587
1966:Q1,150725,15274,135452,120479,14973,-92,-666,5009,14623,987,34191,41403,24845,16851,6720,1533,-259,16558,19396,0,-1571,5595,0,6587,4013,711,1135,728,-526,-165,-361,0,-3326,70,1002,1173,10035,0,357,2838,0,2646,3569,-393,-1161,453,178,110,82,-7211
1966:Q2,153202,16391,136812,121827,14985,516,405,4144,14939,992,33187,31296,23948,16247,6426,1537,-263,7348,17044,0,-1079,5452,0,1049,-3164,3103,1112,-2,1874,1047,827,0,-2930,-132,574,1141,10831,0,264,9696,0,9516,3874,3109,1746,607,180,90,90,1891
1966:Q3,156505,17065,139440,124150,15290,-104,196,4467,15276,961,33772,42863,24312,16854,6183,1539,-265,18552,22443,0,2933,1993,0,5529,2923,778,280,1548,642,79,563,0,-2384,1626,140,1157,10473,0,334,3891,0,3728,3040,784,-585,305,184,70,93,-9092
1966:Q4,159907,17649,142258,125645,16613,-52,170,4234,15634,947,35312,36926,23883,16924,5680,1545,-266,13043,19514,0,1550,5581,0,1421,-644,126,2093,-154,1101,474,627,0,-4969,1811,490,1221,10940,0,368,6471,0,6300,2470,2433,671,570,156,80,91,-1613
1967:Q1,162624,17363,145261,126772,18489,-90,17,3693,15846,997,36924,44597,23382,16541,5568,1534,-261,21215,21131,0,-639,10264,0,-1392,-875,-13,-1473,969,914,438,476,0,-2493,1406,542,1265,10877,0,387,-84,0,-261,1605,-2074,-890,905,193,100,77,-7673
1967:Q2,164410,17614,146796,129197,17598,577,722,4307,16076,968,36869,34709,24859,17328,6257,1538,-263,9849,17183,0,828,10853,0,-4386,-2998,-121,-1357,90,866,481,385,0,-3904,-776,224,1237,11842,0,399,7334,0,7094,2855,2783,557,851,48,169,71,2160
1967:Q3,167896,18764,149132,130948,18185,-144,-209,4072,16423,1041,37704,46338,25262,17378,6616,1535,-266,21076,27137,0,3848,7608,0,4182,2224,-91,932,1117,1064,531,533,0,-3290,207,318,1242,11574,0,384,6061,0,5813,4471,1413,-1513,1244,198,179,69,-8634
