1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2020:Q2,5009930,3294931,371245,728757,2194929,823368,904590,687742,60549,483908,78639,64647,216848,166692,3171,46986,-81222,-68087,-13135,-131151,454636,585787,1022782,814607,302479,512128,208175,91529,116646,45019,221222,176203,5054949,-3581,-732,3,4330,-21
2020:Q3,5411026,3602387,438861,780132,2383394,1006283,966273,714476,61886,505825,74638,72128,251797,193860,3405,54533,40010,37530,2480,-191403,521538,712941,993759,773374,287835,485539,220385,92325,128060,53964,247918,193955,5464990,-3617,1720,-2800,4374,323
2020:Q4,5609278,3786233,478275,847121,2460837,989478,1005682,752045,64175,523266,90002,74602,253637,211683,3093,38861,-16204,-18320,2117,-189342,582847,772189,1022908,816219,294798,521421,206689,95292,111397,47807,255184,207377,5657085,-3659,-753,23,4425,-36
2021:Q1,5500920,3700129,445340,780847,2473942,972195,960646,722166,66106,533742,46248,76070,238480,224192,2309,11980,11549,12852,-1303,-173877,581469,755346,1002473,816382,302491,513891,186091,90291,95800,57624,273063,215439,5558543,-3658,3876,-4644,4485,-60
2021:Q2,5851024,4002641,522434,867222,2612985,995994,1064400,770241,61809,549667,80257,78507,294159,230708,1670,61781,-68406,-61909,-6497,-208098,629205,837303,1060487,849652,308671,540981,210835,93889,116946,42617,272881,230264,5893641,-3704,-807,21,4542,-52
2021:Q3,5972842,4061088,492245,878255,2690588,1108673,1079545,775448,60311,555780,83119,76238,304097,238055,1290,64752,29129,29495,-367,-247172,635796,882968,1050253,828108,301227,526881,222145,95159,126986,40273,281232,240958,6013116,-3748,3626,-4437,4596,-37
2021:Q4,6269245,4279107,546386,973900,2758821,1139389,1099992,810498,66514,569424,98304,76256,289494,244723,1216,43556,39397,30272,9126,-229092,703568,932660,1079841,872128,303974,568154,207713,98617,109096,43013,284960,241947,6312258,-3790,-880,33,4648,-11
2022:Q1,6096457,4124683,491583,881401,2751699,1166907,1067652,796396,71594,596186,47744,80872,271256,253849,1462,15945,99256,92116,7140,-244380,690365,934745,1049247,856868,296658,560210,192379,97092,95287,37161,288705,251545,6133618,-3829,80264,-81061,4697,-71
2022:Q2,6411815,4375048,539700,976208,2859140,1178581,1177998,855345,66725,614332,91027,83262,322653,253201,1600,67852,583,-1203,1786,-261725,766744,1028469,1119911,901253,304719,596534,218658,100801,117857,50502,307345,256843,6462317,-3867,3491,-4306,4744,-62
2022:Q3,6536770,4419506,534857,968962,2915687,1244879,1184485,878637,68294,629608,95055,85680,305848,238773,1595,65480,60394,60298,96,-255487,768056,1023543,1127872,890209,308427,581782,237663,101049,136614,47814,321384,273570,6584583,-3904,21793,-22649,4789,-29
2022:Q4,6699067,4592508,562801,1041528,2988179,1166280,1169206,902598,68378,636875,109984,87361,266608,224975,1563,40070,-2926,-7630,4703,-209526,769881,979407,1149805,921747,319194,602553,228058,107570,120488,46398,335187,288789,6745465,-3940,-770,-102,4833,-21
2023:Q1,6547291,4434882,511625,926880,2996376,1173190,1115991,880527,70848,654752,65218,89709,235464,222194,-625,13895,57199,57383,-185,-184216,744075,928291,1123435,910001,322986,587015,213434,105971,107463,39732,347674,307942,6587023,-3951,-931,62,4875,-54
2023:Q2,6803012,4631083,558245,991302,3081535,1188517,1211088,931385,72163,666693,99996,92534,279703,220534,-642,59811,-22571,-23590,1019,-207461,748893,956354,1190873,942697,329054,613643,248176,109232,138944,43272,363187,319915,6846284,-3986,-948,67,4918,-50
2023:Q3,6928218,4672964,550976,999905,3122082,1271135,1224344,937192,72884,670262,101599,92447,287152,224910,1754,60489,46791,42218,4572,-217690,756165,973855,1201809,930947,338550,592397,270862,111259,159603,41015,374977,333962,6969233,-4021,-38,-878,4961,-24
2023:Q4,7082413,4831708,577927,1074614,3179166,1211051,1238864,967032,75106,679225,119358,93343,271832,226059,5113,40660,-27813,-30359,2546,-189320,778110,967430,1228973,968939,338541,630398,260034,116138,143896,40192,371254,331062,7122604,-4057,-902,30,5005,-77
2024:Q1,6918699,4676751,513953,959822,3202976,1229424,1180407,926034,75793,687437,67972,94832,254373,236830,2582,14961,49017,47994,1023,-183759,747146,930905,1196283,957506,335870,621636,238777,114121,124656,42891,384333,341441,6961591,-4067,-986,3,5050,0
