1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,89040,51241,30031,7323,0,5751,1572,445,89040,24289,26840,12374,14316,9825,1396,11,498,472,11,2,13,96,64,5,1,0,0,150,61,510,36601,3804
1955:Q2,92824,52371,32367,7641,0,6015,1626,445,92824,24879,28234,13470,14646,10110,1485,12,531,503,12,2,14,103,69,5,1,0,0,162,66,536,38765,4620
1955:Q3,94717,52636,33591,8045,0,6386,1659,445,94717,24685,30172,14015,14004,10261,1580,12,567,538,12,2,15,110,74,5,1,0,0,174,71,566,40395,4295
1955:Q4,95918,52307,34559,8607,0,6936,1671,445,95918,23868,32359,13768,13886,10382,1655,13,594,564,13,2,15,115,77,5,1,0,0,183,74,593,39435,7233
1956:Q1,97477,53673,34206,9253,0,7631,1622,345,97477,23419,33502,13383,14523,11050,1600,17,440,416,10,2,12,124,94,5,1,0,0,154,52,713,37570,6398
1956:Q2,100020,55166,34657,9852,0,8238,1614,345,100020,23719,35119,12957,15199,11385,1641,18,451,426,11,2,12,126,96,5,1,0,0,157,53,734,37708,3585
1956:Q3,102460,55845,35899,10370,0,8713,1657,345,102460,23431,36744,12825,16270,11492,1698,18,468,441,11,2,14,131,99,5,1,0,0,162,55,759,37581,3569
1956:Q4,103566,55728,36684,10809,0,9089,1720,345,103566,23113,37376,12698,17055,11610,1714,18,473,446,11,2,14,133,100,5,1,0,0,164,55,765,39297,2244
1957:Q1,105323,56061,37932,11062,0,9281,1781,268,105323,22639,38184,13066,17301,12456,1677,25,568,535,14,2,17,123,94,4,1,0,0,159,57,646,40009,2162
1957:Q2,104987,55932,37441,11346,0,9494,1852,268,104987,22249,38453,12865,17122,12615,1683,25,570,537,14,2,17,123,94,4,1,0,0,159,57,650,39608,2657
1957:Q3,107130,56047,39185,11630,0,9721,1909,268,107130,22164,39342,13301,17983,12617,1723,25,586,552,14,2,18,126,97,4,1,0,0,164,59,661,39332,2808
1957:Q4,106390,55952,38347,11823,0,9918,1905,268,106390,22027,38313,13529,17892,12934,1695,25,575,542,14,2,17,124,95,4,1,0,0,161,58,652,38948,-4518
1958:Q1,102007,54902,35323,12016,0,10096,1920,-234,102007,20804,34717,13552,18097,13171,1666,17,592,556,15,2,19,108,88,2,0,0,0,185,54,620,36568,-4009
1958:Q2,101280,54567,34727,12220,0,10254,1966,-234,101280,20701,33291,13702,18670,13311,1605,17,569,536,13,2,18,104,84,2,0,0,0,177,52,600,35863,-4235
1958:Q3,103377,56507,34584,12520,0,10530,1990,-234,103377,21869,32822,14176,19028,13897,1585,17,561,529,13,2,17,103,84,2,0,0,0,175,52,591,36568,1547
1958:Q4,109082,59930,36491,12895,0,10795,2100,-234,109082,23895,34048,15181,19960,14356,1642,17,583,549,14,2,18,107,87,2,0,0,0,184,54,608,37772,5235
1959:Q1,115507,62875,38962,13257,8,11034,2215,413,115507,26511,35738,15304,21561,14656,1737,16,597,562,14,2,19,144,114,4,1,2,0,215,61,583,40618,3876
1959:Q2,118251,64230,40037,13571,6,11298,2267,413,118251,27476,36863,15959,21744,14414,1795,16,618,582,14,2,20,150,118,4,1,2,0,222,62,602,42308,7288
1959:Q3,119359,63596,41607,13743,12,11483,2248,413,119359,27187,38076,16097,22141,13996,1862,16,642,604,15,2,21,156,123,4,1,2,0,230,64,624,43118,384
1959:Q4,117342,61553,41407,13970,33,11733,2204,413,117342,26534,38418,15588,21660,13278,1864,16,639,602,14,2,21,159,126,4,1,2,0,231,64,622,41040,4120
1960:Q1,120377,63512,42073,14322,96,12164,2062,470,120377,27633,40409,15255,21567,13534,1979,17,662,624,15,2,21,141,116,4,0,2,0,228,70,739,42424,11200
