date,FL893140005.Q,FL313140003.Q,FL543140005.Q,FL263140005.Q,FL893140005.Q,FL153040005.Q,FL763040005.Q,FL543040005.Q,FL733040005.Q,FL543141905.Q
1945:Q4,39560,3593,35967,0,39560,39560,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,43360,4758,38602,0,43360,43360,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,46510,5363,41147,0,46510,46510,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,49353,5576,43777,0,49353,49353,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,52104,5660,46444,0,52104,52104,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,55049,5969,49080,0,55049,55049,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q2,415029,24227,390802,0,415029,415029,0,0,0,0
1991:Q3,419933,24118,395815,0,419933,419933,0,0,0,0
1991:Q4,427029,24790,402239,0,427029,427029,0,0,0,0
1992:Q1,434387,24674,409713,0,434387,434387,0,0,0,0
1992:Q2,439014,25287,413727,0,439014,439014,0,0,0,0
1992:Q3,448765,25454,423311,0,448765,448765,0,0,0,0
1992:Q4,457341,26229,431112,0,457341,457341,0,0,0,0
1993:Q1,465502,26232,439270,0,465502,465502,0,0,0,0
1993:Q2,474715,26872,447843,0,474715,474715,0,0,0,0
1993:Q3,484439,26941,457498,0,484439,484439,0,0,0,0
1993:Q4,494325,27622,466703,0,494325,494325,0,0,0,0
1994:Q1,500724,27628,473096,0,500724,500724,0,0,0,0
1994:Q2,507885,28307,479578,0,507885,507885,0,0,0,0
1994:Q3,525937,28405,497532,0,525937,525937,0,0,0,0
1994:Q4,531939,28890,503049,0,531939,531939,0,0,0,0
1995:Q1,544664,28940,515724,0,544664,544664,0,0,0,0
1995:Q2,560644,29371,531273,0,560644,560644,0,0,0,0
1995:Q3,569996,29445,540551,0,569996,569996,0,0,0,0
1995:Q4,580205,29909,550296,0,580205,580205,0,0,0,0
1996:Q1,584946,30001,554945,0,584946,584946,0,0,0,0
1996:Q2,593543,30609,562934,0,593543,593543,0,0,0,0
1996:Q3,608575,30648,577927,0,608575,608575,0,0,0,0
1996:Q4,624626,30526,594100,0,624626,624626,0,0,0,0
1997:Q1,636314,31236,605078,0,636314,636314,0,0,0,0
1997:Q2,653819,31787,622032,0,653819,653819,0,0,0,0
1997:Q3,670936,31763,639173,0,670936,670936,0,0,0,0
1997:Q4,678819,32263,646556,0,678819,678819,0,0,0,0
1998:Q1,691038,32443,658595,0,691038,691038,0,0,0,0
1998:Q2,702518,33096,669422,0,702518,702518,0,0,0,0
1998:Q3,704873,33099,671774,0,704873,704873,0,0,0,0
1998:Q4,734727,33555,701172,0,734727,734727,0,0,0,0
1999:Q1,746927,33724,713203,0,746927,746927,0,0,0,0
1999:Q2,766393,34398,731995,0,766393,766393,0,0,0,0
1999:Q3,769442,34455,734987,0,769442,769442,0,0,0,0
1999:Q4,868570,34956,812848,20766,868570,821954,0,46467,0,149
2000:Q1,887389,35248,831127,21014,887389,839921,0,47316,0,152
2000:Q2,891972,35904,834805,21263,891972,843653,0,48165,0,154
2000:Q3,905021,35958,847552,21511,905021,855851,0,49014,0,156
2000:Q4,908517,36396,850362,21759,908517,858497,0,49862,0,158
2001:Q1,926329,36555,867142,22632,926329,873952,0,52211,0,166
2001:Q2,959546,37148,898894,23504,959546,904815,0,54559,0,172
2001:Q3,950653,37155,889122,24376,950653,893567,0,56906,0,180
2001:Q4,983757,37781,920728,25248,983757,924317,0,59254,0,186
2002:Q1,1012796,37713,948967,26116,1012796,951100,0,61502,0,194
2002:Q2,1027817,38713,962119,26985,1027817,963864,0,63752,0,201
2002:Q3,1032314,38684,965778,27852,1032314,966107,0,65999,0,208
2002:Q4,1039707,39354,971633,28720,1039707,971245,0,68247,0,215
2003:Q1,1059651,39373,990344,29934,1059651,988227,0,71199,0,225
2003:Q2,1095165,39793,1024223,31149,1095165,1020778,0,74152,0,235
2003:Q3,1124125,39930,1051833,32362,1124125,1046778,0,77102,0,245
2003:Q4,1151388,40480,1077332,33576,1151388,1071080,0,80054,0,254
2004:Q1,1162276,40468,1086173,35635,1162276,1076843,0,85162,0,271
2004:Q2,1181844,40940,1103209,37695,1181844,1091284,0,90272,0,288
2004:Q3,1198253,40994,1117506,39753,1198253,1102570,0,95379,0,304
2004:Q4,1229978,41566,1146600,41812,1229978,1129170,0,100487,0,321
2005:Q1,1232575,41567,1147332,43676,1232575,1129787,0,102403,0,385
2005:Q2,1241011,41985,1153488,45538,1241011,1136242,0,104318,0,451
2005:Q3,1259612,42055,1170155,47402,1259612,1152863,0,106234,0,515
2005:Q4,1268237,42702,1176270,49265,1268237,1159509,0,108149,0,579
2006:Q1,1305752,42778,1212343,50631,1305752,1091029,85180,113349,15517,677
2006:Q2,1313514,43333,1218189,51992,1313514,1092390,87010,118543,14798,773
2006:Q3,1344715,43470,1247890,53355,1344715,1115167,89816,123740,15121,871
2006:Q4,1384909,44204,1285987,54718,1384909,1146454,93392,128936,15160,967
2007:Q1,1403282,44565,1301916,56801,1403282,1159681,96608,130779,15129,1085
2007:Q2,1433734,45132,1329717,58885,1433734,1186322,97990,132624,15597,1201
2007:Q3,1454306,45116,1348224,60966,1454306,1198472,100277,134465,19773,1319
2007:Q4,1468766,45769,1359948,63049,1468766,1206282,104291,136308,20450,1435
2008:Q1,1467036,45682,1355413,65941,1467036,1198197,105329,141603,20163,1744
2008:Q2,1483174,46170,1368171,68833,1483174,1209161,108343,146898,16720,2052
2008:Q3,1494737,46054,1376959,71724,1494737,1207985,114923,152191,17277,2361
2008:Q4,1489462,46747,1368100,74615,1489462,1199279,110740,157485,19289,2669
2009:Q1,1501865,46689,1380189,74987,1501865,1207948,110475,159425,20974,3043
2009:Q2,1525836,47204,1403273,75359,1525836,1229267,111156,161365,20630,3418
2009:Q3,1551819,47239,1428850,75730,1551819,1252903,110416,163304,21404,3792
2009:Q4,1573283,47845,1449336,76102,1573283,1271025,111496,165244,21352,4166
2010:Q1,1580861,47750,1458943,74168,1580861,1278557,112111,163620,22035,4538
2010:Q2,1569690,47927,1449528,72235,1569690,1265611,112826,161997,24347,4909
2010:Q3,1599458,48092,1481064,70302,1599458,1294756,114357,160374,24690,5281
2010:Q4,1613582,48707,1496507,68368,1613582,1308090,115985,158750,25105,5652
2011:Q1,1639084,48777,1525071,65236,1639084,1328508,121550,158019,25149,5858
2011:Q2,1657963,49209,1546649,62105,1657963,1347048,122538,157289,25024,6064
2011:Q3,1668715,49498,1560406,58811,1668715,1355994,123566,156395,26492,6268
2011:Q4,1703797,49970,1598031,55796,1703797,1388536,125455,155781,27552,6474
2012:Q1,1725799,50076,1619899,55824,1725799,1392485,133752,159016,33685,6861
