1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,32224,32224,31301,393,0,0,0,0,133,397,0,0
1966:Q4,34829,34829,33850,425,0,0,0,0,140,414,0,0
1967:Q1,39280,39280,38226,469,0,0,0,0,150,435,0,0
1967:Q2,40429,40429,39284,523,0,0,0,0,163,459,0,0
1967:Q3,43249,43249,42006,581,0,0,0,0,177,485,0,0
1967:Q4,44308,44308,42973,635,0,0,0,0,190,510,0,0
1968:Q1,41949,41949,40523,692,0,0,0,0,199,535,0,0
1968:Q2,47493,47493,45972,759,0,0,0,0,201,561,0,0
1968:Q3,49914,49914,48300,816,0,0,0,0,211,587,0,0
1968:Q4,51232,51232,49529,845,0,0,0,0,244,614,0,0
1969:Q1,50339,50339,48554,845,0,0,0,0,301,639,0,0
1969:Q2,48052,48052,46190,816,0,0,0,0,382,664,0,0
1969:Q3,47940,47940,46004,777,0,0,0,0,470,689,0,0
1969:Q4,47588,47588,45578,745,0,0,0,0,550,715,0,0
1970:Q1,48369,48369,46279,719,0,0,0,0,634,737,0,0
1970:Q2,39201,39201,37027,688,0,0,0,0,734,752,0,0
1970:Q3,44172,44172,41919,662,0,0,0,0,817,774,0,0
1970:Q4,46812,46812,44501,645,0,0,0,0,849,817,0,0
1971:Q1,52687,52687,50329,645,0,0,0,0,831,882,0,0
1971:Q2,52961,52961,50571,659,0,0,0,0,763,968,0,0
1971:Q3,52214,52214,49798,677,0,0,0,0,677,1062,0,0
1971:Q4,55446,55446,53006,690,0,0,0,0,600,1150,0,0
1972:Q1,57548,57548,55084,701,0,0,0,0,526,1237,0,0
1972:Q2,56656,56656,54180,711,0,0,0,0,435,1330,0,0
1972:Q3,56209,56209,53712,721,0,0,0,0,357,1419,0,0
1972:Q4,58926,58926,56383,732,0,0,0,0,317,1494,0,0
1973:Q1,52843,52843,50224,743,0,0,0,0,321,1555,0,0
1973:Q2,48013,48013,45290,754,0,0,0,0,366,1603,0,0
1973:Q3,51927,51927,49090,765,0,0,0,0,425,1647,0,0
1973:Q4,46635,46635,43695,775,0,0,0,0,470,1695,0,0
1974:Q1,44521,44521,41490,785,0,0,0,0,512,1734,0,0
1974:Q2,40662,40662,37557,794,0,0,0,0,560,1751,0,0
1974:Q3,32320,32320,29123,804,0,0,0,0,603,1790,0,0
1974:Q4,35152,35152,31813,816,0,0,0,0,628,1895,0,0
1975:Q1,40968,40968,37436,832,0,0,0,0,635,2065,0,0
1975:Q2,46061,46061,42283,851,0,0,0,0,626,2301,0,0
1975:Q3,40876,40876,36835,871,0,0,0,0,611,2559,0,0
1975:Q4,43034,43034,38749,890,0,0,0,0,600,2795,0,0
1976:Q1,46920,46920,42619,912,0,0,0,0,594,2795,0,0
1976:Q2,47003,47003,42441,942,0,0,0,0,587,3033,0,0
1976:Q3,45799,45799,40957,964,0,0,0,0,581,3297,0,0
1976:Q4,46510,46510,41436,964,0,0,0,0,576,3534,0,0
1977:Q1,43037,43037,37826,941,0,0,0,0,578,3692,0,0
1977:Q2,45901,45901,40651,895,0,0,0,0,584,3771,0,0
1977:Q3,45617,45617,40413,841,0,0,0,0,592,3771,0,0
1977:Q4,45491,45491,40355,790,0,0,0,0,600,3746,0,0
1978:Q1,44493,44493,39400,738,0,0,0,0,605,3750,0,0
1978:Q2,46687,46687,41664,667,0,0,0,0,606,3750,0,0
1978:Q3,48619,48619,43683,615,0,0,0,0,613,3708,0,0
1978:Q4,46050,46050,41080,618,0,0,0,0,637,3715,0,0
1979:Q1,47697,47697,42476,680,0,0,0,0,679,3862,0,0
1979:Q2,48943,48943,43252,800,0,0,0,0,739,4152,0,0
1979:Q3,51166,51166,44837,939,0,0,0,0,805,4585,0,0
1979:Q4,51789,51789,38388,1060,0,0,0,0,865,8079,3397,0
1980:Q1,53772,53772,39456,1177,0,0,0,0,919,8658,3562,0
1980:Q2,59434,59434,44130,1304,0,0,0,0,967,9302,3731,0
1980:Q3,66091,66091,49129,1421,0,0,0,0,1021,10352,4168,0
1980:Q4,70395,70395,52060,1507,0,0,0,0,1093,11184,4551,0
1981:Q1,71227,71227,52359,1541,0,0,0,0,1168,11378,4781,0
1981:Q2,71535,71535,53153,1504,0,0,0,0,1231,10829,4818,0
1981:Q3,65157,65157,48742,1498,0,0,0,0,1329,9209,4379,0
1981:Q4,68834,68834,52640,1624,0,0,0,0,1507,8297,4766,0
1982:Q1,66089,66089,49981,1882,0,0,0,0,1791,7926,4509,0
1982:Q2,67525,67525,50031,2265,0,0,0,0,2208,8486,4535,0
1982:Q3,75941,75941,55666,2689,0,0,0,0,2607,9890,5089,0
1982:Q4,88353,88353,65110,3070,0,0,0,0,2837,11240,6096,0
1983:Q1,101710,101710,76160,3409,0,0,0,0,2904,12410,6827,0
1983:Q2,119852,119852,92057,3707,0,0,0,0,2816,13627,7645,0
1983:Q3,123236,123236,95017,4044,0,0,0,0,2697,13732,7746,0
1983:Q4,126973,126973,98040,4501,0,0,0,0,2671,13889,7872,0
1984:Q1,129465,129465,100040,5034,0,0,0,0,2683,13796,7912,0
1984:Q2,129412,129412,100241,5604,0,0,0,0,2673,13274,7620,0
1984:Q3,145397,145397,113338,6295,0,0,0,0,2749,14673,8342,0
1984:Q4,153337,153337,119018,7193,0,0,0,0,3019,15515,8592,0
1985:Q1,174257,174257,135840,8651,0,0,0,0,3526,16888,9352,0
1985:Q2,205015,205015,162766,10112,0,0,0,0,3979,18211,9947,0
1985:Q3,221441,221441,179161,10393,0,0,0,0,4171,18015,9701,0
1985:Q4,272965,272965,219442,10799,0,0,0,0,3514,21105,18105,0
1986:Q1,340693,340693,275257,12589,0,0,0,0,6894,24969,20984,0
1986:Q2,382490,382490,312493,13947,0,0,0,0,9525,25457,21068,0
1986:Q3,407139,407139,338139,14709,0,0,0,0,11032,23831,19428,0
1986:Q4,450367,450367,375743,15676,0,0,0,0,14460,24712,19776,0
1987:Q1,539434,539434,453009,16057,0,0,0,0,13587,31727,25054,0
1987:Q2,550400,550400,458493,15039,0,0,0,0,13018,36335,27515,0
1987:Q3,556224,556224,458924,14628,0,0,0,0,12078,40555,30039,0
1987:Q4,481466,481466,404113,12817,0,0,1752,0,5415,33224,24145,0
1988:Q1,502572,502572,422040,12167,0,0,1700,0,5837,35767,25061,0
1988:Q2,511551,511551,428843,11478,0,0,1642,0,6697,37444,25447,0
1988:Q3,504894,504894,424255,10912,55,0,1500,0,7591,36276,24305,0
1988:Q4,503097,503097,420389,10627,94,0,1366,0,8121,38262,24238,0
1989:Q1,515301,515301,427100,10876,211,2308,1300,0,7921,40630,24955,0
1989:Q2,549881,549881,456276,11643,500,2258,1210,0,7355,44371,26268,0
1989:Q3,576895,576895,476389,12045,945,2269,1215,0,6867,48823,28342,0
1989:Q4,591345,591345,468721,11709,1531,2173,1218,0,26471,51196,28326,0
1990:Q1,585636,585636,461905,11097,2226,1944,1300,0,28914,51205,27045,0
1990:Q2,620236,620236,484148,11261,3000,1960,1383,0,31905,57280,29299,0
1990:Q3,568041,568041,444432,9296,3867,1991,1400,0,30826,51499,24730,0
1990:Q4,603053,603053,470940,9723,4844,1902,1413,0,29768,57503,26960,0
1991:Q1,669138,669138,516151,11775,5899,2486,1675,0,31188,68466,31498,0
1991:Q2,700414,700414,537636,12357,7000,2656,1939,0,34125,72702,31999,0
1991:Q3,769566,769566,585136,13606,8156,3479,2250,0,36133,82613,35293,2900
1991:Q4,850744,850744,646801,14828,9375,3740,2569,0,41289,88416,37925,5801
1992:Q1,889980,889980,670372,16197,10656,4457,3150,0,43372,94592,38483,8701
1992:Q2,952243,952243,714710,17119,12000,3990,3721,0,46602,102272,40228,11601
1992:Q3,1019928,1019928,767030,18891,13406,4353,3890,0,50553,106492,40812,14501
1992:Q4,1096342,1096342,815039,21148,14875,3356,4060,0,55784,119962,44716,17402
1993:Q1,1201180,1201180,891599,23483,16412,3742,4300,0,63095,130698,47549,20302
1993:Q2,1302226,1302226,965013,25215,18013,3367,4593,0,70535,142528,49760,23202
1993:Q3,1419318,1419318,1048508,27899,19676,3751,4400,0,82289,154751,51941,26103
1993:Q4,1504644,1504644,1099943,29776,21391,3889,4201,0,92374,168654,55413,29003
1994:Q1,1495186,1495186,1073303,29526,23185,2988,3700,85,96231,178759,55506,31903
1994:Q2,1504264,1504264,1061616,29114,25103,2330,3368,166,102873,188074,56817,34803
1994:Q3,1580774,1580774,1100712,30922,27255,2036,3000,255,109725,207870,61295,37704
1994:Q4,1544320,1544320,1019327,31061,29298,2007,2633,336,110952,232886,75216,40604
1995:Q1,1649397,1649397,1058545,34725,31595,2125,2700,416,121160,270407,82817,44907
1995:Q2,1800550,1800550,1126823,38408,33791,2447,2830,503,145743,308500,91084,50421
1995:Q3,1954042,1954042,1200705,42323,34751,2580,2830,594,161848,353986,98429,55996
1995:Q4,2058275,2058275,1239948,45668,35430,2323,2840,671,175205,392724,103189,60277
1996:Q1,2201626,2201626,1317576,50177,36221,2463,2870,755,192723,425959,107296,65586
1996:Q2,2351651,2351651,1407588,54306,39602,2311,2915,841,210072,452156,110790,71070
1996:Q3,2461780,2461780,1458120,57743,41007,2226,2746,927,226106,483812,113587,75506
1996:Q4,2623994,2623994,1489156,62566,41582,2610,2577,1040,245837,536840,160476,81310
1997:Q1,2686387,2686387,1504645,62961,41125,11410,2746,1140,257310,555280,165279,84491
1997:Q2,3051401,3051401,1688644,69664,39384,12610,2717,1365,301495,651303,188591,95628
1997:Q3,3368362,3368362,1860047,74632,36428,12764,2707,1573,338794,731126,204790,105501
1997:Q4,3409315,3409315,1880014,74492,34169,12885,2589,1674,344416,740922,210036,108118
1998:Q1,3840596,3840596,2122187,84641,30989,11429,2961,1902,398214,830815,236461,120997
1998:Q2,3977323,3977323,2216264,88194,33513,11352,3309,1989,421349,833026,242195,126132
1998:Q3,3622978,3622978,2019847,83020,26934,12123,3264,1873,381219,749151,227192,118355
1998:Q4,4173531,4173531,2277198,97645,35602,13217,3789,2201,454614,889897,264997,134371
1999:Q1,4327921,4327921,2319259,102125,35430,12496,3906,2268,477610,953675,281182,139970
1999:Q2,4651052,4651052,2475463,110629,35053,12656,4011,2423,520802,1038731,301278,150006
1999:Q3,4498393,4498393,2359852,109252,34634,12159,4131,2350,501042,1028757,298684,147532
1999:Q4,5233194,5233194,2743340,127331,34794,13570,2680,2806,618512,1182367,339403,168391
2000:Q1,5600779,5600779,2950341,132886,34339,14894,3345,3045,682477,1248153,351703,179596
2000:Q2,5463631,5463631,2837640,128352,33577,14689,2394,3057,667897,1253357,352367,170301
2000:Q3,5541139,5541139,2846359,128479,33023,14859,2333,3174,682203,1298077,364744,167888
2000:Q4,5119386,5119386,2556769,118041,32168,16203,2308,3044,632771,1246111,362504,149467
2001:Q1,4588723,4588723,2311039,106246,31401,19971,2068,2811,554826,1090945,341863,127553
2001:Q2,4887912,4887912,2510647,112361,31027,19819,3579,3038,593486,1126529,355177,132249
2001:Q3,4252626,4252626,2171629,99260,29869,20612,3112,2750,502086,992575,323753,106980
2001:Q4,4689603,4689603,2414122,108960,29372,24902,6065,3974,569742,1065212,351160,116094
2002:Q1,4812247,4812247,2427989,109114,28339,25486,3700,3984,595385,1145090,358031,115129
2002:Q2,4433260,4433260,2274808,99863,27279,23845,4070,3623,532674,1055669,313350,98079
2002:Q3,3898456,3898456,1964166,87756,26075,22134,3789,3182,453317,952392,299895,85750
2002:Q4,4118082,4118082,2055460,90918,25325,26739,4006,3326,488968,1018090,315138,90112
2003:Q1,4057552,4057552,2044109,89812,25312,22165,4864,3543,479132,968464,331875,88276
2003:Q2,4649056,4649056,2363742,100865,28703,23091,4568,4282,554991,1104616,363333,100865
2003:Q3,4845657,4845657,2469644,105180,29869,20007,4304,4716,591417,1126263,385066,109191
2003:Q4,5362097,5362097,2730378,114880,32843,19718,4167,5443,668288,1241098,420826,124456
2004:Q1,5620835,5620835,2902391,117914,33974,19150,4301,5826,700447,1269714,432989,134129
2004:Q2,5640075,5640075,2857124,118146,34225,18370,4003,6063,711405,1288765,463367,138607
2004:Q3,5663150,5663150,2921914,116560,34369,17713,3606,6281,715869,1267985,441684,137169
2004:Q4,6194101,6194101,3181157,125553,37352,18557,3259,7017,790280,1408778,473936,148212
2005:Q1,6170973,6170973,3156421,124068,37017,16401,2944,7077,781173,1433288,466946,145638
2005:Q2,6352653,6352653,3204507,125722,38036,15189,2680,7393,815910,1520619,474499,148098
2005:Q3,6676786,6676786,3358050,131207,39893,15732,2334,7873,856430,1629455,478522,157290
2005:Q4,6864553,6864553,3406128,134404,40849,16177,2262,8181,880111,1727011,486128,163302
2006:Q1,7313565,7313565,3631009,146510,43021,14532,2366,8819,930924,1841598,519381,175405
2006:Q2,7227911,7227911,3580406,149921,42574,16257,2135,8929,919128,1827270,506248,175043
2006:Q3,7517282,7517282,3726015,159532,44296,18658,2146,9491,961410,1888253,519792,187689
2006:Q4,8059704,8059704,4010045,173221,47071,20244,2191,10284,1042637,2003479,544069,206463
2007:Q1,8335378,8335378,4203256,174805,48156,17897,2303,10995,1061279,2049298,548613,218776
2007:Q2,8846074,8846074,4473398,181888,50834,18947,2015,12075,1127523,2164695,577917,236782
2007:Q3,9078504,9078504,4593024,183739,52239,22642,2184,12877,1169797,2224041,578425,239536
2007:Q4,8914408,8914408,4536748,178028,51045,23806,2253,13047,1154930,2174149,548726,231676
2008:Q1,8266118,8266118,4232453,161150,47473,23384,2531,12064,1055533,2022613,498061,210856
2008:Q2,8280019,8280019,4283233,155506,47271,22040,2482,11943,1051558,2019444,478781,207761
2008:Q3,7276842,7276842,3736558,135848,42161,19017,2111,10582,920666,1802504,430979,176416
2008:Q4,5788401,5788401,2911699,106333,34600,22842,2159,8615,735922,1480194,353142,132895
2009:Q1,5440338,5440338,2720014,108583,32644,39302,3443,8108,684428,1405308,320520,117988
2009:Q2,6372319,6372319,3251599,129437,37519,37598,1859,9299,799194,1628107,342507,135200
2009:Q3,7402832,7402832,3823990,151868,42876,26172,1622,10606,927548,1872389,379718,166043
2009:Q4,7796729,7796729,4045199,162039,44514,20715,1597,10992,973116,1955289,399888,183380
2010:Q1,8215276,8215276,4303143,168312,46341,16149,1834,11205,1015290,2038143,413620,201239
2010:Q2,7689974,7689974,4036828,157789,43230,16178,1636,10215,941087,1898413,385525,199073
2010:Q3,8478482,8478482,4460816,174166,47506,15206,1605,10990,1035859,2088246,410212,233876
2010:Q4,9029849,9029849,4730093,185670,50424,14088,1538,11432,1115479,2220170,438415,262540
2011:Q1,9477390,9477390,4980700,189340,52659,13950,1676,11744,1165604,2318236,454964,288517
2011:Q2,9567658,9567658,5045784,186158,53037,12690,1852,11634,1165868,2334452,450939,305244
2011:Q3,8437553,8437553,4503033,161246,47225,13087,1837,10166,1021974,2073058,336738,269189
2011:Q4,8941397,8941397,4710937,165891,50059,13353,1867,10785,1085944,2199958,332235,370368
2012:Q1,9888562,9888562,5279728,179519,54911,12031,2109,12372,1188408,2409782,319525,430177
2012:Q2,9680764,9680764,5183747,172791,53598,11132,2072,12523,1148395,2343863,291109,461534
2012:Q3,10213795,10213795,5493681,179295,56367,10680,2179,13584,1204684,2459038,316155,478132
2012:Q4,10363508,10363508,5578190,179281,57037,13261,2291,14142,1214537,2481487,327837,495445
2013:Q1,11103241,11103241,6025477,189348,60344,14262,2558,15064,1290813,2646725,354945,503705
2013:Q2,11089666,11089666,5993804,188970,60328,11720,2353,15152,1282116,2665422,366351,503450
2013:Q3,11656492,11656492,6279928,198748,63553,13107,2210,15985,1344276,2828139,388480,522066
2013:Q4,12333012,12333012,6637191,209809,67106,12942,2151,16970,1416712,3006887,410179,553065
