1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,5119,0,0,0,0,0,0,2728,2728,2612,0,0,116,0,0,0,0,2391,1832,559,0,0,0,5119,116,0,0,0,116,0,116,0,0,0,5003,1832,1832,0,3171,0,559,2612,0,0,0,0,0,0,0,0,-116,0,0,0,0,0,0,0,0,0,-116,0,-2275,896,-3171,2391,0
1961:Q3,5339,0,0,0,0,0,0,2768,2768,2640,0,0,128,0,0,0,0,2571,2012,559,0,0,0,5339,128,0,0,0,128,0,128,0,0,0,5211,2012,2012,0,3199,0,559,2640,0,0,0,0,0,0,0,0,-128,0,0,0,0,0,0,0,0,0,-128,0,-2443,756,-3199,2571,0
1961:Q4,5383,0,0,0,0,0,0,2860,2860,2720,0,0,140,0,0,0,0,2523,1960,563,0,0,0,5383,140,0,0,0,140,0,140,0,0,0,5243,1960,1960,0,3283,0,563,2720,0,0,0,0,0,0,0,0,-140,0,0,0,0,0,0,0,0,0,-140,0,-2383,900,-3283,2523,0
1962:Q1,5434,0,0,0,0,0,0,3016,3016,2896,0,0,120,0,0,0,0,2418,1868,550,0,0,0,5434,120,0,0,0,120,0,120,0,0,0,5314,1868,1868,0,3446,0,550,2896,0,0,0,0,0,0,0,0,-120,0,0,0,0,0,0,0,0,0,-120,0,-2298,1148,-3446,2418,0
1962:Q2,5887,0,0,0,0,0,0,3160,3160,3040,0,0,120,0,0,0,0,2727,2156,571,0,0,0,5887,120,0,0,0,120,0,120,0,0,0,5767,2156,2156,0,3611,0,571,3040,0,0,0,0,0,0,0,0,-120,0,0,0,0,0,0,0,0,0,-120,0,-2607,1004,-3611,2727,0
1962:Q3,5501,0,0,0,0,0,0,2852,2852,2744,0,0,108,0,0,0,0,2649,2052,597,0,0,0,5501,108,0,0,0,108,0,108,0,0,0,5393,2052,2052,0,3341,0,597,2744,0,0,0,0,0,0,0,0,-108,0,0,0,0,0,0,0,0,0,-108,0,-2541,800,-3341,2649,0
1962:Q4,5998,0,0,0,0,0,0,3240,3240,3084,0,0,156,0,0,0,0,2758,2140,618,0,0,0,5998,156,0,0,0,156,0,156,0,0,0,5842,2140,2140,0,3702,0,618,3084,0,0,0,0,0,0,0,0,-156,0,0,0,0,0,0,0,0,0,-156,0,-2602,1100,-3702,2758,0
1963:Q1,6117,0,0,0,0,0,0,3320,3320,3228,0,0,92,0,0,0,0,2797,2168,629,0,0,0,6117,92,0,0,0,92,0,92,0,0,0,6025,2168,2168,0,3857,0,629,3228,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,-92,0,-2705,1152,-3857,2797,0
1963:Q2,6334,0,0,0,0,0,0,3428,3428,3344,0,0,84,0,0,0,0,2906,2268,638,0,0,0,6334,84,0,0,0,84,0,84,0,0,0,6250,2268,2268,0,3982,0,638,3344,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,-84,0,-2822,1160,-3982,2906,0
1963:Q3,6714,0,0,0,0,0,0,3676,3676,3584,0,0,92,0,0,0,0,3038,2392,646,0,0,0,6714,92,0,0,0,92,0,92,0,0,0,6622,2392,2392,0,4230,0,646,3584,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,-92,0,-2946,1284,-4230,3038,0
