1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q4,5835324,2064417,1517696,16435,4615,525671,1292563,1092686,114461,8953,76463,1706,993689,1053143,-59454,539642,278687,126796,134159,879382,852362,22292,4728,63925,245185,9011,236174,181260,23921,157339,5835324,104320,1.8202813928762667,5212660,138605,2.7316382766747194
1975:Q1,6251732,2142403,1582858,17398,4768,537379,1328113,1125228,119511,9095,74279,1829,1261147,1314895,-53748,551798,285210,129304,137284,900717,872543,23302,4872,65725,255527,11291,244236,189802,30308,159494,6251732,416409,7.13599941781759,5466041,253382,4.8608962017573
1975:Q2,6472124,2216133,1642027,18153,4903,551050,1365075,1151518,123215,9292,81050,1921,1354083,1404099,-50016,560162,285856,134286,140020,906064,876957,24097,5010,68686,261567,10805,250762,192881,35096,157785,6472124,220392,3.5252909834532242,5699427,233385,4.269734224546829
1975:Q3,6447083,2228768,1642336,18651,5025,562756,1388251,1171457,125266,9266,82262,2015,1281714,1341163,-59449,563311,286488,134453,142370,910453,880547,24766,5140,72571,264730,9108,255622,192159,32046,160113,6447083,-25041,-0.3869056055174455,5695140,-4287,-0.07521999383760844
1975:Q4,6602820,2286518,1684206,19180,5136,577996,1413727,1196958,127379,9264,80126,2135,1330054,1391920,-61866,572069,288182,139511,144376,918386,887629,25493,5264,79931,275714,9585,266129,195783,33399,162384,6602820,155737,2.4156162453149475,5862060,166920,2.9309246422205155
1976:Q1,6807203,2335041,1717934,19842,5250,592015,1441847,1222968,130403,9318,79158,1837,1434378,1489586,-55208,584516,291816,146462,146238,929044,897543,26115,5386,80540,284940,9885,275055,204400,39514,164886,6807203,204383,3.0953897114312805,6062382,200322,3.4172645461288766
1976:Q2,6991674,2420317,1789837,20418,5419,604643,1491689,1266335,132835,9495,83024,1861,1453540,1508595,-55055,592935,296552,147221,149162,942334,910013,26796,5525,88998,292725,9642,283083,203727,39559,164168,6991674,184471,2.7099356526533636,6239449,177067,2.9207494693516187
1976:Q3,7115632,2471455,1826561,21082,5572,618240,1526233,1302411,135745,9639,78438,1799,1478395,1534764,-56369,604671,303705,149024,151942,948146,915010,27467,5669,84933,299398,9283,290115,214465,40120,174345,7115632,123959,1.7729497155765008,6355021,115572,1.8522837305849738
1976:Q4,7288343,2543119,1880025,21838,5735,635521,1568516,1341057,139076,9686,78698,1943,1476932,1536057,-59125,619507,311938,152562,155007,958540,924616,28098,5826,119786,367029,9453,357576,247243,47475,199768,7288343,172711,2.4272044237351165,6523244,168222,2.647074668094514
1977:Q1,7401156,2630011,1949358,22450,5882,652321,1613768,1381471,142539,9824,79935,1803,1426728,1489924,-63196,632408,315885,158876,157647,976278,941634,28669,5975,120160,372050,9591,362459,251890,44313,207577,7401156,112813,1.5478547557051077,6632797,109553,1.6794322299223965
1977:Q2,7605057,2742979,2047570,23059,6053,666297,1656357,1421959,145843,9916,78638,1927,1451486,1517137,-65651,643282,320114,162496,160672,990588,955099,29354,6135,118438,380502,9823,370679,262064,46038,216026,7605057,203900,2.7549787627754347,6812612,179815,2.7110032315119903
1977:Q3,7741784,2839343,2125108,23729,6239,684267,1707143,1467923,149510,9969,79740,1877,1428238,1496870,-68632,646138,319297,162823,164018,1008688,972323,30062,6303,110357,386270,10252,376018,275913,44502,231411,7741784,136727,1.7978459118264924,6952579,139966,2.054518815792093
1977:Q4,7903176,2947334,2211304,24480,6434,705116,1762657,1512676,153768,10008,86205,1711,1399113,1475252,-76139,655972,321005,167372,167595,1023316,985968,30869,6479,113073,405535,10110,395425,292462,45129,247333,7903176,161392,2.084689224505545,7109888,157309,2.262603231815946
1978:Q1,8078660,3042463,2286391,25249,6657,724166,1832791,1567899,157883,10340,96669,1858,1376979,1454960,-77981,670761,326290,173408,171063,1040723,1002306,31746,6671,113085,416626,10544,406082,303541,43234,260307,8078660,175484,2.220421152009571,7283379,173491,2.440141835032562
1978:Q2,8391416,3172605,2392252,26115,6894,747344,1903382,1627929,162884,10562,102007,1937,1443367,1520354,-76987,689979,335611,179734,174634,1068812,1029257,32672,6883,111334,423833,10730,413103,312499,47584,264915,8391416,312756,3.8713818421951407,7530726,247347,3.3960411538375723
1978:Q3,8663240,3288652,2483986,27005,7164,770497,1969746,1685331,168326,10777,105312,2082,1501466,1579847,-78381,706909,344496,183661,178752,1097216,1056463,33641,7112,97169,428986,11832,417154,331817,51327,280490,8663240,271825,3.239318804616579,7777110,246384,3.271713038432806
1978:Q4,8888114,3407984,2577511,27912,7463,795098,2038863,1742627,173992,10959,111284,1973,1457404,1548340,-90936,721488,350840,187425,183223,1125638,1083868,34409,7361,134764,474208,11236,462972,339444,47859,291585,8888114,224873,2.5957171846320026,7959621,182511,2.3467724304279383
1979:Q1,9253727,3561950,2704236,28853,7779,821082,2125824,1806496,181005,11220,127104,2065,1534093,1621330,-87237,741442,363954,189456,188032,1156205,1112737,35825,7643,132148,491815,11735,480080,359667,51322,308345,9253727,365614,4.1135158194115355,8274768,315147,3.959325970727762
1979:Q2,9596647,3717513,2832579,29758,8116,847060,2214007,1884494,187906,11580,130027,2315,1561996,1646012,-84016,760341,375843,191219,193279,1198622,1153752,36932,7938,141853,503492,12022,491470,361639,52534,309105,9596647,342920,3.705745899426495,8550868,276100,3.336650953722563
1979:Q3,9941249,3845262,2937035,30635,8482,869110,2300947,1963860,194801,11870,130416,2495,1622244,1710249,-88005,781919,388798,194142,198979,1247004,1201135,37607,8262,141378,527286,14087,513199,385908,55881,330027,9941249,344602,3.590859508181704,8832816,281948,3.297300251334414
1979:Q4,10272150,3961948,3025997,31525,8850,895576,2378693,2033457,202086,12202,130948,2694,1657769,1754889,-97120,799572,397310,197501,204761,1295515,1248372,38558,8585,175959,566891,14803,552088,390932,55434,335498,10272150,330901,3.328567631139963,9105753,272937,3.090029677422325
1980:Q1,10545700,4113142,3142501,32849,9252,928540,2450488,2100245,209104,12534,128605,1594,1643524,1759210,-115686,815743,405199,199010,211534,1342926,1294075,39908,8943,178283,582529,14344,568185,404246,53575,350671,10545700,273550,2.663024330244649,9303538,197786,2.1720947545688487
1980:Q2,10970725,4223728,3229277,34074,9621,950756,2528514,2167111,215944,12894,132565,2036,1797528,1888075,-90547,840926,414843,208193,217890,1392763,1342092,41366,9305,185230,598890,17548,581342,413660,60991,352669,10970725,425025,4.03031187212591,9649530,345991,3.7189215439485133
1980:Q3,11401808,4369625,3354028,35214,9989,970394,2608468,2237969,222422,13316,134761,2022,1920759,2015057,-94298,861337,428873,208211,224253,1450340,1397873,42798,9669,189257,610829,19083,591746,421572,67590,353982,11401808,431083,3.9293923773328467,10041322,391792,4.060218390770441
1980:Q4,11792352,4451130,3413722,36150,10389,990869,2689173,2313816,227609,13666,134082,2172,2048078,2146971,-98893,888284,441487,215889,230908,1505329,1451264,44023,10042,208186,662561,18930,643631,454375,74586,379789,11792352,390544,3.4252825850231456,10365437,324115,3.227812772050117
1981:Q1,12030128,4514682,3458906,37243,10750,1007783,2751398,2368247,234953,14113,134085,2351,2088499,2181718,-93219,902826,447291,218088,237447,1555584,1499896,45263,10425,214788,684619,18883,665736,469831,76834,392997,12030128,237776,2.016360261312887,10557203,191766,1.850056169143842
1981:Q2,12349932,4715758,3637211,38344,11185,1029018,2804501,2410788,242294,14408,137012,2489,2090552,2172327,-81775,923827,453048,225997,244782,1597444,1539944,46700,10800,215361,697112,18417,678695,481751,78076,403675,12349932,319804,2.658361933641084,10844175,286972,2.7182577355480464
1981:Q3,12459880,4842006,3743288,39224,11567,1047927,2839675,2445487,248207,14812,131169,2259,1977098,2063585,-86487,943860,457575,235132,251153,1636236,1577561,47523,11152,218746,701385,15333,686052,482639,69484,413155,12459880,109948,0.8902682525657444,10950408,106233,0.9796339544659034
1981:Q4,12769306,4916768,3803851,40085,12053,1060779,2883132,2485585,253944,15311,128292,2191,2086766,2163470,-76704,959787,463386,237746,258655,1669531,1609260,48744,11527,251131,747422,16467,730955,496291,74683,421608,12769306,309426,2.483377648684759,11265151,314743,2.874257882372969
1982:Q1,12737336,5030489,3903891,40830,12379,1073389,2932141,2524585,257129,15412,135014,2192,1948183,2030965,-82782,973158,469806,238687,264665,1697576,1636238,49446,11892,153597,579329,14044,565285,425731,68554,357177,12737336,-31969,-0.250361790529205,11410719,145568,1.2921942553903436
1982:Q2,12903109,5075194,3935371,41669,12713,1085441,2969352,2554061,260976,15630,138685,2287,1943818,2032713,-88895,1002611,476549,255756,270306,1730918,1668308,50365,12245,178928,598076,13513,584563,419147,67704,351443,12903109,165772,1.301467040321688,11551114,140395,1.2303790991463508
1982:Q3,13069808,5096982,3948646,42230,13032,1093074,2986691,2575495,263293,16003,131900,2532,2038622,2106751,-68129,1009350,479614,254327,275409,1755025,1691129,51327,12569,180606,602142,13693,588449,421536,74449,347087,13069808,166699,1.2919321881456063,11770187,219073,1.8965546676222518
1982:Q4,13335353,5148139,3989640,42670,13405,1102424,3005164,2589754,265258,16566,133586,2994,2210893,2290157,-79264,1024194,480445,262817,280932,1761861,1696957,52021,12883,182108,639413,17442,621971,457305,88324,368981,13335353,265545,2.0317409146872434,12090411,320224,2.720633607084631
1983:Q1,13601139,5221901,4047656,43250,13682,1117313,3041168,2618857,265422,16584,140305,3171,2336141,2407862,-71721,1032222,480588,265541,286093,1769444,1703470,52772,13202,197092,652031,19401,632630,454939,98625,356314,13601139,265786,1.9930919326717798,12430821,340410,2.8155351244237776
1983:Q2,13860281,5290283,4100094,43777,13933,1132479,3052552,2634450,265483,16797,135822,3402,2506508,2560506,-53998,1045988,481324,273895,290769,1772042,1704944,53559,13539,189505,664153,22898,641255,474648,110389,364259,13860281,259142,1.9052973321856639,12728547,297727,2.395069546113106
1983:Q3,13982320,5365336,4154821,44367,14299,1151849,3075888,2663921,265985,17284,128697,3408,2493417,2563224,-69807,1068150,488049,283145,296956,1778681,1710219,54540,13922,197441,685378,24289,661089,487937,110130,377807,13982320,122040,0.8805000125444233,12887847,159300,1.2515139621449531
1983:Q4,14148316,5444411,4209413,45262,14644,1175092,3120880,2704845,268073,17915,130047,3642,2466095,2490663,-24568,1084225,491876,289329,303020,1784065,1714287,55461,14317,244998,791878,26154,765724,546880,109555,437325,14148316,165996,1.187181689895231,12990759,102912,0.7985206597622729
1984:Q1,14367213,5648683,4392635,45872,14989,1195187,3144251,2720810,269357,18022,136063,3686,2386591,2478109,-91518,1117190,503351,303764,310075,1793538,1722114,56693,14731,273274,816970,28801,788169,543696,105627,438069,14367213,218897,1.5471615086119095,13226115,235356,1.8117191206696273
1984:Q2,14564529,5826507,4541059,46612,15202,1223634,3164126,2738908,271344,18473,135400,3322,2364151,2470285,-106134,1134666,503561,315845,315260,1811081,1738310,57653,15118,260676,836556,25051,811505,575880,100731,475149,14564529,197316,1.3733756631956267,13455821,229706,1.7367621137238731
1984:Q3,14870707,5993672,4684988,47316,15499,1245869,3190014,2765063,273069,19156,132726,3821,2461431,2534439,-73008,1157498,505418,330900,321180,1828099,1753717,58874,15508,236172,834162,25456,808706,597990,107372,490618,14870707,306177,2.1022133732379835,13788949,333128,2.475713402570602
1984:Q4,15075761,6150304,4816923,48100,15698,1269583,3221698,2789414,275474,19855,136955,3966,2486839,2548324,-61485,1181793,512526,344038,325229,1844662,1768947,59825,15890,186499,814714,25994,788720,628214,104852,523362,15075761,205055,1.3789160250558545,14074561,285613,2.0713145867678953
1985:Q1,15469512,6324809,4960818,48555,15968,1299468,3248338,2813349,276393,20209,138387,4284,2662783,2702195,-39412,1189445,517854,340424,331167,1865057,1787284,61476,16297,174795,823720,30324,793396,648925,112979,535946,15469512,393751,2.6118124324243053,14477362,402800,2.8619024599432037
1985:Q2,15787721,6521392,5130422,49116,16221,1325633,3261576,2830101,277919,20619,132937,4552,2783552,2789648,-6096,1193031,522702,333539,336790,1882864,1803279,62910,16675,140754,826480,32398,794082,685725,120428,565297,15787721,318209,2.0570089953107065,14815812,338450,2.337789204151415
1985:Q3,16006848,6732066,5315273,49694,16487,1350612,3294321,2863589,279990,21262,129480,4724,2733451,2761726,-28275,1206005,525900,337535,342570,1904222,1822962,64217,17043,132059,841192,37738,803454,709133,115106,594027,16006848,219127,1.3879553342357358,15021418,205607,1.3877517856517183
1985:Q4,16443585,6937161,5492906,50419,16706,1377130,3353925,2912260,283730,22012,135923,4718,2875717,2847308,28409,1210016,528614,333965,347437,1928856,1845633,65830,17393,133191,964504,44383,920121,831312,136791,694521,16443585,436737,2.7284408138536884,15521495,500076,3.3290869749365064
1986:Q1,16878173,7076987,5606479,51159,17057,1402292,3382702,2943506,284430,22418,132348,5285,3127703,3033372,94331,1218287,532898,332996,352393,1956781,1872064,66959,17758,110428,999873,58372,941501,889445,162113,727332,16878173,434588,2.6429034758891725,16017002,495508,3.192397825278548
1986:Q2,17229145,7264499,5758746,52297,17420,1436036,3413797,2975024,287970,22850,127953,6157,3256843,3150997,105846,1227403,536695,333315,357393,1991196,1904218,68807,18171,69250,1019984,64259,955725,950734,178274,772460,17229145,350972,2.079443338300457,16396582,379580,2.3698539572406774
1986:Q3,17355466,7464725,5910883,53402,17745,1482695,3457107,3016221,291709,23534,125643,6136,3094026,3026909,67117,1242058,541659,338449,361950,2023982,1934891,70487,18604,67432,1049639,72043,977596,982207,172779,809428,17355466,126321,0.7331838096545857,16581789,185207,1.1295436870741806
1986:Q4,17834984,7644160,6049418,54289,18069,1522384,3498188,3054746,294536,24417,124489,6398,3245863,3167911,77952,1259625,553366,339675,366584,2056726,1964715,72950,19061,124024,1179488,72399,1107089,1055463,183172,872291,17834984,479518,2.762921931239819,17151952,570163,3.438489675230741
1987:Q1,18430794,7820609,6192570,55365,18524,1554150,3543554,3093672,296522,24776,128584,7192,3627780,3522992,104788,1275204,558498,344386,372320,2085943,1992227,74169,19547,70512,1211880,91583,1120297,1141368,228339,913029,18430794,595809,3.3406772973137775,17778464,626513,3.6527205667778873
1987:Q2,18745438,8009484,6345840,56214,19002,1588428,3579617,3128903,297572,25446,127696,7056,3694829,3596690,98139,1290245,562973,348370,378902,2119085,2023410,75621,20054,45122,1220590,99680,1120910,1175468,242944,932524,18745438,314644,1.7071657000386784,18068222,289757,1.6298203762230334
1987:Q3,19112533,8195217,6493503,57090,19498,1625126,3615639,3163813,298854,26518,126454,7278,3832100,3734581,97519,1312290,571861,354415,386014,2154269,2056679,76995,20595,-4261,1239496,107277,1132219,1243756,259413,984343,19112533,367095,1.9583164010047585,18485280,417059,2.3082449628456376
1987:Q4,18968722,8330141,6598723,58601,20155,1652662,3669597,3208385,303632,28105,129475,5877,3359164,3347623,11541,1317674,570498,352037,395139,2179932,2080297,78462,21173,106337,1300462,94700,1205762,1194126,189006,1005120,18968722,-143811,-0.752443444362232,18419389,-65891,-0.35645269493344023
1988:Q1,19427463,8514062,6753305,59712,20947,1680098,3728164,3258011,307451,29088,133614,6345,3564752,3534190,30562,1338052,571197,362475,404380,2210318,2108350,80166,21802,65770,1318563,110010,1208553,1252793,199740,1053053,19427463,458741,2.418409071016274,18927018,507629,2.7559477742904326
1988:Q2,19838175,8751511,6950051,60742,21684,1719034,3776328,3300169,310734,30376,135049,6500,3701723,3651220,50503,1355736,576426,367032,412278,2234559,2130070,82028,22461,11818,1324558,105733,1218825,1312740,211473,1101267,19838175,410712,2.114080236752203,19360855,433837,2.2921570172607018
1988:Q3,20089453,8929484,7087072,61706,22332,1758374,3822934,3340500,313486,32072,136876,6664,3686213,3647031,39182,1373661,585827,369297,418537,2260724,2153424,84171,23129,9773,1346861,108506,1238355,1337088,211836,1125252,20089453,251278,1.2666397298070267,19681855,321001,1.6579879010184146
1988:Q4,20503014,9094409,7207766,63306,23011,1800326,3877703,3388668,319657,33847,135532,6578,3747355,3722498,24857,1405285,601146,379567,424572,2285320,2175285,86189,23846,86364,1491968,128662,1363306,1405604,213813,1191791,20503014,413561,2.058597681073616,20176457,494602,2.5129836379308235
1989:Q1,20896387,9256889,7332485,64584,23750,1836070,3932344,3433238,323245,35275,140586,6649,3901956,3863462,38494,1418533,603080,384560,430893,2309665,2196422,88634,24609,70351,1531044,133621,1397423,1460694,226810,1233884,20896387,393373,1.9186097935955337,20610346,433889,2.1504716944244486
1989:Q2,21363353,9431993,7477745,65729,24499,1864020,3989360,3486034,326247,36647,140432,6188,4109829,4034182,75647,1439392,610522,392172,436698,2347084,2231022,90627,25435,39506,1551389,137833,1413556,1511882,247993,1263889,21363353,466966,2.234672479974676,21033087,422741,2.0511092523794017
1989:Q3,21924084,9674610,7685986,67215,25229,1896180,4024430,3519713,330591,38312,135814,6475,4334276,4255622,78654,1463703,619270,402687,441746,2382210,2262978,92941,26291,38380,1612542,171711,1440831,1574163,275749,1298414,21924084,560731,2.6247337340641232,21574341,541254,2.5733447105321816
1989:Q4,22265960,9817681,7797521,68558,26019,1925583,4070053,3557102,333525,39929,139497,5788,4446034,4398296,47738,1477370,627901,402685,446784,2411943,2289407,95370,27166,37091,1766648,197345,1569303,1729557,275709,1453848,22265960,341876,1.5593637964990665,21972119,397778,1.8437550849429603
1990:Q1,22278447,9869598,7805824,70032,26759,1966983,4092765,3573186,336256,40939,142385,5725,4392299,4360407,31892,1493415,631173,410115,452127,2447261,2321765,97449,28047,-22617,1733850,162878,1570972,1756466,260910,1495556,22278447,12486,0.05607773604074216,22017511,45392,0.2065907360709741
1990:Q2,22608809,9968788,7877721,71143,27537,1992387,4122569,3601204,336847,42360,142158,5497,4529698,4476203,53495,1508427,634849,415767,457811,2484402,2355356,100128,28918,-10572,1791348,190890,1600458,1801919,269743,1532176,22608809,330363,1.4828806438571092,22311813,294302,1.3366738182193107
1990:Q3,22364970,10074386,7957269,72647,28316,2016154,4151167,3624632,338541,44099,143895,5225,4105488,4152901,-47413,1525114,640615,420998,463501,2522444,2389494,103172,29778,-18853,1808136,166628,1641508,1826989,230043,1596946,22364970,-243839,-1.0785147999585405,22183465,-128348,-0.5752490636608999
1990:Q4,22750947,10083770,7941478,74319,28931,2039042,4158519,3627011,340708,46014,144787,4524,4507715,4533292,-25577,1540287,644532,428181,467574,2540689,2404215,105833,30641,-84557,1718458,197596,1520862,1803015,242615,1560400,22750947,385977,1.7258104945237174,22633355,449890,2.0280417361392544
1991:Q1,23238194,10111638,7938060,75981,29813,2067784,4142550,3604694,343623,47303,146930,5004,4940828,4919796,21032,1556852,649404,433460,473988,2556915,2416916,108423,31576,-75593,1766388,220890,1545498,1841981,276092,1565889,23238194,487247,2.141657442081566,23140793,507438,2.2419908305369733
1991:Q2,23263124,10181563,7990366,76825,30674,2083698,4140981,3609361,342695,48753,140172,5186,4896314,4872437,23877,1566244,654659,432581,479004,2589629,2447496,109787,32346,-116793,1742494,224206,1518288,1859287,276334,1582953,23263124,24929,0.10727692386599279,23228572,87780,0.3793296348460504
1991:Q3,23565967,10251935,8039248,77694,31518,2103475,4117513,3592049,341874,50325,133265,5644,5083948,5034796,49152,1585428,664621,437588,483219,2614545,2470343,111144,33058,-93046,1789213,258216,1530997,1882259,282180,1600079,23565967,302843,1.3018159528552666,23560370,331797,1.4284010311676227
1991:Q4,24108953,10308658,8080373,78767,32071,2117447,4084658,3558659,341091,51818,133090,5680,5645937,5507074,138863,1592104,662815,445394,483895,2620420,2473428,113293,33699,-148503,1877983,278976,1599007,2026487,291200,1735287,24108953,542987,2.3041138735335776,24128200,567830,2.410107533236862
1992:Q1,24093852,10376639,8131694,80072,32669,2132204,4061413,3525919,343166,52459,139870,5685,5737618,5591567,146051,1597942,665712,447466,484764,2636608,2487338,114980,34290,-322053,1864318,257473,1606845,2186371,279172,1907199,24093852,-15102,-0.06263890714445086,24146976,18776,0.07781641722575988
1992:Q2,24186135,10441605,8173841,80953,33590,2153221,4048256,3511949,342936,53881,139490,5521,5720976,5562722,158254,1612909,671688,452746,488475,2673959,2522190,116731,35038,-317091,1909182,272908,1636274,2226273,280355,1945918,24186135,92284,0.38301697711073646,24267206,120230,0.49790968497653054
1992:Q3,24474056,10565838,8277602,82043,34469,2171724,4044147,3505613,342631,55453,140450,6048,5853187,5679492,173695,1627912,677558,458333,492021,2702620,2548747,118027,35846,-325697,1949851,296190,1653661,2275548,285368,1990180,24474056,287920,1.1904358051918411,24651441,384235,1.5833502733601807
1992:Q4,25075114,10665051,8353177,82840,35566,2193468,4031750,3491583,341468,57225,141474,5889,6421962,6141314,280648,1651570,689103,465237,497230,2737267,2580845,119698,36724,-438374,1891068,314266,1576802,2329442,308847,2020595,25075114,601059,2.4559011122836782,25252440,601000,2.437989587205038
1993:Q1,25333838,10695110,8369238,83414,35844,2206614,4053347,3505173,342960,58191,147023,6875,6566039,6245817,320222,1667181,697593,471978,497610,2777210,2618102,121579,37529,-431924,1958278,365074,1593204,2390202,323329,2066873,25333838,258724,1.0317959711089737,25591820,339380,1.3439484550590106
1993:Q2,25593609,10834811,8478022,83929,36414,2236446,4080998,3533570,344488,59417,143523,6516,6557486,6254771,302715,1676597,703597,472479,500521,2814784,2653353,123216,38215,-377583,2056588,426520,1630068,2434171,320431,2113740,25593609,259771,1.0253914442580594,25878468,286648,1.1200759445604485
1993:Q3,25955561,10984907,8597723,84400,36717,2266067,4117106,3571780,345556,60377,139393,7255,6691485,6339709,351776,1688739,708737,478621,501381,2836061,2672361,124894,38806,-369992,2153508,491186,1662322,2523500,327673,2195827,25955561,361951,1.4142255937322663,26314342,435875,1.68431348667725
1993:Q4,26398141,11136596,8711539,85114,37695,2302248,4147899,3598143,347761,62097,139898,6966,6705300,6388769,316531,1704204,714854,482301,507049,2873571,2708230,125957,39384,-176395,2472513,543862,1928651,2648908,340997,2307911,26398141,442580,1.705145158994848,26768579,454236,1.7261929716579942
1994:Q1,26497654,11248766,8798482,86054,38072,2326158,4197754,3637350,351872,63149,145383,6982,6639797,6260379,379418,1712856,720591,483788,508477,2912641,2744112,128607,39922,-221142,2514005,578653,1935352,2735147,330689,2404458,26497654,99514,0.3769718576642466,26937379,168800,0.6305910981867159
1994:Q2,26718933,11403893,8918832,86834,38613,2359614,4257601,3695807,356019,64236,141538,6352,6563492,6169374,394118,1734850,726951,496148,511751,2945377,2773946,130908,40523,-192632,2587450,616744,1970706,2780082,328840,2451242,26718933,221279,0.8350873147779204,27149495,212116,0.7874402581345296
1994:Q3,27121738,11554846,9031651,87310,39371,2396514,4303565,3737275,358824,65583,141882,6450,6747528,6386388,361140,1750067,736635,496849,516583,2997085,2822892,133006,41187,-237803,2628970,626046,2002924,2866773,351444,2515329,27121738,402805,1.5075631064831454,27550060,400565,1.475405139406543
1994:Q4,27436651,11662710,9110696,87566,40312,2424136,4349717,3775823,359958,67201,146735,5868,6719926,6323979,395947,1769893,747045,499970,522878,3052822,2877003,133891,41928,-124285,2704422,626762,2077660,2828706,352812,2475894,27436651,314913,1.1611090021556538,27769451,219391,0.7963374319065112
1995:Q1,28051759,11759563,9169218,88129,41520,2460696,4381494,3799850,363252,69113,149279,6174,7166326,6681928,484398,1785447,755978,497596,531873,3106540,2927419,136448,42673,-153784,2778970,644382,2134588,2932754,377573,2555181,28051759,615109,2.241923880820528,28332405,562954,2.027242519547059
1995:Q2,28657015,11881627,9266311,89139,41845,2484332,4421862,3837699,368030,70197,145936,5996,7589594,7042332,547262,1797129,763677,499418,534034,3151810,2969617,138976,43217,-191004,2869176,668010,2201166,3060180,412156,2648024,28657015,605255,2.1576374302372336,28925727,593321,2.094144045802778
1995:Q3,29133320,11818659,9181393,89696,42546,2505024,4480029,3895747,371075,71698,141509,6900,8070503,7430864,639639,1805626,770983,496856,537787,3193442,3008855,140949,43638,-241840,2966222,728149,2238073,3208062,448511,2759551,29133320,476305,1.6620885170756505,29388460,462734,1.5997312875803213
1995:Q4,29795276,11929586,9267737,90118,42425,2529306,4528487,3938756,373811,72484,143436,7005,8543604,7785965,757639,1810541,777201,497971,535369,3236158,3049026,143264,43868,-260105,3305857,790615,2515242,3565962,484180,3081782,29795276,661956,2.2721623843057266,30104861,716401,2.4376935775269275
1996:Q1,30353701,12072254,9376466,90216,43129,2562443,4568706,3976689,375493,73605,142919,7699,8855954,8044576,811378,1835195,784108,512818,538269,3281226,3092138,144935,44153,-267333,3424891,849842,2575049,3692224,512003,3180221,30353701,558425,1.8742062547136225,30675775,570914,1.8964186479834013
1996:Q2,30840859,12204236,9491574,90250,43596,2578816,4617059,4014764,376922,74863,150510,7509,9161589,8324903,836686,1820098,791118,489389,539591,3311575,3121001,146139,44435,-281206,3505194,903587,2601607,3786401,534464,3251937,30840859,487158,1.6049387235415165,31166631,490856,1.600142495572698
1996:Q3,31189678,12338514,9598427,90889,44023,2605175,4661871,4050839,381066,75947,154019,7972,9296631,8373499,923132,1828561,801457,486325,540779,3357371,3164890,147726,44755,-301242,3621548,939758,2681790,3922790,543271,3379519,31189678,348819,1.1310276036514455,31480310,313678,1.0064552987368647
1996:Q4,31977736,12485026,9721306,91444,44347,2627929,4758026,4116215,384648,77023,180140,7837,9776463,8597873,1178590,1833376,807692,484384,541300,3398537,3204256,149157,45124,-281529,3949619,1006135,2943484,4231148,585280,3645868,31977736,788058,2.5266632491786503,32220220,739910,2.350391080608114
1997:Q1,32363921,12648181,9853712,92079,45346,2657044,4868532,4221395,386812,78314,182011,8898,9869906,8694929,1174977,1840584,813743,481163,545678,3447378,3251256,150450,45672,-319557,4043657,1019624,3024033,4363214,601272,3761942,32363921,386185,1.2076684716086705,32520736,300516,0.9326936954935101
1997:Q2,33902776,12803878,9997599,92857,46457,2666965,4956876,4306587,388680,79501,182108,10115,11097362,9678464,1418898,1849477,820227,479200,550050,3502629,3304676,151657,46296,-317561,4270018,1192191,3077827,4587579,723832,3863747,33902776,1538855,4.754847245712569,33906872,1386136,4.262314127859205
1997:Q3,35009425,12979568,10148290,93923,47361,2689994,5059579,4403756,392058,81069,182695,11159,11954853,10294199,1660654,1856841,827982,476402,552457,3543232,3343843,152517,46872,-395806,4403365,1244738,3158627,4799171,803708,3995463,35009425,1106649,3.264185026314607,34944829,1037958,3.0612012494460124
1997:Q4,35647294,13201253,10340984,94611,47697,2717961,5200615,4540835,394954,82819,182007,10911,12405608,10568942,1836666,1863751,837612,475118,551021,3600526,3399301,153786,47439,-635370,4592650,1207787,3384863,5228020,838216,4389804,35647294,637869,1.8219915710097006,35563667,618838,1.7708994956184843
1998:Q1,37387261,13418176,10533337,96610,48168,2740061,5268268,4608451,396405,83758,179654,11746,13834324,11820644,2013680,1864077,839661,473372,551044,3636268,3433216,155028,48024,-645598,4834131,1385867,3448264,5479729,1004540,4475189,37387261,1739967,4.8810641205247505,37192438,1628771,4.579872656098908
1998:Q2,38110478,13731033,10815372,98819,49134,2767708,5385169,4727002,399271,84642,174254,11439,14139144,12087950,2051194,1873490,844381,474693,554416,3672014,3466489,156743,48782,-701810,4904841,1370021,3534820,5606652,1045407,4561245,38110478,723217,1.934394257344969,37900019,707581,1.9024863026545416
1998:Q3,37198769,14005198,11057263,101158,50048,2796729,5458806,4799816,403488,86765,168737,11183,12875952,11280017,1595935,1886211,853742,475605,556864,3733638,3525363,158702,49573,-772220,4755016,1167450,3587566,5527236,933205,4594031,37198769,-911709,-2.392279921703378,37245254,-654765,-1.727610103007015
