1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018:Q4,70151,-160,-2600,-756,-416,-20,-1408,14062,1856,56992,70151
2019:Q1,69115,-156,476,208,132,4,132,175,-2304,70924,69115
2019:Q2,70677,-156,-6412,-6160,4,0,-256,-109762,-352,187359,70677
2019:Q3,69536,-160,-432,-640,144,-12,76,481824,-684,-411012,69536
2019:Q4,68132,160,1084,320,164,8,592,81187,-3052,-11247,68132
2020:Q1,65581,156,-4896,-1664,-892,-32,-2308,128294,1972,-59945,65581
2020:Q2,63616,156,-5580,-5732,324,8,-180,153103,-2792,-81271,63616
2020:Q3,64473,156,-1352,-1096,-560,-28,332,75635,-1760,-8205,64473
2020:Q4,65362,516,1492,400,248,8,836,57241,-5372,11485,65362
2021:Q1,70807,516,2620,500,236,8,1876,150964,-3364,-79929,70807
2021:Q2,67651,516,-4364,-4708,104,4,236,235837,-3024,-161314,67651
2021:Q3,74545,516,-5804,-756,-1624,-44,-3380,-135501,5328,210006,74545
2021:Q4,72197,-908,832,144,80,4,604,421347,-1064,-348010,72197
2022:Q1,71426,-908,660,60,-4,4,600,199658,-1984,-126000,71426
2022:Q2,70416,-908,-5780,-5112,-172,-8,-488,271607,216,-194718,70416
2022:Q3,72031,-908,-36,-968,8,-12,936,92660,-2380,-17305,72031
2022:Q4,74207,188,464,120,72,0,272,390796,-1920,-315321,74207
2023:Q1,74785,192,-16,-4,16,0,-28,7592,-1836,68853,74785
2023:Q2,73735,188,3148,2684,52,4,408,330978,-2068,-258511,73735
2023:Q3,72764,188,-1128,-384,436,-20,-1160,41372,104,32228,72764
2023:Q4,74647,188,148,44,92,0,12,627218,-160,-552746,74647
2024:Q1,73293,192,628,100,68,4,456,167318,-2812,-92032,73293
