1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q2,26994,18582,6134,933,297,757,276,15,0,8810,438,8372,18184
1975:Q3,29746,20917,6383,971,312,812,299,52,0,13894,5002,8892,15852
1975:Q4,31331,22292,6602,1006,308,745,298,80,0,17591,8458,9133,13740
1976:Q1,35455,25583,6894,1072,340,938,331,297,0,24131,14398,9733,11324
1976:Q2,32717,22915,7187,1095,316,735,270,199,0,18315,8014,10301,14402
1976:Q3,36332,26002,7484,1154,349,863,295,185,0,20032,9648,10384,16300
1976:Q4,38535,27790,7785,1214,362,878,298,208,0,23565,12988,10577,14970
1977:Q1,40373,29197,8065,1300,386,956,316,153,0,27085,15976,11109,13288
1977:Q2,35174,23478,8341,1406,416,1060,344,129,0,16404,4519,11885,18770
1977:Q3,39052,26812,8609,1516,448,1171,375,121,0,21105,9039,12066,17947
1977:Q4,41889,29134,8871,1613,480,1268,404,119,0,25286,13044,12242,16603
1978:Q1,45206,32136,8965,1702,513,1360,434,96,0,29787,17733,12054,15419
1978:Q2,40627,27075,9130,1787,550,1457,471,157,0,19896,7122,12774,20731
1978:Q3,44793,30596,9470,1867,583,1541,501,235,0,25736,12747,12989,19057
1978:Q4,48845,34055,9951,1941,604,1597,510,187,0,31807,18204,13603,17038
1979:Q1,54409,38940,10517,2021,615,1630,500,186,0,38613,24246,14367,15796
1979:Q2,50247,34071,11141,2116,619,1645,470,185,0,26548,11333,15215,23699
1979:Q3,55674,38687,11910,2186,615,1638,432,206,0,30713,14945,15768,24961
1979:Q4,58767,40986,12795,2185,600,1600,393,208,0,35118,18678,16440,23649
1980:Q1,64925,46024,13870,2118,627,1676,371,239,0,42992,24756,18236,21933
1980:Q2,59540,39592,14768,1975,674,1805,353,373,0,26508,7965,18543,33032
1980:Q3,62876,42354,15225,1815,720,1930,335,497,0,31421,12213,19208,31455
1980:Q4,64413,43864,15328,1688,744,1996,310,483,0,36902,17413,19489,27511
1981:Q1,67037,46958,15036,1591,746,2002,285,419,0,42571,22985,19586,24466
1981:Q2,61003,41488,14703,1502,727,1951,258,374,0,24814,5802,19012,36189
1981:Q3,62864,44008,14266,1427,706,1894,229,334,0,20275,1720,18555,42589
1981:Q4,58072,39864,13744,1364,699,1882,195,324,0,19325,1778,17547,38747
1982:Q1,57367,39220,13774,1325,711,1915,159,263,0,18281,677,17604,39086
1982:Q2,51431,33080,13941,1307,738,1988,114,263,0,4845,-13394,18239,46586
1982:Q3,53810,34754,14450,1298,765,2062,75,406,0,18748,1,18747,35062
1982:Q4,55676,35585,15235,1283,778,2099,53,643,0,21355,2283,19072,34321
1983:Q1,62042,41447,15738,1274,778,2100,56,649,0,27669,8398,19271,34373
1983:Q2,58334,37404,16224,1270,766,2069,81,520,0,23561,2688,20873,34773
1983:Q3,62354,41038,16668,1258,752,2033,111,494,0,23627,2062,21565,38727
1983:Q4,60353,38646,17081,1254,742,2017,127,486,0,26934,5120,21814,33419
1984:Q1,68022,43234,17188,4299,742,2017,132,410,0,37230,14692,22538,30792
1984:Q2,64588,39561,17359,4509,744,2019,130,266,0,27376,4202,23174,37212
1984:Q3,65680,40087,17690,4560,750,2036,126,431,0,30528,7937,22591,35152
