1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q1,43396,43396,14827,1076,3116,4502,-14,96,1151,2745,21051,-5154
2001:Q2,76105,76105,71414,1076,-2541,-266,1392,95,12260,-2419,-3401,-1505
2001:Q3,9224,9224,-32019,1076,3659,1089,-15,95,-3186,30688,15668,-7831
2001:Q4,62770,62770,40747,1076,-3932,4060,2647,-754,9238,12019,-2032,-299
2002:Q1,102672,102672,59317,-44,-1202,377,-2426,-7,10826,31201,6089,-1459
2002:Q2,49379,49379,28317,-44,2441,-1592,607,-7,2541,15009,8909,-6802
2002:Q3,-2886,-2886,-39768,-44,3290,-1163,202,-7,-11663,20288,26540,-561
2002:Q4,33830,33830,17082,-44,-2572,4569,17,-7,4701,10121,-312,275
2003:Q1,47850,47850,22785,1448,835,-4422,926,305,1538,-1372,25272,535
2003:Q2,95935,95935,85436,1448,300,513,-917,305,13236,4365,-10558,1807
2003:Q3,56454,56454,20113,1448,300,-3070,-434,305,14638,7520,10349,5285
2003:Q4,82513,82513,53018,1448,300,-610,-558,305,18630,5086,-593,5487
2004:Q1,123223,123223,77112,-317,300,-596,-35,245,14601,23793,1592,6528
2004:Q2,27280,27280,-42383,-317,300,-564,-302,245,9414,25873,30344,4670
2004:Q3,48734,48734,44793,-317,300,-459,-397,245,5918,18132,-18673,-808
2004:Q4,88906,88906,58334,-317,300,466,-650,245,14408,19823,-4039,336
2005:Q1,82112,82112,54130,178,300,-1907,-290,178,7865,20390,1323,-55
2005:Q2,61882,61882,35056,178,300,-1177,-337,178,11115,18252,-1315,-368
2005:Q3,64030,64030,56331,178,300,440,-468,178,4712,15288,-16057,3128
2005:Q4,78016,78016,50214,178,300,531,-121,178,5778,18386,-855,3427
2006:Q1,134480,134480,90960,5910,300,-1687,-21,263,10348,13499,10288,4620
2006:Q2,41228,41228,10085,5910,300,1571,-203,263,7181,17333,-3893,2681
2006:Q3,48022,48022,16336,5910,300,2282,-63,263,6501,13878,-4186,6801
2006:Q4,122423,122423,84033,5910,300,1361,-84,263,16215,12296,-6159,8288
2007:Q1,141202,141202,121441,-1226,300,-2244,53,539,6314,12069,-4913,8869
2007:Q2,99152,99152,61836,-1226,300,1013,-415,539,15141,13447,1313,7204
2007:Q3,40170,40170,30901,-1226,300,3896,124,539,8171,12120,-12263,-2392
2007:Q4,95574,95574,77063,-1226,300,1749,118,539,19366,12850,-14177,-1008
2008:Q1,27961,27961,31378,-4128,300,-260,431,6,-3168,14437,-7790,-3245
2008:Q2,101202,101202,91069,-4128,300,-550,-46,6,11055,18283,-13919,-868
2008:Q3,-55739,-55739,-54740,-4128,300,-2841,-86,6,-7575,14053,6844,-7572
2008:Q4,-131348,-131348,-138862,-4128,300,4098,468,6,-1343,14900,3833,-10620
2009:Q1,29420,29420,-5493,8817,300,16303,1404,54,-141,22720,-8304,-6240
2009:Q2,169544,169544,146368,8817,300,-3216,-1872,54,18052,24675,-24310,676
2009:Q3,171541,171541,137450,8817,300,-11834,-509,54,11222,23701,-10279,12619
2009:Q4,162948,162948,103494,8817,300,-5705,-93,54,13501,23386,7038,12156
2010:Q1,151159,151159,122133,1865,300,-4617,178,-164,5400,15191,-697,11570
2010:Q2,79194,79194,39173,1865,300,1143,-90,-164,7483,12223,4619,12642
2010:Q3,81291,81291,58935,1865,300,-1153,-183,-164,4233,13620,-12657,16495
2010:Q4,84117,84117,40288,1865,300,-1152,-161,-164,10357,14337,2672,15775
2011:Q1,100844,100844,77077,-3459,300,-409,70,-127,-374,10332,1538,15896
2011:Q2,76388,76388,56044,-3459,300,-1251,161,-127,781,12583,-4949,16305
2011:Q3,-27511,-27511,27690,-3459,300,878,206,-127,-2625,10071,-59567,-878
2011:Q4,50895,50895,14568,-3459,300,168,-70,-127,6880,13395,-24936,44176
2012:Q1,134137,134137,146001,-1456,300,-1050,72,623,472,7855,-44813,26133
2012:Q2,82639,82639,50525,-1456,300,-677,25,510,2338,5496,-18413,43991
2012:Q3,87081,87081,78593,-1456,300,-206,11,496,-3021,6260,10766,-4662
2012:Q4,82672,82672,52834,-1456,300,2348,97,471,-284,5382,8806,14174
2013:Q1,193300,193300,173423,615,300,692,146,188,-4796,32405,8189,-17862
2013:Q2,44622,44622,4937,615,300,-2236,-192,166,-5477,31624,12501,2384
2013:Q3,29124,29124,6279,615,300,1408,-257,112,-7999,31602,2858,-5794
2013:Q4,79847,79847,46727,615,300,-217,-173,177,-2032,30805,-631,4276
2014:Q1,125121,125121,105674,6004,300,2135,-2,292,-12473,14336,2994,5861
2014:Q2,91686,91686,52751,6004,300,1281,-115,272,-6574,13966,-3998,27799
2014:Q3,33558,33558,11123,6004,300,-3204,-9,319,-10982,12826,-1360,18541
2014:Q4,60663,60663,49452,6004,300,-900,-29,298,-3968,14645,6195,-11334
2015:Q1,105427,105427,85735,3062,300,-615,-141,172,-9706,4970,3094,18556
2015:Q2,60457,60457,42229,3062,300,949,141,171,-7290,3383,-25,17537
2015:Q3,-48194,-48194,-34474,3062,300,-833,135,185,-13077,2294,1948,-7734
2015:Q4,-18964,-18964,3784,3062,300,-400,-250,195,-656,6239,-4692,-26546
2016:Q1,38274,38274,52812,-1360,300,1017,9,-4102,-13981,-1073,-11145,15797
2016:Q2,22497,22497,21681,-1360,300,-114,22,132,-11467,-855,13960,198
2016:Q3,9642,9642,6115,-1360,300,-2060,-74,132,-10770,449,-10301,27211
2016:Q4,-41996,-41996,-26700,-1360,300,-688,-48,132,-8135,-386,-22802,17691
2017:Q1,90963,90963,92580,1966,300,244,46,309,-21816,11164,3367,2803
2017:Q2,87606,87606,43658,1966,300,-1250,-28,309,-16182,10750,718,47365
2017:Q3,55166,55166,93507,1966,300,449,117,309,-17503,6604,-2747,-27836
2017:Q4,83664,83664,78458,1966,300,603,-17,309,-20679,12518,-47,10253
2018:Q1,79706,79706,101026,-2237,300,-3467,90,619,-25558,-1428,8800,1561
2018:Q2,29833,29833,25102,-2237,300,175,-112,-229,-18446,3,6840,18437
2018:Q3,4670,4670,87960,-2237,300,-205,-11,-366,-21782,-3243,-22680,-33066
2018:Q4,-178835,-178835,-198018,-2237,300,42,384,-1145,-21896,-4278,6294,41719
2019:Q1,91245,91245,90698,1325,300,337,235,-271,-19313,9120,-23879,32693
2019:Q2,26365,26365,141675,1325,300,137,174,1175,-22512,6365,-42183,-60091
2019:Q3,6741,6741,-52650,1325,300,297,-35,646,-23081,5219,79947,-5227
2019:Q4,82928,82928,124133,1325,300,391,-89,-1403,-22585,12950,-15025,-17069
2020:Q1,-290653,-290653,-296419,2473,300,2845,438,258,-39959,5661,-10418,44168
2020:Q2,22024,22024,49145,2473,300,-928,50,362,-12967,7107,-10698,-12820
2020:Q3,6331,6331,39077,2473,300,1659,71,1357,-24907,1021,-4963,-9757
2020:Q4,31855,31855,48705,2473,300,-2065,334,-1099,-23346,5932,22968,-22347
2021:Q1,100304,100304,164404,5493,300,422,1129,286,-29648,-20730,-33609,12257
2021:Q2,49760,49760,44729,5493,300,1976,492,-1437,-49858,-23580,-23720,95365
2021:Q3,60336,60336,85941,5493,300,-3236,518,-708,-31930,-21082,-1716,26756
2021:Q4,4657,4657,247148,5493,300,2823,-529,882,-27480,-18053,-103306,-102621
2022:Q1,-103949,-103949,-144521,-1095,300,-841,737,441,-31659,-1679,3739,70629
2022:Q2,-279171,-279171,-313109,-1095,300,-481,-743,-2060,-23018,-14879,6342,69572
2022:Q3,-161720,-161720,-132862,-1095,300,2061,-1059,691,-18292,-14357,-1591,4484
2022:Q4,-255644,-255644,-153312,-1095,300,-3077,-346,368,-15307,-15326,-43708,-24141
2023:Q1,-34100,-34100,-42406,-1095,300,-417,-432,-1464,-32112,13339,56215,-26028
2023:Q2,-71901,-71901,9100,-1095,300,509,-193,-94,-24762,-18817,-23630,-13219
2023:Q3,-87786,-87786,-88823,-1095,300,-947,-394,-370,-28142,-4477,-7443,43605
2023:Q4,-116110,-116110,-78563,-1095,300,-158,181,58,-25196,15681,-6571,-20747
2024:Q1,12598,12598,92771,-1095,300,-562,-32,-506,-33223,-18293,2054,-28816
