1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q1,186205,198,44618,1000,0,0,18440,355,16166,500,1419,0,10357,58,10299,870,0,21482,204,0,74943,14093,1013493,391648,59863,353,0,59510,91928,37091,11275,43562,852,61358,14218,163428,621846,254023,3276,364547
1957:Q2,186468,176,45455,1000,0,0,16579,349,14227,600,1403,0,11021,63,10958,917,0,22680,216,0,74313,14111,1055500,411833,61295,320,0,60975,94379,38707,11387,44285,863,61022,11957,182317,643666,273076,3323,367267
1957:Q3,190374,153,46244,1000,0,0,17328,345,14773,700,1510,0,10907,68,10839,936,0,23106,222,0,76095,14383,1010307,390561,62852,364,0,62488,95058,38469,11554,45035,865,62219,13511,156056,619746,245392,3332,371022
1957:Q4,192601,131,47786,1000,0,0,18303,435,15589,800,1479,0,11844,72,11772,955,0,23569,230,0,73814,14969,1020230,397851,64494,422,0,64072,96517,38703,11898,45916,898,63944,14621,157377,622379,245747,3453,373179
1958:Q1,190458,160,45118,1550,0,0,17057,746,14394,700,1217,0,10214,76,10138,965,0,23878,236,0,76167,15113,1053508,409484,66653,716,0,65937,96546,37417,12567,46562,916,61146,11495,172728,644024,261319,3522,379183
1958:Q2,192290,132,46923,2100,0,0,14977,455,12340,500,1682,0,10732,80,10652,990,0,24479,236,0,76222,15500,1092103,427427,67808,791,0,67017,97700,37785,12351,47564,936,62625,8991,189367,664676,278565,3599,382512
1958:Q3,200432,172,48395,2000,0,0,15928,224,13175,550,1979,0,10859,84,10775,1005,0,24832,247,0,81327,15667,1165949,466201,69258,795,0,68463,98332,37632,11887,48813,955,66146,10322,221188,699748,310541,3671,385536
1958:Q4,207722,149,50418,1900,0,0,18860,210,16092,600,1958,0,12010,87,11923,1028,0,25415,252,0,81217,16473,1204723,489109,70373,658,0,69715,101775,38938,12344,50493,957,69251,12026,234728,715614,324670,3678,387266
1959:Q1,208723,143,47434,1800,0,0,20440,502,17280,700,1958,0,10954,74,10880,1049,0,25930,258,0,83580,17135,1223075,499305,70959,652,0,70307,103539,38811,13174,51554,983,69800,11682,242342,723770,332012,3781,387977
1959:Q2,213721,137,47908,1700,0,0,21635,622,18104,900,2009,0,11636,62,11574,1080,0,26670,263,0,85131,17561,1259324,521417,71627,458,0,71169,108327,41393,13867,53067,1015,71623,12591,256234,737907,346451,3905,387551
1959:Q3,217573,145,46864,1600,0,0,24006,240,20311,1000,2455,0,11497,21,11476,1099,0,27150,279,0,87132,17801,1250754,519628,72264,527,0,71737,110252,42293,13634,54325,1039,72281,13275,250517,731126,339875,3999,387252
1959:Q4,221727,132,47933,1500,0,0,25357,742,21621,1200,1794,0,13564,21,13543,1118,0,27634,289,0,85620,18580,1303466,548674,73109,315,0,72794,113788,43782,14194,55812,1046,74132,14150,272449,754792,362157,4019,388616
1960:Q1,221233,121,45006,1268,0,0,24375,740,19986,1200,2449,0,11204,22,11182,1140,0,28172,301,0,89703,19943,1264239,529279,73643,427,0,73216,116525,44441,15471,56613,1065,75121,12817,250108,734960,339310,4093,391557
1960:Q2,220521,140,45819,1087,0,0,22526,757,18247,1343,2179,0,12069,23,12046,1153,0,28488,307,0,89475,19457,1285606,541268,74654,547,0,74107,119955,45706,16311,57938,1075,75664,11903,258016,744338,347588,4139,392611
1960:Q3,222825,191,45882,1346,0,0,20832,648,16446,1190,2548,0,11704,24,11680,1165,0,28811,324,0,92565,20004,1239608,518564,75671,782,0,74889,120628,45424,15913,59291,1094,76905,11795,232471,721044,321285,4202,395557
1960:Q4,223266,148,46287,3000,0,0,20038,788,15752,1116,2382,0,12849,24,12825,1192,0,29478,331,0,90865,19079,1334897,566957,76985,769,0,76216,123635,46509,16555,60571,1098,77549,12560,275131,767939,365166,4220,398553
1961:Q1,222166,189,44478,3272,0,0,19503,562,15225,936,2780,0,10586,26,10560,1222,0,30171,339,0,92944,19462,1424984,609485,77200,623,0,76577,125236,46612,16651,61973,1113,76876,10921,318138,815499,410353,4282,400864
