date,FA893150005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA263150005.Q,FA893150005.Q,FA153050005.Q,FA543050005.Q,FA543151905.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6705,400,1380,4047,878,0,6705,6705,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7057,500,1517,3946,1094,0,7057,7057,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q2,611121,108724,159460,92009,248324,2604,611121,602149,8948,24,175904,7136,3532,-2200,-13000,86984,93452
2004:Q3,748746,170752,228044,100134,247216,2600,748746,739774,8944,28,175904,-1740,-1748,-2200,-13000,86984,107608
2004:Q4,634111,66432,240300,101635,223144,2600,634111,625143,8944,24,175904,-3480,2040,2000,-13000,86984,101360
2005:Q1,621248,127868,137772,98388,253316,3904,621248,616920,4264,64,206420,2040,60,28200,6000,85264,84856
2005:Q2,637347,131980,162188,99867,239416,3896,637347,633031,4252,64,206420,3464,4488,28200,6000,85264,79004
2005:Q3,534467,16708,181084,99395,233380,3900,534467,530147,4260,60,206420,6320,-92,28200,6000,85264,80728
2005:Q4,626574,113040,167836,96470,245332,3896,626574,622258,4252,64,206420,17792,2072,28200,6000,85264,67092
2006:Q1,649899,45880,143056,95667,358620,6676,649899,630599,19172,128,247448,12996,1948,12232,34000,106272,80000
2006:Q2,632555,107564,149428,96099,272792,6672,632555,613259,19164,132,247448,17976,4948,12232,34000,106272,72020
2006:Q3,553903,58772,140764,94743,252948,6676,553903,534603,19172,128,247448,30812,4740,12232,34000,106272,59392
2006:Q4,494616,9064,136188,97884,244808,6672,494616,475324,19164,128,247448,60436,4052,12232,34000,106272,30456
2007:Q1,527563,30220,140156,96331,254488,6368,527563,518603,8904,56,293348,21244,6452,49048,28000,132000,56604
2007:Q2,619036,70536,158684,95192,288264,6360,619036,610080,8900,56,331448,25340,5952,38124,36000,140420,85612
2007:Q3,517468,15904,143616,95108,256472,6368,517468,508504,8908,56,339712,15876,4160,9680,56000,89608,164388
2007:Q4,595244,90708,134652,99356,264168,6360,595244,586292,8900,52,356364,26480,3488,3896,56000,126436,140064
2008:Q1,589907,148444,118344,93167,213220,16732,589907,576231,13216,460,452404,36748,7608,-18620,92000,30192,304476
2008:Q2,591635,37968,158060,96023,282848,16736,591635,577951,13220,464,263608,26824,6284,-1688,-36000,85912,182276
2008:Q3,727228,294036,106892,96152,213420,16728,727228,713556,13216,456,362188,40568,3192,8644,72000,-100064,337848
2008:Q4,577274,171408,99876,100038,189228,16724,577274,563606,13208,460,502476,72484,11768,-39236,56000,-161056,562516
2009:Q1,443577,-61780,170916,94685,243728,-3972,443577,449769,-6332,140,235952,59096,16784,-28116,20000,-59236,227424
2009:Q2,586769,-55344,218728,95265,332096,-3976,586769,592965,-6332,136,-128876,43108,9428,22576,-76000,175684,-303672
2009:Q3,525687,-93392,215276,88595,319180,-3972,525687,531883,-6336,140,-198764,15536,5012,21612,-64000,117096,-294020
2009:Q4,601987,6740,194712,105223,299288,-3976,601987,608187,-6336,136,193212,5104,3760,18796,-48000,170728,42824
2010:Q1,651437,72688,201728,94621,291064,-8664,651437,660141,-8988,284,100716,16676,4452,18688,-40000,132916,-32016
2010:Q2,635867,172096,151776,100651,220016,-8672,635867,644583,-9000,284,206196,34768,4112,10984,-8000,57216,107116
2010:Q3,684053,88636,201964,98101,304016,-8664,684053,692757,-8988,284,30504,20756,3308,49440,-24000,126812,-145812
2010:Q4,666063,65864,197780,106003,305088,-8672,666063,674783,-9000,280,196616,34148,164,38532,-24000,157448,-9676
2011:Q1,510263,25908,105604,101207,280856,-3312,510263,509503,196,564,247656,9048,1120,27552,-20000,116404,113532
2011:Q2,496641,58312,109988,105525,226124,-3308,496641,495877,200,564,213824,28020,1464,11500,20000,79172,73668
2011:Q3,549932,154564,100468,102404,195816,-3320,549932,549180,188,564,462304,47124,1668,-7044,40000,-75880,456436
2011:Q4,482761,18712,112056,109809,245496,-3312,482761,482001,196,564,76280,-2836,668,21344,-4000,59640,1464
2012:Q1,647506,158272,152076,92078,245616,-536,647506,642034,4500,972,-5048,12272,3236,68724,-32000,103476,-160756
2012:Q2,428224,-29168,137336,106716,213884,-544,428224,422752,4492,980,154260,27004,2352,-23656,8000,54808,85752
2012:Q3,510017,45988,134228,98729,231608,-536,510017,504549,4496,972,146448,26312,1824,26672,16000,83308,-7668
2012:Q4,526401,82424,124736,101173,218612,-544,526401,520937,4492,972,212832,31940,-1772,15696,28000,74536,64432
2013:Q1,502504,29500,157168,89300,227788,-1252,502504,497512,5828,-836,314976,-15436,136,45740,-20000,223096,81440
2013:Q2,521384,58468,144520,103196,216456,-1256,521384,516400,5820,-836,373116,38436,104,8904,60000,121588,144084
2013:Q3,525654,74480,133984,102642,215808,-1260,525654,520674,5816,-836,171720,2340,-100,27644,28000,96976,16860
2013:Q4,567254,79796,119900,150770,218044,-1256,567254,562274,5820,-840,199012,-23320,-2780,38748,-16000,170664,31700
2014:Q1,336071,28348,39372,100327,174828,-6804,336071,340447,-7144,2768,224956,-30520,-1232,24352,-16000,100076,148280
2014:Q2,306894,11412,39248,96882,166156,-6804,306894,311282,-7148,2760,236668,-6940,-1552,17560,-16000,128576,115024
2014:Q3,330902,8836,36112,113870,178892,-6808,330902,335282,-7148,2768,247496,15428,-1440,-4404,8000,27740,202172
2014:Q4,366957,43912,44484,104653,180712,-6804,366957,371345,-7148,2760,231520,20592,-2068,18136,-16000,95260,115600
2015:Q1,328676,-48,34728,95896,197712,388,328676,325520,5164,-2008,-65364,-21196,-844,7700,-28000,134364,-157388
2015:Q2,410819,94532,24160,93819,197916,392,410819,407663,5164,-2008,7000,20648,-264,16092,8000,96356,-133832
2015:Q3,414484,116148,15240,95988,186720,388,414484,411332,5160,-2008,770944,57136,48,-6052,32000,-34820,722632
2015:Q4,501249,143080,25576,112169,220040,384,501249,498105,5156,-2012,648020,14056,-244,33220,-28000,60260,568728
2016:Q1,359575,29736,38736,91251,205800,-5948,359575,361479,-3132,1228,479548,32444,2040,15080,52000,22492,355492
2016:Q2,304050,-10084,39224,82498,198360,-5948,304050,305950,-3128,1228,192532,21256,2612,25864,0,25344,117456
2016:Q3,362137,37304,44660,91665,194456,-5948,362137,364049,-3140,1228,-208344,62652,2816,18348,32000,-12600,-311560
2016:Q4,249150,-93088,41700,87534,218952,-5948,249150,251054,-3128,1224,309380,29600,-1176,-7488,36000,23904,228540
2017:Q1,521161,30184,173952,88041,225424,3560,521161,512929,7820,412,357916,-20676,264,39896,-4000,79640,262792
2017:Q2,493888,5932,170440,86312,227648,3556,493888,485656,7820,412,300012,-27528,604,14152,-28000,58496,282288
2017:Q3,426333,-39204,153640,86677,221664,3556,426333,418109,7812,412,209620,-2908,-172,12752,16000,4004,179944
2017:Q4,501190,1320,174656,62598,259060,3556,501190,492966,7816,408,904264,-1232,-2464,15980,0,184504,707476
2018:Q1,409926,54348,13728,94994,188180,58676,409926,298774,100136,11016,34804,-2868,-1264,9608,-32000,88476,-27148
2018:Q2,427062,29372,19748,108974,210288,58680,427062,315902,100144,11016,231648,-9416,476,14872,8000,25320,192396
2018:Q3,367729,-26772,7916,100045,227868,58672,367729,256589,100128,11012,516008,13932,716,13772,24000,100056,363532
2018:Q4,372303,132132,6020,26099,149376,58676,372303,261147,100140,11016,381416,82204,-568,-31632,100000,-239088,470500
2019:Q1,429891,-27324,119644,82979,251468,3124,429891,421567,7692,632,248656,-102812,4548,47432,4000,124688,170800
2019:Q2,471405,59880,108040,84817,215548,3120,471405,463085,7688,632,306872,84,3244,29156,52000,48100,174288
2019:Q3,509364,111536,102744,84932,207032,3120,509364,501044,7688,632,477408,-107964,4164,27580,84000,-9832,479460
2019:Q4,350008,-35652,131856,17164,233520,3120,350008,341688,7688,632,344948,155760,1936,23224,56000,155672,-47644
2020:Q1,531733,138312,85012,74561,186848,47000,531733,453745,91616,-13628,960668,190604,3916,-71656,220000,-316772,934576
2020:Q2,429860,-66512,83740,137312,228324,46996,429860,351876,91604,-13620,386092,141916,3440,67100,36000,146828,-9192
2020:Q3,488045,75468,59012,87513,219060,46992,488045,410065,91608,-13628,434800,-42540,3260,52004,56000,56464,309612
2020:Q4,573258,166220,73620,59246,227176,46996,573258,495278,91608,-13628,-148488,206808,936,100436,-4000,244472,-697140
2021:Q1,223003,-122616,420,87899,214928,42372,223003,136115,88516,-1628,-382872,-167384,1796,-8876,-44000,221860,-386268
2021:Q2,215679,-133256,-9132,93603,222088,42376,215679,128783,88520,-1624,536280,92276,-168,30228,-56000,194216,275728
2021:Q3,453161,114772,7324,64965,223728,42372,453161,366277,88512,-1628,613912,-113960,-1148,21520,0,97504,609996
2021:Q4,376173,15432,22416,52149,243808,42368,376173,289289,88512,-1628,1129780,155368,-3224,32696,8000,159372,777568
2022:Q1,615270,60888,34092,149662,284304,86324,615270,510270,104480,520,-205988,-55400,488,-44812,64000,-73652,-96612
2022:Q2,586064,97508,30780,102176,269276,86324,586064,481064,104480,520,-365840,230264,-372,-81868,92000,-266996,-338868
2022:Q3,670407,191872,56284,45867,290060,86324,670407,565407,104480,520,-437432,-253184,-724,-216,52000,-77948,-157360
2022:Q4,565487,95492,92240,-8289,299724,86320,565487,460487,104480,520,37992,-50224,-3112,54048,80000,-170080,127360
2023:Q1,806241,218784,121320,87453,314856,63828,806241,715521,90684,36,27804,-356524,1876,61780,104000,-35704,252376
2023:Q2,751079,216028,65664,88983,316576,63828,751079,660351,90684,44,195764,46572,3288,50964,132000,-30280,-6780
2023:Q3,553592,4460,89256,91332,304720,63824,553592,462880,90676,36,-22784,-218716,2568,-39036,124000,21336,87064
2023:Q4,576795,17828,95156,92099,307888,63824,576795,486083,90676,36,162960,121280,1800,91760,116000,-69212,-98668
2024:Q1,552113,62688,74464,82401,313120,19440,552113,517205,34832,76,ND,ND,ND,ND,ND,ND,ND
