date,FU796902505.A,FU796330081.A,FU796902605.A,FU796025005.A,FU796020001.A,FU796401001.A,FU796240101.A,FU796402101.A,FU796140005.A,FU796402101.A,FU796150105.A,FU796130101.A,FU796121101.A,FU793092281.A,FU796150005.A,FU796130001.A,FU796120005.A,FU796121001.A,FU796122001.A,FU793192281.A,FU796112001.A,FU796140005.A,FU796220001.A,FU796403005.A,FU796012095.A,FU796012095.A,FU796006385.A,FU796012095.A,FU795440005.A,FU795015085.A,FU795013005.A,FU796330081.A,FU795000995.A,FU795000995.A,FU794090005.A,FU713011203.A,FU794000005.A,FU794022005.A,FU793069175.A,FU793061105.A,FU793061705.A,FU793062005.A,FU793063005.A,FU794035005.A,FU794041005.A,FU794042005.A,FU793081005.A,FU793064105.A,FU793064205.A,FU793034005.A,FU793092405.A,FU793092105.A,FU713164003.A,FU793094605.A,FU793052005.A,FU793096005.A,FU794194005.A,FU794100005.A,FU794122005.A,FU423161705.A,FU793163005.A,FU793169175.A,FU794135005.A,FU794141005.A,FU793192305.A,FU793181005.A,FU634090005.A,FU793164105.A,FU653164205.A,FU403192405.A,FU793192105.A,FU662090003.A,FU793194605.A,FU713164005.A,FU503194205.A,FU583152005.A,FU793196005.A,FU795000005.A,FV798090185.A,FV795013865.A,FV798090085.A,FU797005045.A,FR795013865.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090085.A,FR794022005.A,FR793092305.A,FR793064105.A,FR793064205.A,FR793092105.A,FR593052025.A,FR794190085.A,FR793192305.A,FR793164105.A,FR653164205.A,FR793192105.A,FR662090003.A,FR793194605.A,FR583152005.A,FR798200005.A,FC792090095.A,FL792000095.A,LM795013865.A,LM795013665.A,LM795013265.A,LM795013765.A,FL794090005.A,FL713011203.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL794042005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,LM793092105.A,FL713164003.A,FL793094605.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL793192305.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,LM793192105.A,LM662090003.A,FL793194605.A,FL713164005.A,FL503194205.A,FL583152005.A,FL793196005.A,FL792090095.A
2014,1242978,184120,1058858,681085,582076,99009,60728,317046,268314,317046,2089803,1588116,450241,51446,2138534,1381931,741041,722143,18898,15562,0,268314,116261,15121,136933,136933,126943,136933,9990,23394,207514,184120,103548,103548,2650129,0,204627,851785,-43329,573351,76730,5554,239479,889679,679143,210536,112270,-4422,25945,6946,330,20269,1065,62137,268877,322891,2533095,936937,107301,150271,11997,-54967,192745,182447,10298,648514,25688,228664,311028,1210,14395,4327,62137,1065,0,435613,211985,117033,6563,0,-6922,-13485,20305,21220,291,-1206,1509996,637220,1234,978874,223282,-41824,-288790,1481510,-1676,526299,506588,49705,0,0,400594,48791,182297,91484940,1604327,902830,539114,162383,89880613,11037,4187436,22160084,604234,5549882,6563457,1993594,7448917,24372243,11373018,12999225,25633112,16484795,5115068,631548,33705,987280,28572,2352144,7568582,5948119,91484940,90974684,16704370,12568991,7924009,4109846,535136,4805545,4711757,93788,25767123,3072970,6271579,13150628,42933,803176,45121,2352144,28572,0,27227760,3900895,510256
2015,1317241,192443,1124798,715705,611170,104535,64970,344124,239290,344124,2107536,1593962,462935,50639,2212369,1443837,754833,745204,9629,13699,0,239290,112177,21634,105486,105486,105486,105486,0,36224,228669,192443,69263,69263,1229393,0,-601586,527923,8958,254172,11314,48808,204671,910240,534505,375735,256096,236250,-13809,-65190,674,22652,879,74640,288352,-151633,1185595,237142,176430,220439,-65130,21121,18373,1252,17121,437113,5234,201885,98726,1269,49197,5283,74640,879,0,503483,-186946,43798,373672,0,399137,25465,11044,16749,-3939,-1766,-1031383,-496410,652,-459434,-120859,-88032,132700,-677987,358,-123115,-352139,-38711,0,0,-164380,-342353,136805,91263358,1651594,913386,567324,170884,89611764,11037,3569094,22167292,614563,5721293,6488840,2038978,7303618,25099743,11733761,13365982,24942634,16261611,4980400,566358,34379,842676,29451,2227759,8074392,5747572,91263358,90616296,16941512,12512100,8144448,3811395,556257,4827178,4715911,111267,25344522,3078204,6199869,12897215,44202,817418,50404,2227759,29451,0,27636884,3354100,647062
2016,1412174,203219,1208955,734148,625472,108676,72692,402115,342519,402115,2193942,1680538,467414,45990,2253538,1506495,733827,691619,42208,13216,0,342519,113975,64384,164167,164167,162367,164167,1800,40864,244084,203219,121502,121502,2034804,0,-532656,1063840,-87156,670274,300783,24799,155140,994496,493531,500965,45965,-174682,-82148,139264,1907,52361,992,108271,400994,62165,1834074,459715,283969,351677,-37482,-30226,175217,68102,107115,234102,-122980,240040,28417,2746,-40721,17337,108271,992,0,503617,177453,200731,317504,0,238275,-79228,10173,14381,-2751,-1457,1168384,-39116,-2474,1173473,341669,7671,-312839,2031448,-8902,833907,689947,38274,0,0,478222,-852892,-373021,94712862,1702631,925092,591938,185601,93010231,11037,3047301,23198364,527833,6326732,6727526,2027613,7588660,26060278,12227291,13832987,26467438,17260402,5239921,705622,36286,917728,30443,2277036,8291029,5934784,94712862,94438821,17401227,12668251,8496125,3646095,526031,4993493,4784013,209480,27042177,2955224,7254807,13615579,46948,794399,67741,2277036,30443,0,28734878,3598795,274041
2017,1456487,214438,1242048,787648,668515,119133,66492,387908,250196,387908,2413624,1830870,526407,56347,2551337,1684645,852530,800321,52209,14162,0,250196,83341,19586,147269,147269,70664,147269,76605,33074,247513,214438,37590,37590,2846947,0,271615,959137,91978,216695,270495,44771,335198,1242197,675521,566676,93533,80054,-32453,14270,1371,49059,946,-19714,266998,13468,2845090,792822,340703,346600,7222,-13119,56060,55377,683,881557,165309,380278,317399,4200,32187,952,-19714,946,0,629101,144847,1858,-78,-1847,37501,35733,22824,24353,-665,-864,3805191,215172,1544,3390504,766884,160792,-729705,4447578,6004,1269981,1966007,123533,0,0,1082053,-619563,-548977,101506263,1756682,945368,609436,201878,99749581,11037,3351585,24366303,618801,6557276,7011998,2102843,8075385,27357845,12983628,14374217,30846204,20730960,5974352,719892,37657,1119463,31389,2232491,7965581,5851026,101506263,101781200,18194049,12972515,8842725,3616878,512912,5055557,4839390,216167,31268507,3120533,8928033,15898985,51148,937235,68693,2232491,31389,0,30557738,3732834,-274937
2018,1516412,226122,1290290,819121,693117,126004,79315,391854,302064,391854,2714006,2071815,681009,-38818,2803797,1938914,847844,817558,30286,17039,0,302064,84479,30064,187520,187520,170625,187520,16895,40579,266701,226122,130046,130046,1701373,0,-401987,712052,1304,425376,-18140,-46726,350238,1501448,908972,592476,-83565,-142638,-101599,27632,841,-3061,946,134314,293425,-320000,1633473,494318,255008,246898,42221,-34111,-16318,17981,-34299,511935,169154,183462,-64626,1084,78064,9537,134314,946,0,443558,-55028,67900,124132,-2395,188673,62146,50654,49149,4495,-2990,-2720229,-643282,-129,-1817295,-401838,-199463,341778,-2772725,4187,-959395,-1164528,-119624,0,0,-533365,103150,397907,100805116,1845520,992164,635445,217911,98959596,11037,2949174,24435072,620592,6937010,6920156,2015558,7941756,28835726,13896203,14939523,28363483,18771027,5470915,747524,38498,924435,32335,2378749,8713385,5651719,100805116,100682146,18688367,13212231,9089623,3643807,478801,5043426,4857371,186055,29505813,3289687,8152046,14669831,52232,852703,78230,2378749,32335,0,30565207,3667102,122970
2019,1596886,242985,1353901,851705,727235,124470,69572,432625,322950,432625,2816169,2227110,559953,29106,2925844,2045675,862415,829920,32495,17754,0,322950,100477,44328,178146,178146,178146,178146,0,58433,301419,242985,119712,119712,3458519,0,80547,1028442,-10899,591372,195925,67940,184104,1478597,907065,571532,-85745,-295774,-53383,141314,-4003,64544,-637,62194,325060,631619,3392941,866277,462535,318635,70105,73795,143994,157143,-13149,1183318,712779,157807,207279,-3667,42318,5245,62194,-637,0,532607,204210,65578,-213834,0,-159699,54135,33632,36739,-291,-2816,6198162,1308844,-4369,4625517,1054015,197579,-983424,6444601,-4059,1796388,2782407,265760,0,0,1604105,-212807,-248495,110700208,1937585,1033182,659091,245312,108762623,11037,3016726,26877123,613177,7754077,7346284,2152937,9010648,30290460,14802271,15488189,33742864,22789269,6324515,888838,34495,1271366,31698,2402683,8260763,6563650,110700208,110825733,19554644,13667805,9408258,3706951,552596,5183361,5014514,168847,35524211,4002466,10111130,17659517,48565,1184677,83475,2402683,31698,0,32974950,3920762,-125525
2020,1656653,257940,1398713,912408,787455,124953,73618,412686,184383,412686,2347149,1763038,547846,36265,2575452,1614913,947976,887016,60960,12563,0,184383,98897,32198,53289,53289,53289,53289,0,27491,285431,257940,25798,25798,9681846,0,1695546,6181649,-45009,4321097,1017068,116186,772307,1129254,399274,729980,-175066,-388508,-81287,170988,-7097,50526,678,79634,358076,492388,9639984,6597659,910307,658208,229118,22981,-149348,-154227,4879,1213489,763454,476609,-230443,-6793,9491,6859,79634,2178,112500,637274,430603,41862,221990,0,205926,-16064,22111,17360,5235,-484,4528075,853292,-1249,3611140,810240,76534,-821882,4037923,-2733,418239,2133482,210276,0,0,1278659,512263,787542,125138721,1987187,1052407,662583,272197,123151534,11037,4713731,33857364,511176,12370699,8424817,2322773,10227899,31414512,15206246,16208266,38053256,25986901,7053468,1059826,27398,1430626,32376,2462661,7899574,7202060,125138721,124476704,26152303,14572050,10066466,3930007,575577,5031280,4860287,170993,39503009,4765920,11005966,19562556,41772,1427424,90334,2462661,33876,112500,34981302,4236760,662017
2021,1800675,275681,1524994,993580,859871,133709,68617,462797,197838,462797,2155842,1548192,550474,57176,2420802,1426546,962138,920749,41389,32118,0,197838,106633,26434,64772,64772,42112,64772,22661,31390,307071,275681,10722,10722,7299804,0,605935,3085983,15864,1254919,680231,174954,960015,2907601,1694458,1213143,-115553,-89481,-382094,180503,-2333,82723,1501,93628,465208,350630,6874185,1757552,719894,612910,190747,-83763,1847396,1846548,848,1509413,439535,812960,215057,-903,24607,15770,93628,1,-91242,458494,581436,425619,644713,-430,230246,-414897,220244,175004,46567,-1327,4319874,-1005272,-2291,5084021,947528,215274,-919386,6863553,-4401,2605130,2431148,315445,0,0,1516231,-2323436,-1636611,138029961,2238390,1222108,708457,307825,135791571,11037,5350759,35967316,576055,13277624,8894263,2476827,10742547,34883265,17212497,17670768,44187846,30971441,7618902,1240329,25065,1746835,33877,2551397,7539901,7851448,138029961,139004556,27909855,15605607,10679376,4434417,491814,6978843,6811403,167440,46352053,5205455,14424040,22208761,40869,1760292,106104,2551397,33877,21258,37061161,5097037,-974594
2022,1865464,306635,1558828,1026873,886633,140240,81502,450454,256981,450454,2540756,1909197,568642,62917,2734229,1777396,927753,887930,39823,29080,0,256981,125500,26604,104879,104879,76649,104879,28230,30540,337174,306635,46109,46109,2410360,0,-885175,52039,133473,-586793,71818,-93596,527137,3457661,2178395,1279266,-456131,-136464,-174044,-211228,18941,85859,1137,-40332,265143,-23177,1953124,-980078,1275754,979382,89935,206437,1023298,1064469,-41171,-245231,17606,488748,-800484,19957,70338,3657,-40332,1137,-5858,725830,153551,457235,829085,-1518,419477,-411126,259012,209964,42099,6949,-11369351,-4624189,8891,-6043756,-1396402,-389389,1075494,-8969944,-315,-2148559,-4074924,-510836,0,0,-2235310,-2140396,-1234661,128683546,2526423,1421061,748152,357210,126157123,11037,4463817,31419127,734319,11242679,7928826,2101905,9411398,38202302,19333080,18869222,35875116,24791221,6048456,1029101,44006,1383217,35014,2544101,7800853,8384872,128683546,130892802,26919777,16880306,11658758,4523297,698251,8001826,7875872,125954,39320003,5223061,12764213,17333353,60826,1234274,109761,2544101,35014,15400,34519100,5251790,-2209256
2023,1883036,331098,1551938,1061364,ND,ND,81438,409136,334303,409136,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,334303,138455,16287,179562,179562,179562,179562,0,36934,368032,331098,142628,142628,3191483,0,545714,834075,84,789256,-17314,-84920,146969,1201244,573908,627336,-47040,-132302,-89636,56485,680,71994,1051,44688,290663,366827,3161855,568836,503996,297041,193185,13770,-868471,-871154,2683,1399296,1134490,491601,-309897,4072,27223,14068,44688,1051,-8000,766724,791474,29627,3801,0,116802,113000,39882,26188,17063,-3368,5723238,641312,-1743,4725789,943462,181746,-767328,5980758,-5235,1581348,2576210,275469,0,0,1552966,-217638,-34275,137748619,2603239,1440030,760971,402238,135145380,11037,5001182,33007515,827141,12218434,8074589,2062338,9825013,39395536,19904911,19490625,41583732,29319708,6892282,1085586,44686,1632557,36065,2572848,7379007,8767371,137748619,139992149,27488613,17378075,11955799,4710255,712021,7131411,7004718,126693,45119781,6357551,14812765,19599666,64898,1544759,123829,2572848,36065,7400,36838790,6035479,-2243530
