1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q3,3893016,22609,36794,180660,879503,11587,240322,290348,220855,116391,2555135,776452,56902,1273141,448640,-325,5338,16089,11026,0,0,186187,3880647,3679277,-132624,560491,2545899,331220,93173,61897,31276,103691,2510,5294,169623,19523,150100,201370,7425,8885,160583,24477,0,ND
1986:Q4,4047682,25652,48107,188593,903196,14605,243033,315175,206447,123936,2656477,833079,54402,1308821,460175,-307,5791,19586,11359,0,0,189229,4032199,3821059,-138517,643181,2591103,350168,91011,58760,32251,113540,2533,4932,163108,20633,142475,211140,9789,9327,165174,26850,0,ND
1987:Q1,4067092,22493,41973,189830,913142,14153,245986,329489,195503,128011,2651198,807617,55152,1341716,446713,-267,6812,19939,12036,0,0,209936,4036264,3817720,-113492,573483,2595007,355059,94642,59089,35553,111829,2789,4828,193576,22314,171262,218544,12435,9470,169269,27370,0,ND
1987:Q2,4138732,23950,36102,188433,939381,12130,247808,353287,188529,137627,2716067,813921,59324,1385729,457093,-181,7136,18956,12478,0,0,196410,4103482,3893015,-130928,614888,2631468,358577,98619,63348,35271,120184,2679,2970,194558,20729,173829,210467,11512,9014,159012,30929,0,ND
1987:Q3,4220678,24422,39027,179994,962804,10285,256078,368350,183071,145020,2776100,822633,58217,1426890,468360,-130,7391,19220,12807,0,0,199043,4194095,3977117,-102562,612664,2667024,365305,97135,61022,36113,126135,3182,2783,205451,21984,183467,216978,10800,9442,163881,32855,0,ND
1987:Q4,4332519,24858,41784,177986,1006546,15929,252382,387936,177310,172989,2822822,833548,59828,1448993,480453,-62,6645,22707,13328,1752,0,214152,4285480,4067442,-102189,630424,2735458,365880,101636,64336,37300,139326,3242,2497,191169,24261,166908,218038,8185,10302,165478,34073,0,ND
1988:Q1,4395154,23110,38777,190324,1006942,12456,249075,391235,169607,184569,2859337,833998,54782,1490615,479942,74,7389,23056,13974,1700,0,230470,4358564,4130909,-114014,612462,2805416,387846,96180,59011,37169,135723,3301,2001,201994,24409,177585,227655,12230,11411,165293,38721,0,ND
1988:Q2,4496998,25565,35681,188099,1023229,12155,243366,405112,164327,198269,2934169,856082,55768,1530614,491705,121,7889,22652,14315,1642,0,243636,4470635,4231438,-102023,640346,2838031,396084,98102,59626,38476,141018,3336,1348,215197,25774,189423,239197,12675,11638,171938,42946,0,ND
1988:Q3,4574961,22093,39038,186785,1039342,13482,241882,420031,161531,202416,2981899,856220,55468,1565554,504657,124,8200,22572,14733,1500,0,258675,4539820,4292202,-111013,628550,2891690,404530,98119,59433,38686,147587,3382,1702,227655,28189,199466,247618,12724,11493,177798,45603,0,ND
1988:Q4,4662704,27561,39347,177498,1042567,16030,233811,437615,154410,200701,3054549,878153,57499,1602988,515909,373,8443,26579,15290,1366,0,269131,4639249,4385711,-106799,655061,2936044,391944,100506,61597,38909,158770,3666,2701,243817,29379,214438,253538,12172,12786,181709,46871,0,ND
1989:Q1,4644017,22203,37394,186621,1038777,13942,238200,446510,150494,189631,3073389,879053,52393,1633618,508325,536,11074,27121,15866,3608,0,227426,4606700,4343723,-121204,601179,2973141,414980,94559,56243,38316,169839,4359,23296,183573,28531,155042,262977,12140,13088,186991,50758,0,ND
1989:Q2,4696187,22775,37381,192223,1019054,14425,217440,455467,145767,185955,3131079,893804,53984,1665836,517455,605,11268,27218,15946,3468,0,235171,4663678,4396802,-127348,625205,2993795,424529,96892,57827,39065,167665,4423,24041,187601,29771,157830,266876,13014,13099,191405,49358,0,ND
1989:Q3,4713450,23122,32253,189181,994498,13219,204716,449156,142696,184711,3169399,900086,54668,1687430,527215,683,11354,27303,16026,3484,0,246147,4657171,4392522,-130311,613336,3023562,401075,96644,57710,38934,157118,4411,24497,202190,29490,172700,264649,13605,13679,190213,47152,0,ND
1989:Q4,4744007,28671,38327,205762,981737,15711,203333,443268,136433,182992,3189908,926864,55361,1670189,537494,1136,11215,32445,15628,3391,0,235786,4695078,4428039,-145045,651867,3065052,392246,95654,57366,38288,148319,4450,24152,191344,30070,161274,267039,10651,16823,190083,49482,0,ND
1990:Q1,4736498,23251,36129,210243,1007810,11402,217909,459550,132947,186002,3193916,909468,49763,1711512,523173,1215,10444,33224,14526,3244,0,202496,4706965,4437971,-133478,613187,3067142,407719,90696,53654,37042,139523,4569,24462,224152,31400,192752,268994,9898,17378,195068,46650,0,ND
1990:Q2,4725224,24294,36336,210811,999743,12325,213447,464810,127034,182127,3193730,916530,47272,1710161,519767,1186,10039,33311,14116,3343,0,198315,4703061,4432632,-133700,637644,3052552,417840,85922,51434,34488,133466,4743,24589,209577,28530,181047,270429,9143,18013,199023,44250,0,ND
1990:Q3,4720163,24752,33834,207996,1000444,12238,214052,470989,125774,177391,3179957,906298,45383,1704105,524171,1354,8755,32730,13765,3391,0,213185,4696992,4422353,-116484,633654,3049415,401348,83889,51081,32808,125375,4712,27089,213355,38548,174807,274639,6250,18201,200105,50083,0,ND
1990:Q4,4708561,32590,38658,202580,1002210,15712,205802,482627,120443,177626,3161228,908755,45527,1683721,523225,1111,6235,28314,13526,3315,0,218795,4675424,4405877,-132707,670294,3067603,362904,89003,52068,36935,124390,4308,26008,194073,37811,156262,269547,5826,15358,200723,47640,0,ND
1991:Q1,4662468,24707,24067,203156,1013844,16694,221804,486012,116112,173222,3111060,892617,38354,1671382,508707,1208,8051,28963,13355,4161,0,229895,4635791,4362011,-124124,632529,3087162,349638,79704,43767,35937,113898,4166,25475,193563,42388,151175,273780,7141,15948,203959,46732,0,ND
1991:Q2,4628242,25627,22201,209846,1009704,15355,230712,484790,111418,167429,3087137,879689,36880,1667119,503449,968,7370,28454,13244,4595,0,219096,4595009,4322879,-127813,655519,3043851,358547,77061,41357,35704,101798,4354,23957,185605,44200,141405,272130,7626,15598,206272,42634,0,ND
1991:Q3,4627350,28757,27404,222909,1035175,13943,250147,485170,108098,177817,3037534,869066,37108,1632396,498964,948,7316,28677,13198,5729,0,219702,4598272,4319318,-113977,674410,3027888,356490,73405,39907,33498,90988,4209,25801,180104,43277,136827,278954,8932,15991,209561,44470,0,ND
1991:Q4,4639543,33603,29413,205638,1070827,14511,270466,497135,105626,183089,3026122,864590,35320,1623573,502639,944,7494,31496,12851,6309,0,214845,4612684,4316472,-121053,727422,2999890,339051,71577,37793,33784,87123,5306,23936,183220,47376,135844,296212,10970,25870,212139,47233,0,ND
