1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q1,3752,3752,0,99,99,1491,1491,0,0,3736,3736,11206,0,11206,0,23427,0,9129,7597,6701,0,0,0,0,0,1353,1353,0,0,29279,200684,75727,29279,200684,75727
1967:Q2,3879,3879,0,83,83,1926,1926,0,0,3807,3807,11421,0,11421,0,23945,0,9329,7769,6847,0,0,0,0,0,1380,1380,0,0,30528,204295,77588,30528,204295,77588
1967:Q3,3839,3839,0,44,44,1318,1318,0,0,3876,3876,11637,0,11637,0,24482,0,9536,7946,7000,0,0,0,0,0,1451,1451,0,0,29415,208296,79296,29415,208296,79296
1967:Q4,3983,3983,0,25,25,1432,1432,0,0,3947,3947,11861,0,11861,0,25006,0,9738,8116,7152,0,0,0,0,0,1470,1470,0,0,31094,212155,80950,31094,212155,80950
1968:Q1,3853,3853,0,0,0,1303,1303,0,0,4031,4031,12101,0,12101,0,25578,0,9956,8306,7316,0,0,0,0,0,1443,1443,0,0,35743,216457,85266,35743,216457,85266
1968:Q2,3955,3955,0,0,0,1400,1400,0,0,4121,4121,12345,0,12345,0,26159,0,10180,8492,7487,0,0,0,0,0,1566,1566,0,0,32302,220230,88467,32302,220230,88467
1968:Q3,3954,3954,0,0,0,1253,1253,0,0,4213,4213,12595,0,12595,0,26780,0,10414,8692,7674,0,0,0,0,0,1621,1621,0,0,32570,224572,92027,32570,224572,92027
1968:Q4,3920,3920,0,0,0,1383,1383,0,0,4302,4302,12850,0,12850,0,27472,0,10667,8923,7882,0,0,0,0,0,1671,1671,0,0,33070,228948,95377,33070,228948,95377
1969:Q1,3690,3690,0,0,0,1244,1244,0,0,4390,4390,13107,0,13107,0,28314,0,11015,9185,8114,0,0,0,0,0,1667,1667,0,0,37843,233460,99677,37843,233460,99677
1969:Q2,3788,3788,0,0,0,1278,1278,0,0,4478,4478,13369,0,13369,0,29147,0,11295,9480,8372,0,0,0,0,0,1674,1674,0,0,42047,237572,103797,42047,237572,103797
1969:Q3,3847,3847,0,0,0,891,891,0,0,4568,4568,13640,0,13640,0,29840,0,11412,9789,8639,0,0,0,0,0,1672,1672,0,0,46657,241990,107692,46657,241990,107692
1969:Q4,3831,3831,0,0,0,1041,1041,0,0,4688,4688,13927,0,13927,0,30817,0,11825,10093,8899,0,0,0,0,0,1710,1710,0,0,49190,246582,111747,49190,246582,111747
1970:Q1,3811,3811,0,0,0,986,986,0,0,4792,4792,14233,0,14233,0,31664,0,12160,10335,9169,0,0,0,0,0,1720,1720,0,0,55784,254638,115208,55784,254638,115208
1970:Q2,3848,3848,0,0,0,1333,1333,0,0,4899,4899,14560,0,14560,0,32515,0,12523,10546,9446,0,0,0,0,0,1560,1560,0,0,68001,261708,119916,68001,261708,119916
1970:Q3,3804,3804,0,0,0,1339,1339,0,0,5008,5008,14892,0,14892,0,33371,0,12890,10761,9720,0,0,0,0,0,1730,1730,0,0,63394,269591,121692,63394,269591,121692
1970:Q4,3847,3847,0,0,0,2330,2330,0,0,5118,5118,15212,0,15212,0,34235,0,13240,11016,9979,0,0,0,0,0,1858,1858,0,0,60907,277137,124053,60907,277137,124053
1971:Q1,3767,3767,0,0,0,3425,3425,0,0,5206,5206,15545,0,15545,0,35096,0,13563,11260,10273,0,0,0,0,0,2004,2004,0,0,57104,283809,130029,57104,283809,130029
1971:Q2,3688,3688,0,0,0,2112,2112,0,0,5282,5282,15864,0,15864,0,35932,0,13864,11494,10574,0,0,0,0,0,2029,2029,0,0,59384,289501,137308,59384,289501,137308
1971:Q3,3682,3682,0,0,0,1450,1450,0,0,5356,5356,16183,0,16183,0,36812,0,14165,11757,10890,0,0,0,0,0,2097,2097,0,0,59521,295985,144436,59521,295985,144436
1971:Q4,3665,3665,0,0,0,1789,1789,0,0,5436,5436,16511,0,16511,0,37805,0,14484,12091,11230,0,0,0,0,0,2199,2199,0,0,57842,302297,151155,57842,302297,151155
1972:Q1,3557,3557,0,0,0,2008,2008,0,0,5556,5556,16867,0,16867,0,38909,0,14814,12502,11593,0,0,0,0,0,2350,2350,0,0,54797,309611,158524,54797,309611,158524
1972:Q2,3543,3543,0,0,0,1746,1746,0,0,5701,5701,17238,0,17238,0,40125,0,15146,12994,11985,0,0,0,0,0,2426,2426,0,0,55806,315571,166970,55806,315571,166970
1972:Q3,3529,3529,0,0,0,1444,1444,0,0,5849,5849,17620,0,17620,0,41385,0,15497,13506,12382,0,0,0,0,0,2537,2537,0,0,55045,322513,175038,55045,322513,175038
1972:Q4,3499,3499,0,0,0,1548,1548,0,0,5976,5976,18012,0,18012,0,42624,0,15886,13977,12761,0,0,0,0,0,2722,2722,0,0,50436,329094,181743,50436,329094,181743
1973:Q1,3529,3529,0,0,0,1291,1291,0,0,6087,6087,18415,0,18415,0,43819,0,16232,14459,13128,0,0,0,0,0,2695,2695,0,0,56411,336764,182459,56411,336764,182459
1973:Q2,3554,3554,0,0,0,1453,1453,0,0,6185,6185,18832,0,18832,0,45006,0,16579,14952,13475,0,0,0,0,0,2634,2634,0,0,63976,342822,183317,63976,342822,183317
1973:Q3,3523,3523,0,0,0,1178,1178,0,0,6278,6278,19255,0,19255,0,46196,0,16921,15456,13819,0,0,0,0,0,2826,2826,0,0,58613,350522,180833,58613,350522,180833
1973:Q4,4102,4102,0,0,0,1745,1745,0,0,6376,6376,19681,0,19681,0,47399,0,17253,15970,14176,0,0,0,0,0,2697,2697,0,0,69669,357776,183071,69669,357776,183071
1974:Q1,4283,4283,0,0,0,2027,2027,0,0,6530,6530,20095,0,20095,0,48618,0,17572,16497,14549,0,0,0,0,0,2791,2791,0,0,70365,365857,189093,70365,365857,189093
1974:Q2,3692,3692,0,0,0,2064,2064,0,0,6715,6715,20500,0,20500,0,49859,0,17884,17038,14937,0,0,0,0,0,2718,2718,0,0,79535,370743,197124,79535,370743,197124
1974:Q3,3548,3548,0,0,0,2063,2063,0,0,6908,6908,20915,0,20915,0,51093,0,18188,17588,15317,0,0,0,0,0,2459,2459,0,0,98008,379033,208098,98008,379033,208098
1974:Q4,3561,3561,0,0,0,2393,2393,0,0,7086,7086,21351,0,21351,0,52293,0,18486,18143,15664,0,0,0,0,0,2670,2670,0,0,92772,386579,213069,92772,386579,213069
1975:Q1,3532,3532,0,0,0,2889,2889,0,0,7258,7258,21814,0,21814,0,53679,0,18885,18694,16100,0,0,0,0,0,3035,3035,0,0,81631,394676,216419,81631,394676,216419
1975:Q2,3539,3539,0,0,0,2721,2721,0,0,7431,7431,22309,0,22309,0,55061,0,19254,19255,16552,0,0,0,0,0,3436,3436,0,0,67151,398323,219290,67151,398323,219290
1975:Q3,3494,3494,0,0,0,2245,2245,0,0,7596,7596,22803,0,22803,0,56611,0,19759,19829,17023,0,0,0,0,0,3431,3431,0,0,72707,406917,229193,72707,406917,229193
1975:Q4,3570,3570,0,0,0,2662,2662,0,0,7744,7744,23261,0,23261,0,58502,0,20545,20433,17524,0,0,0,0,0,3665,3665,0,0,66093,414535,234075,66093,414535,234075
1976:Q1,3622,3622,0,0,0,3121,3121,0,0,7902,7902,23818,0,23818,0,60744,0,21318,21210,18216,0,0,0,0,0,3965,3965,0,0,57300,423340,229173,57300,423340,229173
1976:Q2,3472,3472,0,0,0,2860,2860,0,0,8045,8045,24394,0,24394,0,63347,0,22227,22081,19039,0,0,0,0,0,3984,3984,0,0,61282,426124,226088,61282,426124,226088
1976:Q3,3455,3455,0,0,0,3067,3067,0,0,8196,8196,24972,0,24972,0,66100,0,23192,22998,19910,0,0,0,0,0,4032,4032,0,0,65342,435160,224603,65342,435160,224603
1976:Q4,854,854,0,0,0,3866,3866,0,0,8375,8375,25543,0,25543,0,68792,0,24132,23912,20748,0,0,0,0,0,4130,4130,0,0,67287,442955,223777,67287,442955,223777
1977:Q1,786,786,0,0,0,3509,3509,0,0,8582,8582,26271,0,26271,0,71737,0,25136,24948,21653,0,0,0,0,0,4140,4140,0,0,73904,452341,232156,73904,452341,232156
1977:Q2,884,884,0,0,0,3712,3712,0,0,8818,8818,27088,0,27088,0,74852,0,26207,26041,22604,0,0,0,0,0,4284,4284,0,0,72452,460353,235642,72452,460353,235642
1977:Q3,841,841,0,0,0,3572,3572,0,0,9060,9060,27925,0,27925,0,78085,0,27288,27201,23596,0,0,0,0,0,4348,4348,0,0,76136,462334,241489,76136,462334,241489
1977:Q4,818,818,0,0,0,4146,4146,0,0,9284,9284,28714,0,28714,0,81385,0,28323,28435,24627,0,0,0,0,0,4459,4459,0,0,75968,470572,245466,75968,470572,245466
1978:Q1,861,861,0,0,0,4439,4439,0,0,9534,9534,29515,0,29515,0,84775,0,29306,29775,25694,0,0,0,0,0,4551,4551,0,0,78533,481894,252253,78533,481894,252253
1978:Q2,849,849,0,0,0,5010,5010,0,0,9790,9790,30318,0,30318,0,88282,0,30235,31223,26824,0,0,0,0,0,4845,4845,0,0,69221,491793,254129,69221,491793,254129
1978:Q3,827,827,0,0,0,5624,5624,0,0,10059,10059,31110,0,31110,0,91856,0,31183,32705,27968,0,0,0,0,0,5214,5214,0,0,57630,495324,256679,57630,495324,256679
1978:Q4,935,935,0,0,0,6206,6206,0,0,10349,10349,31871,0,31871,0,95447,0,32224,34148,29075,0,0,0,0,0,5270,5270,0,0,61723,505051,263167,61723,505051,263167
1979:Q1,982,982,0,0,0,6689,6689,0,0,10665,10665,32641,0,32641,0,99066,0,33335,35585,30146,0,0,0,0,0,5571,5571,0,0,56448,517004,269750,56448,517004,269750
