1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q4,140129,6808,86632,19120,23180,11819,40,11321,0,4389,774,3615,0,140129,0,137361,2768,0,0
1969:Q1,138544,4866,87858,19990,21597,10803,44,10750,0,4233,760,3473,0,138544,0,135529,3015,0,0
1969:Q2,146765,5892,92425,21026,23309,13021,50,10238,0,4113,769,3344,0,146765,0,143558,3207,0,0
1969:Q3,143920,5043,91908,21617,21507,11103,54,10350,0,3845,697,3148,0,143920,0,140349,3571,0,0
1969:Q4,153314,7557,96543,21874,23406,12817,67,10522,0,3934,765,3169,0,153314,0,149431,3883,0,0
1970:Q1,146427,5199,94260,21835,21179,11674,55,9450,0,3954,813,3141,0,146427,0,141703,4724,0,0
1970:Q2,152395,5751,97671,22451,22559,14194,63,8302,0,3963,804,3159,0,152395,0,147702,4693,0,0
1970:Q3,155114,5633,99467,22522,23691,14178,63,9450,0,3801,646,3155,0,155114,0,149396,5718,0,0
1970:Q4,161869,7493,102658,22287,25638,14977,72,10589,0,3793,623,3170,0,161869,0,155752,6117,0,0
1971:Q1,157893,5154,100885,22836,25096,14756,90,10250,0,3922,601,3321,0,157893,0,151965,5928,0,0
1971:Q2,164977,6879,103924,23780,26302,16306,99,9897,0,4092,622,3470,0,164977,0,159158,5819,0,0
1971:Q3,165434,6040,105865,23887,25202,14339,113,10750,0,4440,702,3738,0,165434,0,159267,6167,0,0
1971:Q4,172894,8094,107678,24461,27742,15926,114,11702,0,4919,806,4113,0,172894,0,166312,6582,0,0
1972:Q1,173818,6401,108691,24887,28599,15902,147,12550,0,5240,811,4429,0,173818,0,166796,7022,0,0
1972:Q2,183464,8386,112809,26261,30316,16816,155,13345,0,5692,884,4808,0,183464,0,176436,7028,0,0
1972:Q3,186789,7181,114580,26176,32618,17517,151,14950,0,6234,939,5295,0,186789,0,179041,7748,0,0
1972:Q4,202517,8616,121936,27222,37882,20881,208,16793,0,6861,1002,5859,0,202517,0,193495,9022,0,0
1973:Q1,213491,10062,130435,30669,35197,20406,281,14510,0,7128,1024,6104,0,213491,0,204139,9352,0,0
1973:Q2,226429,10434,136506,35916,35775,22865,350,12560,0,7798,1183,6615,0,226429,0,216707,9722,0,0
1973:Q3,232673,12058,137202,40998,35151,22512,382,12257,0,7264,1170,6094,0,232673,0,221984,10689,0,0
1973:Q4,242085,11894,140013,44887,37315,24370,443,12502,0,7976,1440,6536,0,242085,0,230352,11733,0,0
1974:Q1,245131,10248,144446,47909,34374,22918,519,10937,0,8154,1705,6449,0,245131,0,233305,11826,0,0
1974:Q2,262935,12890,155996,50597,34045,23727,603,9715,0,9407,2009,7398,0,262935,0,249314,13621,0,0
1974:Q3,268407,14225,160249,52204,32317,22109,658,9550,0,9412,1947,7465,0,268407,0,253637,14770,0,0
1974:Q4,277743,17466,164975,53190,32596,22208,671,9717,0,9516,1705,7811,0,277743,0,261119,16624,0,0
1975:Q1,264601,16443,156193,54100,28063,17924,635,9504,0,9802,1711,8091,0,264601,0,247940,16661,0,0
1975:Q2,265422,18878,152390,55092,28554,18491,533,9530,0,10508,1768,8740,0,265422,0,249069,16353,0,0
1975:Q3,259340,20117,146912,55983,24810,13959,436,10415,0,11518,1917,9601,0,259340,0,242446,16894,0,0
1975:Q4,264307,23548,146873,56659,24943,13260,371,11312,0,12284,1964,10320,0,264307,0,246703,17604,0,0
1976:Q1,254363,21579,138832,57632,23838,13072,334,10432,0,12482,2081,10401,0,254363,0,237394,16969,0,0
1976:Q2,262515,23638,140841,59546,25434,12977,301,12156,0,13056,2166,10890,0,262515,0,245086,17429,0,0
1976:Q3,260461,22208,139509,60857,24739,11353,279,13107,0,13148,2093,11055,0,260461,0,242920,17541,0,0
1976:Q4,272450,24073,141923,62117,29476,13277,238,15961,0,14861,2855,12006,0,272450,0,254802,17648,0,0
1977:Q1,273370,24587,143995,63660,26887,12160,201,14526,0,14241,2409,11832,0,273370,0,255520,17850,0,0
1977:Q2,282560,24636,149397,66680,27735,12569,160,15006,0,14112,2636,11476,0,282560,0,264035,18525,0,0
1977:Q3,289318,24160,150423,68840,31208,14346,140,16722,0,14687,2768,11919,0,289318,0,270057,19261,0,0
1977:Q4,301003,24474,155505,70439,35320,16744,131,18445,0,15265,2937,12328,0,301003,0,280086,20917,0,0
1978:Q1,306631,23380,163617,72859,31000,15119,120,15761,0,15775,3077,12698,0,306631,0,283742,22889,0,0
1978:Q2,323273,24417,170004,77792,34398,17363,95,16940,0,16662,2996,13666,0,323273,0,298478,24795,0,0
1978:Q3,329149,23817,169128,82437,34332,17313,86,16933,0,19435,3705,15730,0,329149,0,301335,27814,0,0
1978:Q4,345295,24471,174642,85961,35988,20083,81,15824,0,24233,5167,19066,0,345295,0,312760,32535,0,0
1979:Q1,350854,22925,181089,89249,33066,19226,77,13763,0,24525,5980,18545,0,350854,0,315204,35650,0,0
1979:Q2,370730,21881,191031,94380,38386,22141,71,16174,0,25052,5161,19891,0,370730,0,332160,38570,0,0
1979:Q3,388907,21675,199241,98714,39469,24367,65,15037,0,29808,7653,22155,0,388907,0,343957,44950,0,0
1979:Q4,400076,22486,205212,101694,39312,24449,58,14805,0,31372,7307,24065,0,400076,0,352640,47436,0,0
1980:Q1,404877,22115,212470,102154,37371,24193,56,13122,0,30767,7874,22893,0,404877,0,355161,49650,66,0
1980:Q2,396676,22715,201304,102796,37280,24057,53,13170,0,32581,9228,23353,0,396676,0,349038,47475,163,0
1980:Q3,408252,21851,212205,103488,35991,24779,50,11162,0,34717,10002,24715,0,408252,0,357232,50741,279,0
1980:Q4,437838,23844,232227,104594,38699,25386,48,13265,0,38474,11851,26623,0,437838,0,380135,57303,400,0
1981:Q1,434948,22230,230238,106493,36112,24558,46,11508,0,39875,10938,28937,0,434948,0,375652,58757,539,0
1981:Q2,458125,23855,240650,111361,41327,26538,43,14746,0,40932,11226,29706,0,458125,0,400178,57291,656,0
1981:Q3,475338,23464,253893,114800,40834,26932,41,13861,0,42347,11796,30551,0,475338,0,411713,62780,845,0
1981:Q4,510908,26284,264405,115997,43354,27295,39,16020,0,60868,17266,43602,0,510908,0,446036,63672,1200,0
1982:Q1,523726,24266,277275,114721,39458,28593,37,10828,0,68006,17657,50348,0,523726,0,452553,69434,1739,0
1982:Q2,552558,25267,298004,114129,40446,28602,39,11805,0,74712,20905,53807,0,552558,0,476230,73843,2485,0
1982:Q3,568426,24622,314086,112249,41828,28513,40,13275,0,75641,22012,53629,0,568426,0,485840,79324,3262,0
1982:Q4,582053,26881,324269,109439,44501,29886,40,14575,0,76963,22893,54070,0,582053,0,497994,80159,3900,0
1983:Q1,585395,23251,326586,108888,44895,31095,40,13760,0,81775,25425,56350,0,585395,0,495871,85098,4426,0
1983:Q2,593687,23371,326236,110273,49045,31471,34,17540,0,84762,27626,57136,0,593687,0,506562,82241,4884,0
1983:Q3,606795,23017,332084,110852,47060,31576,29,15455,0,93782,28411,65371,0,606795,0,511231,90266,5298,0
1983:Q4,615569,25965,353041,111560,50799,32314,25,18460,0,74204,23964,50241,0,615569,0,517518,92351,5700,0
1984:Q1,633213,19588,368704,115513,48518,30805,25,17688,0,80890,25062,55828,0,633213,0,532612,94544,6057,0
1984:Q2,661918,17216,388805,121669,51837,34169,27,17641,0,82391,26627,55764,0,661918,0,559153,96419,6346,0
1984:Q3,673453,14718,391682,126719,52438,34530,28,17880,0,87896,28498,59398,0,673453,0,570692,96118,6643,0
1984:Q4,708421,19631,412301,129331,57226,35506,28,21692,0,89932,27987,61945,0,708421,0,598521,102874,7026,0
1985:Q1,711643,18349,423221,129531,51546,31950,29,19567,0,88996,27209,61787,0,711643,0,602013,102117,7513,0
1985:Q2,725911,24054,425627,132549,54223,29795,33,24395,0,89458,26985,62473,0,725911,0,612250,105534,8127,0
1985:Q3,737262,20334,434910,132975,61370,35495,40,25835,0,87673,27626,60047,0,737262,0,619770,108785,8707,0
1985:Q4,765292,26136,454562,131382,62562,33052,48,29462,0,90650,26959,63690,0,765292,0,634098,122103,9091,0
1986:Q1,766567,25032,461150,130931,60452,31560,54,28838,0,89002,27132,61869,0,766567,0,636272,121003,9292,0
1986:Q2,777475,17137,470500,132147,70640,41545,60,29035,0,87051,25671,61379,0,777475,0,645369,122777,9329,0
1986:Q3,776452,13052,472674,132675,70414,46767,67,23580,0,87637,25524,62114,0,776452,0,637134,130022,9296,0
1986:Q4,833079,22885,520589,131977,70032,45700,71,24261,0,87596,25872,61723,0,833079,0,678756,145033,9290,0
1987:Q1,807617,18688,505739,131935,61975,40011,80,21884,0,89280,28640,60640,0,807617,0,650969,147367,9281,0
