date,LM263191005.Q,LM153091003.Q,FL103091003.Q,FL633091003.Q,FL733091003.Q,FL903091005.Q
1945:Q4,33,0,33,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,68,0,68,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,51,0,51,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,10,0,10,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,10,0,10,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,57,0,57,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1967:Q2,843,0,843,0,0,0
1967:Q3,827,0,827,0,0,0
1967:Q4,1055,0,1055,0,0,0
1968:Q1,1357,0,1357,0,0,0
1968:Q2,1749,0,1749,0,0,0
1968:Q3,1832,0,1832,0,0,0
1968:Q4,1587,0,1587,0,0,0
1969:Q1,1856,0,1856,0,0,0
1969:Q2,1809,0,1809,0,0,0
1969:Q3,1618,0,1618,0,0,0
1969:Q4,1173,0,1173,0,0,0
1970:Q1,1172,0,1172,0,0,0
1970:Q2,1220,0,1220,0,0,0
1970:Q3,1141,0,1141,0,0,0
1970:Q4,798,0,798,0,0,0
1971:Q1,1082,0,1082,0,0,0
1971:Q2,1102,0,1102,0,0,0
1971:Q3,1239,0,1239,0,0,0
1971:Q4,1234,0,1234,0,0,0
1972:Q1,1421,0,1421,0,0,0
1972:Q2,1626,0,1626,0,0,0
1972:Q3,1820,0,1820,0,0,0
1972:Q4,2172,0,2172,0,0,0
1973:Q1,2722,0,2722,0,1000,-1000
1973:Q2,3005,0,3005,0,1000,-1000
1973:Q3,2729,0,2729,0,2500,-2500
1973:Q4,3329,0,3329,0,2500,-2500
1974:Q1,3729,0,3729,0,3000,-3000
1974:Q2,3529,0,3529,0,3000,-3000
1974:Q3,3129,0,3129,0,3500,-3500
1974:Q4,4946,0,4946,0,3500,-3500
1975:Q1,5022,0,2170,0,4000,-1148
1975:Q2,4822,0,1739,0,4000,-917
1975:Q3,5272,0,1760,0,4000,-488
1975:Q4,5772,0,2622,0,4200,-1050
1976:Q1,6428,0,3182,0,4200,-954
1976:Q2,6941,0,3298,0,4300,-657
1976:Q3,6763,0,2709,0,4300,-246
1976:Q4,7441,0,3439,0,4400,-398
1977:Q1,8287,0,3897,0,4400,-10
1977:Q2,9731,0,4744,0,4500,487
1977:Q3,8990,0,4914,0,4500,-424
1977:Q4,8756,0,5686,0,4600,-1530
1978:Q1,10041,0,7097,0,4700,-1756
1978:Q2,10192,0,7450,0,2738,4
1978:Q3,9613,0,6457,0,2776,380
1978:Q4,17131,0,8317,0,2945,5869
1979:Q1,22361,0,12524,1162,3620,5055
1979:Q2,21989,0,11273,2298,4414,4004
1979:Q3,27282,0,9777,3856,4047,9602
1979:Q4,26913,0,10080,5109,2945,8779
1980:Q1,30071,0,9174,6316,4023,10558
1980:Q2,31804,0,8564,7056,3805,12379
1980:Q3,29447,0,8670,8657,4542,7578
1980:Q4,31392,0,9696,6769,5856,9071
1981:Q1,37927,0,9384,10754,6201,11588
1981:Q2,39125,0,9411,14174,8692,6848
1981:Q3,39943,0,10495,17072,12447,-71
1981:Q4,41811,0,12386,18846,13034,-2455
1982:Q1,47174,0,10066,22466,15462,-820
1982:Q2,48286,0,11310,23204,19386,-5614
1982:Q3,41159,0,8268,22819,15563,-5491
1982:Q4,49522,2427,10063,23759,15493,-2220
1983:Q1,51747,2536,11580,19182,17413,1036
1983:Q2,50818,2490,11545,19644,17826,-687
1983:Q3,53082,2601,13176,19890,18366,-951
1983:Q4,141573,6937,14393,21911,19324,79008
1984:Q1,146438,7190,15541,23774,21463,78470
1984:Q2,147963,7280,16503,22971,23836,77373
1984:Q3,142799,7026,12418,23651,20548,79156
1984:Q4,139968,6902,13284,21197,20690,77895
1985:Q1,141748,7017,12568,20941,22223,78999
1985:Q2,136231,6812,11895,18582,21080,77862
1985:Q3,141303,7207,12514,18983,17499,85100
1985:Q4,148461,7791,16023,19011,20068,85568
1986:Q1,152917,7952,17734,19157,15258,92816
1986:Q2,159332,8126,18854,22030,16542,93780
1986:Q3,168938,8447,18104,22612,18119,101656
1986:Q4,179874,8753,19201,22140,19993,109787
1987:Q1,180965,8687,16826,27061,23060,105331
1987:Q2,181371,8525,15896,23889,19519,113542
1987:Q3,182604,8400,15081,22668,23512,112943
1987:Q4,213270,9759,16262,21579,17408,148262
1988:Q1,211387,9724,18334,22067,18851,142411
1988:Q2,220222,10130,25398,22080,21296,141318
1988:Q3,224302,10318,26273,22463,23314,141934
1988:Q4,228720,10708,21554,29648,20387,146423
1989:Q1,242447,11153,18622,28983,24960,158729
1989:Q2,245142,11032,17113,22296,21064,173637
1989:Q3,250390,11268,13992,29354,18072,177704
1989:Q4,266828,11874,14705,26328,16375,197546
1990:Q1,261211,11755,15669,26996,16618,190173
1990:Q2,273580,12312,15551,27990,15088,202639
1990:Q3,287725,12949,14509,31756,13921,214590
1990:Q4,297926,13427,14717,27025,16459,226298
1991:Q1,296995,13959,15349,32892,14631,220164
1991:Q2,284823,13957,12599,27191,16142,214934
1991:Q3,282524,14409,13578,24164,15414,214959
1991:Q4,273526,14565,16435,21806,18143,202577
1992:Q1,264833,14566,14978,20424,22462,192403
1992:Q2,267007,14953,14987,16786,18678,201603
1992:Q3,271987,15504,15639,21576,16826,202442
1992:Q4,267711,15600,15791,20557,13353,202410
1993:Q1,265061,15445,13489,18881,19181,198065
1993:Q2,263474,15352,13667,19261,13294,201900
1993:Q3,252269,14697,15278,14012,14991,193291
1993:Q4,271821,15757,14502,10083,13342,218137
1994:Q1,271120,15716,15730,11457,14101,214116
1994:Q2,290447,16847,16080,8959,19894,228667
1994:Q3,299169,17357,12638,8572,16699,243903
1994:Q4,373929,18847,15664,16020,18683,304715
1995:Q1,382087,20324,13850,15239,19879,312795
1995:Q2,410073,22461,14454,15599,19468,338091
1995:Q3,403948,22103,15856,21509,23049,321431
1995:Q4,418824,23356,17403,20056,21409,336600
1996:Q1,444015,26021,20387,21589,22041,353977
1996:Q2,444762,27693,19844,14403,19539,363283
1996:Q3,474734,31693,20922,17971,20551,383597
1996:Q4,521682,35469,28208,23568,25330,409107
1997:Q1,567770,34112,28968,21145,19620,463925
1997:Q2,573814,34459,33462,20655,23256,461982
1997:Q3,599233,36014,33251,23449,25096,481423
1997:Q4,618473,37179,23139,23601,24888,509666
1998:Q1,612437,36817,27115,28778,24328,495399
1998:Q2,628576,37785,20577,22275,23295,524644
1998:Q3,657156,39500,18385,27148,21221,550902
1998:Q4,627575,37725,30518,30714,24158,504460
1999:Q1,654952,39368,36235,40128,20917,518304
1999:Q2,673591,40486,32343,45490,18687,536585
1999:Q3,684991,41170,33490,55369,19547,535415
1999:Q4,676469,40659,31460,42096,33755,528499
2000:Q1,751326,45150,35750,58635,24371,587420
2000:Q2,762844,45841,29742,64970,23098,599193
2000:Q3,740645,44509,13998,64607,27609,589922
2000:Q4,803348,48271,24029,82095,32151,616802
2001:Q1,845324,50790,16928,104776,37335,635495
2001:Q2,806479,48459,17093,102027,43035,595865
2001:Q3,805295,48388,14369,102712,38335,601491
2001:Q4,810100,48676,15517,113612,40994,591301
2002:Q1,795025,47771,16672,106311,41583,582688
2002:Q2,802487,48219,18500,104313,39820,591635
2002:Q3,828523,49781,20000,106904,35614,616224
2002:Q4,914441,49937,20587,106890,42359,694668
2003:Q1,940895,51628,21933,97149,32799,737386
2003:Q2,982619,54115,30297,86298,37392,774517
2003:Q3,936809,51146,34513,80522,35983,734645
2003:Q4,953790,52841,38145,68694,37957,756153
2004:Q1,989088,55204,41699,71865,42768,777552
2004:Q2,1054727,57889,47625,78636,39076,831501
2004:Q3,1053883,58864,44697,70198,33906,846218
2004:Q4,1142212,61764,53705,69546,36912,920285
2005:Q1,1233545,67402,61301,64843,50807,989192
2005:Q2,1185684,64549,57496,78612,55084,929943
2005:Q3,1206169,66584,51419,89737,50693,947736
2005:Q4,1165469,63847,63571,77329,54692,906030
2006:Q1,1234576,67879,41996,82850,60227,981624
2006:Q2,1332161,72666,53045,64015,64572,1077863
2006:Q3,1348809,71749,43697,55761,68604,1108998
2006:Q4,1346130,69946,49336,67216,66722,1092910
2007:Q1,1386778,73534,45306,63270,68889,1135779
2007:Q2,1528188,79929,55824,53970,77849,1260616
2007:Q3,1625841,84843,56965,81892,96152,1305989
2007:Q4,1636214,87722,50250,102250,107350,1288642
2008:Q1,1599644,84065,55037,112509,120641,1227392
2008:Q2,1487846,78508,36837,112635,150272,1109594
2008:Q3,1352787,70526,31580,102333,117246,1031102
2008:Q4,1302936,69892,24704,87521,172290,948529
2009:Q1,1265830,65515,25736,77002,153422,944155
2009:Q2,1310456,65587,26241,89432,167658,961538
2009:Q3,1374194,66015,26260,105759,188010,988150
2009:Q4,1258432,62724,31528,99091,176711,888378
2010:Q1,1204754,58472,38111,94391,178157,835623
2010:Q2,1221270,61341,38657,94586,167625,859061
2010:Q3,1262385,63875,35791,106365,176224,880130
2010:Q4,1303877,67271,63991,107992,184100,880523
2011:Q1,1338512,69608,74765,111587,175987,906565
2011:Q2,1242958,65296,79608,116222,161925,819907
2011:Q3,1195775,64382,58199,71574,169885,831735
2011:Q4,1066420,57360,52528,43839,146409,766284
2012:Q1,1041284,56257,48491,40962,125789,769785
2012:Q2,939913,50697,43135,33681,108300,704100
2012:Q3,965122,52037,49706,40975,103623,718781
2012:Q4,919488,49480,53621,44102,70459,701826
2013:Q1,970235,52699,83188,49631,91325,693392
2013:Q2,1020366,56511,98696,37758,62782,764619
2013:Q3,1011247,56488,99460,36924,73404,744971
2013:Q4,950580,52079,122171,34281,45830,696219
2014:Q1,944194,52511,108869,19732,45480,717602
2014:Q2,900467,49794,128031,27113,42412,653117
2014:Q3,950339,52688,118642,23626,62656,692727
2014:Q4,827576,45720,112862,24518,50075,594401
2015:Q1,810222,44554,85895,20486,47650,611637
2015:Q2,728228,39448,97445,22491,40405,528439
2015:Q3,668979,36141,93866,12565,37865,488542
2015:Q4,590920,31884,93857,11071,36599,417509
2016:Q1,622895,32610,76374,17565,43390,452956
2016:Q2,595204,31300,89387,12921,52770,408826
2016:Q3,576006,30800,96159,4323,56771,387953
2016:Q4,500567,26270,97587,1858,21211,353641
2017:Q1,588734,30802,87663,3591,17380,449298
2017:Q2,656762,33902,102936,3262,21802,494860
2017:Q3,767944,39830,228192,5538,21098,473286
2017:Q4,757747,38974,216550,3724,24058,474441
2018:Q1,804362,42100,210858,1236,24647,525521
2018:Q2,832711,42428,222249,2884,35253,529897
2018:Q3,830262,41778,132993,2099,35412,617980
2018:Q4,824094,41837,106290,1535,25562,648870
2019:Q1,745933,40927,110718,1460,32444,560384
2019:Q2,724556,39550,128879,2151,27831,526145
2019:Q3,749719,39431,114639,3935,31265,560449
2019:Q4,763986,40637,130983,7381,28254,556731
2020:Q1,938328,49995,109832,3752,36264,738485
2020:Q2,807074,43534,141387,2113,47229,572811
2020:Q3,868794,47486,153262,896,43878,623272
2020:Q4,836844,48460,135012,719,20936,631717
2021:Q1,871414,49812,162856,2162,26467,630117
2021:Q2,866584,48534,198049,261,20732,599008
2021:Q3,840750,47734,165924,859,18404,607829
2021:Q4,836955,48228,166295,265,19152,603015
2022:Q1,877381,50310,187779,1290,21986,616016
2022:Q2,896508,51466,164326,1309,7877,671530
2022:Q3,939407,53015,169005,1062,12260,704065
2022:Q4,914526,51651,201006,1357,10391,650121
2023:Q1,931074,51037,197481,1653,12849,668054
2023:Q2,858360,47802,224333,2919,13379,569927
2023:Q3,886944,49827,233039,10899,16022,577157
2023:Q4,876991,49852,236494,5421,13832,571392
2024:Q1,912597,53089,254238,4965,11827,588478
