date,FA263192305.Q,FA263192313.Q,FA263092313.Q,FA103092305.Q,FA763092305.Q,FA513092305.Q,FA543092375.Q,FA613092305.Q,FA663092305.Q,FA733092305.Q,FA103192305.Q,FA115114305.Q,FA753192305.Q,FA513192305.Q,FA543192375.Q,FA613192305.Q,FA663192305.Q,FA733192305.Q,FA503192305.Q,FA263092305.Q,FA263092323.Q,FA263192323.Q,FA263192005.Q,FA263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q3,-5636,11396,13224,-4744,-32,-692,-24,-136,-8,0,-5748,-48,-308,-452,-268,376,-72,-20,-0,-6540,8792,15332,16820,11592
1992:Q4,5224,-13352,-22388,1997,1171,944,88,616,408,0,7088,324,-3780,852,540,-2400,-596,-32,-0,1996,13864,11868,44768,35692
1993:Q1,14288,30240,15952,13026,582,556,84,-96,136,0,14595,104,532,732,-512,-1244,2916,0,1,17124,21880,4756,59928,32240
1993:Q2,32892,52248,19356,27145,1303,1112,108,2840,384,0,21383,132,1736,1084,824,2108,3272,-28,1,30512,20728,-9784,93056,45544
1993:Q3,-12432,27848,40280,-10174,-510,-424,-92,-1096,-136,0,18555,168,664,864,516,980,3368,-40,1,25076,27220,2144,52616,46752
1993:Q4,55924,-4284,-60208,41936,3120,2916,608,7508,-164,0,20967,916,2276,1320,3660,4432,8924,-212,1,42284,25180,-17104,130204,80912
1994:Q1,60364,64780,4416,51277,2635,1880,376,3872,324,0,-3255,-24,12,48,204,-300,-128,-12,-1,-3456,-600,2856,114216,23532
1994:Q2,2056,7440,5384,2263,145,-64,56,-360,16,0,2676,-20,104,204,0,348,128,-4,-0,3436,-1232,-4668,59724,23068
1994:Q3,9464,25336,15872,8529,423,252,-4,224,40,0,9350,-28,652,364,212,84,160,0,-2,10792,8792,-2000,69264,54836
1994:Q4,-9868,3468,13336,-1841,-687,524,-188,-7004,-672,0,19453,-316,980,212,-2416,-3816,-8776,16,-1,5336,9424,4088,77468,83048
1995:Q1,4700,15712,11012,4276,52,124,4,276,-32,0,-10890,-176,268,-776,-188,-940,-104,4,2,-12800,-10092,2708,77300,39696
1995:Q2,2812,14940,12128,2626,110,-32,56,40,12,0,8142,-16,212,1000,140,-296,352,-4,-2,9528,3064,-6464,60312,47552
1995:Q3,4580,9472,4892,4240,128,200,-28,12,28,0,5527,-32,1776,64,184,644,240,-12,1,8392,8916,524,87092,67056
1995:Q4,5340,17660,12320,5914,-122,800,140,-1424,32,0,-7315,-1724,992,4872,1376,1312,1212,0,-1,724,8768,8044,170296,76800
1996:Q1,-8176,-13548,-5372,-7012,-380,-444,-44,-92,-204,0,30399,192,980,1648,508,616,992,0,1,35336,41752,6416,95032,114072
