1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q2,476060,7036,33371,65910,0,8000,117753,0,64868,46504,6381,0,175171,51209,0,123962,0,7158,0,33919,26548,1194,1908587,4090,1800,9982,795614,487581,5146,302887,201350,705,200645,12357,80223,803171,373700,1806227
1979:Q3,499813,5826,38782,66284,0,10528,122199,0,65551,50211,6437,0,181612,54479,0,127133,0,7291,0,35382,30713,1196,1949337,4175,1800,10262,814398,498750,5070,310578,210099,680,209419,12359,82879,813365,396739,1846263
1979:Q4,513289,5328,32794,65258,0,11781,126995,0,60850,59357,6788,0,189708,58142,0,131566,0,7401,0,37776,35118,1130,1993707,4173,1800,10493,836596,516104,4938,315554,211529,654,210875,12630,83382,833104,414379,1894797
1980:Q1,528070,8013,22920,67074,0,14013,126886,0,58119,61731,7036,0,197852,62664,0,135188,0,7617,0,39716,42992,987,2032101,5058,2968,10709,864871,540619,4874,319378,202552,633,201919,12598,85691,847654,432291,1936322
1980:Q2,527856,8463,30071,63239,0,17500,126537,0,58847,60336,7354,0,206651,67265,0,139386,0,7788,0,40216,26508,883,2053452,5353,3018,10849,884245,553831,4685,325729,197181,601,196580,12842,87793,852171,431246,1956842
1980:Q3,557003,9620,36717,62142,0,20253,131233,0,64357,59467,7409,0,214638,71279,0,143359,0,8075,0,42056,31421,848,2099248,5305,3268,10925,919249,582379,4573,332297,206401,572,205829,12860,89842,851398,454469,1996714
1980:Q4,570402,10550,29217,63307,0,16997,136201,0,69472,59721,7008,0,222760,75430,0,147330,0,8196,0,44308,36902,1964,2141836,5155,2518,11057,950972,609679,4445,336848,205646,550,205096,13195,91539,861754,462486,2033920
1981:Q1,597738,12240,30170,65286,0,17135,141599,0,74161,60564,6874,0,232236,79002,0,153234,0,8391,0,46215,42571,1895,2207390,6019,2818,11167,992357,646299,4391,341667,200668,520,200148,13163,94553,886645,485400,2095052
1981:Q2,594338,12042,29242,62372,0,16301,149675,0,80335,62628,6712,0,241545,82779,0,158766,0,8714,0,47512,24814,2121,2234131,5637,3068,11266,997250,646256,4232,346762,200489,493,199996,13497,96133,906791,475511,2115304
1981:Q3,612096,13037,34133,62946,0,17315,156897,0,83719,66253,6925,0,248109,85266,0,162843,0,9030,0,48202,20275,2152,2288565,5608,3318,11374,1028452,668124,4170,356158,207861,465,207396,13473,97424,921055,489773,2166242
1981:Q4,617019,13834,28955,65533,0,13661,161559,0,85335,69085,7139,0,253852,88051,0,165801,0,9338,0,49184,19325,1778,2350516,5703,3318,11502,1073053,705719,4104,363230,206659,441,206218,13833,98400,938048,492741,2226238
1982:Q1,629255,13881,28408,70276,0,11896,166886,0,93525,65763,7598,0,258350,89758,0,168592,0,9551,0,49902,18281,1824,2417826,5454,3568,11606,1113123,738577,3506,371040,204152,415,203737,13868,101071,964984,495904,2284475
1982:Q2,632545,14782,27898,69076,0,13450,173971,0,102120,64250,7601,0,264999,91812,0,173187,0,9836,0,51655,4845,2033,2466810,5351,3818,11693,1136202,749688,3485,383029,204678,383,204295,14232,104583,986253,489838,2324103
1982:Q3,676621,14760,44398,71263,0,14701,176738,0,99211,69922,7605,0,271819,93166,0,178653,0,10093,0,51943,18748,2158,2553554,5254,4218,11764,1206608,809587,3443,393578,214377,353,214024,14242,107752,989339,536572,2413505
1982:Q4,685258,17076,34903,72012,0,16086,178155,0,100592,70180,7383,0,278008,95654,0,182354,0,10345,0,55324,21355,1994,2643837,5405,4618,11859,1276684,869350,3351,403983,218119,322,217797,14679,109834,1002639,541812,2500391
1983:Q1,700831,18173,29295,72865,0,18517,183298,0,105040,70582,7551,125,282305,96832,0,185473,0,10760,0,55929,27669,2020,2720357,5285,4618,11971,1340538,925470,3387,411681,215115,307,214808,14707,111795,1016328,551067,2570593
1983:Q2,728660,18459,43721,69041,0,23422,185704,0,107143,71057,7254,250,293957,99491,0,194466,0,10985,0,57468,23561,2342,2795031,5234,4618,12104,1397870,966482,3344,428044,223605,275,223330,15112,115471,1021017,570803,2637174
1983:Q3,748391,18255,50156,67694,0,30795,186097,0,107744,70347,7506,500,300091,101745,0,198346,0,11334,0,57937,23627,2405,2877027,5178,4618,12241,1452925,1010312,3320,439293,239620,261,239359,15164,118973,1028308,587338,2715974
1983:Q4,744871,18986,26573,68094,0,32665,191502,0,112493,70054,7955,1000,305708,104760,0,200948,0,11714,0,60589,26934,2106,2946494,5130,4618,12327,1498268,1044748,3311,450209,243621,241,243380,15637,121959,1044934,576793,2778416
1984:Q1,776768,19888,30547,67009,0,36581,197334,0,115460,71639,8454,1781,311034,106856,0,204178,0,12038,0,62600,37230,2507,3031553,5214,4618,12501,1556379,1092278,3274,460827,242799,204,242595,15723,126429,1067890,604091,2858876
1984:Q2,790828,19764,33366,67017,0,40000,202966,0,119641,71707,8743,2875,318399,109882,0,208517,0,12349,0,66210,27376,3381,3101469,5052,4618,12656,1601676,1121406,3262,477008,248507,180,248327,16177,130970,1081813,611504,2922145
1984:Q3,835757,19734,47193,70690,0,48267,208674,0,120545,75416,8682,4031,325767,111657,0,214110,0,12725,0,67822,30528,4357,3184274,4895,4618,12739,1668918,1172606,3255,493057,264995,152,264843,16230,134719,1077160,653209,3001726
1984:Q4,852098,20307,37587,72030,0,53122,210191,0,121603,74572,9016,5000,340645,115862,0,224783,0,13140,0,68781,32509,3786,3278612,4803,4618,12880,1730978,1232741,3244,494993,279113,141,278972,16721,136940,1092559,658448,3084962
1985:Q1,892860,20469,30705,78093,0,58548,227909,0,128528,84887,8650,5844,352212,118119,0,234093,0,13475,0,71035,36979,3435,3369540,4857,4618,13157,1796457,1277088,3230,516139,288357,116,288241,16757,142047,1103290,686876,3163556
1985:Q2,930138,20897,44688,76289,0,67216,240408,0,136664,88968,8151,6625,364022,120752,0,243270,0,13815,0,73507,25712,3584,3464603,4891,4618,13175,1852723,1310253,3221,539249,308286,96,308190,17226,147097,1116587,707076,3241541
1985:Q3,968078,22289,36385,77903,0,73614,241529,0,134169,90871,9145,7344,385091,123932,0,261159,0,14151,0,74848,37547,4721,3571106,5191,4618,13255,1915246,1348328,3215,563703,332095,83,332012,17282,152125,1131294,736449,3339477
1985:Q4,1077064,25129,51155,80463,0,74128,293848,0,171160,105083,9605,8000,412388,127511,0,284877,0,14441,0,76235,39650,9627,3756981,5382,4718,13267,2080243,1425915,3217,651111,359702,72,359630,17829,156329,1119511,781969,3461886
1986:Q1,1074518,26196,29890,83111,0,74379,296120,0,174755,102965,9822,8578,420082,132124,0,287958,0,14649,0,73707,46522,9862,3814283,5577,4718,13478,2118026,1461722,3163,653141,359176,61,359115,17859,160726,1134723,774549,3514314
1986:Q2,1112719,27405,47016,81255,0,75637,309292,0,194475,95669,10086,9062,434223,134779,0,299444,0,15043,0,74689,37110,11049,3921020,5770,4818,13571,2175391,1488154,3165,684072,389607,52,389555,18355,168062,1145446,782888,3591189
1986:Q3,1142966,27928,50554,79665,0,81473,312309,0,190209,102273,10312,9515,442747,136877,0,305870,86,15758,0,74599,46937,10910,4035903,5945,5018,13647,2256931,1553259,3559,700113,392985,40,392945,18428,176378,1166571,813076,3706013
1986:Q4,1174196,28032,53210,79563,0,78977,329305,0,205227,103663,10415,10000,453955,140362,0,313593,219,15923,0,74846,49857,10309,4143141,5993,5018,13756,2337166,1608685,3608,724873,422511,36,422475,18871,180461,1159365,820797,3789742
1987:Q1,1178525,28338,26445,82243,0,81673,340066,0,226292,92814,10444,10516,459331,143503,0,315828,367,16112,0,80712,52913,10325,4190195,6299,5018,13884,2382623,1624673,4594,753356,430315,27,430288,18998,185236,1147822,796233,3807903
1987:Q2,1214568,24962,62439,80817,0,85191,338956,0,223205,94242,10446,11063,465822,146319,0,319503,500,16394,0,82426,46485,10576,4254726,6262,5018,13991,2421714,1646764,4127,770823,444455,25,444430,19487,189028,1154771,830342,3870500
1987:Q3,1225904,26958,55328,79500,0,90656,345853,86,223789,100018,10381,11579,464564,142039,0,322525,609,16801,0,84433,49739,11463,4320978,6270,5018,14105,2463408,1663907,3901,795600,463515,22,463493,20518,194021,1154123,837356,3932430
1987:Q4,1240147,29112,42802,82206,0,90908,349606,219,218286,108896,10205,12000,476327,143765,0,332562,687,17134,0,86591,50732,14042,4472694,6951,5018,14225,2534454,1711632,5144,817678,489836,21,489815,20076,198027,1204107,847418,4079965
1988:Q1,1248482,25533,44829,85635,0,88141,352401,367,224149,105533,10039,12313,479729,145206,0,334523,796,17413,0,88402,58412,7191,4539632,6797,5018,14354,2575833,1743989,5021,826823,494098,21,494077,20097,203310,1220125,847224,4138374
1988:Q2,1259807,23799,67838,81329,0,92201,350388,500,216499,110888,10000,12501,483408,145196,0,338212,1000,17711,0,89389,44867,7877,4593056,6421,5018,14454,2600936,1755942,6952,838042,505785,22,505763,20617,208547,1231278,863068,4196317
1988:Q3,1278082,27264,71769,82488,0,92776,356248,609,208255,124609,10086,12689,475189,144534,0,330655,1297,18036,55,88354,57187,7419,4675612,6322,5018,14574,2660641,1786803,12176,861662,514466,20,514446,20654,212379,1241558,897141,4294671
1988:Q4,1275738,27671,61410,81885,0,89894,368434,687,212746,131713,10288,13000,466977,146664,0,320313,1688,18448,94,91439,59645,8153,4774184,6593,5018,14736,2731000,1824433,22578,883989,531604,16,531588,21249,216800,1247184,892194,4390640
1989:Q1,1282077,28725,37851,84732,0,97872,369769,796,201494,143527,10514,13438,466958,148227,0,318731,2110,18709,211,93878,73461,7801,4865489,6334,5368,14876,2771007,1856155,22284,892568,533705,15,533690,21271,222285,1290643,906273,4489685
1989:Q2,1315827,30632,69787,82478,0,100237,381200,1000,202594,152932,10673,14001,469905,149255,0,320650,2500,18966,500,96231,55067,8324,4917909,6107,8518,15056,2785328,1861784,23567,899977,544837,14,544823,21798,228691,1307574,937167,4539249
1989:Q3,1328563,31356,62430,80757,0,103620,389423,1266,201227,161595,10771,14564,470988,150547,0,320441,2875,19280,945,96829,60776,9284,5013395,6270,8518,15166,2835166,1892480,25342,917344,562482,13,562469,21790,233256,1330747,949184,4634016
1989:Q4,1341543,32275,53978,80906,0,106040,395825,1563,205817,162629,10816,15000,477042,152246,0,324796,3250,19621,1531,98118,63580,9377,5144257,6439,8518,15303,2898306,1942516,24197,931593,592579,13,592566,22406,237217,1363489,952870,4755584
1990:Q1,1374241,31852,40691,81400,0,106401,417731,1954,237602,151991,10871,15313,488502,160834,0,327668,3625,19945,2226,99875,72182,9811,5263922,6373,8518,15453,2936279,1955020,31590,949669,626464,14,626450,22402,237751,1410682,953238,4842919
1990:Q2,1396900,32067,59026,78428,0,109562,421680,2500,240719,151960,11000,15501,500665,172811,0,327854,4000,20252,3000,101621,55652,10947,5341163,6486,8518,15614,2978853,1985110,32933,960810,639555,11,639544,22950,242321,1426866,971731,4915994
1990:Q3,1424330,34568,60460,77341,0,109957,427904,3180,246011,151795,11229,15689,513979,187627,0,326352,4375,20713,3867,102065,59559,9542,5495823,6823,8518,15713,3047292,2043898,32603,970791,658248,10,658238,22985,245025,1491219,996270,5067763
1990:Q4,1427817,39684,54351,76649,0,111771,432320,3969,249735,151033,11583,16000,513589,193074,0,320515,4750,20925,4844,98832,59175,10927,5611609,6970,10018,16256,3127318,2117196,32350,977772,690872,10,690862,23594,244328,1492253,996031,5179823
1991:Q1,1455352,36904,58795,78735,0,109672,442361,4899,256239,152905,11896,16422,520779,204095,0,316684,5125,21208,5899,96442,67637,11795,5674035,6596,10018,15958,3183044,2165271,26350,991423,693386,11,693375,23655,244929,1496449,1018257,5236940
1991:Q2,1466852,35258,70369,74434,0,114641,444566,6000,255815,153813,12000,16938,530342,213303,0,317039,5500,21633,7000,96564,54279,12266,5784429,6441,10018,16070,3239291,2204987,24800,1009504,707545,10,707535,24227,248902,1531935,1028614,5346191
1991:Q3,1475898,37793,57557,72093,0,115611,466358,7336,272115,157515,11907,17485,527392,216661,0,310731,5875,21974,8156,97068,54750,11271,5934749,6703,10018,16170,3363850,2308289,17602,1037959,721786,10,721776,24118,252668,1539436,1023955,5482806
1991:Q4,1516244,39097,85155,66846,0,118442,477119,8969,275798,162725,11627,18000,523896,212011,0,311885,6250,22429,9375,96599,55468,15568,6075475,7008,10018,16296,3477821,2390681,18556,1068584,748137,10,748127,24790,252483,1538922,1059068,5618299
1992:Q1,1512536,37607,55567,68162,0,115788,490736,10617,302227,148155,11284,18453,526164,216201,0,309963,6625,22743,10656,96562,70079,11847,6243317,6721,10018,16314,3560118,2473821,15765,1070532,744895,10,744885,24674,255181,1625396,1031185,5761966
1992:Q2,1521898,41615,83123,62739,0,122350,482642,12000,273703,166627,11000,19312,525507,211646,0,313861,7000,23049,12000,95397,52943,13533,6394772,7012,10018,16386,3628553,2532517,15862,1080174,759312,8,759304,25287,260164,1688040,1065335,5938209
1992:Q3,1528945,43109,94851,63292,0,122183,488319,13156,271740,172507,10751,20165,513999,204318,0,309681,7375,23430,13406,92948,55719,10314,6541477,7216,10018,16433,3717968,2606080,18119,1093769,774503,8,774495,25454,263054,1726831,1078934,6091466
1992:Q4,1490425,38847,69866,58135,0,123050,485074,14125,264645,174902,10502,20900,505676,200026,0,305650,7750,23856,14875,93032,57953,12311,6657087,6737,8018,16516,3787021,2683010,18786,1085225,799205,8,799197,26229,264028,1749333,1051878,6218540
1993:Q1,1495838,41089,59152,61801,26,125870,491472,15036,282428,161627,10257,22124,498053,195635,0,302418,8128,24079,16412,92508,71973,5275,6753445,6848,8018,16588,3859848,2737390,19576,1102882,795790,8,795782,26232,268821,1771300,1041773,6299380
1993:Q2,1513040,40682,100940,57799,53,124256,504773,16011,288608,166518,10007,23629,489972,187122,0,302850,8506,24359,18013,91559,49435,2693,6875961,6877,8018,16678,3935824,2786667,20596,1128561,815972,8,815964,26872,274119,1791601,1051992,6414913
1993:Q3,1510167,41605,93084,58382,105,126012,504250,16989,271637,180726,9759,25139,481150,182792,0,298358,8891,24606,19676,92619,54799,4988,6955380,6949,8018,16784,3997580,2829297,24654,1143629,830001,7,829994,26941,279910,1789197,1069883,6515096
1993:Q4,1510341,40151,92368,55831,158,134021,500578,17901,271252,175367,9503,26555,470863,179436,353,291074,9286,24999,21391,94245,60495,5955,7073771,6730,8018,16962,4082378,2911911,26585,1143882,854995,6,854989,27622,281988,1795078,1070978,6634408
1994:Q1,1504903,42559,86102,58754,211,128778,498355,18882,273693,168599,9254,27927,455889,174922,350,280617,9673,25221,23185,93252,74996,7928,7187171,6921,8018,17126,4131726,2964629,26259,1140838,845912,6,845906,27628,286368,1863472,1067302,6749570
1994:Q2,1486216,42371,92882,55924,316,126308,501508,20082,269710,173359,9037,29320,452493,174777,354,277362,10041,25583,25103,94287,49291,10109,7232872,7096,8018,17285,4127265,2971742,27438,1128085,854858,6,854852,28307,291363,1898680,1054849,6801505
1994:Q3,1480921,42379,75268,57278,421,118998,508284,21575,262184,184965,8844,30716,449823,177275,558,271990,10376,25979,27255,94999,55726,14135,7282919,7189,8018,17477,4155295,3011491,28162,1115642,866204,6,866198,28405,294924,1905407,1062820,6864818
1994:Q4,1487724,41351,69905,58490,527,119449,490108,22440,239010,187873,8667,32118,457579,174446,6865,276268,10670,26429,29298,95908,60882,27128,7357594,7153,8018,17648,4198765,3074079,26743,1097943,886557,6,886551,28890,297780,1912783,1097873,6967743
1995:Q1,1507210,50519,55603,63907,597,110624,503305,24204,229311,207483,8507,33800,448062,174732,6874,266456,11005,26741,31595,96324,84753,24175,7406601,7646,8018,17832,4257186,3147620,26436,1083130,870423,6,870417,28940,300452,1916104,1136819,7036210
1995:Q2,1519918,55145,100957,61649,792,102132,467743,26447,194472,202344,8385,36095,442818,172545,6211,264062,11544,27018,33791,96395,54237,65697,7424225,7686,8018,18002,4273964,3172695,26838,1074431,880510,6,880504,29371,304023,1902651,1186285,7090592
1995:Q3,1506776,54544,79486,63754,835,106893,447230,35286,192952,174033,7269,37690,433784,170528,7166,256090,20246,27421,34751,97196,60364,80272,7421717,7380,10168,18199,4275155,3199633,26940,1048582,888672,6,888666,29445,307970,1884728,1182970,7097911
1995:Q4,1475686,53779,65084,67363,960,117106,425455,39850,187608,153361,5178,39458,412682,168671,9182,234829,26739,27947,35430,100383,60078,82680,7466080,7283,10168,18326,4313091,3247828,28223,1037040,885634,6,885628,29909,310539,1891130,1168748,7159142
1996:Q1,1509099,53266,62969,72596,1011,137338,431736,42308,189523,152530,4109,43266,412294,165812,11536,234946,31055,28385,36221,101257,83007,57964,7542491,7159,10168,18325,4386746,3326813,27643,1032290,883434,6,883428,30001,315285,1891373,1209162,7242554
1996:Q2,1513078,52880,82937,75618,1004,145625,441461,51074,187769,151312,4854,46452,415580,165914,13039,236627,36950,28762,39602,102287,54868,35504,7536111,7072,10168,18280,4364471,3302754,28205,1033512,895832,5,895827,30609,321224,1888455,1212241,7235274
1996:Q3,1524462,45069,85813,76387,1020,146019,418026,54801,170209,139557,4618,48841,414501,165609,15529,233363,41521,29195,41007,103076,62479,60349,7585677,7052,9718,18866,4386370,3344692,27437,1014241,907320,4,907316,30648,326559,1899144,1243328,7304543
1996:Q4,1541271,44872,78937,77227,1083,149780,391088,60479,157802,117763,4701,50343,419100,167041,17671,234388,47524,29781,41582,106894,69204,84199,7629628,7045,9718,18865,4435071,3387118,26613,1021340,934201,2,934199,30526,329879,1864323,1272649,7361006
1997:Q1,1586540,38315,78005,80505,1180,153854,374613,66304,145402,110470,4493,47944,428434,165793,20512,242129,50261,30208,41125,107655,92106,110279,7718710,6795,9200,18974,4483477,3433093,26258,1024126,932140,0,932140,31236,333064,1903824,1321635,7453805
1997:Q2,1611863,38886,98378,80062,1234,151586,383790,68020,137364,123331,4605,50470,433479,166697,22885,243897,61006,30619,39384,109729,60233,123477,7581246,6801,9200,19013,4425181,3361985,26319,1036877,943269,0,943269,31787,336903,1809092,1351958,7321341
1997:Q3,1707880,38599,89946,82465,1328,154942,364261,72317,125217,111907,4061,50759,444926,166912,25614,252400,71464,31034,36428,108246,133202,151039,7549983,6689,9200,19326,4440714,3369532,26089,1045093,962653,0,962653,31763,339185,1740453,1456205,7298308
1997:Q4,1734033,41957,84438,84176,1407,153772,365272,75173,117064,117265,3962,51808,459127,168244,27635,263248,79669,31370,34169,109997,131091,157588,7640060,6611,9200,19325,4481501,3388018,26526,1066957,1001937,0,1001937,32263,341084,1748139,1478938,7384965
1998:Q1,1817909,41682,77145,89394,1484,162568,350024,80541,100589,111995,3556,53343,479062,168964,31397,278701,88981,31755,30989,112905,156549,195371,7611294,6545,9200,19405,4512029,3399328,25918,1086783,1005891,0,1005891,32443,344458,1681323,1564650,7358035
1998:Q2,1877735,42836,124838,90671,1704,156771,379999,79250,105362,134884,3054,57449,498956,170119,33586,295251,95633,32199,33513,113158,121878,185579,7595111,6524,9200,19461,4438783,3302345,25558,1110880,1032603,0,1032603,33096,348267,1707177,1604267,7321643
1998:Q3,1879953,46269,86973,93100,1861,155039,397601,82315,109507,143243,3099,59437,510047,169818,36992,303237,85995,32612,26934,116187,130758,196577,7780117,6719,9200,19886,4405433,3265085,25455,1114893,1056181,0,1056181,33099,353014,1896585,1592571,7492735
1998:Q4,1916976,51037,66799,99872,4201,162225,440097,90519,120421,160714,3331,65112,516034,177356,36516,302162,102777,32950,35602,118509,125791,161082,7690460,6899,9200,19885,4454186,3292049,28501,1133636,1084653,0,1084653,33555,354433,1727649,1617817,7391301
1999:Q1,1981846,48262,69481,102539,4298,161710,463948,94835,126163,171568,3412,67970,522532,178212,40636,303684,102772,33344,35430,122191,152385,162954,7734086,6653,8200,19885,4479275,3298489,28118,1152668,1075695,0,1075695,33724,360414,1750240,1674704,7426944
1999:Q2,2019071,45974,103107,105070,4374,160267,486179,98797,131435,181906,3476,70565,530432,178694,42787,308951,102189,33800,35053,124456,132536,155634,7607621,6545,8200,20402,4380356,3187031,28268,1165057,1089262,0,1089262,34398,368475,1699983,1701371,7289921
1999:Q3,2082430,46378,104845,108989,4449,158646,508812,102821,136789,192466,3541,73195,564070,212395,46457,305218,101505,34129,34634,127194,135510,153269,7742254,6799,7200,20902,4367802,3172959,28276,1166567,1099692,0,1099692,34455,375694,1829710,1763847,7423671
1999:Q4,2146575,44452,134697,114233,4605,159689,541478,108844,144801,206927,3671,77235,558837,215102,47988,295747,102545,34401,34794,127801,140661,148382,7657037,6725,6200,20901,4421900,3221095,28284,1172521,1124109,0,1124109,34956,383095,1659151,1823885,7334347
2000:Q1,2160717,44052,92118,118299,4688,157927,566193,113239,150648,218456,3742,80108,558805,214614,52264,291927,101804,34731,34339,132113,169451,146197,7642906,6599,6200,21441,4405565,3201973,27768,1175824,1105188,0,1105188,35248,395349,1667316,1835932,7318121
2000:Q2,2155679,41473,104982,121227,4732,154763,586740,116785,155366,228434,3782,82373,557505,213892,54105,289508,100168,35128,33577,134438,140637,140309,7565943,6552,4200,22124,4225468,3014524,28227,1182717,1113064,0,1113064,35904,402834,1755797,1827597,7237861
2000:Q3,2181842,39682,98755,126657,4811,152566,611809,121216,161263,240222,3850,85258,552593,212470,58542,281581,99171,35444,33023,136856,149489,140986,7546443,6359,3200,23181,4174505,2970228,27621,1176656,1118451,0,1118451,35958,410508,1774281,1854621,7219222
2000:Q4,2151984,41051,71906,125711,4847,148993,632197,124707,165908,250221,3886,87475,549796,211851,59662,278283,97289,35839,32168,138013,148258,125916,7724122,6384,2200,23180,4161133,2944782,27326,1189025,1126784,0,1126784,36396,413707,1954338,1822293,7394431
2001:Q1,2200315,38741,74305,130206,4903,145825,654984,128662,171169,261207,3934,90012,552918,210623,64386,277909,95681,36352,31401,142621,165741,126637,8014681,6177,2200,23578,4207363,2964368,26767,1216228,1139836,0,1139836,36555,423257,2175715,1863381,7677747
2001:Q2,2240749,39495,96390,136304,5026,144502,687419,134493,178926,276109,4038,93853,555228,211682,66683,276863,95300,36822,31027,147430,137143,128663,7872454,6103,2200,23904,4082193,2804731,27048,1250414,1153421,0,1153421,37148,431020,2136465,1895494,7527199
2001:Q3,2262715,44666,97200,139146,5026,139540,703505,137111,182410,284492,4044,95448,549029,208615,70765,269649,92532,37157,29869,151088,152651,121306,8225260,6316,2200,24462,4167235,2883903,26960,1256372,1156210,0,1156210,37155,440421,2391261,1921009,7883554
2001:Q4,2287626,43164,119979,142123,5140,137673,736144,142944,190171,299612,4142,99275,548063,209917,72470,265676,91828,37460,29372,151332,135238,110110,8263205,6157,2200,24462,4261952,2940792,26777,1294383,1186635,0,1186635,37781,443880,2300138,1938096,7913675
2002:Q1,2262869,42247,77593,149716,5167,133307,756632,146403,194773,309839,4169,101448,544611,208339,76092,260180,89472,37887,28339,152220,141082,104596,8365831,6109,2200,24696,4336780,2994298,26328,1316154,1172584,0,1172584,37713,452246,2333503,1913640,8016602
2002:Q2,2285316,47606,108476,146101,5191,128819,776900,149815,199312,319994,4195,103584,545332,206416,76396,262520,87041,38231,27279,151361,129221,93758,8663026,6519,2200,24846,4405301,3012323,26775,1366203,1184118,0,1184118,38713,461289,2540040,1929737,8307447
2002:Q3,2354967,48815,132190,155493,5189,123652,793277,152474,202850,328555,4199,105199,547990,203645,80449,263896,84153,38569,26075,148987,162088,88489,8948770,6481,2200,25450,4513408,3096826,27170,1389412,1200003,0,1200003,38684,468528,2694016,1994133,8587936
2002:Q4,2379082,50977,107471,167952,5282,120653,824449,157968,210159,343275,4280,108767,557669,204875,80490,272304,82753,38851,25325,150630,164198,82872,9170237,6661,2200,25450,4647293,3181716,27275,1438302,1227935,0,1227935,39354,472655,2748689,2001645,8792800
2003:Q1,2388737,51745,81089,165354,5279,120591,824018,157886,210049,343096,4277,108710,553248,202385,83129,267734,82710,39203,25312,163938,197035,79215,9340880,6731,2200,25591,4785977,3293980,26880,1465117,1206682,0,1206682,39373,502921,2771405,2015931,8968074
2003:Q2,2415336,52934,101583,175346,5442,121792,832236,159459,212145,346517,4321,109794,544879,203806,82164,258909,95117,39597,28703,165678,175406,76623,9501749,6864,2200,25992,4903738,3356764,27009,1519965,1211393,0,1211393,39793,528112,2783657,2048747,9135160
2003:Q3,2441586,54879,112960,160731,5634,123105,849651,159735,218934,354151,4575,112256,555561,206517,83311,265733,97395,39881,29869,164575,170727,76618,9665219,7005,2200,26015,4994518,3438700,27023,1528795,1246615,0,1246615,39930,553795,2795141,2059998,9283631
2003:Q4,2533592,54972,121864,162223,6060,127592,889521,164034,231661,371169,4961,117696,562241,213447,82366,266428,108152,40154,32843,167748,187795,72427,9776796,7281,2200,26014,5137457,3553832,24866,1558759,1279013,0,1279013,40480,573570,2710781,2138104,9381308
2004:Q1,2606580,54360,89076,170227,6382,130371,918158,166025,241646,383530,5296,121661,580036,220374,85403,274259,109703,40460,33974,177132,221261,75440,10782358,7254,2200,26210,6062462,3702839,25132,2334491,1251879,0,1251879,40468,589579,2802306,2194183,10369961
2004:Q2,2568058,52282,108513,165068,6330,125680,894207,158498,237796,373924,5329,118660,578328,215454,84728,278146,109898,40937,34225,181200,202374,69016,10936289,7184,2200,26499,6158947,3736774,24221,2397952,1267653,0,1267653,40940,602483,2830383,2153659,10521890
2004:Q3,2649673,52002,95155,170682,7005,135009,970516,168564,260745,406267,5969,128971,589069,228224,87140,273705,106575,41756,34369,182309,177862,87364,11285750,7197,2200,26673,6278316,3822244,24183,2431889,1280696,0,1280696,40994,613500,3036174,2214890,10850967
2004:Q4,2559238,54298,85419,174358,6630,124076,901222,153325,244588,377660,5714,119935,579570,218471,86074,275025,116072,42006,37352,186705,190855,60675,11274285,7609,2200,26703,6419511,3919926,24261,2475324,1316690,0,1316690,41566,618929,2841077,2138262,10853309
2005:Q1,2626893,47496,91961,172849,6771,123225,904446,150666,247925,379412,5906,120537,594726,219639,89425,285662,112171,42330,37017,191150,238515,64236,11608754,7402,2200,26902,6615771,4062682,24076,2529013,1327310,0,1327310,41567,637343,2950259,2183979,11165840
2005:Q2,2728241,46157,104976,171469,7300,129184,958220,156236,265267,402394,6438,127885,630505,228835,88936,312734,113436,42660,38036,200319,213193,72786,11721851,7137,2200,27172,6592272,3992064,23730,2576478,1351365,0,1351365,41985,655263,3044457,2239609,11233219
2005:Q3,2871733,41025,98579,178495,8146,140306,1051825,167788,294029,442166,7265,140577,667556,245313,91715,330528,116663,42922,39893,207799,191352,87172,11916109,7102,2200,27401,6671202,4044797,23636,2602769,1385771,0,1385771,42055,673230,3107148,2334731,11379107
2005:Q4,2924517,35057,109347,186050,7671,139830,1059534,165291,299045,445873,7517,141808,678660,248015,89822,340823,117849,43144,40849,213366,207228,85932,12100092,7003,2200,27482,6806313,4143058,23835,2639420,1428502,0,1428502,42702,684512,3101378,2371765,11547340
2006:Q1,2884125,34898,79126,189653,7891,132053,1011461,154243,288201,426087,7366,135564,690602,241109,110095,339398,122887,44433,43021,212968,246544,68588,12161988,7059,2200,27626,6966155,4297584,23582,2644989,1416284,0,1416284,42778,696436,3003450,2343024,11620887
2006:Q2,2956908,36558,115455,191309,8328,135924,1052494,156818,302721,443833,7861,141261,706471,249935,109606,346930,119108,44565,42574,219063,205181,79878,12273062,7248,2200,27815,6918964,4211505,23639,2683820,1432308,0,1432308,43333,712396,3128798,2393384,11709538
2006:Q3,3048201,35088,119598,203118,8946,140956,1103499,160566,320347,465824,8448,148314,713587,259600,110459,343528,123034,44873,44296,219730,206955,84521,12367330,7234,2200,28065,6984348,4257879,23385,2703084,1444631,0,1444631,43470,721674,3135708,2469499,11788628
2006:Q4,3148894,34239,108171,212035,9757,146324,1158259,164503,339339,489444,9083,155890,741851,269658,108664,363529,130434,45083,47071,210727,219057,85886,12488543,7371,2200,28064,7076530,4297561,23509,2755460,1494068,0,1494068,44204,725013,3111093,2531627,11871276
