1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q4,-2474,10349,121984,-460,1404,0,71075,-24449,-15076,-17844,-3292,131736,-2378,21072,-23450,140,-14754,820,-36,31846,0,0,0,34327,0,780,0,33547,97204,99080,0,-396,1376,35768,39864,0,1640,20828,0,0,4020,11256,5552,-1876,-4800,2924,0,-37603,0,87792,0,0,0
1996:Q1,2785,7836,69928,-928,2768,0,41165,31393,-9480,-16304,1768,33788,6563,7216,-653,-44,3192,916,140,39368,0,0,0,-23212,0,728,0,-23940,46472,55064,0,2592,508,14352,34240,0,420,2952,0,0,-2120,4036,1036,-8592,-8860,268,0,-28507,0,52648,0,0,0
1996:Q2,4392,8026,58832,-484,2492,0,-3531,14425,-21176,-18396,-904,22520,973,5032,-4059,20,8691,712,44,41065,0,0,0,8850,0,792,0,8058,64204,65052,0,288,148,28404,25856,0,452,9904,0,0,1444,9568,-1108,-848,-1124,276,0,1738,0,64816,0,0,0
1996:Q3,5271,8284,162676,-500,2624,0,116524,-16928,4508,31836,1100,96008,2588,12084,-9496,124,6778,888,8,43170,0,0,0,-9527,0,776,0,-10303,104844,106288,0,-416,112,56728,20852,0,604,28408,0,0,2732,19484,6192,-1444,-3072,1628,0,-60845,0,98532,0,0,0
1996:Q4,5650,8543,167332,-1776,2896,0,108422,-16746,-33620,5948,3832,149008,-14500,-6452,-8048,220,-10001,520,172,34561,0,0,0,46818,0,756,0,46062,175652,199108,0,2004,2388,58248,114032,0,996,21440,0,0,18520,-14076,16996,-23456,-22180,-1276,0,5427,0,175124,0,0,0
1997:Q1,-1362,8429,167996,-3540,4452,0,87604,34888,-540,-5368,468,58156,3942,6592,-2650,120,6724,2836,8,39536,0,0,0,26314,0,268,0,26046,40900,41032,0,764,1180,43360,59448,0,-188,-63532,0,0,8564,-21392,-50704,-132,-2332,2200,0,-136887,0,88556,0,0,0
1997:Q2,-1847,8618,195836,2264,-1068,0,153359,15207,1884,9796,784,125688,7313,8008,-695,20,2824,472,20,34968,0,0,0,-4336,0,292,0,-4628,198900,184436,0,132,2448,48664,98916,0,-176,34452,0,236,11200,33180,-10164,14464,2144,12320,0,-7401,0,187028,0,0,0
1997:Q3,-2339,9005,165260,-1536,-2556,0,72309,10865,10196,12960,1392,36896,2443,4028,-1585,-40,5989,-560,908,56019,0,0,0,32284,0,312,0,31972,125572,124204,0,184,324,54800,74412,0,-160,-5356,0,132,11140,19136,-35764,1368,-2316,3684,0,-51032,0,155928,0,0,0
1997:Q4,-2713,9084,107380,18164,928,0,16192,7612,-42052,-85636,9560,126708,-4862,-1864,-2998,492,10462,3976,-884,38130,0,0,0,24781,0,340,0,24441,98264,109828,0,-344,3964,30620,-13180,0,-148,88916,0,0,10108,25352,53456,-11564,-13372,1808,0,-20913,0,48980,0,0,0
1998:Q1,-746,10205,201400,-18916,1772,0,95786,23794,-8616,-1604,1600,80612,7400,2360,5040,256,10290,2312,-16,45506,0,0,0,57011,0,-156,0,57167,183688,186644,0,4,368,26376,71212,0,1212,87472,0,28,4040,20460,62944,-2956,-3612,656,0,-28663,0,120484,0,0,0
1998:Q2,-127,10513,145348,5136,7624,0,47314,1982,-10360,-5856,1304,60244,9412,6972,2440,588,9309,2988,-56,53683,0,0,0,9349,0,1204,0,8145,147840,143292,0,-620,780,39408,116664,0,1264,-14204,0,1928,1616,-22652,4904,4548,2336,2212,0,-8148,0,142600,0,0,0
