1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q3,47044,108,2140,0,0,14748,0,2736,4692,-544,7864,2392,10700,0,16956,16884,72,47048
1981:Q4,48400,-476,-1932,0,0,26012,0,9396,8516,-12,8112,1276,4620,0,18900,18828,72,48408
1982:Q1,50098,112,636,0,0,23944,0,7924,11948,-820,4892,1884,5952,0,17570,17450,120,50104
1982:Q2,51590,432,2552,0,0,24556,0,11488,2624,788,9656,944,2212,0,20894,20770,124,51596
1982:Q3,53083,304,1892,0,0,22836,0,13728,13784,-1192,-3484,1764,-3044,0,29331,29207,124,53088
1982:Q4,54579,580,3636,0,0,10544,0,4196,11884,-1676,-3860,424,18984,0,20411,20287,124,54584
1983:Q1,56337,884,5432,0,656,12588,656,11656,4116,-3072,-768,840,19644,0,16293,16153,140,56344
1983:Q2,57937,96,1628,0,968,17856,968,15440,3268,480,-2300,464,13260,0,23665,23457,208,57944
1983:Q3,59537,-260,-1808,0,1156,-6852,1156,10424,1000,-240,-19192,200,25684,0,41417,41133,284,59544
1983:Q4,61137,956,5920,0,1220,5412,1220,10528,11384,-1692,-16028,2008,21364,0,24257,23909,348,61144
1984:Q1,60635,892,5276,0,1284,26236,1284,22604,3760,604,-2016,300,7120,0,19527,19667,-140,60644
1984:Q2,61394,668,3956,0,1344,42492,1344,18464,-5564,452,27796,836,1832,0,10266,10406,-140,61404
1984:Q3,62151,852,6536,0,1532,31268,1532,20616,2764,-784,7140,104,11076,0,10783,10851,-68,62164
1984:Q4,62910,-16,-3068,0,1840,34972,1840,14332,15264,-2136,5672,1176,9064,0,18942,19154,-212,62924
1985:Q1,64874,1360,8500,0,2156,-2712,2156,23632,748,64,-29312,256,21068,0,34246,34178,68,64888
1985:Q2,66114,2188,2116,0,2468,22240,2468,13472,-10616,-1088,18004,104,39472,0,-2474,-2546,72,66128
1985:Q3,67358,-1560,-1860,0,2656,34072,2656,10880,2860,-212,17888,-96,16384,0,17762,17618,144,67372
1985:Q4,68598,-580,-3288,5708,2720,22968,2720,21892,-13728,-388,12472,-48,37356,0,3762,3562,200,68612
1986:Q1,69845,-204,2980,268,2856,24168,2856,38580,-12892,-760,-3616,364,25240,8,14165,13769,396,69860
1986:Q2,71089,-400,444,-56,3064,29736,3064,13916,4492,1032,7232,-812,19680,-2652,22085,21721,364,71104
1986:Q3,72332,1196,-10352,428,3500,51152,3500,24388,7524,-644,16384,668,25836,-3408,3312,3348,-36,72348
1986:Q4,73576,2332,-6816,552,3660,72868,3660,42900,968,-1304,26644,744,25400,-1588,-23576,-23700,124,73592
1987:Q1,75324,2508,-9952,128,3764,46252,3764,29944,7080,-624,6088,-868,34216,6700,-7424,-7696,272,75344
1987:Q2,76771,2368,-6600,512,3836,24336,3836,26752,5576,212,-12040,-420,45544,6164,1031,1051,-20,76792
