1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q2,51994,27049,26824,380118,2366,-3680,-59201,9552,-4972,4493,19251,-801,-8420,245985,90559,-1169,87242,69353,2,656,816,2488,-724,0,181859,353295,309051,-82214,-37808,198827,24387,8550,-2026,10576,39222,-908,5864,153130,6388,146742,44244,3224,-6988,47376,632,-1879,0,ND
1996:Q3,45255,27985,-145019,279750,7815,-13462,-55945,-18614,-2712,2129,-8580,-2526,-6925,280015,120164,3326,98349,58176,730,1980,4504,2856,-1212,0,71082,424769,374949,-64079,75951,288092,-1185,5264,3880,1384,32049,64,2980,35812,-4512,40324,49820,2884,2504,18112,26320,162289,0,ND
1996:Q4,28243,24549,-75360,172758,4399,1203,84635,-18380,9504,-70098,66035,4049,-27869,187034,77602,1889,98410,9133,1444,3252,4300,1704,364,0,-97198,248118,200502,63416,-73395,170385,35978,12449,1901,10548,1511,-1848,11704,-19700,14024,-33724,47616,3292,6380,17796,20148,79054,0,ND
1997:Q1,50258,30651,11271,507859,-1394,6414,86553,107201,-2452,45502,58363,2736,3052,265271,180012,1647,100289,-16677,139,568,1696,3200,-416,0,38625,496588,387948,-30322,-42145,184827,76573,6777,2381,4396,26313,1984,13972,149967,12376,137591,108640,636,3544,44900,59560,8336,0,ND
1997:Q2,49107,27856,9629,431398,3507,2357,-9827,27910,4,-45461,67609,1867,3891,348852,149288,4374,150085,45105,238,-172,3864,3020,1224,0,50427,421769,380241,-39932,-8190,306635,-27189,11248,4140,7108,52039,2604,-2808,85834,2524,83310,41528,3548,10684,47576,-20280,11621,0,ND
1997:Q3,46054,29733,-147485,273564,1437,-8719,24882,52290,-672,-601,49656,4038,-131,162866,38558,-4932,128932,307,9,-584,4368,1384,84,0,35548,421049,335845,-39126,-61428,293837,103149,-1087,-5275,4188,32616,576,24688,-17380,72,-17452,85204,1772,6284,42720,34428,163805,0,ND
1997:Q4,51420,33100,-105092,492910,-4278,25204,45268,175402,-1228,17040,128656,1176,29758,189306,169985,-12206,67158,-35631,106,3216,1392,2716,-712,0,55289,598002,602838,44628,27710,220548,130729,15470,-12098,27568,30500,4528,4372,124353,12208,112145,-4836,6748,568,4216,-16368,123411,0,ND
1998:Q1,48088,28366,-81978,212878,7403,-12526,103951,100466,1660,11374,60450,-1189,28170,251811,103949,-15038,191566,-28666,1007,2836,4604,5368,-4220,0,-247822,294856,206048,-54389,-51908,265580,127621,-590,-15322,14732,76205,384,22576,-179431,12472,-191903,88808,424,-484,53952,34916,101699,0,ND
1998:Q2,41827,36196,-14963,335117,-526,-6126,11403,-5191,-1076,-57305,-13290,11308,55172,220195,197268,-10204,14341,18790,2251,2864,784,2468,1120,0,105873,350079,328215,89057,41267,134274,-118164,-5783,-10839,5056,69256,764,-4860,122404,-4808,127212,21864,5524,36,49252,-32948,20593,0,ND
1998:Q3,42993,33785,-155498,440929,5451,3840,151473,22838,40,-169981,118421,11514,62844,213547,126838,72,53037,33600,-823,4588,-3168,3660,6596,0,32927,596427,490003,101476,-94056,143494,217774,5835,135,5700,72427,2768,20840,19445,21128,-1683,106424,2540,15628,47564,40692,164706,0,ND
1998:Q4,39552,42508,50444,614080,-24117,-3316,8417,296538,2664,-24920,169067,12627,137101,293484,112030,-11886,196344,-3004,-4247,1004,7536,6420,2464,0,29898,563637,514905,9489,-6990,324615,37110,4150,-11422,15572,140131,4148,1692,559,-2044,2603,48732,6760,-1412,39020,4364,-53400,0,ND
1999:Q1,42216,38192,85637,220188,23064,-3789,-111651,85481,-1612,12705,75454,11767,-12833,137549,41397,-4408,81214,19347,2843,3648,1536,6300,-1704,0,76911,134551,105023,5209,-56062,-57577,67389,-756,-4604,3848,78875,2952,2508,62486,-4088,66574,29528,1936,-4120,34788,-3076,-81614,0,ND
1999:Q2,41883,36942,31820,475911,4901,-4199,-6886,123471,1040,-17188,22589,5100,111930,171009,72618,-4840,131157,-27927,1530,-4016,1368,3872,-432,0,185293,444091,412627,66477,2227,225873,12566,262,-3490,3752,108133,5244,-17068,8912,2136,6776,31464,868,52880,-17016,-5268,-26879,0,ND
1999:Q3,45021,36613,-145238,314776,3944,-6327,-128122,120415,-1400,17844,73662,4799,25510,424075,113676,-3807,305697,8508,1107,2956,1784,6924,1200,0,-113180,460014,389850,26067,-7048,230101,-74488,1565,-4351,5916,135715,2696,20220,55021,-8316,63337,70164,-92,-924,15156,56024,153645,0,ND
1999:Q4,45099,32246,-20260,635584,66083,5199,-1623,105083,-968,524,5735,4010,95782,503334,165715,747,266292,70581,452,2608,1156,8564,-3732,0,-51540,655845,645973,-83329,75875,460450,28314,2421,693,1728,102821,7476,24280,27665,-27036,54701,9872,12680,11684,23300,-37792,33113,0,ND
2000:Q1,54654,39968,66050,566649,-81750,-23324,138973,33177,1884,-30696,46215,11704,4070,481379,83000,1896,333352,63132,-810,2300,7064,5660,6568,0,-2589,500599,348107,-284886,-91663,274764,173272,11546,1618,9928,54936,752,-40,209426,8096,201330,152492,412,3208,62728,86144,-51364,0,ND
