date,FU893150005.Q,FU543150005.Q,FU574190005.Q,FU344090005.Q,FU224190005.Q,FU263150005.Q,FU893150005.Q,FU153050005.Q,FU543050005.Q,FU543151905.Q,FU893131573.Q,FU763131573.Q,FU473131573.Q,FU543131503.Q,FU633131573.Q,FU653131573.Q,FU153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q2,154782,17634,39671,23821,72066,1590,154782,152543,2225,14,82862,6335,1488,9531,9000,35105,21403
2007:Q3,129379,3976,35904,23789,64118,1592,129379,127138,2227,14,84928,3969,1040,2420,14000,22402,41097
2007:Q4,148573,22677,33663,24601,66042,1590,148573,146335,2225,13,89091,6620,872,974,14000,31609,35016
2008:Q1,147773,37111,29586,23588,53305,4183,147773,144354,3304,115,113101,9187,1902,-4655,23000,7548,76119
2008:Q2,147940,9492,39515,24037,70712,4184,147940,144519,3305,116,65902,6706,1571,-422,-9000,21478,45569
2008:Q3,181788,73509,26723,24019,53355,4182,181788,178370,3304,114,90547,10142,798,2161,18000,-25016,84462
2008:Q4,144010,42852,24969,24701,47307,4181,144010,140593,3302,115,125619,18121,2942,-9809,14000,-40264,140629
2009:Q1,111186,-15445,42729,23963,60932,-993,111186,112734,-1583,35,58988,14774,4196,-7029,5000,-14809,56856
2009:Q2,146628,-13836,54682,23752,83024,-994,146628,148177,-1583,34,-32219,10777,2357,5644,-19000,43921,-75918
2009:Q3,131435,-23348,53819,22162,79795,-993,131435,132984,-1584,35,-49691,3884,1253,5403,-16000,29274,-73505
2009:Q4,150256,1685,48678,26065,74822,-994,150256,151806,-1584,34,48303,1276,940,4699,-12000,42682,10706
2010:Q1,163015,18172,50432,23811,72766,-2166,163015,165191,-2247,71,25179,4169,1113,4672,-10000,33229,-8004
2010:Q2,159061,43024,37944,25257,55004,-2168,159061,161240,-2250,71,51549,8692,1028,2746,-2000,14304,26779
2010:Q3,171061,22159,50491,24573,76004,-2166,171061,173237,-2247,71,7626,5189,827,12360,-6000,31703,-36453
2010:Q4,166218,16466,49445,26203,76272,-2168,166218,168398,-2250,70,49154,8537,41,9633,-6000,39362,-2419
2011:Q1,127725,6477,26401,25461,70214,-828,127725,127535,49,141,61914,2262,280,6888,-5000,29101,28383
2011:Q2,124261,14578,27497,26482,56531,-827,124261,124070,50,141,53456,7005,366,2875,5000,19793,18417
2011:Q3,137521,38641,25117,25639,48954,-830,137521,137333,47,141,115576,11781,417,-1761,10000,-18970,114109
2011:Q4,120392,4678,28014,27154,61374,-828,120392,120202,49,141,19070,-709,167,5336,-1000,14910,366
2012:Q1,162051,39568,38019,23194,61404,-134,162051,160683,1125,243,-1262,3068,809,17181,-8000,25869,-40189
2012:Q2,107151,-7292,34334,26774,53471,-136,107151,105783,1123,245,38565,6751,588,-5914,2000,13702,21438
2012:Q3,127536,11497,33557,24714,57902,-134,127536,126169,1124,243,36612,6578,456,6668,4000,20827,-1917
2012:Q4,131299,20606,31184,24992,54653,-136,131299,129933,1123,243,53208,7985,-443,3924,7000,18634,16108
2013:Q1,125821,7375,39292,22520,56947,-313,125821,124573,1457,-209,78744,-3859,34,11435,-5000,55774,20360
2013:Q2,130431,14617,36130,25884,54114,-314,130431,129185,1455,-209,93279,9609,26,2226,15000,30397,36021
2013:Q3,131441,18620,33496,25688,53952,-315,131441,130196,1454,-209,42930,585,-25,6911,7000,24244,4215
2013:Q4,141506,19949,29975,37385,54511,-314,141506,140261,1455,-210,49753,-5830,-695,9687,-4000,42666,7925
2014:Q1,84244,7087,9843,25308,43707,-1701,84244,85338,-1786,692,56239,-7630,-308,6088,-4000,25019,37070
2014:Q2,76785,2853,9812,24282,41539,-1701,76785,77882,-1787,690,59167,-1735,-388,4390,-4000,32144,28756
2014:Q3,82739,2209,9028,28481,44723,-1702,82739,83834,-1787,692,61874,3857,-360,-1101,2000,6935,50543
2014:Q4,91438,10978,11121,25862,45178,-1701,91438,92535,-1787,690,57880,5148,-517,4534,-4000,23815,28900
2015:Q1,82419,-12,8682,24224,49428,97,82419,81630,1291,-502,-16341,-5299,-211,1925,-7000,33591,-39347
2015:Q2,102747,23633,6040,23497,49479,98,102747,101958,1291,-502,1750,5162,-66,4023,2000,24089,-33458
2015:Q3,103617,29037,3810,23993,46680,97,103617,102829,1290,-502,192736,14284,12,-1513,8000,-8705,180658
2015:Q4,125024,35770,6394,27754,55010,96,125024,124238,1289,-503,162005,3514,-61,8305,-7000,15065,142182
2016:Q1,90162,7434,9684,23081,51450,-1487,90162,90638,-783,307,119887,8111,510,3770,13000,5623,88873
2016:Q2,76035,-2521,9806,20647,49590,-1487,76035,76510,-782,307,48133,5314,653,6466,0,6336,29364
2016:Q3,90513,9326,11165,22895,48614,-1487,90513,90991,-785,307,-52086,15663,704,4587,8000,-3150,-77890
2016:Q4,62018,-23272,10425,21614,54738,-1487,62018,62494,-782,306,77345,7400,-294,-1872,9000,5976,57135
2017:Q1,130558,7546,43488,22278,56356,890,130558,128500,1955,103,89479,-5169,66,9974,-1000,19910,65698
2017:Q2,123492,1483,42610,21598,56912,889,123492,121434,1955,103,75003,-6882,151,3538,-7000,14624,70572
2017:Q3,106551,-9801,38410,21637,55416,889,106551,104495,1953,103,52405,-727,-43,3188,4000,1001,44986
2017:Q4,125042,330,43664,15394,64765,889,125042,122986,1954,102,226066,-308,-616,3995,0,46126,176869
2018:Q1,102741,13587,3432,24008,47045,14669,102741,74953,25034,2754,8701,-717,-316,2402,-8000,22119,-6787
2018:Q2,106797,7343,4937,27275,52572,14670,106797,79007,25036,2754,57912,-2354,119,3718,2000,6330,48099
2018:Q3,91880,-6693,1979,24959,56967,14668,91880,64095,25032,2753,129002,3483,179,3443,6000,25014,90883
2018:Q4,92837,33033,1505,6286,37344,14669,92837,65048,25035,2754,95354,20551,-142,-7908,25000,-59772,117625
2019:Q1,107717,-6831,29911,20989,62867,781,107717,105636,1923,158,62164,-25703,1137,11858,1000,31172,42700
2019:Q2,117903,14970,27010,21256,53887,780,117903,115823,1922,158,76718,21,811,7289,13000,12025,43572
2019:Q3,127274,27884,25686,21166,51758,780,127274,125194,1922,158,119352,-26991,1041,6895,21000,-2458,119865
2019:Q4,87273,-8913,32964,4062,58380,780,87273,85193,1922,158,86237,38940,484,5806,14000,38918,-11911
2020:Q1,133167,34578,21253,18874,46712,11750,133167,113670,22904,-3407,240167,47651,979,-17914,55000,-79193,233644
2020:Q2,107531,-16628,20935,34394,57081,11749,107531,88035,22901,-3405,96523,35479,860,16775,9000,36707,-2298
2020:Q3,121926,18867,14753,21793,54765,11748,121926,102431,22902,-3407,108700,-10635,815,13001,14000,14116,77403
2020:Q4,143100,41555,18405,14597,56794,11749,143100,123605,22902,-3407,-37122,51702,234,25109,-1000,61118,-174285
2021:Q1,55971,-30654,105,22195,53732,10593,55971,34249,22129,-407,-95718,-41846,449,-2219,-11000,55465,-96567
2021:Q2,54004,-33314,-2283,23485,55522,10594,54004,32280,22130,-406,134070,23069,-42,7557,-14000,48554,68932
2021:Q3,113189,28693,1831,16140,55932,10593,113189,91468,22128,-407,153478,-28490,-287,5380,0,24376,152499
2021:Q4,93840,3858,5604,12834,60952,10592,93840,72119,22128,-407,282445,38842,-806,8174,2000,39843,194392
2022:Q1,154026,15222,8523,37624,71076,21581,154026,127776,26120,130,-51497,-13850,122,-11203,16000,-18413,-24153
2022:Q2,146616,24377,7695,25644,67319,21581,146616,120366,26120,130,-91460,57566,-93,-20467,23000,-66749,-84717
2022:Q3,167483,47968,14071,11348,72515,21581,167483,141233,26120,130,-109358,-63296,-181,-54,13000,-19487,-39340
2022:Q4,141182,23873,23060,-2262,74931,21580,141182,114932,26120,130,9498,-12556,-778,13512,20000,-42520,31840
2023:Q1,201756,54696,30330,22059,78714,15957,201756,179076,22671,9,6951,-89131,469,15445,26000,-8926,63094
2023:Q2,187887,54007,16416,22363,79144,15957,187887,165205,22671,11,48941,11643,822,12741,33000,-7570,-1695
2023:Q3,138263,1115,22314,22698,76180,15956,138263,115585,22669,9,-5696,-54679,642,-9759,31000,5334,21766
2023:Q4,144021,4457,23789,22847,76972,15956,144021,121343,22669,9,40740,30320,450,22940,29000,-17303,-24667
2024:Q1,138212,15672,18616,20784,78280,4860,138212,129485,8708,19,ND,ND,ND,ND,ND,ND,ND
