1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,1244,62,1182,0,1244,460,0,0,184,0,264,0,288,28,20,0,0,0,0,0
1956:Q1,668,33,635,0,668,376,0,0,60,0,108,0,108,32,24,4,0,0,-44,0
1956:Q2,680,34,646,0,680,448,0,0,60,0,44,0,96,32,16,0,0,0,-16,0
1956:Q3,580,29,551,0,580,400,0,0,16,0,56,0,28,36,24,-4,0,0,24,0
1956:Q4,368,18,350,0,368,328,0,0,36,0,-36,0,20,36,28,0,0,0,-44,0
1957:Q1,84,4,80,0,84,304,0,0,72,0,-116,0,-148,32,36,0,0,0,-96,0
1957:Q2,388,19,369,0,388,388,0,0,24,0,56,0,-116,32,44,0,0,0,-40,0
1957:Q3,788,30,566,192,788,624,0,0,8,0,84,0,-8,36,48,0,0,0,-4,0
1957:Q4,928,37,699,192,928,572,0,0,68,0,196,0,16,36,52,0,0,0,-12,0
1958:Q1,1656,58,1094,504,1656,1012,0,0,64,4,440,0,-4,40,56,0,0,0,44,0
1958:Q2,1968,73,1395,500,1968,1204,0,0,60,8,560,0,-4,40,56,0,0,0,44,0
1958:Q3,2012,82,1562,368,2012,1064,0,0,52,8,740,0,-4,44,64,0,0,0,44,0
1958:Q4,2180,90,1718,372,2180,996,0,0,360,4,656,0,-4,52,72,0,0,0,44,0
1959:Q1,2268,104,1968,196,2268,880,0,0,380,4,568,0,256,60,72,0,0,0,48,0
1959:Q2,2188,99,1885,204,2188,1012,0,0,316,4,568,0,180,64,68,0,0,0,-24,0
1959:Q3,2132,85,1619,428,2132,1080,0,0,296,4,596,0,-32,68,80,0,0,0,40,0
1959:Q4,1952,76,1444,432,1952,1032,0,0,212,12,420,0,72,72,100,0,0,0,32,0
1960:Q1,1996,80,1516,400,1996,968,0,0,140,8,352,0,300,84,128,0,0,0,16,0
1960:Q2,2012,80,1524,408,2012,844,0,0,128,4,668,0,172,88,148,0,0,0,-40,0
1960:Q3,2364,98,1862,404,2364,896,0,0,100,12,848,0,224,88,156,4,0,0,36,0
1960:Q4,1972,78,1486,408,1972,820,0,0,112,32,700,0,100,80,148,4,0,0,-24,0
1961:Q1,2552,117,2219,216,2552,852,0,0,60,44,952,0,412,80,148,0,0,0,4,0
1961:Q2,2076,93,1767,216,2076,660,0,0,80,60,912,0,124,64,148,0,0,0,28,0
1961:Q3,3388,158,3002,228,3388,944,0,0,112,72,1604,0,320,72,148,0,0,0,116,0
1961:Q4,3328,155,2945,228,3328,1136,0,0,80,84,1008,0,684,80,136,0,0,0,120,0
1962:Q1,2384,103,1961,320,2384,164,0,0,8,96,1708,0,224,84,120,4,0,0,-24,0
1962:Q2,2876,128,2424,324,2876,380,0,0,148,108,1648,0,280,84,108,20,0,0,100,0
1962:Q3,3328,157,2979,192,3328,360,0,0,-32,124,2220,0,344,92,108,0,0,0,112,0
1962:Q4,3852,182,3466,204,3852,324,0,0,0,144,1996,0,1144,96,116,16,0,0,16,0
