1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q3,-5,121,1291,-94,0,1499,0,1387,0,222,-110,263,1,-377,9,-10,0,0,-10,1314,1316,0,0,1556,1148,408,0,0,27,-267,0,0,-267,-2,0,-2,0,0,0,-103
1970:Q4,16,117,2821,-58,0,2153,0,1391,0,303,459,393,-1,333,10,-9,0,0,-9,2832,2829,0,0,2941,1139,1802,-5,10,15,-132,0,0,-132,3,0,3,0,0,0,-91
1971:Q1,39,133,-1586,-33,0,-1483,0,-1474,0,-25,16,114,0,-184,10,-10,0,0,-10,-1614,-1618,0,0,-1425,-339,-1086,1,10,10,-214,0,0,-214,4,0,4,0,0,0,-123
1971:Q2,72,138,-489,19,0,-1126,0,-447,0,-401,-278,857,1,-239,10,-11,0,0,-11,-548,-554,0,0,-552,-353,-199,1,10,-40,27,0,0,27,6,0,6,0,0,0,-125
1971:Q3,82,141,143,28,0,185,0,407,0,457,-679,626,0,-696,10,-10,0,0,-10,79,74,0,0,81,853,-772,2,20,10,-39,0,0,-39,5,0,5,0,0,0,-123
1971:Q4,73,147,3089,10,0,1063,0,-85,0,82,1066,979,-1,1037,11,-10,0,0,-10,3030,3027,0,0,3042,952,2090,7,20,10,-52,0,0,-52,3,0,3,0,0,0,-133
1972:Q1,124,150,-178,4,0,-1326,250,-402,0,-314,-860,1882,0,-988,11,239,250,0,-11,-271,-340,0,0,-653,848,-1501,1,20,10,282,250,0,32,69,65,4,0,0,0,-118
1972:Q2,96,154,1576,5,0,-13,250,-290,0,53,-26,1354,0,-20,10,240,250,0,-10,1507,1440,0,0,1025,795,230,1,20,-27,421,250,0,171,67,65,2,0,0,0,-126
1972:Q3,32,158,370,-2,0,266,250,663,0,-123,-524,394,1,-538,10,239,250,0,-11,411,353,0,0,-109,1605,-1714,0,20,28,414,250,0,164,58,55,3,0,0,0,-85
1972:Q4,45,165,4378,-23,0,2389,250,242,0,268,1629,91,-7,1671,18,239,250,0,-11,4403,4346,0,0,3853,1843,2010,10,20,14,449,250,0,199,57,65,-8,0,0,0,-95
1973:Q1,106,180,-4068,-41,0,-2038,250,-647,0,-317,-1324,-1084,1,-1155,10,239,250,0,-11,-3831,-4318,0,0,-4683,-2283,-2400,-5,10,15,345,250,-185,280,487,65,-20,257,185,0,162
1973:Q2,121,190,-351,-65,0,667,250,65,0,92,260,-1556,0,353,11,239,250,0,-11,-220,-601,0,0,-843,-1950,1107,-4,10,-36,272,250,170,-148,381,65,-13,249,80,0,62
1973:Q3,151,197,-700,-68,0,310,250,459,0,31,-430,-664,1,-528,10,239,250,0,-11,66,-950,0,0,-1071,-303,-768,-1,10,12,100,250,2522,-2672,1016,65,-6,229,728,0,720
1973:Q4,175,203,3760,-53,0,2629,250,119,0,412,1848,-1032,-3,1966,14,239,250,0,-11,3850,3510,0,0,3170,245,2925,2,10,-3,331,250,190,-109,340,55,10,215,60,0,62
1974:Q1,119,194,-3608,-36,0,-2239,250,-1037,0,-540,-912,-647,0,-936,12,238,250,0,-12,-3350,-3858,0,0,-4058,-1565,-2493,-3,20,-13,196,250,990,-1044,508,65,-13,196,260,0,183
