1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q3,5603781,62028,64632,12239,2784915,49215,157399,399118,104258,2074925,473001,144663,328338,1715,396489,42149,2811,1035859,160374,80018,42136,445415,0,23715,50549,371151,5380089,5143217,11260,44686,14740,1481064,2235547,103503,8427,1243990,1686,73462,297898,605423,265521,236872,107365,77122,52385,41867,4499465,408515,377705,6759
2010:Q4,5753743,54067,60343,12335,2856357,44066,165319,401122,116422,2129428,472554,144704,327850,1990,429535,48714,2747,1115479,158750,78062,41676,421134,0,25868,51343,343923,5544547,5267977,10532,44573,14940,1496507,2326121,102170,8239,1264895,1361,70386,299405,626105,267638,276570,123549,88445,64576,42727,4624622,416437,373863,7202
2011:Q1,5893878,49438,58613,8967,2921772,43090,173175,406576,122505,2176426,472390,143678,328712,1976,446981,52118,2802,1165604,158019,78305,41929,434964,0,26242,52231,356491,5669979,5381262,13103,45417,14813,1525071,2341361,99553,8249,1333695,1423,70261,302295,687455,272261,288717,128210,94185,66322,46347,4725077,428201,372457,7865
2011:Q2,5967015,50807,57317,9275,2968667,41614,180211,410209,128158,2208475,479764,146333,333431,2105,454132,53367,2594,1165868,157289,78360,42162,445308,0,26723,53118,365467,5718245,5429588,12858,45467,16124,1546649,2357483,96818,8088,1346101,628,67925,304924,692082,280542,288657,116462,102205,69990,46844,4764607,437256,370833,8529
2011:Q3,5911068,60716,58763,9632,3033848,46463,190922,414937,134473,2247053,489702,150446,339256,2045,405401,45333,2595,1021974,156395,78067,42369,504228,0,25473,54006,424749,5600263,5350816,11836,45782,16316,1560406,2258187,93774,6909,1357606,761,62829,311562,669137,313317,249447,86315,86070,77062,45382,4653377,439471,368625,9190
2011:Q4,6052714,63133,69901,7017,3074095,32455,204384,418150,140448,2278658,496057,152642,343415,2224,442388,49457,2004,1085944,155781,78225,42611,483877,0,25403,54892,403582,5742890,5467467,12432,46112,18377,1598031,2326682,91162,7394,1367277,178,63185,314091,686458,303365,275423,97470,102855,75098,42343,4775675,451407,367255,9852
2012:Q1,6253729,61664,64272,9917,3128859,33457,205372,418674,145586,2325770,498690,150699,347991,2741,478085,57094,1974,1188408,159016,79450,45215,478344,2599,27239,55857,392649,6014743,5636368,14532,47376,17205,1619899,2468034,93992,8251,1367079,12504,61932,316248,704744,271651,378375,111279,112201,154895,41918,4951930,462002,369394,10523
2012:Q2,6214674,65685,66716,10132,3121738,39956,203903,411948,147617,2318314,504114,151857,352257,2934,458462,55567,2018,1148395,161923,80543,47819,488628,2967,29110,56820,399731,5927627,5578953,15279,50923,17326,1604856,2420100,96553,8433,1365483,12506,64388,314520,695591,278478,348674,78612,108659,161403,48548,4877147,466665,370916,11195
2012:Q3,6371532,62353,64331,10640,3188255,44168,205488,413511,153443,2371645,508728,153161,355567,3034,479150,61564,2022,1204684,165003,81696,50422,489650,34,29520,57784,402312,6006983,5710705,16861,50852,17713,1624951,2491266,99263,8890,1400909,1320,65501,321439,705707,306942,296278,84489,115578,96211,54934,4980244,475088,373004,11864
2012:Q4,6458493,64761,63450,9328,3236990,51440,208410,412473,158230,2406437,512747,155987,356760,3223,480858,67211,2041,1214537,168001,82822,53028,499496,34,26069,58747,414646,6026588,5771261,14792,49554,16668,1638411,2522135,101904,8603,1419194,1322,62514,321014,707191,327153,255327,125548,113878,15901,53662,5017371,481686,374795,12533
