1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,170,28180,-28010,170,-603,783,0,480,2879,9615,-6736,-1414,75,-42,10,164,0,164,-2452,0,-2452,100,75,25,0,0,0,420,0,0,0,0,0,0,10,0,55,0,-273,0,0,-22,0,-22,239
1952:Q1,10780,-4952,15732,10780,3828,-3164,0,1392,-992,-5532,4540,9824,124,0,8,112,0,112,-864,0,-864,168,124,44,0,0,0,608,0,0,0,32,0,32,12,0,548,0,-488,0,0,-368,0,-368,716
1952:Q2,2188,-1200,3388,2188,5964,-4908,0,1840,-388,1568,-1956,-2536,152,28,4,-388,0,-388,-1820,0,-1820,-16,-12,-4,0,0,0,312,0,0,0,16,0,16,16,0,-276,0,3720,0,0,468,0,468,464
1952:Q3,1864,-2688,4552,1864,-1024,1532,0,312,2900,2748,152,-1728,-184,32,4,1380,0,1380,368,0,368,-60,-44,-16,0,0,0,660,0,0,0,12,0,12,16,0,-52,0,-3764,0,0,1460,0,1460,1992
1952:Q4,4736,-26180,30916,4736,-1284,2516,0,1280,200,-28604,28804,796,80,16,8,324,0,324,-812,0,-812,44,32,12,0,0,0,244,0,0,0,-56,0,-56,16,0,48,0,2116,0,0,-800,0,-800,1028
1953:Q1,2204,-13020,15224,2204,-2596,2068,0,1152,1464,-908,2372,432,-120,0,4,412,0,412,-528,0,-528,136,104,32,0,0,0,364,0,0,0,40,0,40,16,0,800,0,-2004,0,0,564,0,564,1956
1953:Q2,5392,1564,3828,5392,17736,-6840,0,648,2116,3648,-1532,-9288,32,-8,4,28,0,28,-120,0,-120,216,160,56,0,0,0,760,0,0,0,-24,0,-24,12,0,-484,0,-252,0,0,856,0,856,-576
1953:Q3,16412,41264,-24852,16412,-6332,7112,0,504,2096,5488,-3392,10104,-28,-12,4,292,0,292,-412,0,-412,212,160,52,0,0,0,700,0,0,0,28,0,28,16,0,72,0,1124,0,0,932,0,932,728
1953:Q4,-3228,80,-3308,-3228,-7004,4032,0,912,-544,2472,-3016,-1252,76,-12,12,272,0,272,-632,0,-632,64,48,16,0,0,0,120,0,0,0,-48,0,-48,16,0,-12,0,856,0,0,-84,0,-84,804
1954:Q1,-2992,-22028,19036,-2992,812,-5412,0,240,320,-1804,2124,-760,-48,8,8,-156,0,-156,-436,0,-436,64,48,16,0,0,0,732,0,0,0,76,0,76,16,0,1248,0,-788,0,0,1084,0,1084,596
1954:Q2,2904,-9880,12784,2904,4848,-12052,0,256,696,3816,-3120,8484,68,20,8,28,0,28,-1284,0,-1284,-32,-24,-8,0,0,0,764,0,0,0,-44,0,-44,12,0,-116,0,1704,0,0,-456,0,-456,852
1954:Q3,3124,-904,4028,3124,-12228,5968,0,688,-2996,-3068,72,11364,36,20,8,256,0,256,-1044,0,-1044,12,8,4,0,0,0,304,0,0,0,24,0,24,16,0,96,0,-780,0,0,1380,0,1380,1052
1954:Q4,3836,41080,-37244,3836,-3616,4628,0,604,264,31600,-31336,1768,164,8,8,320,0,320,-272,0,-272,112,84,28,0,0,0,292,0,0,0,44,0,44,16,0,-188,0,-32,0,0,-284,0,-284,1552
1955:Q1,-4156,-42948,38792,-4156,5324,80,0,756,-736,-20824,20088,-8904,-136,-8,12,-460,0,-460,264,0,264,240,180,60,0,0,0,220,0,0,0,-8,0,-8,20,0,532,0,-1376,0,0,24,0,24,1048
1955:Q2,1132,-15508,16640,1132,11284,-3020,0,1080,-1628,-6948,5320,-6440,76,-24,16,-232,0,-232,-200,0,-200,416,312,104,0,0,0,160,0,0,0,108,0,108,20,0,-452,0,-376,0,0,344,0,344,556
1955:Q3,-164,-13972,13808,-164,-2740,7324,0,1208,176,-22316,22492,-7464,-56,-24,16,324,0,324,312,0,312,388,292,96,0,0,0,352,0,0,0,216,0,216,20,0,-928,0,-40,0,0,752,0,752,1532
1955:Q4,1816,32788,-30972,1816,-3896,10648,0,1544,200,15588,-15388,-6424,16,-16,16,-180,0,-180,-2352,0,-2352,144,108,36,0,0,0,400,0,0,0,88,0,88,20,0,1196,0,184,0,0,228,0,228,672
1956:Q1,-5000,14072,-19072,-5000,5368,-9612,0,1048,608,16832,-16224,-2648,-48,4,16,-664,0,-664,-1996,0,-1996,-92,-68,-24,0,0,0,852,0,0,0,-68,0,-68,20,0,1280,0,-612,0,0,1544,0,1544,1016
1956:Q2,-15060,-17844,2784,-15060,9024,-12844,0,1332,-588,500,-1088,-11176,112,20,16,-604,0,-604,-492,0,-492,-216,-164,-52,0,0,0,96,0,0,0,-68,0,-68,20,0,44,0,44,0,0,220,0,220,-48
1956:Q3,-4648,12876,-17524,-4648,-4780,-368,0,992,-724,-492,-232,-260,108,20,16,-112,0,-112,-480,0,-480,-312,-232,-80,0,0,0,104,0,0,0,176,0,176,20,0,-40,0,-32,0,0,1024,0,1024,2340
1956:Q4,2500,15488,-12988,2500,-3708,4572,0,836,1580,4080,-2500,1652,40,16,12,8,0,8,-1116,0,-1116,-264,-200,-64,0,0,0,60,0,0,0,44,0,44,20,0,-124,0,516,0,0,-1644,0,-1644,-232
1957:Q1,6872,1972,4900,6872,3760,-2208,0,116,-2752,-3948,1196,8968,-136,12,16,-508,0,-508,-308,0,-308,-296,-220,-76,0,0,0,468,0,0,0,16,0,16,24,0,464,0,-520,0,0,-244,0,-244,-1768
1957:Q2,-14772,-3208,-11564,-14772,11692,-7756,0,-44,-1464,-184,-1280,-15604,68,8,16,-428,0,-428,-520,0,-520,-292,-220,-72,0,0,0,212,0,0,0,48,0,48,24,0,-292,0,-104,0,0,-336,0,-336,-1800
1957:Q3,10408,71100,-60692,10408,-1020,2184,0,-556,224,35560,-35336,11232,-48,8,16,56,0,56,-236,0,-236,-276,-208,-68,0,0,0,132,0,0,0,-4,0,-4,24,0,-528,0,544,0,0,-1344,0,-1344,-1180
1957:Q4,-5684,-1028,-4656,-5684,-1868,3264,0,-828,428,1628,-1200,-7364,-8,12,12,172,0,172,-1040,0,-1040,-296,-220,-76,0,0,0,-356,0,0,0,-56,0,-56,28,0,24,0,904,0,0,1288,0,1288,-948
1958:Q1,3812,-27644,31456,3812,-3932,-4780,0,-1336,2572,-316,2888,12484,-56,20,16,-928,0,-928,232,0,232,-200,-152,-48,0,0,0,184,0,0,0,148,0,148,28,0,2396,0,-468,0,0,-2568,0,-2568,1316
1958:Q2,20144,3304,16840,20144,11848,-8216,0,276,6420,7240,-820,10428,112,28,16,-352,0,-352,-48,0,-48,84,64,20,0,0,0,-616,0,0,0,348,0,348,28,0,-444,0,2140,0,0,-1908,0,-1908,-556
1958:Q3,-5860,23440,-29300,-5860,-16432,3340,0,304,-2240,-628,-1612,7872,-76,24,16,420,0,420,880,0,880,-4,-4,0,0,0,0,40,0,0,0,-180,0,-180,32,0,-536,0,-2672,0,0,3352,0,3352,1204
1958:Q4,18916,19704,-788,18916,-1328,11668,0,624,3380,-6368,9748,1480,112,4,12,696,0,696,-448,0,-448,80,60,20,0,0,0,244,0,0,0,180,0,180,28,0,-980,0,1620,0,0,1544,0,1544,140
1959:Q1,10268,2048,8220,10268,4088,4752,0,884,1340,-3016,4356,-3308,12,-4,12,-316,0,-316,116,0,116,100,76,24,0,0,0,324,0,0,0,124,0,124,80,0,820,0,-784,0,0,2028,0,2028,44
1959:Q2,10448,-3056,13504,10448,9500,3296,0,1268,320,2112,-1792,-10952,20,-24,8,-16,0,-16,64,0,64,188,140,48,0,0,0,96,0,0,0,0,0,0,80,0,-516,0,-532,0,0,7648,0,7648,-1708
1959:Q3,10480,-33556,44036,10480,-448,8828,0,840,2100,-30420,32520,-7904,20,-24,8,480,0,480,-180,0,-180,256,192,64,0,0,0,896,0,0,0,340,0,340,84,0,-44,0,504,0,0,4724,0,4724,-288
1959:Q4,5012,7364,-2352,5012,6076,5240,0,1868,-2344,176,-2520,-9140,12,-24,12,600,0,600,-1260,0,-1260,128,96,32,0,0,0,448,0,0,0,156,0,156,92,0,140,0,108,0,0,2900,0,2900,-1696
1960:Q1,-5116,-27684,22568,-5116,12800,-6540,0,1432,-1472,-13372,11900,-11424,-12,8,8,-376,0,-376,-160,0,-160,-328,-244,-84,0,0,0,804,0,0,0,196,0,196,104,0,816,0,-1080,0,0,108,0,108,240
1960:Q2,-2740,-5304,2564,-2740,4652,-6956,0,1244,2436,4832,-2396,-2172,-16,24,8,-380,0,-380,-1016,0,-1016,-320,-240,-80,0,0,0,244,0,0,0,40,0,40,128,0,-476,0,184,0,0,-364,0,-364,48
1960:Q3,940,43468,-42528,940,-8560,-7204,0,1056,1160,23344,-22184,12748,-16,28,8,8,0,8,12,0,12,-196,-148,-48,0,0,0,-284,0,0,0,-28,0,-28,120,0,52,0,1504,0,0,532,0,532,892
1960:Q4,-276,-16176,15900,-276,-4932,-2776,0,-144,-612,-19416,18804,5572,-32,20,16,28,0,28,-600,0,-600,-16,-12,-4,0,0,0,232,0,0,0,44,0,44,96,0,176,0,1764,0,0,888,0,888,1004
1961:Q1,-2248,-39496,37248,-2248,-6464,-2108,0,-632,1608,-16940,18548,6140,192,12,16,-828,0,-828,464,0,464,12,8,4,0,0,0,576,0,0,0,-320,0,-320,8,0,1052,0,-1912,0,0,-64,0,-64,2420
1961:Q2,6812,8188,-1376,6812,2096,-2356,0,1460,92,6504,-6412,7992,192,8,20,-484,0,-484,-540,0,-540,88,68,20,0,0,0,68,0,0,0,-112,0,-112,-24,0,-196,0,-104,0,0,-1388,0,-1388,1220
1961:Q3,14580,-10452,25032,14580,-328,-5392,0,-624,700,-19040,19740,16328,308,4,20,352,0,352,80,0,80,8,4,4,0,0,0,-28,0,0,0,152,0,152,-36,0,-292,0,984,0,0,2344,0,2344,2128
1961:Q4,4280,6020,-1740,4280,484,3232,0,848,4552,1088,3464,-5912,-576,0,24,608,0,608,-1176,0,-1176,-24,-16,-8,0,0,0,-260,0,0,0,556,0,556,-24,0,-864,0,2168,0,0,644,0,644,1108
1962:Q1,7252,29840,-22588,7252,-2224,484,0,-104,3312,12376,-9064,2672,584,8,20,-332,0,-332,692,0,692,-16,-12,-4,0,0,0,900,0,0,0,-144,0,-144,-32,0,2132,0,-652,0,0,-48,0,-48,1936
1962:Q2,4796,-3320,8116,4796,7588,-4624,0,976,812,1956,-1144,-212,580,8,16,-244,0,-244,-112,0,-112,152,112,40,0,0,0,200,0,0,0,-564,0,-564,-48,0,-1432,0,-80,0,0,1780,0,1780,1220
1962:Q3,-1520,18008,-19528,-1520,296,-5664,0,1444,-788,13860,-14648,-1108,-536,12,20,248,0,248,208,0,208,260,196,64,0,0,0,200,0,0,0,1112,0,1112,-32,0,112,0,96,0,0,2600,0,2600,1412
1962:Q4,11664,43500,-31836,11664,-660,2648,0,2304,3688,14852,-11164,-676,-748,20,24,652,0,652,-644,0,-644,304,228,76,0,0,0,-100,0,0,0,-208,0,-208,16,0,680,0,3320,0,0,1044,0,1044,1500
1963:Q1,4932,-2680,7612,4932,-21960,16240,0,3800,3312,1688,1624,5412,60,32,36,-440,0,-440,-592,0,-592,112,84,28,0,0,0,400,0,0,0,-76,0,-76,72,0,1760,0,-3712,0,0,476,0,476,2600
1963:Q2,5216,-3564,8780,5216,6744,-4460,0,1164,3256,6960,-3704,-3640,68,48,44,28,0,28,-1104,0,-1104,108,80,28,0,0,0,1100,0,0,0,-516,0,-516,128,0,376,0,-340,0,0,2212,0,2212,3648
1963:Q3,-3768,-22748,18980,-3768,-428,-2600,0,2272,2748,-15016,17764,-7400,-464,44,44,484,0,484,380,0,380,-60,-44,-16,0,0,0,300,0,0,0,556,0,556,136,0,-1976,0,1724,0,0,472,0,472,1136
1963:Q4,3448,-4936,8384,3448,6520,2104,0,-2608,3100,-11300,14400,-4232,-92,20,36,560,0,560,-112,0,-112,156,116,40,0,0,0,-160,0,0,0,0,0,0,96,0,1308,0,-2704,0,0,-544,0,-544,3080
1964:Q1,5028,-22928,27956,5028,-3156,4080,0,760,2376,-15176,17552,3448,-4,0,24,-500,0,-500,-100,0,-100,772,580,192,0,0,0,860,0,0,0,380,0,380,68,0,-828,0,-596,0,0,-2556,0,-2556,1288
1964:Q2,2788,-24024,26812,2788,10380,-3632,0,-232,2244,-8968,11212,-6792,-8,-16,16,-576,0,-576,-292,0,-292,-828,-620,-208,0,0,0,1000,0,0,0,32,0,32,48,0,144,0,1808,0,0,-508,0,-508,2012
1964:Q3,6104,10420,-4316,6104,-6924,-3352,0,1388,4168,-816,4984,5200,356,-20,12,680,0,680,500,0,500,-16,-12,-4,0,0,0,364,0,0,0,320,0,320,36,0,-860,0,2056,0,0,2196,0,2196,2212
1964:Q4,4304,12524,-8220,4304,-28,316,0,2160,2908,4308,-1400,-916,-172,-16,8,524,0,524,-984,0,-984,216,160,56,0,0,0,-144,0,0,0,-576,0,-576,16,0,-384,0,-644,0,0,2020,0,2020,1928
1965:Q1,664,196,468,664,1028,-1556,0,1056,6476,3128,3348,-5000,-36,-4,8,-228,0,-228,180,0,180,776,584,192,0,0,0,1548,0,0,0,228,0,228,4,0,992,0,-1676,0,0,-3132,0,-3132,2796
1965:Q2,-648,-11440,10792,-648,10464,-7088,0,1560,2952,3740,-788,-6580,-32,0,4,-780,0,-780,-1124,0,-1124,-800,-600,-200,0,0,0,692,0,0,0,-744,0,-744,-24,0,-360,0,2220,0,0,-1008,0,-1008,1656
1965:Q3,-12084,-40,-12044,-12084,-7796,-1964,0,3092,4896,2540,2356,-6400,228,0,4,172,0,172,-240,0,-240,-1008,-756,-252,0,0,0,-956,0,0,0,1096,0,1096,-28,0,-404,0,-3660,0,0,884,0,884,2468
1965:Q4,13100,26088,-12988,13100,-2544,2876,0,3056,1564,2820,-1256,5056,108,0,16,176,0,176,-716,0,-716,328,244,84,0,0,0,-792,0,0,0,-404,0,-404,-24,0,256,0,1948,0,0,2196,0,2196,1952
1966:Q1,2760,3824,-1064,2760,6100,1640,0,1244,3116,544,2572,-5548,-204,16,20,-848,0,-848,208,0,208,-240,-180,-60,0,0,0,636,0,0,0,976,0,976,-24,0,-172,0,-692,0,0,-3468,0,-3468,1948
1966:Q2,-12464,-18208,5744,-12464,1216,-6512,0,2044,2248,4840,-2592,-7180,-200,24,28,-636,0,-636,-1000,0,-1000,-408,-304,-104,0,0,0,-1064,0,0,0,464,0,464,-28,0,1124,0,-364,0,0,-2220,0,-2220,4296
1966:Q3,948,35060,-34112,948,4780,-2224,0,-392,1840,20036,-18196,-2852,300,28,28,-52,0,-52,-276,0,-276,-104,-80,-24,0,0,0,480,0,0,0,1112,0,1112,-28,0,-452,0,300,0,0,-1540,0,-1540,572
1966:Q4,13208,21028,-7820,13208,416,1120,0,-604,5504,2796,2708,1308,-96,20,20,-356,0,-356,276,0,276,-188,-140,-48,0,0,0,-204,0,0,0,-48,0,-48,-12,0,3044,0,3396,0,0,-388,0,-388,2956
1967:Q1,8292,7596,696,8292,-14460,-2436,0,72,5728,4020,1708,17032,-96,36,8,-1472,0,-1472,-264,0,-264,-624,-468,-156,0,0,0,-1260,0,0,0,-880,0,-880,0,0,3896,0,1592,0,0,1420,0,1420,-516
1967:Q2,-22656,-33428,10772,-22656,4016,-10148,0,-448,4636,4796,-160,-11328,-112,44,-4,-1152,0,-1152,-660,0,-660,-596,-448,-148,0,0,0,-616,0,0,0,-1260,0,-1260,4,0,568,0,-5720,0,0,120,0,120,1212
1967:Q3,23656,-1596,25252,23656,1480,-2484,200,120,3240,-17048,20288,23208,336,44,0,-40,0,-40,108,0,108,-128,-96,-32,0,0,0,-1352,0,0,0,-832,0,-832,20,0,-3304,0,1100,0,0,1940,0,1940,2088
1967:Q4,25752,24496,1256,25752,8240,5308,200,-1164,7696,7512,184,1188,340,40,12,-156,0,-156,-136,0,-136,80,60,20,0,0,0,-572,0,0,0,908,0,908,44,0,-1136,0,-8,0,0,4868,0,4868,2848
1968:Q1,23556,5720,17836,23556,6428,5344,200,-1688,6252,744,5508,8292,56,24,12,-464,0,-464,-20,0,-20,880,660,220,0,0,0,216,0,0,0,984,0,984,80,0,640,0,-60,0,0,-3620,0,-3620,1960
1968:Q2,-3196,-27440,24244,-3196,10360,-5292,200,-68,6068,8876,-2808,-7200,72,12,0,-652,0,-652,-924,0,-924,-104,-76,-28,0,0,0,-396,0,0,0,-480,0,-480,124,0,592,0,-252,0,0,-5256,0,-5256,2864
1968:Q3,16488,21356,-4868,16488,-2232,-2992,200,844,3672,1656,2016,8476,88,12,20,-48,0,-48,324,0,324,-244,-184,-60,0,0,0,-388,0,0,0,1432,0,1432,120,0,-1652,0,6552,0,0,2304,0,2304,1180
1968:Q4,-1728,20932,-22660,-1728,-6172,4320,200,1648,-164,-152,-12,-1312,-40,16,72,-248,0,-248,-288,0,-288,956,716,240,0,0,0,-408,0,0,0,-1048,0,-1048,64,0,-140,0,-3108,0,0,3924,0,3924,1928
1969:Q1,2388,10140,-7752,2388,18832,1760,200,2024,424,-4692,5116,-10980,8,24,132,-608,0,-608,-468,0,-468,404,304,100,0,0,0,-284,0,0,0,1712,0,1712,20,0,-1100,0,-4132,0,0,-5580,0,-5580,1692
1969:Q2,-31884,-36764,4880,-31884,-10392,-5800,200,2096,3304,7532,-4228,-17136,4,24,204,632,0,632,-840,0,-840,-1076,-808,-268,0,0,0,-140,0,0,0,-2448,0,-2448,0,0,236,0,1548,0,0,-2300,0,-2300,1172
1969:Q3,14400,22464,-8064,14400,27144,-8652,200,3180,2428,-1268,3696,-12076,32,28,204,-1840,0,-1840,-164,0,-164,-128,-96,-32,0,0,0,-476,0,0,0,204,0,204,-36,0,-2436,0,-1016,0,0,7804,0,7804,2096
1969:Q4,11284,26396,-15112,11284,9408,-560,200,5024,10712,12464,-1752,-6508,40,36,140,-124,0,-124,144,0,144,96,72,24,0,0,0,-1036,0,0,0,-1340,0,-1340,-80,0,956,0,3448,0,0,-9272,0,-9272,1848
1970:Q1,8188,12632,-4444,8188,3276,-1564,200,3824,960,-5472,6432,-9576,-1164,28,76,-392,0,-392,-176,0,-176,-408,-304,-104,0,0,0,-408,0,0,0,-796,0,-796,180,0,5316,0,1708,0,0,7104,0,7104,1356
1970:Q2,11076,-30300,41376,11076,-7776,3240,200,1612,7016,6040,976,1492,176,24,28,-432,0,-432,-264,0,-264,-388,-292,-96,0,0,0,-624,0,0,0,8348,0,8348,-268,0,-1852,0,-6140,0,0,6684,0,6684,1580
1970:Q3,23332,18148,5184,23332,-12492,3604,200,-1992,5792,6812,-1020,19296,376,28,8,584,0,584,532,0,532,672,504,168,0,0,0,380,0,0,0,-6964,0,-6964,-244,0,-2948,0,5548,0,0,10952,0,10952,2908
1970:Q4,9136,28928,-19792,9136,-24160,-2732,200,-3712,6184,7420,-1236,11784,36,36,12,40,0,40,-420,0,-420,-112,-84,-28,0,0,0,-680,0,0,0,112,0,112,-108,0,3864,0,5564,0,0,13228,0,13228,4332
1971:Q1,2968,4216,-1248,2968,-35144,-2192,200,-3720,14560,-1308,15868,11140,-156,120,16,-280,0,-280,-152,0,-152,540,404,136,0,0,0,-896,0,0,0,168,0,168,36,0,4716,0,-5896,0,0,19908,0,19908,7500
1971:Q2,40880,-9200,50080,40880,15608,5580,200,-480,1788,9164,-7376,-52,-724,100,16,-432,0,-432,-1128,0,-1128,-1032,-772,-260,0,0,0,-1816,0,0,0,-1020,0,-1020,164,0,-2788,0,-1788,0,0,28684,16388,12296,1504
1971:Q3,28956,7868,21088,28956,5220,-3676,240,-168,3820,6620,-2800,-11388,0,276,4,-160,0,-160,116,0,116,172,128,44,0,0,0,-220,0,0,0,-720,0,-720,196,0,-6108,0,1628,0,0,39724,28056,11668,5700
1971:Q4,22128,35444,-13316,22128,-30104,11384,160,2956,7248,2288,4960,11648,-56,148,-12,12,0,12,308,0,308,324,244,80,0,0,0,-1900,0,0,0,408,0,408,128,0,1916,0,-340,0,0,17900,13012,4888,5724
1972:Q1,-676,19464,-20140,-676,-2328,-7400,200,2768,-1500,-1920,420,-10428,812,-156,-40,-512,0,-512,648,0,648,1660,1244,416,0,0,0,-1052,0,0,0,-4,0,-4,76,0,6976,0,-1608,0,0,11212,7632,3580,6532
1972:Q2,6012,-30892,36904,6012,20812,-8028,200,1220,2988,6328,-3340,-4324,-388,-124,-84,-676,0,-676,-1072,0,-1072,-356,-268,-88,0,0,0,360,0,0,0,48,0,48,36,0,-3800,0,-1160,0,0,360,-12248,12608,1816
1972:Q3,13880,6860,7020,13880,-3684,-1488,200,2264,-5672,-6392,720,2628,436,560,-64,-516,0,-516,612,0,612,688,516,172,0,0,0,-320,0,0,0,568,0,568,36,0,-6276,0,2652,0,0,21256,3372,17884,8408
1972:Q4,24928,30028,-5100,24928,-14764,8212,200,2984,7432,16,7416,18552,-384,540,4,576,0,576,-192,0,-192,3032,2276,756,0,0,0,-184,0,0,0,-92,0,-92,68,0,-1892,0,968,0,0,-132,-3476,3344,7868
1973:Q1,14204,4484,9720,14204,-556,-3736,132,2112,14868,12388,2480,-25884,-512,-340,492,-668,0,-668,-12,0,-12,1376,1032,344,0,0,0,360,0,0,0,-832,0,-832,104,0,-872,0,-2588,0,0,30760,24504,6256,6584
1973:Q2,5400,-19720,25120,5400,31484,-4752,112,1860,596,5944,-5348,-9484,176,-340,196,-240,0,-240,-1008,0,-1008,1144,856,288,0,0,0,-908,0,0,0,324,0,324,152,0,-2432,0,260,0,0,-11740,-12080,340,2268
1973:Q3,-9644,-1196,-8448,-9644,13616,-11344,60,1052,2600,-588,3188,-11644,132,192,200,256,0,256,-424,0,-424,2800,2100,700,0,0,0,-1728,0,0,0,480,0,480,136,0,-788,0,1836,0,0,-7076,-5012,-2064,5564
1973:Q4,5728,32096,-26368,5728,-10704,2236,28,-348,16536,11188,5348,5092,80,196,148,396,0,396,-88,0,-88,2672,2004,668,0,0,0,-2080,0,0,0,-88,0,-88,56,0,3692,0,476,0,0,-12572,-7328,-5244,4776
1974:Q1,-6272,16292,-22564,-6272,13780,-6056,64,148,-2784,-1988,-796,-5548,-28,-500,84,-288,0,-288,608,0,608,2920,2192,728,0,0,0,-2672,8,0,8,796,0,796,-16,0,428,0,-4148,0,0,-3068,-1532,-1536,5324
1974:Q2,9120,-27360,36480,9120,9056,2096,60,-1172,6020,3496,2524,-15716,92,-96,16,-820,0,-820,-988,0,-988,3212,2408,804,0,0,0,184,12,0,12,-1456,0,-1456,-96,0,-1532,0,-576,0,0,10824,10100,724,5908
1974:Q3,17780,24320,-6540,17780,9224,1956,48,1796,-500,-12696,12196,-5168,-196,-84,36,-140,0,-140,-88,0,-88,5292,3968,1324,6004,6004,0,-1484,60,0,60,1324,0,1324,-112,0,-952,0,3584,0,0,-2820,-2140,-680,1572
1974:Q4,23324,34588,-11264,23324,-16400,7408,48,1060,3664,10660,-6996,6428,348,-216,148,1340,0,1340,180,0,180,1296,972,324,0,0,0,280,368,0,368,1132,0,1132,-64,0,3240,0,2132,0,0,10932,6868,4064,2700
1975:Q1,49080,16904,32176,49080,-17764,-1452,-40,1872,8784,-2712,11496,20192,-256,116,256,1240,0,1240,852,0,852,4256,3192,1064,-6004,-6004,0,-104,528,0,528,-1296,0,-1296,-24,0,11896,0,1828,0,0,24200,19612,4588,16832
1975:Q2,104604,18388,86216,104604,46296,6540,-8,-1028,3548,4340,-792,44972,-52,80,368,1356,0,1356,508,0,508,3572,2680,892,0,0,0,2624,188,0,188,656,0,656,0,0,-2976,0,-3600,0,0,1560,-7260,8820,7216
