1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21251,0,0,0,0,0,0,0,0,0,0,21251,21251,0
1968:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24449,0,0,0,0,0,0,0,0,0,0,24449,24449,0
1968:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25699,0,0,0,0,0,0,0,0,0,0,25699,25699,0
1968:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29499,0,0,0,0,0,0,0,0,0,0,29499,29499,0
1969:Q1,1740,0,0,0,0,0,0,0,350,0,0,900,0,490,100,390,32046,595,0,200,200,0,0,0,395,0,395,31451,31451,0
1969:Q2,4295,0,0,0,0,0,0,0,1662,0,0,1800,0,833,200,633,36916,1825,0,1245,1245,0,0,0,580,0,580,35091,35091,0
1969:Q3,7265,0,0,0,0,0,0,0,3858,0,0,2700,0,707,300,407,38309,3559,0,2595,2595,0,0,0,964,0,964,34750,34750,0
1969:Q4,8695,0,0,0,0,0,0,0,3946,0,0,3600,0,1149,400,749,39876,4708,0,4294,4294,0,0,0,414,0,414,35168,35168,0
1970:Q1,13147,0,0,0,0,0,0,0,6837,0,0,4500,0,1810,500,1310,46153,7623,0,7415,6477,938,0,0,208,0,208,38530,38530,0
1970:Q2,16373,0,0,0,0,0,0,0,8083,0,0,5400,0,2890,600,2290,42535,8741,0,8581,7603,978,0,0,160,0,160,33794,33794,0
1970:Q3,14094,0,0,0,0,0,0,0,5228,0,0,7200,0,1666,800,866,40781,5888,0,5672,4618,1054,0,0,216,0,216,34893,34893,0
1970:Q4,14719,0,0,0,0,0,0,0,2954,0,0,9000,0,2765,1000,1765,39935,5022,0,3449,2349,1100,0,0,1573,0,1573,34913,34913,0
1971:Q1,14579,0,0,0,0,0,0,0,2858,0,0,9900,0,1821,1169,652,43293,4976,0,3811,1692,2119,0,0,1165,0,1165,38317,38317,0
1971:Q2,15898,0,0,0,0,0,0,0,3058,0,0,10800,0,2040,1334,706,38664,5426,0,3851,1733,2118,0,0,1575,0,1575,33238,33238,0
1971:Q3,18096,0,0,0,0,0,0,0,2960,0,0,12600,0,2536,1673,863,40102,7496,0,4042,1900,2142,0,0,3454,0,3454,32606,32606,0
1971:Q4,18949,0,0,0,0,0,0,0,2840,0,0,13500,0,2609,2065,544,44749,7789,0,4211,1973,2238,0,0,3578,0,3578,36960,36960,0
1972:Q1,19951,0,0,0,0,0,0,0,2772,0,0,14400,0,2779,2635,144,48972,7472,0,4843,2172,2671,0,0,2629,0,2629,41500,41500,0
1972:Q2,21123,0,0,0,0,0,0,0,2296,0,0,15300,0,3527,3407,120,48976,8005,0,5179,1971,3208,0,0,2826,0,2826,40971,40971,0
1972:Q3,24239,0,0,0,0,0,0,0,2264,0,0,17100,0,4875,4304,571,55722,8936,0,6106,2368,3738,0,0,2830,0,2830,46786,46786,0
1972:Q4,27629,0,0,0,0,0,0,0,2598,0,0,18900,0,6131,5050,1081,63929,9432,0,6789,2637,4152,0,0,2643,0,2643,54497,54497,0
1973:Q1,32608,1000,-1000,0,0,0,0,0,3161,0,0,20085,0,9362,6300,3062,60487,11128,0,7916,3456,4460,0,0,3212,0,3212,49359,49359,0
