1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q3,6244,1624,3821,1957,-624,-353,32,-303,0,-534,-13,-521,0,6244,0,5277,967,0,0
1973:Q4,9412,-164,4685,2015,2164,1858,61,245,0,712,270,442,0,9412,0,8368,1044,0,0
1974:Q1,3046,-1646,5214,2241,-2941,-1452,76,-1565,0,178,265,-87,0,3046,0,2953,93,0,0
1974:Q2,17804,2642,11394,2844,-329,809,84,-1222,0,1253,304,949,0,17804,0,16009,1795,0,0
1974:Q3,5472,1335,3784,2076,-1728,-1618,55,-165,0,5,-62,67,0,5472,0,4323,1149,0,0
1974:Q4,9336,3241,4571,1141,279,99,13,167,0,104,-242,346,0,9336,0,7482,1854,0,0
1975:Q1,-13142,-1023,-8782,910,-4533,-4284,-36,-213,0,286,6,280,0,-13142,0,-13179,37,0,0
1975:Q2,821,2435,-3804,993,491,567,-102,26,0,706,57,649,0,821,0,1129,-308,0,0
1975:Q3,-5982,1339,-5478,891,-3744,-4532,-97,885,0,1010,149,861,0,-5982,0,-6523,541,0,0
1975:Q4,5101,3565,-39,676,133,-699,-65,897,0,766,47,719,0,5101,0,4391,710,0,0
1976:Q1,-9144,-2369,-6841,973,-1105,-188,-37,-880,0,198,117,81,0,-9144,0,-8509,-635,0,0
1976:Q2,8152,2059,2009,1914,1596,-95,-33,1724,0,574,85,489,0,8152,0,7692,460,0,0
1976:Q3,-2054,-1430,-1332,1311,-695,-1624,-22,951,0,92,-73,165,0,-2054,0,-2166,112,0,0
1976:Q4,11989,1865,2414,1260,4737,1924,-41,2854,0,1713,762,951,0,11989,0,11882,107,0,0
1977:Q1,920,514,2071,1544,-2589,-1117,-37,-1435,0,-620,-446,-174,0,920,0,718,202,0,0
1977:Q2,9190,49,5403,3019,848,409,-41,480,0,-129,227,-356,0,9190,0,8515,675,0,0
