1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,93304,311,0,0,0,26054,0,7417,376,2820,15441,3221,2094,0,61624,61624,0,93309
1965:Q2,95683,311,0,0,0,26689,0,7590,381,2748,15970,3389,2074,0,63220,63220,0,95688
1965:Q3,98060,312,0,0,0,27096,0,7351,485,2684,16576,3567,2326,0,64759,64759,0,98066
1965:Q4,100438,317,0,0,0,27515,0,7153,492,2625,17245,3746,2500,0,66360,66360,0,100445
1966:Q1,103372,325,0,0,0,28357,0,7312,502,2579,17964,3936,2580,0,68174,68174,0,103378
1966:Q2,106306,335,0,0,0,28941,0,7046,622,2543,18730,4143,2633,0,70254,70254,0,106312
1966:Q3,109238,349,0,0,0,29837,0,7166,671,2513,19487,4344,2527,0,72181,72181,0,109245
1966:Q4,112171,368,0,0,0,30432,0,7115,652,2481,20184,4516,2800,0,74055,74055,0,112179
1967:Q1,115027,407,0,0,0,30920,0,6800,669,2461,20990,4681,3292,0,75727,75727,0,115035
1967:Q2,117882,415,17,0,0,31595,0,6646,744,2442,21763,4847,3420,0,77588,77588,0,117891
1967:Q3,120739,381,69,0,0,32328,0,6308,759,2424,22837,4925,3740,0,79296,79296,0,120748
1967:Q4,123594,303,161,0,0,33277,0,6165,785,2406,23921,5003,3900,0,80950,80950,0,123604
1968:Q1,128552,365,108,0,0,33818,0,6219,758,2437,24404,5148,3847,0,85266,85266,0,128562
1968:Q2,133509,403,75,0,0,34599,0,6120,1028,2372,25079,5269,4696,0,88467,88467,0,133519
1968:Q3,138467,429,146,0,0,35358,0,6023,1138,2384,25813,5275,5232,0,92027,92027,0,138477
1968:Q4,143424,377,230,0,0,36278,0,5921,1410,2382,26565,5362,5800,0,95377,95377,0,143435
1969:Q1,148817,497,52,0,0,37074,0,5850,1437,2386,27401,5426,6091,0,99677,99677,0,148828
1969:Q2,154210,315,143,0,0,38022,0,5815,1465,2368,28374,5475,6458,0,103797,103797,0,154221
1969:Q3,159603,329,211,0,0,39122,0,5696,1552,2348,29526,5550,6699,0,107692,107692,0,159614
1969:Q4,164994,309,170,0,0,39893,0,5437,1566,2331,30559,5575,7300,0,111747,111747,0,165007
1970:Q1,169835,236,138,0,0,40853,0,5335,1592,2308,31618,5650,7750,0,115208,115208,0,169848
1970:Q2,174676,306,209,0,0,41683,0,5179,1609,2159,32736,5808,6754,0,119916,119916,0,174689
1970:Q3,179515,274,167,0,0,43016,0,5274,1576,2133,34033,5789,8577,0,121692,121692,0,179529
1970:Q4,184356,388,213,0,0,43682,0,5104,1491,2032,35055,5920,10100,0,124053,124053,0,184370
1971:Q1,193299,352,233,0,0,44608,0,4880,1414,2040,36274,6019,12058,0,130029,130029,0,193313
1971:Q2,202242,420,180,0,0,45366,0,4426,1400,2042,37498,6170,12798,0,137308,137308,0,202256
1971:Q3,211185,450,174,0,0,46005,0,4371,1448,2050,38136,6178,13942,0,144436,144436,0,211199
1971:Q4,220127,548,148,0,0,46588,0,3896,1544,2152,38996,6288,15400,0,151155,151155,0,220142
1972:Q1,230679,703,39,0,0,47648,0,3633,1668,2229,40118,6309,17456,0,158524,158524,0,230693
1972:Q2,241228,747,33,0,0,48708,0,3723,1800,2466,40719,6257,18513,0,166970,166970,0,241243
1972:Q3,251779,723,65,0,0,49785,0,3643,1944,2123,42075,6340,19828,0,175038,175038,0,251794
1972:Q4,262329,767,191,0,0,50958,0,3597,2105,2029,43227,6470,22200,0,181743,181743,0,262345
1973:Q1,263679,612,304,0,0,52185,0,3687,2284,1622,44592,6632,21487,0,182459,182459,0,263694
1973:Q2,265028,664,429,0,0,53471,0,3460,2480,1536,45995,6821,20326,0,183317,183317,0,265043
1973:Q3,266377,600,660,0,0,54945,0,3028,2840,1650,47427,6888,22451,0,180833,180833,0,266392
1973:Q4,267726,544,800,0,0,55970,0,2508,3334,1691,48437,7141,20200,0,183071,183071,0,267741
1974:Q1,275890,359,887,0,0,57235,0,1840,3817,1845,49733,7277,21039,0,189093,189093,0,276005
1974:Q2,284145,305,1183,0,0,58908,0,1886,4145,1444,51433,7330,19295,0,197124,197124,0,284269
