date,FL893170005.Q,FL163170005.Q,FL103170005.Q,FL113170005.Q,FL313170005.Q,FL213170003.Q,FL513170005.Q,FL543170005.Q,FL663170003.Q,LM263170005.Q,FL893070005.Q,FL163070005.Q,FL103070005.Q,FL113070003.Q,FL313070000.Q,FL213070003.Q,FL513070005.Q,FL543070005.Q,FL673070003.Q,LM263070005.Q,FL903070005.Q
1945:Q4,21479,504,13697,3558,2679,632,0,0,10,399,27185,0,19821,4548,900,1042,361,0,0,513,-5706
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,27593,671,20041,5056,666,778,0,0,25,356,30389,0,22579,5553,100,1165,478,0,0,514,-2796
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,31360,771,23392,6078,0,646,0,0,40,433,35863,0,27554,5864,0,1376,578,0,0,491,-4503
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,34325,851,24980,7203,0,789,0,0,50,452,38083,0,29600,5934,0,1462,652,0,0,435,-3758
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,34529,884,24718,7463,0,950,0,0,65,449,37179,0,28640,5995,0,1427,723,0,0,394,-2650
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45055,951,32694,8721,1100,1064,0,0,80,445,49140,0,38583,7091,400,1887,740,0,0,439,-4085
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,46825,1034,32316,9045,2700,1150,0,0,90,490,53673,0,41964,6974,1300,2125,850,0,0,460,-6848
1952:Q1,45447,1058,30361,9695,2500,1271,0,0,100,462,56126,0,43434,7702,1600,2057,876,0,0,457,-10679
1952:Q2,43457,1084,28227,9780,2400,1397,0,0,100,469,55117,0,42254,7539,2000,1964,901,0,0,459,-11660
1952:Q3,46454,1110,30753,9972,2500,1517,0,0,140,462,59654,0,46001,7945,2200,2092,925,0,0,491,-13200
1952:Q4,48919,1133,33077,9626,2775,1640,0,0,150,518,59601,0,45866,7838,2251,2199,948,0,0,499,-10682
1953:Q1,48335,1154,31088,10789,2883,1768,0,0,160,493,61928,0,46828,8891,2577,2169,967,0,0,496,-13593
1953:Q2,48738,1173,31407,10887,2679,1893,0,0,170,529,60993,0,46126,8743,2490,2181,983,0,0,470,-12255
1953:Q3,49992,1192,32222,11189,2667,2024,0,0,180,518,62626,0,47561,8850,2514,2234,996,0,0,471,-12634
1953:Q4,49442,1212,32800,9993,2600,2158,0,0,180,499,59120,0,45021,8233,2214,2203,1006,0,0,443,-9678
1954:Q1,48487,1233,30154,11352,2763,2298,0,0,190,497,60517,0,45279,9097,2527,2155,1017,0,0,442,-12030
1954:Q2,48722,1255,30197,11707,2412,2441,0,0,190,520,60074,0,45273,8777,2416,2161,1030,0,0,417,-11352
1954:Q3,50999,1277,31519,12557,2308,2589,0,0,200,549,62833,0,47592,8916,2608,2259,1045,0,0,413,-11834
1954:Q4,53762,1298,34832,11730,2366,2738,0,0,200,598,62897,0,48406,8174,2445,2378,1064,0,0,430,-9135
1955:Q1,54018,1318,34093,12669,2220,2896,0,0,200,622,66168,0,50806,8955,2472,2386,1084,0,0,465,-12150
1955:Q2,56182,1336,35703,13098,2145,3057,0,0,200,643,67217,0,52383,8476,2333,2478,1106,0,0,441,-11035
1955:Q3,60880,1356,39673,13638,2166,3220,0,0,200,627,71793,0,56754,8521,2229,2686,1130,0,0,473,-10913
1955:Q4,64941,1381,43874,13157,2283,3384,0,0,210,652,72667,0,58009,7907,2274,2863,1156,0,0,458,-7726
1956:Q1,64384,1413,41991,14204,2289,3553,0,0,220,714,74792,0,59131,8912,2266,2832,1185,0,0,466,-10408
1956:Q2,66613,1452,43720,14452,2302,3726,0,0,230,731,76446,0,60287,8993,2516,2928,1217,0,0,505,-9833
1956:Q3,69120,1493,45420,14953,2367,3900,0,0,230,757,80575,0,63778,9474,2493,3035,1252,0,0,543,-11455
1956:Q4,71304,1530,47992,14080,2608,4076,0,0,230,788,80195,0,63809,9051,2350,3127,1291,0,0,567,-8891
1957:Q1,70724,1563,46320,15038,2534,4262,0,0,240,767,82409,0,65016,9927,2455,3095,1330,0,0,586,-11685
1957:Q2,70593,1594,46312,14710,2479,4451,0,0,240,807,82049,0,65154,9159,2638,3083,1370,0,0,645,-11456
1957:Q3,71966,1625,47428,14791,2427,4642,0,0,240,813,83870,0,67098,8997,2568,3138,1410,0,0,659,-11904
1957:Q4,74336,1658,49578,14366,2769,4839,0,0,250,876,81422,0,65436,8378,2261,3238,1451,0,0,658,-7086
1958:Q1,71624,1694,45517,15629,2667,5042,0,0,250,825,83516,0,66550,9617,2123,3108,1490,0,0,628,-11892
1958:Q2,73324,1731,46871,15754,2606,5249,0,0,250,863,83503,0,66706,9516,1946,3178,1527,0,0,630,-10179
1958:Q3,77173,1769,50103,16043,2674,5464,0,0,260,860,88694,0,71453,9874,1816,3345,1563,0,0,643,-11521
1958:Q4,80708,1809,53810,15441,2832,5685,0,0,260,871,88657,0,71840,9377,1723,3499,1599,0,0,619,-7949
1959:Q1,81683,2059,53685,16115,2802,5912,0,0,270,840,91153,0,73501,10079,1692,3569,1639,0,0,673,-9470
1959:Q2,83720,2099,55502,16121,2679,6139,0,0,270,910,92921,0,75575,9556,1687,3686,1683,0,0,734,-9201
1959:Q3,84656,2149,55842,16439,2669,6363,0,0,280,914,95061,0,77484,9648,1702,3748,1731,0,0,748,-10405
1959:Q4,87059,2199,59100,15032,2903,6581,0,0,280,964,93770,0,77386,8234,1722,3875,1782,0,0,771,-6711
1960:Q1,88525,2239,58535,16586,3108,6803,0,0,290,964,98261,0,79948,9755,1822,3961,1830,0,0,945,-9736
1960:Q2,89373,2289,59438,16226,2997,7033,0,0,290,1100,97987,0,80465,9010,1771,4022,1872,0,0,847,-8614
1960:Q3,90922,2269,60426,16479,3078,7266,0,0,290,1114,101186,0,83319,9246,1761,4112,1907,0,0,841,-10264
1960:Q4,92733,2309,61935,15614,3359,7501,0,0,290,1725,99702,0,82311,8554,1790,4214,1934,0,0,899,-6969
1961:Q1,92143,2309,60270,16606,3444,7749,0,0,300,1465,101870,0,83213,9731,1792,4211,1954,0,0,969,-9727
1961:Q2,93539,2409,61734,16245,3211,7992,0,0,300,1648,104252,0,85820,9421,1749,4293,1969,0,0,1000,-10713
1961:Q3,95722,2439,63376,16205,3365,8237,0,0,300,1800,108237,0,89372,9655,1798,4413,1981,0,0,1018,-12515
1961:Q4,97556,2499,65676,15136,3618,8496,0,0,300,1831,106632,0,88253,8904,1776,4521,1993,0,0,1185,-9076
1962:Q1,97260,2549,64315,15837,3410,8754,0,0,310,2085,108589,0,89326,9724,1780,4529,2035,0,0,1195,-11329
1962:Q2,98010,2579,65041,15564,3465,9012,0,0,310,2039,109152,0,90553,9068,1821,4587,2093,0,0,1030,-11142
1962:Q3,101367,2599,67540,15739,3634,9276,0,0,320,2259,113525,0,94489,9153,1886,4766,2153,0,0,1078,-12158
1962:Q4,102481,2629,68611,15023,4051,9543,0,0,320,2304,111474,0,92772,8462,2005,4844,2201,0,0,1190,-8993
1963:Q1,102571,2679,68025,15518,3964,9820,0,0,325,2240,114361,0,94615,9149,2292,4879,2239,0,0,1187,-11790
1963:Q2,103486,2759,69619,15058,3758,10099,0,0,325,1868,116003,0,96295,8702,2545,4950,2270,0,0,1241,-12517
1963:Q3,106035,2849,71911,14715,3925,10389,0,0,330,1916,119386,0,99420,8697,2500,5100,2299,0,0,1370,-13351
1963:Q4,109893,2939,75976,13633,4381,10685,0,0,330,1949,118750,0,99080,7961,2490,5308,2332,0,0,1579,-8857
1964:Q1,107679,3068,72804,14155,4268,10986,0,0,340,2058,120642,0,100167,8574,2553,5241,2368,0,0,1739,-12963
1964:Q2,109272,3118,74377,14136,3914,11298,0,0,340,2089,122351,0,101853,8454,2573,5350,2406,0,0,1715,-13079
1964:Q3,113040,3168,77360,14127,4088,11614,0,0,350,2333,128329,0,107264,8661,2675,5554,2445,0,0,1730,-15289
1964:Q4,118656,3198,82924,13078,4476,11933,0,0,350,2697,128743,0,107622,8106,2734,5840,2484,0,0,1957,-10087
1965:Q1,119328,3268,82781,13660,4483,12258,0,0,360,2518,132257,0,110418,8627,2770,5903,2523,0,0,2016,-12929
1965:Q2,122196,3378,85261,13527,4531,12596,0,0,360,2543,135637,0,113626,8266,2898,6070,2561,0,0,2216,-13441
1965:Q3,126260,3488,88536,13628,4790,12951,0,0,370,2497,141891,0,119193,8487,3096,6291,2602,0,0,2222,-15631
1965:Q4,132360,3617,94592,12750,5048,13314,0,0,370,2669,143436,0,120892,7930,3122,6603,2649,0,0,2240,-11076
1966:Q1,131866,3727,93372,12911,5035,13684,0,0,380,2757,147708,0,124146,8627,3330,6616,2704,0,0,2285,-15842
1966:Q2,134118,3817,95670,12243,5130,14062,0,0,390,2806,152090,0,128445,8260,3493,6750,2766,0,0,2376,-17972
1966:Q3,138328,3887,98923,12381,5401,14447,0,0,400,2889,159097,0,133794,8915,3964,6975,2832,0,0,2617,-20769
1966:Q4,143415,3967,103800,11547,5831,14849,0,0,410,3011,159115,0,133268,8491,4371,7244,2898,0,0,2843,-15700
1967:Q1,139948,4067,99739,11491,5723,15266,0,0,420,3242,161004,0,133760,9150,4868,7112,2964,0,0,3150,-21056
1967:Q2,142319,4236,100977,11472,6141,15685,0,0,430,3378,163724,0,135559,8982,5435,7256,3031,0,0,3461,-21405
1967:Q3,146057,4415,103648,11869,6152,16104,0,0,440,3429,169172,0,139850,9422,5746,7459,3100,0,0,3595,-23115
1967:Q4,152938,4594,109723,11456,6483,16536,0,0,450,3696,171100,0,141598,9022,5839,7822,3176,0,0,3643,-18162
1968:Q1,150046,4733,108829,9186,6200,16983,0,0,460,3655,173224,0,144408,7893,6066,7742,3247,0,0,3868,-23178
1968:Q2,155463,4793,113445,9346,6046,17448,0,0,480,3905,179408,0,149697,7736,6248,8025,3317,0,0,4385,-23945
1968:Q3,162719,4982,119316,9939,6095,17922,0,0,500,3965,187469,0,156494,8263,6309,8388,3391,0,0,4624,-24750
1968:Q4,170394,5141,126213,9351,6467,18407,0,0,510,4305,191862,0,160123,7655,6414,8769,3476,0,0,5425,-21468
1969:Q1,170912,5280,126219,9576,6124,18903,0,0,520,4290,198008,0,165141,8257,6850,8842,3572,0,0,5346,-27096
1969:Q2,177184,5449,131262,10003,6090,19411,0,0,540,4429,205352,0,171408,8345,7203,9173,3680,0,0,5543,-28168
1969:Q3,184401,5608,137469,10529,5929,19922,0,0,560,4384,214822,0,179673,8705,7466,9543,3792,0,0,5643,-30421
1969:Q4,193825,5807,145730,9992,6389,20431,0,0,580,4896,218559,0,182946,8110,7333,10008,3898,0,0,6264,-24734
1970:Q1,192543,5966,143498,10013,6224,20953,0,0,590,5299,222789,0,186944,8331,7165,9991,4011,0,0,6347,-30246
1970:Q2,195877,6085,146363,10208,5692,21484,0,0,600,5445,225366,0,189675,7860,6971,10184,4127,0,0,6549,-29489
1970:Q3,198525,6284,148279,10168,5572,22045,0,0,600,5577,228340,0,192568,7418,6809,10351,4246,0,0,6948,-29815
1970:Q4,203799,6443,153602,9315,5351,22618,0,0,610,5860,227305,0,191389,6623,6556,10630,4370,0,0,7737,-23506
1971:Q1,204437,6632,151671,10966,5349,23200,0,0,620,5999,230558,0,193247,8333,6120,10701,4443,0,0,7714,-26121
1971:Q2,206495,6781,153719,10455,4956,23796,0,0,630,6158,232810,0,196592,8152,5260,10839,4471,0,0,7496,-26315
1971:Q3,210574,7100,156998,10291,4877,24395,0,0,650,6263,238280,0,201971,8530,5024,11062,4521,0,0,7172,-27706
1971:Q4,220395,7319,167228,9517,4228,25012,0,0,670,6421,240416,0,203801,8123,4852,11559,4661,0,0,7420,-20021
1972:Q1,220005,7478,166069,9742,3945,25638,0,0,690,6443,247438,0,210218,8636,4856,11582,4895,0,0,7251,-27433
1972:Q2,223670,7647,168842,10276,3512,26259,0,0,710,6424,253772,0,215549,8824,4866,11785,5229,0,0,7519,-30102
1972:Q3,233944,7826,177323,10978,3754,26891,0,0,730,6442,262640,0,222993,9386,4693,12291,5574,0,0,7703,-28696
1972:Q4,248895,8155,190373,10662,4429,27547,0,0,750,6979,270276,0,230207,8770,4033,13013,5842,0,0,8411,-21381
1973:Q1,253934,8195,191868,13619,4183,28217,0,0,760,7092,281591,0,240370,9240,4143,13297,6050,0,0,8491,-27657
1973:Q2,269604,8494,203022,17017,4250,28895,0,0,770,7156,294817,0,251373,9753,4476,14058,6218,0,0,8939,-25213
1973:Q3,283186,8673,211491,20453,4491,29591,0,0,780,7707,309410,0,264071,10376,4378,14726,6359,0,0,9500,-26224
1973:Q4,306337,8882,228428,24018,5219,30318,0,0,790,8682,317109,0,269317,11086,4307,15840,6485,0,0,10074,-10772
1974:Q1,310807,9141,228286,26283,4918,31089,0,0,810,10280,332228,0,281929,12540,4516,16116,6639,0,0,10488,-21421
1974:Q2,325147,9569,238995,27920,5039,31913,0,0,830,10881,350152,0,297374,13632,4740,16846,6764,0,0,10796,-25005
1974:Q3,336995,9748,248794,28075,5567,32766,0,0,850,11195,359899,0,305285,13821,5097,17457,6885,0,0,11354,-22904
1974:Q4,254760,10027,165205,27123,6165,33640,0,0,870,11730,297072,0,245519,13288,5305,13802,7020,0,0,12138,-42312
1975:Q1,247770,10074,153059,27490,10140,34575,0,0,890,11542,315337,0,262584,13693,5402,13581,7182,0,0,12895,-67567
1975:Q2,250434,10177,153416,27932,10737,35497,0,0,910,11765,323554,0,269070,14062,5924,13772,7359,0,0,13367,-73120
1975:Q3,263542,10357,163619,28312,11616,36449,0,0,930,12259,341218,0,285011,14341,6315,14447,7526,0,0,13578,-77676
1975:Q4,278032,10520,176372,28435,11791,37443,0,0,950,12521,329516,0,271441,14551,6495,15191,7668,0,0,14170,-51484
1976:Q1,273048,10657,167962,29052,13549,38467,0,0,970,12391,349875,0,290075,14542,6499,15055,7925,0,0,15779,-76827
1976:Q2,284393,10599,176210,29996,14559,39465,0,0,990,12574,366357,0,305080,14666,6882,15648,8232,0,0,15849,-81964
1976:Q3,294120,10687,182625,30741,16438,40452,0,0,1010,12167,382090,0,317988,15123,6984,16158,8559,0,0,17278,-87970
1976:Q4,310205,10681,195180,31438,17920,41437,0,0,1030,12519,369936,0,302449,15849,6949,16917,8878,0,0,18894,-59731
1977:Q1,315467,10788,196568,32994,19239,42458,0,0,1050,12370,393723,0,325485,15878,6768,17252,9193,0,0,19147,-78256
1977:Q2,326472,10828,204530,34219,20153,43509,0,0,1070,12163,408509,0,338436,16826,6583,17845,9510,0,0,19309,-82037
1977:Q3,334225,10866,210061,34892,21146,44563,0,0,1090,11607,428958,0,355283,18221,7037,18278,9836,0,0,20303,-94733
1977:Q4,352543,11055,227047,35037,21125,45629,0,0,1100,11550,422773,0,346406,19976,6187,19261,10176,0,0,20767,-70230
