1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q2,63872,38831,-7982,46813,8490,16551,63872,56256,-3762,329,583,1562,0,109,0,6727,1685,0,91,-7373,5576,485,0,-1653,2757,0,500
2006:Q3,27187,19264,-4816,24080,133,7790,27187,-1208,-3405,329,415,7678,0,273,0,3895,-567,0,-141,15175,5408,-620,0,-1904,-323,0,2182
2006:Q4,80181,52376,3911,48465,5554,22251,80181,16249,818,329,643,11336,0,315,0,2977,485,0,-99,20013,10557,389,0,1474,12513,0,2182
2007:Q1,76989,59862,1730,58132,2588,14539,76989,19292,289,-123,788,8319,0,39,0,12682,1270,0,-93,27124,10065,-565,0,-2029,-2251,0,2182
2007:Q2,85675,50290,-4814,55104,7342,28043,85675,40785,1035,-123,50,3108,0,-243,-14,14615,1325,0,-72,8049,8572,-412,0,428,6390,0,2182
2007:Q3,30035,16123,5976,10147,1692,12220,30035,-9510,1009,-122,720,2855,0,252,5,11506,1074,0,-64,30087,-919,-75,0,-878,-9073,0,3168
2007:Q4,76109,48561,14084,34477,11084,16464,76109,-21814,-1276,-124,942,-2387,0,638,-1,26290,1049,0,35,39462,22322,171,0,-288,7922,0,3168
2008:Q1,36512,23501,1455,22046,2960,10051,36512,-19098,-8374,-88,307,9586,0,-2,-20,9990,1533,0,-31,15146,7227,-46,503,-187,16899,0,3167
2008:Q2,44072,6301,-10487,16788,10471,27300,44072,33574,-351,-88,114,408,0,177,0,4274,2606,0,-53,6235,10928,-2159,438,-1126,-14073,0,3168
2008:Q3,7801,-4065,1509,-5574,-2583,14449,7801,-12940,3608,-88,597,17746,0,64,0,11985,589,0,6,-30502,7093,-3120,249,-644,13377,0,-219
2008:Q4,26072,14209,12295,1914,-1209,13072,26072,42196,2093,-88,-145,-7805,0,258,0,12524,788,0,-53,21809,-22748,-764,491,-49,-22215,0,-220
2009:Q1,36927,28859,-410,29269,641,7427,36927,59340,-3846,42,-599,-1492,0,456,0,-17335,2856,0,-109,-15550,14234,-42,814,-354,-1269,0,-219
2009:Q2,47311,32950,-9353,42303,3543,10818,47311,29580,-293,40,872,5580,0,-591,0,2704,6886,0,-88,-20151,23926,-324,896,-494,-1012,0,-220
2009:Q3,29982,20151,15275,4876,1773,8058,29982,28456,2056,41,-289,-2257,0,1110,0,-11781,4771,0,93,-23538,26248,84,1105,-742,558,0,4067
2009:Q4,72039,59796,2402,57394,1121,11122,72039,54408,3020,41,674,610,0,-31,0,-3947,7717,0,197,-9707,20204,44,815,-624,-5449,0,4067
2010:Q1,36348,26281,-31,26312,933,9134,36348,34161,-3092,136,506,1500,0,-380,214,-3617,12160,0,170,-35283,21482,-186,654,-1062,4918,0,4067
2010:Q2,5101,-3401,-16415,13014,-2210,10712,5101,10166,-2403,136,-269,2640,0,-1097,-214,-6183,6410,0,156,-14050,11383,225,721,-877,-5711,0,4068
2010:Q3,7028,7656,4740,2916,-2629,2001,7028,-3614,2089,136,312,8086,0,732,0,-9960,12294,0,79,-17637,9458,864,561,-1786,2941,0,2473
2010:Q4,70036,57152,10940,46212,1484,11400,70036,37773,1540,136,1394,18043,0,-185,0,-4212,5544,0,235,13908,-9372,216,44,-461,2960,0,2473
2011:Q1,-17296,-19757,-2859,-16898,-156,2617,-17296,5628,-746,90,101,5259,0,297,2825,-4239,2791,0,146,-11926,-15179,-225,-157,-1071,-3362,0,2472
2011:Q2,-29548,-33611,-22466,-11145,-658,4721,-29548,3324,-1120,-159,-704,7430,0,-335,483,-13420,1910,0,57,-26017,-5887,960,254,-937,2141,0,2472
2011:Q3,-12195,-6124,10432,-16556,-4855,-1216,-12195,-7090,-999,-127,-683,16554,0,346,964,-7228,1902,0,-405,-7113,1208,-180,103,-948,-5313,0,-3186
2011:Q4,21177,20069,4258,15811,-1464,2572,21177,9411,-544,11,439,13402,0,588,-1052,-12456,2198,0,-349,3597,12394,270,801,-913,-5496,0,-1124
2012:Q1,2030,2640,-433,3073,-1720,1110,2030,-21525,-30,3,-320,14635,0,-14,1441,-1202,3669,0,-344,-17079,20058,-304,1044,-843,3540,0,-699
2012:Q2,21794,15692,-8531,24223,-4831,10933,21794,7518,27,-18,-330,19218,0,-664,-851,-968,243,0,-346,-16075,18418,952,814,-822,-3911,0,-1411
2012:Q3,-9136,-4426,12550,-16976,-3621,-1089,-9136,-43986,-171,-59,146,22126,0,-37,-115,-1626,2953,74,340,-4755,17623,1224,728,-1318,-2706,0,423
2012:Q4,-3608,-1913,447,-2360,-4229,2534,-3608,-38464,0,62,-325,12017,0,266,363,-3758,2349,1,358,9007,14651,1230,989,-1110,-2337,0,1093
2013:Q1,9479,7953,-1862,9815,-1479,3005,9479,-587,-2,-411,536,10018,0,85,1156,-1484,3454,2,361,-23708,13543,1168,718,-663,4503,0,790
2013:Q2,-17347,-18301,-15104,-3197,-3140,4094,-17347,-12215,67,-189,467,16155,0,60,-79,200,3236,2,438,-669,-13474,188,-428,-1494,-10690,0,1078
2013:Q3,-33017,-25047,7216,-32263,-4315,-3655,-33017,-17773,-170,-348,250,13825,0,480,466,1127,2774,-5,46,-6516,-25664,-392,-983,-1031,-460,0,1357
2013:Q4,-18628,-13039,-1396,-11643,-4373,-1216,-18628,-17303,-116,-402,528,13315,0,91,-827,-6054,5605,3,24,-448,-13890,-434,-72,-360,477,0,1235
2014:Q1,-7282,-5707,-2254,-3453,-1132,-443,-7282,3868,-467,-214,-338,8475,0,-248,-162,-2610,1155,-2,-60,-13512,-1697,527,361,-743,-2335,0,720
2014:Q2,-3343,-2299,-9403,7104,-690,-354,-3343,-2750,-363,-162,-538,4959,0,-756,313,-3735,2170,0,-33,-12720,8207,108,772,-519,1026,0,678
2014:Q3,-33464,-28677,3795,-32472,-2792,-1995,-33464,-29067,-572,-190,-902,10880,0,-144,-75,-6454,2101,-11,-59,-5276,-2444,-126,835,-745,-2457,0,1242
2014:Q4,10897,10040,1470,8570,-1938,2795,10897,-11358,-227,-105,312,10631,0,50,-1235,-3540,2728,-1,-12,-2283,10999,58,1204,-585,2574,0,1687
2015:Q1,29351,23904,-817,24721,-527,5974,29351,-3259,318,68,359,12063,0,-14,153,7517,2543,0,-6,-5737,10732,-5,1382,-901,1710,0,2428
2015:Q2,12925,7849,-7045,14894,-3414,8490,12925,6443,401,155,129,11444,0,-195,362,2380,2491,0,43,-14567,2726,-86,547,-789,-1288,0,2729
2015:Q3,-9413,-8197,687,-8884,-2480,1264,-9413,-17206,127,44,-389,11115,0,-284,109,1887,3108,-1,45,-2838,-2650,188,507,-386,-3230,0,441
2015:Q4,-11494,-7719,1235,-8954,-1519,-2256,-11494,-21732,157,42,448,10781,0,-127,-62,-1589,458,0,44,-4937,5417,-108,1493,-555,-2082,0,858
2016:Q1,21779,16918,-607,17525,968,3893,21779,-883,-597,153,-46,8744,0,-232,411,1107,3382,-1,43,-16969,19956,364,1794,-647,4706,0,494
