1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,216899,69870,147029,216899,27721,8614,100,19742,48980,15975,33005,75149,576,204,331,4286,0,4286,4683,0,4683,1987,1490,497,0,0,0,6165,0,0,0,921,0,921,528,0,2690,0,983,0,0,13239,0,13239,0,73563
1968:Q1,222114,71300,150814,222114,32074,9950,150,19320,49495,16161,33334,74850,590,210,334,4170,0,4170,4678,0,4678,2207,1655,552,0,0,0,6219,0,0,0,1167,0,1167,548,0,2850,0,968,0,0,12334,0,12334,0,73731
1968:Q2,217294,64440,152854,217294,30503,8627,200,19303,52230,18380,33850,71972,608,213,334,4007,0,4007,4447,0,4447,2181,1636,545,0,0,0,6120,0,0,0,1047,0,1047,579,0,2998,0,905,0,0,11020,0,11020,0,75232
1968:Q3,223989,69779,154210,223989,31806,7879,250,19514,52405,18794,33611,75546,630,216,339,3995,0,3995,4528,0,4528,2120,1590,530,0,0,0,6023,0,0,0,1405,0,1405,609,0,2585,0,2543,0,0,11596,0,11596,0,75270
1968:Q4,225679,75012,150667,225679,29817,8959,300,19926,52937,18756,34181,77213,620,220,357,3933,0,3933,4456,0,4456,2359,1769,590,0,0,0,5921,0,0,0,1143,0,1143,625,0,2550,0,1766,0,0,12577,0,12577,0,75546
1969:Q1,225552,77547,148005,225552,37157,9399,350,20432,52010,17583,34427,72145,622,226,390,3781,0,3781,4339,0,4339,2460,1845,615,0,0,0,5850,0,0,0,1571,0,1571,630,0,2275,0,733,0,0,11182,0,11182,0,75642
1969:Q2,213596,68356,145240,213596,30483,7949,400,20956,54095,19466,34629,66693,623,232,441,3939,0,3939,4129,0,4129,2191,1643,548,0,0,0,5815,0,0,0,959,0,959,630,0,2334,0,1120,0,0,10607,0,10607,0,76730
1969:Q3,219837,73972,145865,219837,39061,5786,450,21751,53932,19149,34783,65293,631,239,492,3479,0,3479,4088,0,4088,2159,1619,540,0,0,0,5696,0,0,0,1010,0,1010,621,0,1725,0,866,0,0,12558,0,12558,0,76987
1969:Q4,224726,80571,144155,224726,41065,5646,500,23007,57154,22265,34889,65538,641,248,527,3448,0,3448,4124,0,4124,2183,1637,546,0,0,0,5437,0,0,0,675,0,675,601,0,1964,0,1728,0,0,10240,0,10240,0,77248
1970:Q1,227467,83729,143738,227467,46525,5255,550,23963,55578,20897,34681,61050,350,255,546,3350,0,3350,4080,0,4080,2081,1561,520,0,0,0,5335,0,0,0,476,0,476,646,0,3256,0,2155,0,0,12016,0,12016,0,76931
1970:Q2,221776,76154,145622,221776,36944,6065,600,24366,57714,22407,35307,60310,394,261,553,3242,0,3242,4014,0,4014,1984,1488,496,0,0,0,5179,0,0,0,2563,0,2563,579,0,2701,0,620,0,0,13687,0,13687,0,78702
