1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q1,-72,-6207,0,0,0,-10433,-10433,0,0,0,0,0,4226,0,-6135,-6090,4271,3474,797,0,0,0,0,-10361,856,-11217,-45,0,-45,0,0
1986:Q2,-23,8343,0,0,0,5311,5311,0,0,0,0,0,3032,0,8366,9934,4876,3822,1054,0,0,0,0,5058,4175,883,-1568,0,-1568,0,0
1986:Q3,-24,7671,0,0,0,6899,6899,0,0,0,0,0,772,0,7695,9283,336,-518,854,0,0,0,0,8947,-598,9545,-1588,0,-1588,0,0
1986:Q4,-56,1814,0,0,0,2312,2312,0,0,0,0,0,-498,0,1870,3117,-1160,115,-1275,0,0,0,0,4277,709,3568,-1247,0,-1247,0,0
1987:Q1,-118,3525,0,0,0,2651,2651,0,0,0,0,0,874,0,3643,6238,5196,4371,825,0,0,0,0,1042,3772,-2730,-2595,0,-2595,0,0
1987:Q2,-165,20724,0,0,0,16498,16498,0,0,0,0,0,4226,0,20889,24570,10265,10158,107,0,0,0,0,14305,3592,10713,-3681,0,-3681,0,0
1987:Q3,-199,-10374,0,0,0,-10414,-10414,0,0,0,0,0,40,0,-10175,-10217,-3959,-4102,143,0,0,0,0,-6258,1488,-7746,42,0,42,0,0
1987:Q4,-243,3824,0,-56,0,-562,-562,0,0,0,0,0,4442,0,4067,-2058,-6428,-8037,1609,0,0,0,0,4370,-5726,10096,6125,0,6125,0,0
1988:Q1,-158,9000,0,-22,0,762,762,0,0,0,0,0,8260,0,9158,16915,14776,14266,510,0,0,0,0,2139,2251,-112,-7757,0,-7757,0,0
1988:Q2,-176,28813,0,-13,0,23036,23036,0,0,0,0,0,5790,0,28989,34262,13791,14600,-809,0,0,0,0,20471,5359,15112,-5273,0,-5273,0,0
1988:Q3,-232,14302,0,-20,0,9353,9353,0,0,0,0,0,4969,0,14534,18840,5963,5392,571,0,0,0,0,12877,-6440,19317,-4306,0,-4306,0,0
1988:Q4,-174,17115,0,-28,0,16608,16608,0,0,0,0,0,535,0,17289,18436,2686,4022,-1336,0,0,0,0,15750,6866,8884,-1147,0,-1147,0,0
1989:Q1,-278,10626,0,20,0,4381,4381,0,0,0,0,0,6225,0,10904,14600,3557,3364,193,0,0,0,0,11043,-2811,13854,-3696,0,-3696,0,0
