1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3,3,0,-222,-222,37,37,0,0,79,79,259,0,259,0,882,0,547,131,204,0,0,0,0,0,0,0,0,0,3695,5699,1094,3695,5699,1094
1952:Q1,-6,-6,0,-36,-36,84,84,0,0,19,19,68,0,68,0,244,0,148,31,65,0,0,0,0,0,139,139,0,0,285,1674,240,285,1674,240
1952:Q2,-6,-6,0,-49,-49,62,62,0,0,18,18,68,0,68,0,261,0,158,30,73,0,0,0,0,0,6,6,0,0,748,1546,315,748,1546,315
1952:Q3,-13,-13,0,-48,-48,-27,-27,0,0,19,19,71,0,71,0,260,0,155,30,75,0,0,0,0,0,6,6,0,0,704,1472,165,704,1472,165
1952:Q4,11,11,0,-24,-24,40,40,0,0,20,20,87,0,87,0,239,0,139,30,70,0,0,0,0,0,9,9,0,0,640,1869,319,640,1869,319
1953:Q1,11,11,0,-38,-38,49,49,0,0,22,22,92,0,92,0,224,0,127,32,65,0,0,0,0,0,7,7,0,0,747,1809,251,747,1809,251
1953:Q2,-22,-22,0,-51,-51,36,36,0,0,23,23,100,0,100,0,215,0,118,33,64,0,0,0,0,0,8,8,0,0,789,1625,162,789,1625,162
1953:Q3,-4,-4,0,-58,-58,-24,-24,0,0,24,24,101,0,101,0,202,0,107,31,64,0,0,0,0,0,7,7,0,0,851,1812,185,851,1812,185
1953:Q4,2,2,0,-44,-44,77,77,0,0,23,23,98,0,98,0,184,0,93,27,64,0,0,0,0,0,9,9,0,0,921,1862,334,921,1862,334
1954:Q1,-25,-25,0,-50,-50,181,181,0,0,21,21,93,0,93,0,160,0,72,23,65,0,0,0,0,0,8,8,0,0,688,1866,190,688,1866,190
1954:Q2,59,59,0,-60,-60,80,80,0,0,19,19,90,0,90,0,131,0,49,16,66,0,0,0,0,0,6,6,0,0,611,1671,181,611,1671,181
1954:Q3,67,67,0,-51,-51,-46,-46,0,0,21,21,91,0,91,0,128,0,46,18,64,0,0,0,0,0,8,8,0,0,503,1855,301,503,1855,301
1954:Q4,10,10,0,-65,-65,29,29,0,0,26,26,100,0,100,0,150,0,60,27,63,0,0,0,0,0,11,11,0,0,386,1862,311,386,1862,311
1955:Q1,102,102,0,-39,-39,57,57,0,0,30,30,107,0,107,0,169,0,74,34,61,0,0,0,0,0,13,13,0,0,449,1931,355,449,1931,355
1955:Q2,99,99,0,-93,-93,-4,-4,0,0,34,34,116,0,116,0,182,0,85,36,61,0,0,0,0,0,22,22,0,0,431,1695,376,431,1695,376
1955:Q3,75,75,0,-110,-110,-186,-186,0,0,37,37,117,0,117,0,188,0,84,44,60,0,0,0,0,0,21,21,0,0,459,1704,331,459,1704,331
1955:Q4,67,67,0,-13,-13,29,29,0,0,40,40,110,0,110,0,185,0,67,58,60,0,0,0,0,0,15,15,0,0,507,1922,323,507,1922,323
1956:Q1,110,110,0,-91,-91,73,73,0,0,43,43,109,0,109,0,181,0,56,76,49,0,0,0,0,0,16,16,0,0,581,2036,232,581,2036,232
1956:Q2,121,121,0,-35,-35,-32,-32,0,0,48,48,104,0,104,0,175,0,40,90,45,0,0,0,0,0,6,6,0,0,567,1863,457,567,1863,457
1956:Q3,185,185,0,-66,-66,-80,-80,0,0,49,49,102,0,102,0,184,0,41,97,46,0,0,0,0,0,7,7,0,0,516,1566,480,516,1566,480
1956:Q4,147,147,0,-52,-52,24,24,0,0,47,47,110,0,110,0,209,0,57,100,52,0,0,0,0,0,15,15,0,0,466,2133,510,466,2133,510
1957:Q1,257,257,0,-47,-47,-14,-14,0,0,45,45,116,0,116,0,236,0,55,126,55,0,0,0,0,0,9,9,0,0,755,2233,388,755,2233,388
1957:Q2,295,295,0,-101,-101,27,27,0,0,46,46,122,0,122,0,266,0,60,147,59,0,0,0,0,0,22,22,0,0,924,2095,398,924,2095,398
1957:Q3,133,133,0,-102,-102,-147,-147,0,0,44,44,120,0,120,0,269,0,57,154,58,0,0,0,0,0,3,3,0,0,1111,2326,349,1111,2326,349
1957:Q4,-61,-61,0,-77,-77,104,104,0,0,39,39,111,0,111,0,246,0,49,149,48,0,0,0,0,0,5,5,0,0,1272,2356,438,1272,2356,438
1958:Q1,121,121,0,-25,-25,321,321,0,0,34,34,103,0,103,0,222,0,38,136,48,0,0,0,0,0,15,15,0,0,738,2238,325,738,2238,325
1958:Q2,186,186,0,-100,-100,144,144,0,0,26,26,94,0,94,0,198,0,24,136,38,0,0,0,0,0,21,21,0,0,599,2151,583,599,2151,583
1958:Q3,106,106,0,-1,-1,-259,-259,0,0,28,28,93,0,93,0,202,0,27,137,38,0,0,0,0,0,26,26,0,0,436,2251,467,436,2251,467
1958:Q4,-74,-74,0,-67,-67,-40,-40,0,0,38,38,97,0,97,0,234,0,48,141,45,0,0,0,0,0,29,29,0,0,256,2360,455,256,2360,455
1959:Q1,56,56,0,-34,-34,-83,-83,0,0,48,48,104,0,104,0,267,0,67,142,58,0,0,0,0,0,15,15,0,0,692,2351,468,692,2351,468
1959:Q2,129,129,0,-59,-59,40,40,0,0,57,57,104,0,104,0,301,0,89,144,68,0,0,0,0,0,26,26,0,0,592,2212,577,592,2212,577
1959:Q3,-172,-172,0,-52,-52,-206,-206,0,0,59,59,110,0,110,0,303,0,90,145,68,0,0,0,0,0,10,10,0,0,776,2434,398,776,2434,398
1959:Q4,-1,-1,0,-44,-44,19,19,0,0,54,54,117,0,117,0,273,0,67,145,61,0,0,0,0,0,27,27,0,0,679,2467,517,679,2467,517
1960:Q1,141,141,0,-56,-56,-55,-55,0,0,51,51,132,0,132,0,249,0,50,151,48,0,0,0,0,0,2,2,0,0,442,2482,411,442,2482,411
1960:Q2,150,150,0,-58,-58,202,202,0,0,50,50,145,0,145,0,231,0,35,155,41,0,0,0,0,0,23,23,0,0,352,2326,525,352,2326,525
1960:Q3,95,95,0,-44,-44,1,1,0,0,48,48,149,0,149,0,221,0,29,152,40,0,0,0,0,0,1,1,0,0,232,2526,636,232,2526,636
1960:Q4,142,142,0,-29,-29,201,201,0,0,43,43,144,0,144,0,220,0,34,139,47,0,0,0,0,0,40,40,0,0,-65,2575,501,-65,2575,501
1961:Q1,77,77,0,-41,-41,88,88,0,0,38,38,154,0,154,0,215,0,36,125,54,0,0,0,0,0,44,44,0,0,83,2615,423,83,2615,423
1961:Q2,103,103,0,-29,-29,128,128,0,0,31,31,152,0,152,0,210,0,39,110,61,0,0,0,0,0,17,17,0,0,-231,2368,556,-231,2368,556
1961:Q3,14,14,0,-31,-31,-132,-132,0,0,30,30,156,0,156,0,203,0,35,110,58,0,0,0,0,0,23,23,0,0,-271,2711,611,-271,2711,611
1961:Q4,67,67,0,-23,-23,158,158,0,0,34,34,160,0,160,0,196,0,26,123,47,0,0,0,0,0,43,43,0,0,-539,2762,734,-539,2762,734
1962:Q1,48,48,0,-43,-43,-71,-71,0,0,37,37,171,0,171,0,180,0,8,134,38,0,0,0,0,0,9,9,0,0,-406,2801,459,-406,2801,459
1962:Q2,151,151,0,-29,-29,84,84,0,0,38,38,186,0,186,0,157,0,-14,148,23,0,0,0,0,0,-63,-63,0,0,-849,2519,721,-849,2519,721
1962:Q3,75,75,0,-28,-28,-209,-209,0,0,39,39,178,0,178,0,165,0,-7,146,26,0,0,0,0,0,30,30,0,0,-577,2910,748,-577,2910,748
1962:Q4,-29,-29,0,-19,-19,229,229,0,0,41,41,145,0,145,0,202,0,31,126,45,0,0,0,0,0,52,52,0,0,-955,2928,900,-955,2928,900
1963:Q1,50,50,0,-26,-26,70,70,0,0,44,44,110,0,110,0,254,0,71,109,74,0,0,0,0,0,35,35,0,0,-337,2968,811,-337,2968,811
1963:Q2,266,266,0,-24,-24,42,42,0,0,47,47,74,0,74,0,317,0,112,105,100,0,0,0,0,0,31,31,0,0,-494,2632,630,-494,2632,630
1963:Q3,31,31,0,-28,-28,-311,-311,0,0,48,48,69,0,69,0,300,0,115,86,99,0,0,0,0,0,30,30,0,0,-395,3028,811,-395,3028,811
1963:Q4,100,100,0,-15,-15,137,137,0,0,47,47,94,0,94,0,203,0,81,55,67,0,0,0,0,0,31,31,0,0,-395,3085,852,-395,3085,852
1964:Q1,-68,-68,0,-17,-17,-174,-174,0,0,45,45,111,0,111,0,295,0,117,84,94,0,0,0,0,0,45,45,0,0,-395,3102,609,-395,3102,609
1964:Q2,-73,-73,0,-18,-18,176,176,0,0,43,43,119,0,119,0,299,0,121,78,100,0,0,0,0,0,38,38,0,0,-368,2854,621,-368,2854,621
1964:Q3,-22,-22,0,-18,-18,-164,-164,0,0,45,45,132,0,132,0,321,0,138,79,104,0,0,0,0,0,36,36,0,0,-117,3171,871,-117,3171,871
1964:Q4,182,182,0,-19,-19,210,210,0,0,53,53,148,0,148,0,361,0,171,88,102,0,0,0,0,0,35,35,0,0,-361,3299,1000,-361,3299,1000
1965:Q1,-141,-141,0,-25,-25,-151,-151,0,0,58,58,166,0,166,0,362,0,177,87,98,0,0,0,0,0,32,32,0,0,46,3368,611,46,3368,611
1965:Q2,94,94,0,-23,-23,127,127,0,0,63,63,185,0,185,0,380,0,181,103,96,0,0,0,0,0,6,6,0,0,211,3000,798,211,3000,798
1965:Q3,114,114,0,-17,-17,-231,-231,0,0,68,68,195,0,195,0,395,0,182,114,99,0,0,0,0,0,70,70,0,0,465,3399,1050,465,3399,1050
1965:Q4,-51,-51,0,-19,-19,101,101,0,0,75,75,196,0,196,0,409,0,179,121,109,0,0,0,0,0,46,46,0,0,340,3602,1067,340,3602,1067
1966:Q1,-91,-91,0,-20,-20,-221,-221,0,0,82,82,200,0,200,0,424,0,177,131,116,0,0,0,0,0,23,23,0,0,299,3687,651,299,3687,651
1966:Q2,90,90,0,-116,-116,201,201,0,0,90,90,206,0,206,0,440,0,174,142,124,0,0,0,0,0,-3,-3,0,0,1004,3310,920,1004,3310,920
1966:Q3,128,128,0,-52,-52,-290,-290,0,0,93,93,211,0,211,0,454,0,175,149,130,0,0,0,0,0,-34,-34,0,0,1111,3775,640,1111,3775,640
1966:Q4,138,138,0,-29,-29,302,302,0,0,91,91,214,0,214,0,467,0,183,154,130,0,0,0,0,0,60,60,0,0,891,3947,999,891,3947,999
1967:Q1,-441,-441,0,-36,-36,454,454,0,0,77,77,229,0,229,0,497,0,194,162,141,0,0,0,0,0,104,104,0,0,1011,4098,1160,1011,4098,1160
1967:Q2,127,127,0,-16,-16,435,435,0,0,71,71,215,0,215,0,518,0,200,172,146,0,0,0,0,0,27,27,0,0,1301,3658,1042,1301,3658,1042
1967:Q3,-40,-40,0,-39,-39,-608,-608,0,0,69,69,216,0,216,0,537,0,207,177,153,0,0,0,0,0,71,71,0,0,1056,4125,1089,1056,4125,1089
1967:Q4,144,144,0,-19,-19,114,114,0,0,71,71,224,0,224,0,524,0,202,170,152,0,0,0,0,0,19,19,0,0,1369,4061,931,1369,4061,931
1968:Q1,-130,-130,0,0,0,-129,-129,0,0,84,84,240,0,240,0,572,0,218,189,165,0,0,0,0,0,-27,-27,0,0,1387,4246,1377,1387,4246,1377
1968:Q2,102,102,0,0,0,97,97,0,0,90,90,244,0,244,0,581,0,224,186,171,0,0,0,0,0,123,123,0,0,1825,3799,1247,1825,3799,1247
1968:Q3,-1,-1,0,0,0,-147,-147,0,0,92,92,250,0,250,0,621,0,234,200,187,0,0,0,0,0,55,55,0,0,1713,4450,1371,1713,4450,1371
1968:Q4,-34,-34,0,0,0,130,130,0,0,89,89,255,0,255,0,692,0,253,231,208,0,0,0,0,0,50,50,0,0,1679,4566,1187,1679,4566,1187
1969:Q1,-230,-230,0,0,0,-139,-139,0,0,88,88,257,0,257,0,842,0,348,262,232,0,0,0,0,0,-4,-4,0,0,2556,4646,1639,2556,4646,1639
1969:Q2,98,98,0,0,0,34,34,0,0,88,88,262,0,262,0,833,0,280,295,258,0,0,0,0,0,7,7,0,0,3130,4375,1404,3130,4375,1404
1969:Q3,59,59,0,0,0,-387,-387,0,0,90,90,271,0,271,0,693,0,117,309,267,0,0,0,0,0,-2,-2,0,0,2936,4810,1251,2936,4810,1251
1969:Q4,-16,-16,0,0,0,150,150,0,0,120,120,287,0,287,0,977,0,413,304,260,0,0,0,0,0,38,38,0,0,3052,5112,1774,3052,5112,1774
1970:Q1,-20,-20,0,0,0,-55,-55,0,0,104,104,306,0,306,0,847,0,335,242,270,0,0,0,0,0,10,10,0,0,2793,5722,1761,2793,5722,1761
1970:Q2,37,37,0,0,0,347,347,0,0,107,107,327,0,327,0,851,0,363,211,277,0,0,0,0,0,-160,-160,0,0,3011,5044,1585,3011,5044,1585
1970:Q3,-44,-44,0,0,0,6,6,0,0,109,109,332,0,332,0,856,0,367,215,274,0,0,0,0,0,170,170,0,0,2013,6165,1765,2013,6165,1765
1970:Q4,43,43,0,0,0,991,991,0,0,110,110,320,0,320,0,864,0,350,254,260,0,0,0,0,0,128,128,0,0,1676,6137,1818,1676,6137,1818
1971:Q1,-80,-80,0,0,0,1095,1095,0,0,88,88,333,0,333,0,861,0,323,245,293,0,0,0,0,0,146,146,0,0,2446,6482,2032,2446,6482,2032
1971:Q2,-79,-79,0,0,0,-1313,-1313,0,0,76,76,319,0,319,0,836,0,301,234,301,0,0,0,0,0,25,25,0,0,2215,5707,2207,2215,5707,2207
1971:Q3,-6,-6,0,0,0,-662,-662,0,0,74,74,319,0,319,0,880,0,301,263,316,0,0,0,0,0,68,68,0,0,1574,6704,2422,1574,6704,2422
1971:Q4,-17,-17,0,0,0,339,339,0,0,80,80,328,0,328,0,993,0,319,334,340,0,0,0,0,0,102,102,0,0,648,6736,2681,648,6736,2681
1972:Q1,-108,-108,0,0,0,219,219,0,0,120,120,356,0,356,0,1104,0,330,411,363,0,0,0,0,0,151,151,0,0,391,7241,2794,391,7241,2794
1972:Q2,-14,-14,0,0,0,-262,-262,0,0,145,145,371,0,371,0,1216,0,332,492,392,0,0,0,0,0,76,76,0,0,-937,5986,2667,-937,5986,2667
1972:Q3,-14,-14,0,0,0,-302,-302,0,0,148,148,382,0,382,0,1260,0,351,512,397,0,0,0,0,0,111,111,0,0,-1339,7068,2523,-1339,7068,2523
1972:Q4,-30,-30,0,0,0,104,104,0,0,127,127,392,0,392,0,1239,0,389,471,379,0,0,0,0,0,185,185,0,0,305,6806,2362,305,6806,2362
1973:Q1,30,30,0,0,0,-257,-257,0,0,111,111,403,0,403,0,1195,0,346,482,367,0,0,0,0,0,-27,-27,0,0,428,7639,2398,428,7639,2398
1973:Q2,25,25,0,0,0,162,162,0,0,98,98,417,0,417,0,1187,0,347,493,347,0,0,0,0,0,-61,-61,0,0,1785,6097,2753,1785,6097,2753
1973:Q3,-31,-31,0,0,0,-275,-275,0,0,93,93,423,0,423,0,1190,0,342,504,344,0,0,0,0,0,192,192,0,0,1302,7808,3130,1302,7808,3130
1973:Q4,579,579,0,0,0,567,567,0,0,98,98,426,0,426,0,1203,0,332,514,357,0,0,0,0,0,-129,-129,0,0,2107,7432,3527,2107,7432,3527
1974:Q1,181,181,0,0,0,282,282,0,0,154,154,414,0,414,0,1219,0,319,527,373,0,0,0,0,0,94,94,0,0,2495,8074,3667,2495,8074,3667
1974:Q2,-591,-591,0,0,0,37,37,0,0,185,185,405,0,405,0,1241,0,312,541,388,0,0,0,0,0,-73,-73,0,0,2794,4921,3352,2794,4921,3352
1974:Q3,-144,-144,0,0,0,-1,-1,0,0,193,193,415,0,415,0,1234,0,304,550,380,0,0,0,0,0,-259,-259,0,0,1460,8368,3650,1460,8368,3650
1974:Q4,13,13,0,0,0,330,330,0,0,178,178,436,0,436,0,1200,0,298,555,347,0,0,0,0,0,211,211,0,0,1046,7667,3774,1046,7667,3774
1975:Q1,-29,-29,0,0,0,496,496,0,0,172,172,463,0,463,0,1386,0,399,551,436,0,0,0,0,0,365,365,0,0,-1483,8214,3824,-1483,8214,3824
1975:Q2,7,7,0,0,0,-168,-168,0,0,173,173,495,0,495,0,1382,0,369,560,453,0,0,0,0,0,401,401,0,0,-2243,3675,3672,-2243,3675,3672
1975:Q3,-45,-45,0,0,0,-476,-476,0,0,165,165,494,0,494,0,1550,0,505,574,471,0,0,0,0,0,-5,-5,0,0,-3261,8650,4437,-3261,8650,4437
1975:Q4,76,76,0,0,0,417,417,0,0,148,148,458,0,458,0,1891,0,786,604,501,0,0,0,0,0,234,234,0,0,-2138,7703,3702,-2138,7703,3702
1976:Q1,52,52,0,0,0,459,459,0,0,158,158,557,0,557,0,2242,0,773,777,692,0,0,0,0,0,300,300,0,0,373,8825,4152,373,8825,4152
1976:Q2,-150,-150,0,0,0,-261,-261,0,0,143,143,576,0,576,0,2603,0,909,871,823,0,0,0,0,0,19,19,0,0,2896,2872,2394,2896,2872,2394
1976:Q3,-17,-17,0,0,0,207,207,0,0,151,151,578,0,578,0,2753,0,965,917,871,0,0,0,0,0,48,48,0,0,3470,9192,4134,3470,9192,4134
1976:Q4,-18,-18,0,0,0,799,799,0,0,179,179,571,0,571,0,2692,0,940,913,839,0,0,0,0,0,98,98,0,0,3057,8019,5108,3057,8019,5108
1977:Q1,-68,-68,0,0,0,-357,-357,0,0,207,207,728,0,728,0,2945,0,1004,1036,905,0,0,0,0,0,10,10,0,0,770,9550,5378,770,9550,5378
1977:Q2,98,98,0,0,0,203,203,0,0,236,236,817,0,817,0,3115,0,1071,1094,950,0,0,0,0,0,144,144,0,0,243,8352,3315,243,8352,3315
1977:Q3,-43,-43,0,0,0,-140,-140,0,0,242,242,837,0,837,0,3233,0,1081,1159,993,0,0,0,0,0,64,64,0,0,383,2496,3807,383,2496,3807
1977:Q4,-20,-20,0,0,0,574,574,0,0,224,224,789,0,789,0,3300,0,1035,1234,1031,0,0,0,0,0,111,111,0,0,521,8928,3405,521,8928,3405
1978:Q1,43,43,0,0,0,293,293,0,0,250,250,801,0,801,0,3390,0,983,1341,1066,0,0,0,0,0,92,92,0,0,-179,10942,3909,-179,10942,3909
1978:Q2,-12,-12,0,0,0,571,571,0,0,256,256,803,0,803,0,3507,0,929,1448,1130,0,0,0,0,0,294,294,0,0,-351,9868,2822,-351,9868,2822
1978:Q3,-22,-22,0,0,0,614,614,0,0,269,269,792,0,792,0,3574,0,948,1482,1144,0,0,0,0,0,369,369,0,0,-162,3849,3858,-162,3849,3858
1978:Q4,122,122,0,0,0,582,582,0,0,290,290,761,0,761,0,3591,0,1041,1443,1107,0,0,0,0,0,56,56,0,0,-103,10393,3078,-103,10393,3078
1979:Q1,47,47,0,0,0,483,483,0,0,316,316,770,0,770,0,3619,0,1111,1437,1071,0,0,0,0,0,301,301,0,0,-1574,11984,6147,-1574,11984,6147
1979:Q2,-17,-17,0,0,0,1259,1259,0,0,345,345,761,0,761,0,3658,0,1159,1458,1041,0,0,0,0,0,201,201,0,0,-2658,10253,3800,-2658,10253,3800
1979:Q3,-41,-41,0,0,0,323,323,0,0,350,350,730,0,730,0,3703,0,1223,1425,1055,0,0,0,0,0,323,323,0,0,-3323,2916,5968,-3323,2916,5968
1979:Q4,-14,-14,0,0,0,983,983,0,0,332,332,676,0,676,0,3755,0,1305,1342,1108,0,0,0,0,0,101,101,0,0,-3119,10446,5572,-3119,10446,5572
1980:Q1,-164,-164,0,0,0,430,430,0,0,311,311,544,0,544,0,3830,0,1577,1303,950,0,0,0,0,0,44,44,0,0,4790,12664,2943,4790,12664,2943
1980:Q2,-49,-49,0,0,0,442,442,0,0,285,285,465,0,465,0,3338,0,1174,1228,936,0,0,0,0,0,521,521,0,0,7123,10659,1479,7123,10659,1479
1980:Q3,-9,-9,0,0,0,-628,-628,0,0,299,299,457,0,457,0,3221,0,1153,1159,909,0,0,0,0,0,480,480,0,0,11002,1046,5022,11002,1046,5022
1980:Q4,-20,-20,0,0,0,570,570,0,0,352,352,517,0,517,0,3156,0,1189,1092,875,0,0,0,0,0,325,325,0,0,17232,10864,5212,17232,10864,5212
1981:Q1,-168,-168,0,0,0,-374,-374,0,0,419,419,768,0,768,0,3087,0,1234,1052,801,0,0,0,0,0,131,131,0,0,8295,13637,5883,8295,13637,5883
1981:Q2,177,177,0,0,0,99,99,0,0,501,501,804,0,804,0,2985,0,1255,991,739,0,0,0,0,0,56,56,0,0,5077,11168,2469,5077,11168,2469
1981:Q3,-31,-31,0,0,0,2008,2008,0,0,486,486,821,0,821,0,2793,0,1139,920,734,0,0,0,0,0,-153,-153,0,0,3444,-228,4221,3444,-228,4221
1981:Q4,-143,-143,0,0,0,113,113,0,0,377,377,812,0,812,0,2678,0,1052,841,785,0,0,0,0,0,353,353,0,0,935,11022,4707,935,11022,4707
1982:Q1,63,63,0,0,0,676,676,0,0,279,279,909,0,909,0,2191,0,541,772,878,0,0,0,0,0,262,262,0,0,2927,14368,4363,2927,14368,4363
1982:Q2,225,225,0,0,0,-390,-390,0,0,193,193,888,0,888,0,2154,0,429,615,1110,0,0,0,0,0,319,319,0,0,-596,11062,5193,-596,11062,5193
1982:Q3,52,52,0,0,0,1613,1613,0,0,155,155,918,0,918,0,2177,0,632,626,919,0,0,0,0,0,876,876,0,0,-2834,-434,7302,-2834,-434,7302
1982:Q4,21,21,0,0,0,919,919,0,0,166,166,999,0,999,0,4310,0,3203,805,302,0,0,0,0,0,461,461,0,0,-9386,11016,5072,-9386,11016,5072
1983:Q1,77,77,0,0,0,-950,-950,0,0,150,150,913,0,913,0,2470,0,2186,798,-514,0,0,0,0,0,859,859,0,0,5443,15211,4038,5443,15211,4038
1983:Q2,38,38,0,0,0,-699,-699,0,0,145,145,996,0,996,0,2126,0,2769,812,-1455,0,0,0,0,0,1008,1008,0,0,7180,11044,5864,7180,11044,5864
1983:Q3,-38,-38,0,0,0,-643,-643,0,0,140,140,1023,0,1023,0,3114,0,3593,894,-1373,0,0,0,0,0,130,130,0,0,11839,-654,10283,11839,-654,10283
1983:Q4,-27,-27,0,0,0,-599,-599,0,0,149,149,997,0,997,0,4510,0,3751,1039,-280,0,0,0,0,0,143,143,0,0,19171,10928,5977,19171,10928,5977
1984:Q1,252,252,0,0,0,-940,-940,0,0,-150,-150,1044,0,1044,0,3526,0,-6162,1111,8577,0,0,0,0,0,-382,-382,0,0,15961,16625,4917,15961,16625,4917
1984:Q2,-3,-3,0,0,0,1450,1450,0,0,-349,-349,987,0,987,0,3603,0,1613,1326,664,0,0,0,0,0,-370,-370,0,0,21944,11656,2602,21944,11656,2602
1984:Q3,130,130,0,0,0,2591,2591,0,0,-345,-345,968,0,968,0,3579,0,1451,1377,751,0,0,0,0,0,930,930,0,0,-15012,1053,2713,-15012,1053,2713
1984:Q4,-1,-1,0,0,0,3910,3910,0,0,-147,-147,1025,0,1025,0,4108,0,1720,1323,1065,0,0,0,0,0,724,724,0,0,-17353,11427,4789,-17353,11427,4789
1985:Q1,70,70,0,0,0,-3448,-3448,0,0,-37,-37,906,0,906,0,4364,0,1135,1227,2002,0,0,0,0,0,848,848,0,0,51,6929,8545,51,6929,8545
1985:Q2,-266,-266,0,0,0,4914,4914,0,0,109,109,985,0,985,0,9082,0,5758,1461,1863,0,0,0,0,0,957,957,0,0,-7967,10876,-637,-7967,10876,-637
1985:Q3,-18,-18,0,0,0,-2182,-2182,0,0,99,99,993,0,993,0,12465,0,9431,1089,1945,0,0,0,0,0,-173,-173,0,0,9898,1099,4405,9898,1099,4405
1985:Q4,98,98,0,0,0,5206,5206,0,0,-70,-70,925,0,925,0,11126,0,10917,484,-275,0,0,0,0,0,4162,4162,0,0,-21693,1674,891,-21693,1674,891
1986:Q1,-22,-22,0,0,0,2320,2320,0,0,-241,-241,999,0,999,0,9432,0,3153,4429,1850,0,0,4008,4008,0,0,0,0,0,5912,18765,3442,5912,18765,3442
