1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5155,5155,0,0,5155,517,0,0,85,50,2949,0,26,77,1446,9,5,0,0,0,-9,0,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,10404,10404,0,0,10404,-748,0,0,-52,68,8244,0,8,-212,2240,64,44,476,0,0,272,0,0,ND,ND,ND,ND,ND,ND
1956:Q4,10408,10408,0,0,10408,416,0,0,-16,116,6412,0,8,-12,2480,64,52,1188,0,0,-300,0,0,ND,ND,ND,ND,ND,ND
1957:Q1,9936,9936,0,0,9936,1896,0,0,36,156,4628,0,4,340,1940,64,68,1528,0,0,-724,0,0,ND,ND,ND,ND,ND,ND
1957:Q2,8180,8180,0,0,8180,384,0,0,116,204,5544,0,0,32,1196,60,76,872,0,0,-304,0,0,ND,ND,ND,ND,ND,ND
1957:Q3,8344,8344,0,0,8344,-368,0,0,204,220,6324,0,0,-140,1156,64,88,784,0,0,12,0,0,ND,ND,ND,ND,ND,ND
1957:Q4,8056,8056,0,0,8056,324,0,0,308,200,5688,0,4,-236,952,64,88,764,0,0,-100,0,0,ND,ND,ND,ND,ND,ND
1958:Q1,8092,8092,0,0,8092,1140,0,0,208,192,4356,0,24,296,988,68,92,328,0,0,400,0,0,ND,ND,ND,ND,ND,ND
1958:Q2,7944,7944,0,0,7944,316,0,0,108,184,7492,0,36,-140,684,64,100,-1296,0,0,396,0,0,ND,ND,ND,ND,ND,ND
1958:Q3,10404,10404,0,0,10404,-520,0,0,108,192,9368,0,36,136,744,76,108,-244,0,0,400,0,0,ND,ND,ND,ND,ND,ND
1958:Q4,12772,12772,0,0,12772,660,0,0,496,208,9464,0,16,-184,1316,84,120,192,0,0,400,0,0,ND,ND,ND,ND,ND,ND
