1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q4,9900168,6467039,876329,1482690,4108020,1953096,1868855,1395049,81497,1018500,142301,152751,473806,397524,4880,71402,84241,80758,3483,-301708,1030971,1332679,1781741,1397451,474513,922938,384290,159832,224458,38141,353624,315483,9938309,-6586,-1721,-348,8632,23
2000:Q1,10002179,6618217,920875,1492211,4205131,1950650,1934493,1450250,84231,1066896,141125,157998,484243,406669,5001,72573,16157,28322,-12165,-356583,1052904,1409487,1789895,1400740,462475,938265,389155,156893,232262,33084,369290,336206,10035263,-6687,-1426,-348,8429,32
2000:Q2,10247721,6711911,901931,1535119,4274861,2075785,1985342,1498729,87669,1102344,151610,157106,486613,408692,5545,72376,90443,77034,13409,-362500,1093360,1455860,1822525,1436707,484199,952508,385818,156980,228838,35670,393281,357611,10283391,-6674,-1274,-496,8413,31
2000:Q3,10318164,6819984,911658,1557492,4350834,2059969,2002737,1519657,90999,1116973,155558,156127,483080,406104,5708,71268,57232,52533,4699,-393867,1125002,1518869,1832078,1445874,477201,968673,386204,156349,229855,30480,388156,357676,10348644,-6808,-642,-1172,8582,40
2000:Q4,10435742,6918606,915823,1577579,4425204,2067226,2012883,1525091,92329,1119088,157567,156107,487792,411189,5916,70687,54343,43374,10969,-411343,1113177,1524520,1861253,1467031,478849,988182,394222,159331,234891,54687,411823,357136,10490429,-7089,-1347,-484,8936,-16
2001:Q1,10470233,6995298,926811,1572435,4496052,1971334,2001964,1505248,92553,1106113,149613,156969,496716,420589,5773,70354,-30630,-31635,1005,-402652,1096812,1499464,1906253,1505376,493667,1011709,400877,159610,241267,40066,373126,333060,10510299,-7321,2479,-4668,9476,34
2001:Q2,10599000,7042250,919479,1590627,4532144,1973033,1984593,1473585,91970,1081948,145909,153758,511008,433973,5768,71267,-11560,-8078,-3482,-364015,1058013,1422028,1947732,1528814,502766,1026048,418918,163465,255453,48427,351504,303077,10647427,-7687,-1591,-704,9950,32
2001:Q3,10598021,7070337,923888,1591360,4555089,1944910,1975026,1452580,92347,1058704,152328,149201,522446,444356,5788,72302,-30116,-28300,-1816,-370634,998902,1369536,1953408,1549927,510043,1039884,403481,164404,239077,25018,325476,300458,10623039,-7999,-1963,-428,10354,36
2001:Q4,10660464,7187320,995882,1581892,4609546,1850090,1930920,1408856,94390,1014784,154005,145677,522064,444029,5697,72338,-80830,-69065,-11765,-369688,953520,1323208,1992742,1568487,518999,1049488,424255,167893,256362,87943,308460,220517,10748407,-8260,-2470,0,10692,38
2002:Q1,10783500,7217715,976249,1585635,4655831,1912659,1912366,1374027,97866,979697,153436,143028,538339,457766,5851,74722,293,-2743,3036,-386884,969157,1356041,2040010,1605292,540411,1064881,434718,173621,261097,49643,317998,268355,10833143,-8150,-2899,79,10964,6
