1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,112343,91,25859,900,0,0,19587,90,18653,0,844,0,7241,26,7215,489,0,12078,2,0,41964,4132,1568,0,0,2563,336682,187003,40061,269,0,39792,38807,22183,3395,13229,532,32316,20537,54750,0,24923,29827,149679,147629,2050,46437,78700,59.00498454942266,32.77250589610231
1952:Q1,110507,84,24511,900,0,0,18825,138,17862,0,825,0,5616,27,5589,503,0,12442,3,0,43434,4189,1600,0,0,2590,340542,186986,41201,328,0,40873,38567,21916,3265,13385,544,30361,18812,57501,139,24141,33221,153556,151463,2093,44320,74682,59.34463498812542,31.979678664473948
1952:Q2,110469,102,25850,900,0,0,17555,432,16635,0,488,0,6172,28,6144,527,0,13002,3,0,42254,4104,1630,0,0,2475,349991,190236,42647,304,0,42343,38123,21494,3369,13260,558,28227,16610,64071,145,24880,39046,159755,157607,2148,44407,70004,63.43477120001545,31.159113683322666
1952:Q3,115756,98,26398,900,0,0,18007,411,17018,0,578,0,6276,29,6247,538,0,13289,3,0,46001,4246,1659,0,0,2587,354192,195100,43816,346,0,43470,38711,21955,3506,13250,567,30753,17238,64015,151,25658,38206,159092,156907,2185,45403,73798,61.52331482291562,31.270873415641155
1952:Q4,118644,75,26641,900,0,0,18655,195,17647,0,813,0,7081,30,7051,555,0,13706,3,0,45866,5162,1689,0,0,3473,338642,189787,44828,331,0,44497,40270,22979,3827,13464,579,33077,17381,53652,160,26214,27278,148855,146628,2227,46271,77595,59.631322914412976,31.88936710594033
1953:Q1,117014,102,23589,900,0,0,19241,212,18164,0,865,0,6411,31,6380,570,0,14065,3,0,46828,5305,1721,0,0,3585,329786,184439,45627,370,0,45257,40877,23076,4046,13756,596,31088,16007,50244,167,27068,23009,145347,143052,2295,43832,74587,58.76659850504669,31.780617252355093
1953:Q2,117637,74,25710,900,0,0,17581,194,16454,0,933,0,6777,32,6745,586,0,14472,3,0,46126,5408,1753,0,0,3655,312266,176136,46567,297,0,46270,40787,22710,4381,13696,602,31407,15201,41572,175,27876,13521,136130,133816,2314,44265,73996,59.82116926079266,31.352423206540685
1953:Q3,121633,85,25865,900,0,0,19467,214,18232,0,1021,0,6697,32,6665,599,0,14825,3,0,47561,5631,1785,0,0,3847,307979,176328,47147,347,0,46800,41191,23000,4430,13761,619,32222,17399,37750,182,28706,8862,131651,129274,2377,46317,77398,59.84292440927192,31.443540610599257
1953:Q4,122477,114,26550,900,0,0,20449,204,19240,0,1005,0,7341,32,7309,611,0,15124,3,0,45021,6364,1812,0,0,4553,340170,193654,48414,402,0,48012,40838,22417,4279,14142,632,32800,17986,52984,191,29504,23289,146516,144082,2434,48013,77884,61.646835916024045,30.36133815912952
1954:Q1,118201,115,23706,950,0,0,19162,312,17887,0,963,0,6453,32,6421,623,0,15408,3,0,45279,6502,1835,0,0,4667,358839,200095,49314,525,0,48789,40852,22094,4340,14419,646,30154,14340,64789,199,30054,34536,158744,156255,2489,43933,71452,61.485815719423144,29.898537891328264
1954:Q2,117669,128,25354,1000,0,0,16134,338,14874,0,922,0,6862,32,6830,639,0,15801,3,0,45273,6475,1851,0,0,4624,389089,213980,50208,484,0,49724,39943,21445,4213,14285,667,30197,11324,81641,205,30708,50728,175109,172550,2559,42616,67663,62.982796841398404,28.997832214646373
1954:Q3,123213,150,26760,1050,0,0,17663,300,16366,0,997,0,6790,32,6758,648,0,16001,3,0,47592,6556,1868,0,0,4688,432939,238323,51583,584,0,50999,39583,21273,4095,14216,682,31519,13163,101793,213,31277,70303,194616,191985,2631,45623,70633,64.59138514361183,28.465786454631854
1954:Q4,128676,158,28329,1100,0,0,18786,291,17523,0,972,0,7687,33,7654,663,0,16373,3,0,48406,7171,1895,0,0,5276,445623,248164,52078,531,0,51547,40765,21761,4368,14636,681,34832,14767,105041,224,31625,73192,197459,194840,2619,48373,76259,63.43267580636266,28.714888850564797
1955:Q1,129393,147,26814,1075,0,0,19039,281,17543,150,1065,0,6834,36,6798,675,0,16656,3,0,50806,7344,1929,0,0,5415,458245,253427,52555,500,0,52055,41165,22121,4109,14935,699,34093,12936,111979,237,31888,79854,204818,202122,2696,47075,73759,63.822538218041345,28.521321194337084
1955:Q2,132431,127,27756,1050,0,0,18399,352,16788,200,1059,0,7398,40,7358,693,0,17144,4,0,52383,7477,1964,0,0,5513,507779,279466,53159,380,0,52779,42227,22865,4234,15128,723,35703,12026,135628,259,31675,103694,228313,225533,2780,47332,75208,62.934634970609274,28.80849495039711
1955:Q3,139777,123,28304,1025,0,0,20323,245,18619,250,1209,0,7477,44,7433,707,0,17493,4,0,56754,7567,2008,0,0,5559,547315,303472,53624,371,0,53253,43249,23814,4080,15355,740,39673,15248,150938,280,31528,119130,243843,240995,2848,49775,83186,59.83596627580192,29.177267184837692
1955:Q4,147000,129,29282,1000,0,0,23017,217,21281,300,1219,0,8385,47,8338,728,0,17992,6,0,58009,8452,2067,0,0,6386,565012,317920,54926,362,0,54564,46290,25662,4433,16195,746,43874,18430,153654,295,31685,121674,247092,244222,2870,53428,92761,57.59731891845104,30.091418995248937
1956:Q1,142953,95,26140,1000,0,0,20868,171,18878,325,1494,0,7505,49,7456,750,0,18536,8,0,59131,8920,2142,0,0,6778,597805,332506,55348,362,0,54986,48257,27113,4715,16429,769,41991,15133,171008,311,31906,138791,265299,262345,2954,48103,89314,53.858353258653594,31.069988191603798
1956:Q2,142874,141,26977,1000,0,0,17675,325,15667,350,1333,0,7910,50,7860,775,0,19186,10,0,60287,8913,2233,0,0,6680,580687,324953,56235,289,0,55946,49748,28607,4609,16532,789,43720,12175,162286,317,32735,129234,255734,252704,3030,45793,89400,51.222653915278094,31.613526975368323
1956:Q3,147474,119,27277,1000,0,0,17616,371,15575,375,1295,0,7936,51,7885,809,0,19990,14,0,63778,8935,2330,0,0,6605,574897,324966,57414,401,0,57013,50343,29331,4398,16615,804,45420,14259,156726,324,33442,122960,249931,246833,3098,46012,93808,49.04889585660267,31.67256066514397
1956:Q4,153191,138,28990,1000,0,0,18765,305,16718,400,1342,0,8701,54,8647,846,0,20894,17,0,63809,10031,2430,0,0,7601,625674,354153,58418,378,0,58040,52544,30747,4670,17127,819,47992,16754,177626,339,33765,143522,271521,268373,3148,48893,100541,48.62997973634324,32.2587095622237
1957:Q1,151332,198,26402,1000,0,0,18440,355,16166,500,1419,0,7609,58,7551,870,0,21482,22,0,65016,10293,2556,0,0,7737,595544,338339,59863,353,0,59510,53683,30873,5180,17629,827,46320,14218,163428,348,34978,128102,257205,254023,3182,46040,96945,47.490923170503976,32.06363943916537
1957:Q2,152036,176,27100,1000,0,0,16579,349,14227,600,1403,0,8152,63,8089,917,0,22680,27,0,65154,10251,2702,0,0,7549,634065,357761,61295,320,0,60975,55042,32125,5220,17697,838,46312,11957,182317,370,35442,146505,276304,273076,3228,44855,95934,46.75627571261373,32.37543612648969
1957:Q3,155893,153,27712,1000,0,0,17328,345,14773,700,1510,0,8064,68,7996,936,0,23106,31,0,67098,10465,2856,0,0,7609,584288,335660,62852,364,0,62488,54973,31811,5354,17807,840,47428,13511,156056,373,36957,118726,248628,245392,3236,46193,98469,46.91125609592813,31.852352572055036
1957:Q4,158200,131,29024,1000,0,0,18303,435,15589,800,1479,0,8742,72,8670,955,0,23569,37,0,65436,11003,3005,0,0,7998,592184,343082,64494,422,0,64072,56139,31971,5730,18438,873,49578,14621,157377,378,38377,118622,249102,245747,3355,48458,102322,47.35829372030357,31.602564705710556
1958:Q1,154784,160,25972,1550,0,0,17057,746,14394,700,1217,0,7512,76,7436,965,0,23878,41,0,66550,11099,3142,0,0,7958,617732,352990,66653,716,0,65937,55707,30808,6185,18713,890,45517,11495,172728,393,38752,133583,264742,261319,3423,44739,94721,47.23228397192376,30.818352452150975
1958:Q2,156049,132,27218,2100,0,0,14977,455,12340,500,1682,0,7958,80,7878,990,0,24479,41,0,66706,11448,3277,0,0,8171,651476,369413,67808,791,0,67017,55466,30687,5841,18938,910,46871,8991,189367,414,38814,150139,282063,278565,3498,44427,93181,47.67832618737903,30.273081803591783
1958:Q3,163272,172,28211,2000,0,0,15928,224,13175,550,1979,0,8051,84,7967,1005,0,24832,42,0,71453,11578,3415,0,0,8163,720931,406821,69258,795,0,68463,55022,30474,5335,19214,928,50103,10322,221188,440,38606,182142,314110,310541,3569,46311,97029,47.729255616413994,29.452386674269448
1958:Q4,170564,149,30083,1900,0,0,18860,210,16092,600,1958,0,8907,87,8820,1028,0,25415,43,0,71840,12339,3555,0,0,8783,757706,429462,70373,658,0,69715,57595,31650,5758,20187,930,53810,12026,234728,469,38221,196038,328244,324670,3574,50992,103903,49.07677673178669,29.746828811394018
1959:Q1,171232,143,27264,1800,0,0,20440,502,17280,700,1958,0,8118,74,8044,1049,0,25930,45,0,73501,12942,3697,0,0,9245,773205,437518,70959,652,0,70307,57894,31437,6248,20209,956,53685,11682,242342,484,38918,202940,335687,332012,3675,49647,103704,47.873647253330255,29.752608798017693
1959:Q2,177042,137,28230,1700,0,0,21635,622,18104,900,2009,0,8667,62,8605,1080,0,26670,48,0,75575,13300,3841,0,0,9459,807490,457242,71627,458,0,71169,60301,33407,6655,20238,987,55502,12591,256234,510,38993,216731,350248,346451,3797,51702,108614,47.601787682101545,30.714141239575987
1959:Q3,181309,145,27748,1600,0,0,24006,240,20311,1000,2455,0,8553,21,8532,1099,0,27150,52,0,77484,13472,3986,0,0,9486,797309,453545,72264,527,0,71737,60637,34014,6412,20211,1010,55842,13275,250517,520,39889,210108,343764,339875,3889,53499,110070,48.60467057430587,30.81450224829118
1959:Q4,186710,132,29196,1500,0,0,25357,742,21621,1200,1794,0,10139,21,10118,1118,0,27634,57,0,77386,14191,4131,0,0,10059,849427,483364,73109,315,0,72794,63539,35439,7088,21012,1017,59100,14150,272449,547,39918,231984,366063,362157,3906,56185,116092,48.397154857967465,31.35175627202664
1960:Q1,185461,121,26528,1268,0,0,24375,740,19986,1200,2449,0,8340,22,8318,1140,0,28172,64,0,79948,15505,4282,0,0,11223,804529,461239,73643,427,0,73216,65101,35977,8149,20975,1035,58535,12817,250108,549,40880,208679,343290,339310,3980,52292,115905,45.116242060708885,32.11170175410612
1960:Q2,185487,140,27535,1087,0,0,22526,757,18247,1343,2179,0,9044,23,9021,1153,0,28488,71,0,80465,14978,4437,0,0,10541,823420,471807,74654,547,0,74107,66751,36856,8811,21084,1045,59438,11903,258016,572,40782,216662,351613,347588,4025,51288,117555,43.62891045823723,32.68215792083408
1960:Q3,187739,191,27737,1346,0,0,20832,648,16446,1190,2548,0,8777,24,8753,1165,0,28811,76,0,83319,15485,4589,0,0,10896,773053,447681,75671,782,0,74889,66254,36543,8402,21309,1064,60426,11795,232471,573,41839,190059,325372,321285,4087,50106,117948,42.4815494694333,32.218979872440634
1960:Q4,188649,148,28243,3000,0,0,20038,788,15752,1116,2382,0,9647,24,9623,1192,0,29478,79,0,82311,14513,4728,0,0,9785,865557,496289,76985,769,0,76216,68611,37651,9131,21829,1067,61935,12560,275131,613,40780,233738,369268,365166,4102,51429,122046,42.13902555645135,32.65947511634001
1961:Q1,186948,189,26462,3272,0,0,19503,562,15225,936,2780,0,7992,26,7966,1222,0,30171,82,0,83213,14842,4853,0,0,9989,950458,535943,77200,623,0,76577,68332,37641,8942,21748,1082,60270,10921,318138,657,39132,278349,414515,410353,4162,49426,118397,41.74586796137481,32.437182506093556
1961:Q2,192909,213,27769,3863,0,0,19264,613,14636,1233,2782,0,8574,28,8546,1248,0,30831,84,0,85820,15243,4963,0,0,10280,954986,539187,79256,726,0,78530,68439,37343,9061,22035,1103,61734,10584,318071,674,38832,278565,415799,411555,4244,51109,119448,42.787736510019094,31.910149006746696
1961:Q3,196640,238,27903,4606,0,0,17972,245,13288,1248,3191,0,8619,30,8589,1278,0,31568,85,0,89372,14999,5073,0,0,9926,981659,553752,80254,1017,0,79237,68116,37134,8712,22270,1114,63376,11557,329335,697,38193,290445,427907,423621,4286,50719,121796,41.64258248148621,31.585207599945864
1961:Q4,201491,236,31673,4100,0,0,18828,1089,14096,1248,2395,0,9650,33,9617,1299,0,32088,88,0,88253,15276,5195,0,0,10080,1016820,574952,81705,1094,0,80611,71286,38585,9454,23247,1092,65676,13274,341919,740,36517,304662,441868,437674,4194,54837,128083,42.81358398701717,32.115132070238246
1962:Q1,201283,234,28211,5395,0,0,19393,562,14217,1238,3376,0,8569,38,8531,1316,0,32538,91,31,89326,16179,5329,0,0,10849,1006167,574005,82568,1131,0,81437,71199,38089,9530,23580,1099,64315,12916,341908,749,36336,304823,432162,427931,4231,53264,125981,42.279305073335095,31.703909906995193
1962:Q2,204482,296,29469,5554,0,0,18221,907,13061,1184,3069,0,9450,44,9406,1342,0,33183,95,82,90553,16237,5477,0,0,10759,913065,582184,84073,1092,0,82981,73151,39474,9680,23997,1118,65041,13001,345800,686,40046,305068,330881,326582,4299,53622,128288,41.79808657001953,31.95833867947276
1962:Q3,208903,788,30249,4903,0,0,17088,1079,11645,1308,3056,0,9484,50,9434,1367,0,33766,97,134,94489,16538,5623,0,0,10915,935738,586031,84921,1363,0,83558,73807,40045,9269,24493,1129,67540,13996,344638,716,38753,305169,349707,345363,4344,53162,132213,40.209407762137786,31.92691672115228
1962:Q4,213163,790,34564,5000,0,0,17583,1304,12307,1275,2697,0,10444,54,10390,1392,0,34401,99,168,92772,15950,5749,0,0,10201,1018774,589958,85841,1198,0,84643,77629,42226,9836,25567,1171,68611,14355,342351,768,36262,305321,428816,424314,4502,58105,136226,42.6533750925842,32.58093614221973
1963:Q1,213533,828,27771,5344,0,0,21755,1092,16367,930,3366,0,9406,56,9350,1427,11691,35258,99,187,94615,5152,5858,0,0,-706,1041382,588851,86793,1214,0,85579,77942,41735,10253,25954,1184,68025,13596,341311,803,34965,305543,452531,447981,4550,67576,134823,50.12207392485837,32.295477459218716
1963:Q2,218492,1065,29185,5160,0,0,21340,1008,15252,1314,3766,0,10135,56,10079,1460,12026,36117,99,193,96295,5417,5963,0,0,-546,1066238,592555,87682,987,0,86695,79862,42769,10562,26531,1212,69619,13743,340437,834,33855,305748,473683,469026,4657,68969,137680,50.09385629294718,32.41997097197619
1963:Q3,223047,1000,29821,5117,0,0,21017,445,14602,1399,4571,0,10312,56,10256,1486,12268,36697,99,195,99420,5615,6050,0,0,-435,1088593,596161,88336,1111,0,87225,80360,42999,10195,27166,1236,71911,14713,339605,864,32783,305958,492432,487677,4755,69418,140930,49.25716281478113,32.19140673595607
1963:Q4,228482,731,33427,5687,0,0,21492,969,15128,1608,3787,0,11405,60,11345,1519,12666,37562,100,203,99080,4610,6105,0,0,-1495,1076274,605851,89382,968,0,88414,84806,45623,10942,28240,1208,75976,15744,338735,895,31670,306170,470423,465779,4644,74206,149254,49.718086496990374,33.029576000145575
1964:Q1,228059,867,28846,6724,0,68,22638,1341,16148,1325,3824,0,10564,65,10499,1548,13226,38273,101,214,100167,4823,6189,0,0,-1366,1102094,602353,90039,948,0,89091,85665,45036,11799,28831,1224,72804,15109,337512,940,30220,306352,499741,495027,4714,72583,145696,49.81823959731978,32.88630582361951
1964:Q2,232935,978,30806,6452,0,169,22000,1058,15240,1364,4338,0,11105,72,11033,1586,13568,39188,102,225,101853,4903,6267,0,0,-1364,1122633,606741,91251,889,0,90362,88453,46688,12414,29351,1247,74377,14675,336738,978,29164,306596,515892,511094,4798,74198,149043,49.7828535054566,33.38337399782193
1964:Q3,238984,1243,30996,6309,0,135,21074,1729,14402,1152,3791,0,11260,79,11181,1620,13866,40064,102,238,107264,4813,6346,0,0,-1533,1145688,611895,92139,1081,0,91058,89765,47295,12296,30174,1258,77360,15338,336035,1014,28201,306820,533793,528953,4840,73861,153370,48.158662909625924,33.353866703998484
1964:Q4,242985,1097,32738,6671,0,309,20855,1694,14481,1000,3680,0,12365,84,12281,1658,13844,40974,103,253,107622,4496,6434,0,0,-1938,1174370,623627,93533,1125,0,92408,94396,50264,12685,31447,1245,82924,16211,335318,1049,27284,306985,550743,545955,4788,75767,163209,46.42342824236941,34.094594540521975
1965:Q1,245269,1033,29399,7704,0,280,21054,995,14092,1078,4889,0,11493,86,11407,1718,14085,42446,104,270,110418,5265,6521,0,0,-1256,1192436,627677,94189,847,0,93342,98088,52461,13442,32185,1281,82781,15891,335447,1081,27110,307256,564759,559834,4925,73825,165422,44.628341455298184,34.715467944954874
1965:Q2,250888,822,30209,8601,0,198,19512,678,12320,1059,5455,0,12125,86,12039,1773,13763,43805,107,289,113626,6058,6624,0,0,-566,1180885,636507,95668,727,0,94941,102187,55467,14108,32612,1282,85261,15316,336793,1087,28293,307413,544378,539451,4927,73394,170879,42.95083331476597,35.53208920775091
1965:Q3,256793,892,29266,9212,0,336,19162,893,11829,1254,5186,0,12131,86,12045,1809,14731,44718,107,309,119193,4927,6738,0,0,-1812,1235219,642233,97560,926,0,96634,103579,56660,13777,33143,1313,88536,16329,334916,1157,26073,307686,592986,587928,5058,73908,176227,41.93899156012704,35.47910661165352
1965:Q4,276299,781,33053,8993,0,593,19756,1370,12548,1238,4600,0,13314,88,13226,2074,15148,51270,111,330,120892,9984,6859,0,0,3125,1285475,656559,98057,797,0,97260,110140,61141,14894,34105,1329,94592,18294,334147,1203,25033,307911,628916,623812,5104,78654,189718,41.45839969274469,36.90353393914657
1966:Q1,278376,884,27944,9886,0,512,20617,2375,12958,1216,4068,0,12265,93,12172,2112,15646,52197,118,351,124146,11698,6990,0,0,4707,1273517,662034,101043,820,0,100223,112570,62119,15760,34692,1354,93372,18132,335563,1226,26182,308155,611483,606267,5216,75840,190202,39.87336729963792,36.8414195349015
1966:Q2,283832,917,28747,9708,0,439,19245,2473,11330,1382,4060,0,12891,100,12791,2169,15829,53625,126,370,128445,11321,7132,0,0,4189,1259687,673343,103651,861,0,102790,118667,66583,16261,35823,1375,95670,15594,338386,1223,28805,308358,586344,581050,5294,75255,194969,38.598390042851406,37.65106706859728
1966:Q3,287820,932,27617,9774,0,481,18339,1952,10774,1107,4506,0,12560,108,12452,2214,15179,54715,131,393,133794,11691,7281,0,0,4410,1214604,686113,106689,1466,0,105223,119911,67759,15365,36787,1369,98923,16562,342659,1189,33061,308409,528491,523227,5264,72715,200075,36.343879056704075,37.330146983820455
1966:Q4,288869,885,32371,8603,0,895,18572,2852,11054,1027,3639,0,13511,114,13397,2207,16847,54524,136,425,133268,6625,7435,0,0,-810,1251068,697664,109096,1622,0,107474,123832,69715,16422,37695,1434,103800,17414,342088,1249,32178,308661,553404,547891,5513,78598,208973,37.61155931341936,37.67649600755222
1967:Q1,287346,951,29265,9556,0,568,18078,3495,10445,793,3345,0,12509,115,12394,2258,18608,55795,138,469,133760,5391,7597,0,0,-2206,1327247,696024,113294,2677,0,110617,125362,70151,16930,38281,1474,99739,16730,339425,1353,29279,308793,631223,625556,5667,77495,206227,37.57748291267185,37.60980515502024
1967:Q2,288530,843,31172,8777,0,667,15334,3418,7908,686,3322,0,13006,113,12893,2290,18388,56591,140,523,135559,5240,7769,0,0,-2529,1347765,700616,117478,3242,0,114236,128543,73315,16578,38650,1518,100977,11296,340804,1380,30528,308896,647149,641312,5837,75704,205408,36.85537470134464,37.85663718708776
1967:Q3,295264,827,32297,9099,0,605,14993,3916,7287,684,3106,0,12806,111,12695,2336,19289,57717,147,581,139850,4717,7946,0,0,-3229,1391239,706705,122009,3264,0,118745,127536,72504,16088,38945,1546,103648,11866,340100,1451,29415,309234,684534,678588,5946,77691,207369,37.465017330231284,36.80915450104747
1967:Q4,308374,1055,34817,9682,0,670,16871,3952,8614,1005,3300,0,13793,112,13681,2452,18911,60585,153,635,141598,7152,8116,0,0,-964,1442679,724430,125166,3034,0,122132,130088,76269,16575,37243,1567,109723,13225,344661,1470,31094,312097,718249,712221,6028,82641,218826,37.76557084690549,37.56194847240549
1968:Q1,313729,1357,33207,9375,0,1103,19243,3819,9950,1184,4290,0,12825,201,12624,2494,18496,61653,161,692,144408,8715,8306,0,0,409,1397399,738359,128216,3482,0,124734,134421,76063,17656,40702,1640,108829,17667,347586,1443,35743,310400,659040,652734,6306,83473,223697,37.315200307662295,37.009701634726454
1968:Q2,320809,1749,35000,8129,0,1067,18304,4603,8627,1333,3741,0,13371,331,13040,2545,21318,62888,170,759,149697,5812,8492,0,0,-2680,1480857,743332,131662,3400,0,128262,138817,79900,17958,40959,1668,113445,13031,344709,1566,32302,310841,737525,731114,6411,86326,227734,37.90653790683593,37.43653639139786
1968:Q3,327660,1832,34846,8539,0,1021,17515,5071,7879,1364,3201,0,12999,415,12584,2607,22906,64425,178,816,156494,3482,8692,0,0,-5210,1490829,755788,136491,4928,0,131563,139638,80567,17507,41564,1691,119316,12930,345722,1621,32570,311531,735041,728536,6505,87475,235248,37.18416575994528,37.30208817651091
1968:Q4,344917,1587,37531,9056,0,1121,19274,5099,8959,1434,3782,0,14378,582,13796,2752,24109,68028,185,845,160123,5928,8923,0,0,-2995,1625754,776056,139274,4249,0,135025,147531,86632,18296,42604,1702,126213,14330,347006,1671,33070,312265,849698,843150,6548,93523,249719,37.45124888999418,38.066400148213624
1969:Q1,352936,1856,36754,7692,0,2202,20976,6207,9399,1770,3600,0,13480,678,12802,2813,25548,69504,194,845,165141,5931,9185,0,0,-3255,1600429,790237,143342,4880,0,138462,150757,87858,19325,43573,1765,126219,15517,352637,1667,37843,313127,810192,803399,6793,95873,253799,37.77513488669285,38.10395996555902
1969:Q2,361095,1809,40552,4593,0,1946,19656,6806,7949,1601,3300,0,14020,854,13166,2883,26502,71268,207,816,171408,5435,9480,0,0,-4045,1589149,807700,146673,4914,0,141759,158106,92425,22533,43148,1811,131262,12220,357628,1674,42047,313907,781449,774485,6964,95874,263354,36.40501477087968,39.330735448354616
1969:Q3,369187,1618,41094,3525,0,2868,17611,7206,5786,1569,3050,0,14034,984,13050,2947,27077,72834,230,777,179673,4899,9789,0,0,-4890,1577046,825934,150311,5778,0,144533,160716,91908,25853,42955,1860,137469,12507,363071,1672,46657,314742,751112,743955,7157,94570,273515,34.575745791095265,39.719808907980244
1969:Q4,383619,1173,43122,3652,0,3311,17750,7628,5646,1676,2800,0,15264,1237,14027,3104,28569,76695,253,745,182946,7035,10093,0,0,-3058,1559910,847224,152431,5356,0,147075,167846,96543,27576,43727,1979,145730,12628,366610,1710,49190,315710,712686,705075,7611,98322,287833,34.15944514840671,40.42582615272356
1970:Q1,388082,1172,40690,4348,0,3762,17562,8156,5255,1476,2675,0,14253,1248,13005,3185,28802,78735,28,719,186944,7882,10335,0,0,-2454,1545629,859798,157352,7044,0,150308,182281,94260,31125,56897,2102,143498,12846,361719,1720,55784,304215,685831,677754,8077,97055,288773,33.6094676673688,38.99168577349838
