date,LM263192305.Q,LM263192313.Q,LM263092313.Q,LM103092305.Q,LM763092305.Q,LM513092305.Q,LM543092375.Q,LM613092305.Q,LM663092305.Q,LM733092305.Q,LM103192305.Q,LM115114305.Q,LM753192305.Q,LM513192305.Q,LM543192375.Q,LM613192305.Q,LM663192305.Q,LM733192305.Q,LM503192305.Q,LM263092305.Q,LM263092323.Q,LM263192323.Q,LM263192005.Q,LM263092001.Q
1945:Q4,281,ND,ND,272,1,2,4,1,1,0,309,11,36,65,57,4,35,0,0,517,ND,ND,7227,2507
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,281,ND,ND,271,1,3,4,1,1,0,305,11,37,66,57,4,36,0,0,516,ND,ND,7227,2503
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,325,ND,ND,314,1,3,4,1,2,0,324,12,37,66,57,4,37,0,0,537,ND,ND,8366,2603
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,374,ND,ND,362,1,3,4,2,2,0,359,13,38,66,58,5,36,0,0,575,ND,ND,9625,2787
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,1211,ND,ND,1165,7,7,9,11,12,0,1064,30,63,108,94,8,53,0,0,1420,ND,ND,31138,6883
1960:Q4,1239,ND,ND,1192,7,7,9,11,13,0,1067,31,64,112,97,7,51,0,0,1429,ND,ND,31865,6925
1961:Q1,1269,ND,ND,1222,7,7,9,11,13,0,1082,31,65,112,98,8,53,0,0,1449,ND,ND,32620,7020
1961:Q2,1297,ND,ND,1248,7,7,10,12,13,0,1103,32,65,113,98,8,53,0,0,1472,ND,ND,33340,7134
1961:Q3,1328,ND,ND,1278,7,7,10,12,14,0,1114,32,66,113,98,8,54,0,0,1485,ND,ND,34141,7198
1961:Q4,1350,ND,ND,1299,7,7,10,13,14,0,1092,33,71,125,109,8,59,0,0,1497,ND,ND,34717,7253
1962:Q1,1370,ND,ND,1316,8,8,10,13,15,0,1099,33,72,126,109,9,60,0,0,1508,ND,ND,35221,7309
1962:Q2,1397,ND,ND,1342,8,8,10,14,15,0,1118,33,72,126,109,9,61,0,0,1528,ND,ND,35929,7407
1962:Q3,1423,ND,ND,1367,8,8,10,14,16,0,1129,34,73,126,109,9,62,0,0,1542,ND,ND,36577,7473
1962:Q4,1450,ND,ND,1392,8,8,11,15,16,0,1171,34,68,120,104,8,54,0,0,1559,ND,ND,37276,7555
1963:Q1,1486,ND,ND,1427,8,8,11,15,17,0,1184,34,69,121,104,8,54,0,0,1574,ND,ND,38210,7626
1963:Q2,1522,ND,ND,1460,9,8,11,16,18,0,1212,34,69,120,104,8,54,0,0,1601,ND,ND,39143,7761
1963:Q3,1548,ND,ND,1486,9,8,11,16,18,0,1236,35,69,121,104,8,54,0,0,1627,ND,ND,39793,7883
1963:Q4,1584,ND,ND,1519,9,9,11,17,19,0,1208,35,72,127,110,8,57,0,0,1617,ND,ND,40736,7835
1964:Q1,1615,ND,ND,1548,9,9,12,17,20,0,1224,36,72,127,110,8,57,0,0,1634,ND,ND,41523,7921
1964:Q2,1654,ND,ND,1586,9,9,12,18,20,0,1247,36,72,127,110,9,57,0,0,1658,ND,ND,42522,8037
1964:Q3,1691,ND,ND,1620,10,9,12,19,21,0,1258,37,73,127,110,9,57,0,0,1671,ND,ND,43482,8099
1964:Q4,1730,ND,ND,1658,10,9,12,19,22,0,1245,37,77,135,117,9,61,0,0,1681,ND,ND,44480,8147
1965:Q1,1791,ND,ND,1718,10,9,12,20,22,0,1281,38,77,135,117,9,62,0,0,1719,ND,ND,46064,8329
1965:Q2,1849,ND,ND,1773,10,9,13,21,23,0,1282,38,76,135,117,9,60,0,0,1717,ND,ND,47531,8319
1965:Q3,1888,ND,ND,1809,11,10,13,21,24,0,1313,39,76,135,117,9,58,0,0,1747,ND,ND,48536,8468
