date,FU263192305.Q,FU263192313.Q,FU263092313.Q,FU103092305.Q,FU763092305.Q,FU513092305.Q,FU543092375.Q,FU613092305.Q,FU663092305.Q,FU733092305.Q,FU103192305.Q,FU115114305.Q,FU753192305.Q,FU513192305.Q,FU543192375.Q,FU613192305.Q,FU663192305.Q,FU733192305.Q,FU503192305.Q,FU263092305.Q,FU263092323.Q,FU263192323.Q,FU263192005.Q,FU263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2009:Q2,12673,35965,23293,9820,1168,438,196,48,0,1003,-3098,49,1080,1186,1303,582,138,1680,0,2920,1030,-1890,73682,34384
2009:Q3,9682,20231,10550,6950,1382,489,131,-154,0,884,10303,179,2107,1679,1021,610,-118,-2182,0,13599,8930,-4669,95079,60544
2009:Q4,3853,-24663,-28515,2612,540,493,-17,-421,0,646,-8252,27,2260,1271,-604,690,64,96,0,-4448,-3994,455,57768,59815
2010:Q1,-19260,-14478,4781,-15358,-1288,-588,61,-908,0,-1179,2866,-3,842,110,601,320,1986,-40,0,6682,5565,-1117,103158,41604
2010:Q2,-16056,-10156,5899,-13228,-849,-627,64,-557,0,-859,-1509,8,253,397,329,-54,-34,131,0,-479,-2915,-2436,75801,34276
2010:Q3,-4994,8258,13251,-4255,-257,-137,98,-188,0,-255,2573,-9,118,62,492,1653,184,1257,0,6330,13364,7034,94844,89603
2010:Q4,-1652,17923,19575,-832,64,-1168,140,237,0,-93,-11790,23,-644,-460,184,1107,1965,-215,0,-9830,-3324,6507,22532,45062
2011:Q1,9888,27353,17465,8945,473,-50,113,404,0,3,-17,8,2888,369,188,-1280,816,-415,0,2557,13663,11106,110833,45644
2011:Q2,6660,16165,9505,6397,216,-63,110,245,0,-245,1399,31,1725,-291,1311,-1017,828,-69,0,3917,8459,4543,139255,65167
2011:Q3,-8803,-2214,6589,-6290,-1007,-166,-28,-397,0,-915,14252,52,3430,261,198,-1017,1054,738,0,18968,3660,-15307,88799,72300
2011:Q4,9783,922,-8862,9058,222,-12,165,554,0,-204,19692,76,2734,617,2208,-259,501,8,0,25577,21881,-3696,76385,59047
2012:Q1,21394,17358,-4037,17829,1099,168,380,1026,0,892,4477,-11,39,-1386,-356,-402,-195,-236,0,1930,14825,12895,110916,39238
2012:Q2,-8640,-8428,212,-6834,-607,-80,2,-635,0,-486,5545,55,1514,1743,125,-82,-181,-109,0,8610,24281,15670,81767,79102
2012:Q3,2460,-1172,-3632,2553,-169,17,102,-66,0,23,7321,-10,1700,-1105,373,114,357,-503,0,8247,10526,2279,96591,46256
2012:Q4,1921,10357,8435,1773,-167,274,191,-167,0,17,-14643,-45,-158,-2422,-803,-836,130,39,0,-18738,-11685,7053,49089,46872
2013:Q1,-5995,-7047,-1051,-58,-1784,-482,-503,-1352,0,-1816,1936,13,239,-176,-389,-634,530,13,0,1532,1902,370,84710,37237
2013:Q2,16883,26775,9891,15260,466,458,188,619,0,-108,2223,-11,-223,-907,-671,-748,393,216,0,272,25753,25481,109677,67117
2013:Q3,-17250,600,17850,-13979,-819,-225,-251,-764,0,-1212,5178,72,72,-988,-531,-1195,601,-107,0,3102,2283,-819,91045,62251
2013:Q4,-6406,-5315,1091,-4173,-570,-281,-57,-573,0,-752,2621,2,31,-413,-1668,-287,414,-103,-0,597,18643,18046,36506,50667
2014:Q1,11107,18036,6930,891,2719,1328,843,2444,0,2882,1746,-26,343,990,22,1537,1257,351,0,6220,1451,-4769,77781,-71975
2014:Q2,-4809,-7778,-2970,-4599,-582,133,-33,-530,0,802,12716,64,-688,761,-8,170,837,-404,0,13448,17236,3789,94139,82268
2014:Q3,8265,17044,8779,6468,-18,220,196,96,0,1303,40167,83,724,1757,806,1147,1894,-70,0,46508,47073,565,114267,106970
2014:Q4,-11819,55,11875,-10082,-1087,-380,-68,-712,0,510,583,282,-1159,506,-899,-481,902,3,0,-263,15409,15672,61471,94723
2015:Q1,6201,7815,1614,6080,43,53,-6,317,0,-286,33930,167,-525,1557,787,-252,544,16,0,36224,38947,2722,96107,240160
2015:Q2,-5836,5998,11835,-3791,-361,-318,-256,-161,0,-949,12499,115,208,1658,-320,-740,910,-63,0,14267,25920,11653,79299,97087
2015:Q3,-40679,-30439,10240,-33446,-2008,-878,-713,-1539,0,-2095,-7607,31,-561,2019,-781,-1797,-460,8053,0,-1103,-4287,-3184,56178,64312
2015:Q4,22345,15698,-6647,20489,457,331,53,761,0,254,1191,80,88,3060,-559,677,649,2953,0,8139,7492,-647,42902,82289
2016:Q1,-4881,9301,14181,-3941,-250,-46,-360,-342,0,58,29184,207,1747,3249,2120,-514,1850,1115,0,38958,21527,-17431,92392,142270
2016:Q2,-11014,988,12002,-9802,-822,-203,-44,170,0,-313,22854,257,875,-1241,520,-127,614,40,0,23792,35614,11822,97352,154893
2016:Q3,-3907,17409,21316,-3517,-203,7,-7,-284,0,97,-65624,343,1554,-934,687,-146,-15677,110774,0,30977,31197,219,79549,121155
2016:Q4,-479,-31274,-30796,-792,-3,131,-18,-101,0,304,11285,151,1101,-1275,322,-647,1852,-744,0,12045,-4895,-16941,36148,61697
