1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q3,179515,274,167,0,0,43016,0,5274,1576,2133,34033,5789,8577,0,121692,0,121692,0,179529,179529,57837,121692,179515,0
1970:Q4,184356,388,213,0,0,43682,0,5104,1491,2032,35055,5920,10100,0,124053,0,124053,0,184370,184370,60317,124053,184356,0
1971:Q1,193299,352,233,0,0,44608,0,4880,1414,2040,36274,6019,12058,0,130029,0,130029,0,193313,193313,63284,130029,193299,0
1971:Q2,202242,420,180,0,0,45366,0,4426,1400,2042,37498,6170,12798,0,137308,0,137308,0,202256,202256,64948,137308,202242,0
1971:Q3,211185,450,174,0,0,46005,0,4371,1448,2050,38136,6178,13942,0,144436,0,144436,0,211199,211199,66763,144436,211185,0
1971:Q4,220127,548,148,0,0,46588,0,3896,1544,2152,38996,6288,15400,0,151155,0,151155,0,220142,220142,68987,151155,220127,0
1972:Q1,230679,703,39,0,0,47648,0,3633,1668,2229,40118,6309,17456,0,158524,0,158524,0,230693,230693,72169,158524,230679,0
1972:Q2,241228,747,33,0,0,48708,0,3723,1800,2466,40719,6257,18513,0,166970,0,166970,0,241243,241243,74273,166970,241228,0
1972:Q3,251779,723,65,0,0,49785,0,3643,1944,2123,42075,6340,19828,0,175038,0,175038,0,251794,251794,76756,175038,251779,0
1972:Q4,262329,767,191,0,0,50958,0,3597,2105,2029,43227,6470,22200,0,181743,0,181743,0,262345,262345,80602,181743,262329,0
1973:Q1,263679,612,304,0,0,52185,0,3687,2284,1622,44592,6632,21487,0,182459,0,182459,0,263694,263694,81235,182459,263679,0
1973:Q2,265028,664,429,0,0,53471,0,3460,2480,1536,45995,6821,20326,0,183317,0,183317,0,265043,265043,81726,183317,265028,0
1973:Q3,266377,600,660,0,0,54945,0,3028,2840,1650,47427,6888,22451,0,180833,0,180833,0,266392,266392,85559,180833,266377,0
1973:Q4,267726,544,800,0,0,55970,0,2508,3334,1691,48437,7141,20200,0,183071,0,183071,0,267741,267741,84670,183071,267726,0
1974:Q1,275890,359,887,0,0,57235,0,1840,3817,1845,49733,7277,21039,0,189093,0,189093,0,276005,276005,86912,189093,275890,0
1974:Q2,284145,305,1183,0,0,58908,0,1886,4145,1444,51433,7330,19295,0,197124,0,197124,0,284269,284269,87145,197124,284145,0
1974:Q3,292399,270,1373,0,0,60758,0,1515,4401,1248,53594,7423,14477,0,208098,0,208098,0,292534,292534,84436,208098,292399,0
1974:Q4,300652,254,1543,0,0,61684,0,1585,4583,983,54533,7702,16400,0,213069,0,213069,0,300799,300799,87730,213069,300652,0
1975:Q1,310007,317,1811,0,0,63492,0,1559,4719,789,56425,7705,20263,0,216419,0,216419,0,310168,310168,93749,216419,310007,0
1975:Q2,319363,332,1688,0,0,65872,0,2215,4836,728,58093,7810,24371,0,219290,0,219290,0,319537,319537,100247,219290,319363,0
1975:Q3,328721,296,1342,0,0,67748,0,2548,5045,906,59249,7875,22267,0,229193,0,229193,0,328906,328906,99713,229193,328721,0
1975:Q4,338077,275,1171,0,0,70714,0,2540,5254,1940,60980,7542,24300,0,234075,0,234075,0,338275,338275,104200,234075,338077,0
1976:Q1,339306,265,1065,0,0,73056,0,3058,5536,2193,62269,7543,28204,0,229173,0,229173,0,339518,339518,110345,229173,339306,0
1976:Q2,340533,285,1133,0,0,76687,0,3632,5855,3150,64050,7623,28717,0,226088,0,226088,0,340762,340762,114674,226088,340533,0
1976:Q3,341759,254,1055,0,0,78968,0,3900,6275,3383,65410,7625,29254,0,224603,0,224603,0,342005,342005,117402,224603,341759,0
1976:Q4,342982,266,1148,0,0,79959,0,4057,6836,3360,65706,7732,30100,0,223777,0,223777,0,343248,343248,119471,223777,342982,0
1977:Q1,351332,236,1098,0,0,81459,0,4712,8412,2872,65463,7684,28699,0,232156,0,232156,0,351621,351621,119465,232156,351332,0
1977:Q2,359683,300,1401,0,0,84540,0,6568,8619,3628,65725,7864,29936,0,235642,0,235642,0,359995,359995,124353,235642,359683,0
1977:Q3,368031,320,1483,0,0,87795,0,6757,8839,3556,68643,7622,29322,0,241489,0,241489,0,368368,368368,126879,241489,368031,0
1977:Q4,376378,280,1416,0,0,91175,0,6760,9585,3544,71286,8041,30000,0,245466,0,245466,0,376742,376742,131276,245466,376378,0
1978:Q1,386092,332,1758,0,0,94464,0,7624,10968,3386,72486,8082,29203,0,252253,0,252253,0,386485,386485,134232,252253,386092,0
1978:Q2,395798,387,2043,0,0,98950,0,9095,11351,3732,74772,8246,32043,0,254129,0,254129,0,396227,396227,142098,254129,395798,0
1978:Q3,405501,419,2436,0,0,102405,0,9543,11921,3668,77273,8407,35155,0,256679,0,256679,0,405969,405969,149290,256679,405501,0
1978:Q4,415201,385,2354,0,0,107409,0,9454,13965,3951,80039,8586,33300,0,263167,0,263167,0,415711,415711,152544,263167,415201,0
1979:Q1,426628,459,2747,0,0,109371,0,10677,14432,4073,80189,8797,35504,0,269750,0,269750,0,427196,427196,157446,269750,426628,0
1979:Q2,438050,479,2844,0,0,113753,0,13327,14496,3867,82063,9017,35908,0,276049,0,276049,0,438682,438682,162633,276049,438050,0
1979:Q3,449467,484,3055,0,0,114725,0,13287,14065,3880,83493,9322,38316,0,283565,0,283565,0,450168,450168,166603,283565,449467,0
1979:Q4,464280,566,3458,0,0,116955,0,14706,15360,3910,82979,9604,37100,3397,293200,0,293200,0,465051,461654,168454,293200,460883,3397
1980:Q1,470040,616,3569,0,0,122397,0,16159,15981,4101,86156,10054,34654,3562,295188,0,295170,18,470863,467301,172131,295170,466478,3562
1980:Q2,475800,664,3556,0,0,129872,0,17582,17783,4025,90482,10295,38460,3731,289222,0,289187,35,476679,472948,183761,289187,472069,3731
1980:Q3,481826,589,3559,0,0,133641,0,19999,18052,3921,91669,10597,41618,4168,287654,0,287601,53,482763,478595,190994,287601,477658,4168
1980:Q4,487783,603,3684,0,0,136284,0,20927,19083,4059,92215,10890,44300,4551,287471,0,287401,70,488793,484242,196841,287401,483232,4551
1981:Q1,504824,784,4107,0,0,139477,0,22432,20201,3920,92924,11166,45689,4781,298820,0,298732,88,505913,501132,202400,298732,500043,4781
1981:Q2,521675,716,3761,0,0,146259,0,24531,20948,3995,96785,11602,46506,4818,308013,0,307908,105,522840,518022,210114,307908,516857,4818
1981:Q3,538053,743,4296,0,0,149946,0,25215,22121,3859,98751,12200,43646,4379,322843,0,322720,123,539291,534912,212192,322720,533674,4379
1981:Q4,555244,624,3813,0,0,156449,0,27564,24250,3856,100779,12519,47800,4766,329273,0,329132,141,556569,551803,222671,329132,550478,4766
1982:Q1,571473,652,3972,0,0,162435,0,29545,27237,3651,102002,12990,45088,4509,341827,0,341656,171,572871,568362,226706,341656,566964,4509
1982:Q2,588002,760,4610,0,0,168574,0,32417,27893,3848,104416,13226,44136,4535,352161,0,351959,202,589456,584921,232962,351959,583467,4535
1982:Q3,605069,836,5083,0,0,174283,0,35849,31339,3550,103545,13667,50162,5089,355949,0,355716,233,606568,601479,245763,355716,599980,5089
1982:Q4,622603,981,5992,0,0,176919,0,36898,34310,3131,102580,13773,60200,6096,358642,0,358378,264,624134,618038,259660,358378,616507,6096
1983:Q1,635562,1202,7350,0,164,180066,164,39812,35339,2363,102388,13983,68737,6827,357233,0,356934,299,637174,630347,273413,356934,628735,6827
1983:Q2,648605,1226,7757,0,406,184530,406,43672,36156,2483,101813,14099,81807,7645,351135,0,350784,351,650301,642656,291872,350784,640960,7645
1983:Q3,660914,1161,7305,0,695,182817,695,46278,36406,2423,97015,14149,87559,7746,359482,0,359060,422,662710,654964,295904,359060,653168,7746
1983:Q4,673244,1400,8785,0,1000,184170,1000,48910,39252,2000,93008,14651,89641,7872,365725,0,365216,509,675144,667272,302056,365216,665372,7872
1984:Q1,687393,1623,10104,0,1321,190729,1321,54561,40192,2151,92504,14726,88715,7912,372263,0,371789,474,689433,681521,309732,371789,679481,7912
1984:Q2,701182,1790,11093,0,1657,201352,1657,59177,38801,2264,99453,14935,87637,7620,375098,0,374659,439,703390,695770,321111,374659,693562,7620
1984:Q3,715987,2003,12727,0,2040,209169,2040,64331,39492,2068,101238,14961,96406,8342,370339,0,369917,422,718361,710019,340102,369917,707645,8342
1984:Q4,730315,1999,11960,0,2500,217912,2500,67914,43308,1534,102656,15255,96514,8592,375583,0,375214,369,732860,724268,349054,375214,721723,8592
1985:Q1,746709,2339,14085,0,3039,217234,3039,73822,43495,1550,95328,15319,105957,9352,379384,0,378998,386,749463,740111,361113,378998,737357,9352
1985:Q2,762949,2886,14614,0,3656,222794,3656,77190,40841,1278,99829,15345,111742,9947,381965,0,381561,404,765900,755953,374392,381561,753002,9947
1985:Q3,778344,2496,14149,0,4320,231312,4320,79910,41556,1225,104301,15321,105134,9701,395911,0,395471,440,781497,771796,376325,395471,768643,9701
1985:Q4,795610,2351,13327,1427,5000,237054,5000,85383,38124,1128,107419,15309,120071,18105,382966,0,382476,490,798971,787639,405163,382476,784278,11332
1986:Q1,816254,2300,14072,1494,5714,243096,5714,95028,34901,938,106515,15400,135544,20984,377650,0,377061,589,819836,806205,429144,377061,802623,13631
1986:Q2,835249,2200,14183,1480,6480,250530,6480,98507,36024,1196,108323,15197,147760,21068,376351,0,375671,680,839040,824771,449100,375671,820980,14269
1986:Q3,852976,2499,11595,1587,7355,263318,7355,104604,37905,1035,112419,15364,140408,19428,391422,0,390751,671,856962,843337,452586,390751,839351,13625
1986:Q4,871950,3082,9891,1725,8270,281535,8270,115329,38147,709,119080,15550,150215,19776,381906,0,381204,702,876134,861903,480699,381204,857719,14231
1987:Q1,892274,3709,7403,1757,9211,293098,9211,122815,39917,553,120602,15333,184755,25054,351954,0,351184,770,896761,879229,528045,351184,874742,17532
1987:Q2,909994,4301,5753,1885,10170,299182,10170,129503,41311,606,117592,15228,196669,27515,349291,0,348526,765,914793,896555,548029,348526,891756,18238
1987:Q3,927963,4712,5019,1937,10929,303473,10929,135414,42927,647,113556,15408,210476,30039,345970,0,345351,619,933027,913882,568531,345351,908818,19145
1987:Q4,940916,4844,5216,2015,11272,313435,11272,138866,42961,808,119528,15331,170087,24145,394571,0,394000,571,946255,931208,537208,394000,925869,15047
1988:Q1,960157,4852,5761,2112,11247,317490,11247,143570,40327,667,121679,15448,188043,25061,390143,0,389616,527,965798,949802,560186,389616,944161,15996
1988:Q2,979212,5095,5865,2462,10900,325603,10900,142940,39568,742,131453,15637,196898,25447,391305,0,390822,483,985165,968396,577574,390822,962443,16769
1988:Q3,997597,4736,6488,2663,10468,330853,10468,148740,39557,622,131466,15586,204078,24305,398420,0,397908,512,1003799,986989,589081,397908,980787,16810
1988:Q4,1016400,4410,7116,2811,10183,334934,10183,150659,35347,533,138212,15603,212634,24238,404471,0,402354,2117,1022854,1005582,603228,402354,999128,17272
1989:Q1,1063679,3685,8123,3089,10320,345503,10320,151057,37920,467,145739,15132,225318,24955,427554,0,424821,2733,1070515,1052270,627449,424821,1045434,18245
1989:Q2,1111141,3593,8418,3350,10353,356190,10353,151664,43928,403,149842,15118,251759,26268,436092,0,432173,3919,1118363,1098958,666785,432173,1091736,19405
1989:Q3,1159264,3298,8850,3509,10526,361431,10526,153198,47393,336,149978,15295,270927,28342,457086,0,451886,5200,1166858,1145646,693760,451886,1138052,21212
1989:Q4,1205928,3171,9060,3805,9703,366167,9703,152396,51203,268,152597,15299,277832,28326,492565,0,486296,6269,1213894,1192334,706038,486296,1184368,21560
1990:Q1,1237658,3790,8479,4049,9969,382642,9969,162764,54214,479,155216,15181,267614,27045,518889,0,512280,6609,1246455,1225547,713267,512280,1216750,20908
1990:Q2,1271029,4318,7953,4029,11410,389877,11410,168301,56085,486,153595,15243,282130,29299,526770,0,518941,7829,1280895,1258760,739819,518941,1248894,22135
1990:Q3,1300340,4716,7802,4152,11820,392299,11820,170147,61255,245,148832,15311,250979,24730,588531,0,580906,7625,1311156,1291973,711067,580906,1281157,19183
1990:Q4,1333998,4974,7701,4342,12233,385928,12233,168235,62851,473,142136,16061,284569,26960,591230,0,583399,7831,1345924,1325185,741786,583399,1313259,20739
1991:Q1,1371060,4366,14658,3773,13785,390515,13785,177144,62935,364,136287,16562,327145,31498,568758,0,564848,3910,1383831,1361012,796164,564848,1348241,22819
1991:Q2,1405754,4640,12230,3851,16515,394449,16515,178753,64651,487,134043,16322,328790,31999,596958,0,592195,4763,1419612,1396839,804644,592195,1382981,22773
1991:Q3,1442004,3038,9902,4112,20870,391528,20870,163948,64551,549,141610,16675,357453,35293,603133,0,598101,5032,1456829,1432665,834564,598101,1417840,24164
1991:Q4,1478545,3807,8828,4134,18868,387730,18868,165494,58038,619,144711,16886,394962,37925,605405,0,600784,4621,1494498,1468491,867707,600784,1452538,26007
1992:Q1,1544391,3960,8406,4129,19299,397418,19299,171904,55408,554,150253,16173,388418,38483,668105,0,663367,4738,1561167,1535766,872399,663367,1518990,25401
1992:Q2,1610932,4435,8358,4151,20685,402636,20685,177959,49236,534,154222,17066,391220,40228,722153,0,717412,4741,1628768,1603041,885629,717412,1585205,25727
1992:Q3,1677291,6409,7910,4290,23573,419036,23573,197677,48036,378,149372,16306,400848,40812,758107,0,754070,4037,1696713,1670316,916246,754070,1650894,26397
1992:Q4,1744808,6515,6942,4375,24680,425302,24680,203534,39761,445,156882,16453,431666,44716,784159,0,779615,4544,1765662,1737592,957977,779615,1716738,28070
1993:Q1,1776058,5836,7591,4772,25219,424066,25219,204950,32740,460,160697,15645,463983,47549,781397,0,776760,4637,1798061,1768643,991883,776760,1746640,29418
